timestep,rewards,actions,original_rewards,avg_action_dist,human_obs,obs,logstd_action_dist
0,-0.0401123756238,[-1.85558192  1.62259164],-0.0401123756238,[-1.31611466  1.55318785],"[[-0.06605837 -0.09743492  0.17469856 -0.04638991]
 [-0.00080917 -0.00448192  0.          0.        ]]","[ 1.02473543  1.39703705 -0.09433403 -1.53619204  1.51481901 -0.39471574
  0.24508856 -0.32917084 -0.08736639  0.0693973   0.        ]",[-0.56581342 -0.47374663]
1,-0.037793953274,[-0.1827373   1.43731234],-0.037793953274,[-0.04609909  0.70723271],"[[-0.10578036 -0.0577804   0.17469856 -0.04638991]
 [-3.95820742  3.9567276   0.          0.        ]]","[ 1.01949982  1.40097517 -0.15225932 -1.43230746  1.51481646 -0.3947155
 -0.23677621  0.34806029 -0.09082939  0.01918538  0.        ]",[-0.56581342 -0.47374663]
2,-0.0350242488616,[-0.01611162 -0.18323451],-0.0350242488616,[-0.0832672  -0.30515057],"[[-0.19142705  0.06029856  0.17469856 -0.04638991]
 [-4.6043061   7.83823055  0.          0.        ]]","[ 1.00003051  1.40078261 -0.27620625 -1.12220287  1.51481391 -0.39471527
 -0.31544701  1.01166378 -0.09836821 -0.04342867  0.        ]",[-0.56581342 -0.47374663]
3,-0.0326425472797,[ 0.52028362 -0.28839441],-0.0326425472797,[ 0.16594815 -0.28500378],"[[-0.28323555  0.20822647  0.17469856 -0.04638991]
 [-4.57663981  6.9574937   0.          0.        ]]","[ 0.96689198  1.37542382 -0.40677932 -0.73733206  1.51481136 -0.39471504
 -0.3120781   0.86108708 -0.11379047 -0.07864201  0.        ]",[-0.56581342 -0.47374663]
4,-0.0306963479501,[ 0.02072349  0.18924108],-0.0306963479501,[-0.57547879 -0.22672909],"[[-0.35320466  0.33452863  0.17469856 -0.04638991]
 [-2.4274218   5.67699677  0.          0.        ]]","[ 0.93327782  1.33205661 -0.50403558 -0.4177983   1.51480881 -0.3947148
 -0.05038237  0.64216531 -0.1330256  -0.0844306   0.        ]",[-0.56581342 -0.47374663]
5,-0.0303234808401,[-1.07509943 -0.80583446],-0.0303234808401,[-0.78503555 -0.55598426],"[[-0.40045108  0.45445845  0.17469856 -0.04638991]
 [-2.29764812  6.31386312  0.          0.        ]]","[ 0.90657987  1.27301122 -0.56833464 -0.12703108  1.51480626 -0.39471457
 -0.03458068  0.75104717 -0.15206136 -0.03881407  0.        ]",[-0.56581342 -0.47374663]
6,-0.0244158172915,[ 0.40592488 -0.62190583],-0.0244158172915,[ 1.65977228  0.14479664],"[[-0.48562869  0.54748144  0.17469856 -0.04638991]
 [-6.20713162  2.99945754  0.          0.        ]]","[ 0.85051883  1.21576764 -0.68094279  0.08729654  1.51480372 -0.39471434
 -0.51061215  0.18439647 -0.18953772 -0.1253063   0.        ]",[-0.56581342 -0.47374663]
7,-0.0210966670351,[ 2.8167753  -0.04074676],-0.0210966670351,[ 2.11556244  0.84451616],"[[-0.59241844  0.5821609   0.17469856 -0.04638991]
 [-4.47759595  0.47690541  0.          0.        ]]","[ 0.76637615  1.19197536 -0.81502989  0.16426835  1.51480117 -0.3947141
 -0.30001785 -0.24687421 -0.24297323 -0.34188258  0.        ]",[-0.56581342 -0.47374663]
8,-0.0244588833663,[ 0.56123729  3.18787495],-0.0244588833663,[ 0.73035073  0.85747492],"[[-0.6413878   0.58997092  0.17469856 -0.04638991]
 [-0.43280538  0.30468338  0.          0.        ]]","[ 0.72287316  1.18643741 -0.87349061  0.18136633  1.51479862 -0.39471387
  0.1924897  -0.27631819 -0.27308728 -0.44985707  0.        ]",[-0.56581342 -0.47374663]
9,-0.019871967206,[-0.55710592 -0.7073213 ],-0.019871967206,[-1.09105384 -0.3054859 ],"[[-0.62769432  0.63572404  0.17469856 -0.04638991]
 [ 1.79476237  4.25745846  0.          0.        ]]","[ 0.73533908  1.15270802 -0.8573476   0.27970634  1.51479607 -0.39471364
  0.46372589  0.39947262 -0.26342203 -0.35306882  0.        ]",[-0.56581342 -0.47374663]
10,-0.0169082213394,[-0.12319088 -0.99276049],-0.0169082213394,[-0.10530086  0.32126573],"[[-0.61425868  0.69193484  0.17469856 -0.04638991]
 [-0.44377023  1.37323057  0.          0.        ]]","[ 0.74734375  1.10832239 -0.84135186  0.39603227  1.51479352 -0.39471341
  0.19115409 -0.09363311 -0.25881843 -0.2421784   0.        ]",[-0.56581342 -0.47374663]
11,-0.0174048292988,[ 0.47412013  1.33873676],-0.0174048292988,[ 0.72327697  1.30238163],"[[-0.62792253  0.67968806  0.17469856 -0.04638991]
 [-0.92102422 -2.58471847  0.          0.        ]]","[ 0.73513205  1.11826186 -0.85761645  0.37112656  1.51479097 -0.39471317
  0.13304185 -0.77030874 -0.26500875 -0.292305    0.        ]",[-0.56581342 -0.47374663]
12,-0.0179590210445,[-0.78385704 -0.21492949],-0.0179590210445,[-0.54250288  0.31373423],"[[-0.62735404  0.66822845  0.17469856 -0.04638991]
 [ 0.97157029  1.42539406  0.          0.        ]]","[ 0.73564416  1.12742698 -0.85694215  0.34759725  1.51478842 -0.39471294
  0.36349091 -0.08471409 -0.26411225 -0.30695526  0.        ]",[-0.56581342 -0.47374663]
13,-0.0173370883102,[ 2.06021528  0.54798071],-0.0173370883102,[ 0.94054264  0.54834527],"[[-0.63922707  0.68792518  0.17469856 -0.04638991]
 [-2.14849073  0.54719888  0.          0.        ]]","[ 0.72485276  1.11158956 -0.87095053  0.38790496  1.51478587 -0.39471271
 -0.01641936 -0.23485593 -0.27160922 -0.3081091   0.        ]",[-0.56581342 -0.47374663]
14,-0.0158195869082,[-1.59415525 -0.61797986],-0.0158195869082,[-1.1503135  -0.10967368],"[[-0.64208328  0.72051692  0.17469856 -0.04638991]
 [ 1.84957626  2.70479258  0.          0.        ]]","[ 0.72223035  1.08454394 -0.87430153  0.45317234  1.51478333 -0.39471247
  0.47040016  0.13402044 -0.27545784 -0.26974109  0.        ]",[-0.56581342 -0.47374663]
15,-0.0147806522069,[ 0.99276353 -0.13865566],-0.0147806522069,[ 0.77211177  0.49599558],"[[-0.64514524  0.7495378   0.17469856 -0.04638991]
 [-2.14249806  0.20561668  0.          0.        ]]","[ 0.71940792  1.05959954 -0.87788604  0.50974097  1.51478078 -0.39471224
 -0.01569015 -0.2932552  -0.27994436 -0.2367093   0.        ]",[-0.56581342 -0.47374663]
16,-0.014781421649,[-0.47032209  0.76127432],-0.014781421649,[-0.85933417  0.56724119],"[[-0.64816027  0.74808758  0.17469856 -0.04638991]
 [ 1.82777314 -0.34878647  0.          0.        ]]","[ 0.7166175   1.06086377 -0.88140752  0.5069492   1.51477823 -0.39471201
  0.46774529 -0.38803948 -0.28129252 -0.24604007  0.        ]",[-0.56581342 -0.47374663]
17,-0.0152485941263,[-1.5224417   0.29263086],-0.0152485941263,[-0.57908076 -0.15007067],"[[-0.63064703  0.77143116  0.17469856 -0.04638991]
 [-0.07012269  2.67307224  0.          0.        ]]","[ 0.73266602  1.04025605 -0.86083589  0.55142074  1.51477568 -0.39471177
  0.23664986  0.12859806 -0.27615822 -0.17166763  0.        ]",[-0.56581342 -0.47374663]
18,-0.0122847367686,[ 0.88270293 -0.03052138],-0.0122847367686,[ 1.15554571 -0.39054847],"[[-0.67173478  0.83600001  0.17469856 -0.04638991]
 [-4.02550268  3.78010374  0.          0.        ]]","[ 0.69442075  0.9806843  -0.90866718  0.66915893  1.51477313 -0.39471154
 -0.24497295  0.31786365 -0.3053557  -0.18069402  0.        ]",[-0.56581342 -0.47374663]
19,-0.00886431643646,[ 0.09479465 -0.67202855],-0.00886431643646,[-0.33455968 -0.59616554],"[[-0.71640524  0.90962714  0.17469856 -0.04638991]
 [-0.45341086  3.58328511  0.          0.        ]]","[ 0.65054072  0.90840025 -0.95892195  0.79347212  1.51477058 -0.39471131
  0.18997939  0.284214   -0.34004891 -0.18454763  0.        ]",[-0.56581342 -0.47374663]
20,-0.0093284568182,[-0.49833369  0.01481829],-0.0093284568182,[-0.34668922 -0.01966894],"[[-0.72161189  0.95388165  0.17469856 -0.04638991]
 [-0.0685465   0.85127215  0.          0.        ]]","[ 0.64527369  0.86287476 -0.96465574  0.86282489  1.51476803 -0.39471108
  0.23684194 -0.18287017 -0.35270518 -0.13627394  0.        ]",[-0.56581342 -0.47374663]
21,-0.00712805299689,[ 0.58278065  0.74570693],-0.00712805299689,[ 0.62930244  0.01128322],"[[-0.74275214  0.97133253  0.17469856 -0.04638991]
 [-2.03891989  0.89366915  0.          0.        ]]","[ 0.62357019  0.84451806 -0.98766826  0.8890257   1.51476549 -0.39471084
 -0.00307898 -0.17562159 -0.36607373 -0.16119363  0.        ]",[-0.56581342 -0.47374663]
