timestep,rewards,actions,original_rewards,obs,human_obs,logstd_action_dist,avg_action_dist
0,-0.23880788363,[ 2.48979812  1.61173347],-0.23880788363,"[ 0.97819975  2.07995954 -0.12305966 -0.8115137   0.84165815  1.64578477
  0.38572259 -0.37537309  0.60311722 -1.93199856  0.        ]","[[-0.09475125  0.00776767  0.09769779  0.19219566]
 [-0.00116067 -0.00318867  0.          0.        ]]",[-0.07366329 -0.09255329],[ 2.59061527  0.97760218]
1,-0.228035769902,[ 0.50611813  0.34353228],-0.228035769902,"[ 0.98247863  2.07845976 -0.06194148 -0.68625328  0.84165593  1.64577533
  0.72707712  0.18958811  0.60866631 -1.82143459  0.        ]","[[-0.05509917  0.04741692  0.09769779  0.19219566]
 [ 3.95320942  3.95492762  0.          0.        ]]",[-0.07366329 -0.09255329],[ 1.96427619  0.45907736]
2,-0.200928463903,[ 2.2325235  -0.07379199],-0.200928463903,"[ 0.98331506  2.06682299  0.09004382 -0.39699517  0.8416537   1.64576588
  0.89311736  0.37245862  0.59483356 -1.55369836  0.        ]","[[ 0.04326382  0.13937009  0.09769779  0.19219566]
 [ 5.87669531  5.23611982  0.          0.        ]]",[-0.07366329 -0.09255329],[ 1.38762128  0.18156838]
3,-0.160468802514,[ 0.65656716  0.60528296],-0.160468802514,"[ 0.95609766  2.04106451  0.32926674 -0.08445764  0.84165148  1.64575644
  1.22458855  0.31573829  0.51261543 -1.18436435  0.        ]","[[ 0.19932451  0.24010553  0.09769779  0.19219566]
 [ 9.716605    4.83874252  0.          0.        ]]",[-0.07366329 -0.09255329],[ 0.37865958 -0.08722955]
4,-0.103618683482,[-2.79679796  0.21913471],-0.103618683482,"[ 0.86057582  1.99306406  0.65036927  0.27720005  0.84164925  1.645747
  1.43214784  0.64400155  0.2951247  -0.73760343  0.        ]","[[  0.41778124   0.35995528   0.09769779   0.19219566]
 [ 12.12110994   7.13855274   0.           0.        ]]",[-0.07366329 -0.09255329],[-0.90848023 -0.58940941]
5,-0.0465838444616,[-1.04445896 -0.77553975],-0.0465838444616,"[ 0.7177265   1.90740809  0.91896546  0.70694216  0.84164703  1.64573755
  1.06995688  0.74787074 -0.02698103 -0.39183951  0.        ]","[[ 0.61810691  0.51002774  0.09769779  0.19219566]
 [ 7.92541983  7.86626853  0.          0.        ]]",[-0.07366329 -0.09255329],[-1.06279182 -0.77222663]
6,-0.0173880570624,[-0.39649714  0.35998174],-0.0173880570624,"[ 0.61184537  1.81568971  1.06019244  1.03871041  0.8416448   1.64572811
  0.71503336  0.2875208  -0.28175193 -0.23870184  0.        ]","[[ 0.73536389  0.63499374  0.09769779  0.19219566]
 [ 3.81389525  4.64108216  0.          0.        ]]",[-0.07366329 -0.09255329],[-0.76078284 -0.58193415]
7,-0.026245233527,[ 0.86979441 -0.99936521],-0.026245233527,"[ 0.55211058  1.724297    1.12682324  1.29787816  0.84164258  1.64571867
  0.5730832   0.47793362 -0.45584793 -0.18240923  0.        ]","[[ 0.79514322  0.74120014  0.09769779  0.19219566]
 [ 2.16951558  5.97510975  0.          0.        ]]",[-0.07366329 -0.09255329],[-0.77857149 -0.82726496]
8,-0.0472019679852,[-1.91550465 -1.06796844],-0.0472019679852,"[ 0.46932816  1.64933991  1.20730518  1.47434788  0.84164035  1.64570922
  0.86656274 -0.10393298 -0.63483951 -0.14348171  0.        ]","[[ 0.8726447   0.81980131  0.09769779  0.19219566]
 [ 5.56929452  1.89858964  0.          0.        ]]",[-0.07366329 -0.09255329],[-1.35874259 -0.81892794]
9,-0.0598615257561,[-1.51363362 -0.11565441],-0.0598615257561,"[ 0.38906111  1.65142969  1.27444106  1.46976171  0.84163813  1.64569978
  0.51562758 -0.6742954  -0.73663555 -0.11575149  0.        ]","[[ 0.94324218  0.81768056  0.09769779  0.19219566]
 [ 1.50397356 -2.0973364   0.          0.        ]]",[-0.07366329 -0.09255329],[-0.74948949 -0.34936082]
