timestep,rewards,actions,original_rewards,obs,human_obs,logstd_action_dist,avg_action_dist
39,-0.00498830870185,[ 1.25440727  0.88224819],-0.00498830870185,"[-0.18416795  1.06306837  1.43471503  0.44719661 -0.34423911  1.6998134
 -0.08430703 -0.51461288 -0.39898773 -0.23883325  0.        ]","[[ 1.38549393  0.73166065 -0.03986961  0.19713025]
 [-2.69333631 -1.08451631  0.          0.        ]]",[-0.66663533 -0.5461064 ],[ 1.22391081  0.546754  ]
40,-0.00568554352961,[-0.2846808  -1.84103082],-0.00568554352961,"[-0.16390068  1.05128646  1.43090887  0.47344617 -0.34423892  1.69981029
  0.40114731  0.092399   -0.38509507 -0.24207824  0.        ]","[[ 1.37184495  0.74522206 -0.03986961  0.19713025]
 [ 1.31510154  2.42895657  0.          0.        ]]",[-0.66663533 -0.5461064 ],[-0.55771643 -0.72561491]
41,-0.00627905477704,[ 0.25217428  1.83755346],-0.00627905477704,"[-0.1858109   1.04392489  1.43500719  0.48948943 -0.34423874  1.69980717
  0.26175341 -0.59992971 -0.42209018 -0.25580168  0.        ]","[[ 1.38659891  0.75359466 -0.03986961  0.19713025]
 [ 0.16411633 -1.57834256  0.          0.        ]]",[-0.66663533 -0.5461064 ],[ 0.15220995  0.27413005]
42,-0.00849122943891,[ 0.2333012  -2.02946344],-0.00849122943891,"[-0.2055342   1.03640951  1.4384205   0.50559385 -0.34423856  1.69980405
  0.38203001  0.08949833 -0.45584263 -0.26958899  0.        ]","[[ 1.39984555  0.76206586 -0.03986961  0.19713025]
 [ 1.15725091  2.41216386  0.          0.        ]]",[-0.66663533 -0.5461064 ],[-0.69158429 -0.89352572]
43,-0.0145740491777,[ 0.15050094 -0.96052415],-0.0145740491777,"[-0.25364367  1.02922072  1.44566493  0.52074592 -0.34423838  1.69980094
  0.49120224 -0.60289075 -0.52552525 -0.29585303  0.        ]","[[ 1.43203517  0.77009912 -0.03986961  0.19713025]
 [ 2.05869613 -1.59548155  0.          0.        ]]",[-0.66663533 -0.5461064 ],[-0.81652278 -0.17515084]
44,-0.0156139566491,[ 0.18101959  2.64082416],-0.0156139566491,"[-0.32389004  1.08958903  1.45351854  0.3853588  -0.3442382   1.69979782
  0.55853138 -1.25454844 -0.55198249 -0.2700581   0.        ]","[[ 1.47878702  0.70034487 -0.03986961  0.19713025]
 [ 2.61464028 -5.36737358  0.          0.        ]]",[-0.66663533 -0.5461064 ],[-0.6358704   0.84156656]
45,-0.0200613500137,[-1.67996817 -0.97556428],-0.0200613500137,"[-0.41287123  1.14271884  1.45889264  0.24852064 -0.34423802  1.69979471
  0.63882919 -0.55214594 -0.60511807 -0.25918719  0.        ]","[[ 1.53773224  0.63378892 -0.03986961  0.19713025]
 [ 3.27766809 -1.30177339  0.          0.        ]]",[-0.66663533 -0.5461064 ],[-1.52372527 -0.31680724]
46,-0.0183600973984,[ 0.86627681  0.34011878],-0.0183600973984,"[-0.45101707  1.18982974  1.4596434   0.1093103  -0.34423784  1.69979159
  0.15201337 -1.21482149 -0.59401478 -0.22808563  0.        ]","[[ 1.56295479  0.56926892 -0.03986961  0.19713025]
 [-0.74200039 -5.13743746  0.          0.        ]]",[-0.66663533 -0.5461064 ],[ 0.47506571  1.27530253]
47,-0.013362283989,[-0.37912005  0.85906526],-0.013362283989,"[-0.48079832  1.24689439  1.45958371 -0.09043868 -0.34423765  1.69978848
  0.56877984 -0.96479168 -0.54739113 -0.17938355  0.        ]","[[ 1.58264233  0.48104046 -0.03986961  0.19713025]
 [ 2.69926814 -3.69023577  0.          0.        ]]",[-0.66663533 -0.5461064 ],[-0.90774268  0.72305584]
48,-0.0171502229782,[-0.73780335  0.4613186 ],-0.0171502229782,"[-0.53883846  1.26927064  1.45784266 -0.18168374 -0.34423747  1.69978536
  0.3805179  -0.36439721 -0.5861596  -0.18055619  0.        ]","[[ 1.62103099  0.44210319 -0.03986961  0.19713025]
 [ 1.14478026 -0.21507176  0.          0.        ]]",[-0.66663533 -0.5461064 ],[-0.85287368 -0.06929657]
49,-0.0172221755371,[-0.01748968 -0.02778646],-0.0172221755371,"[-0.52882977  1.26137988  1.45829398 -0.14848706 -0.34423729  1.69978225
  0.02420437 -0.0478934  -0.58678878 -0.18518039  0.        ]","[[ 1.61440763  0.45618253 -0.03986961  0.19713025]
 [-1.7973196   1.61689464  0.          0.        ]]",[-0.66663533 -0.5461064 ],[ 0.04857172 -0.2186102 ]
