timestep,rewards,actions,original_rewards,avg_action_dist,human_obs,obs,logstd_action_dist
0,-0.317422298174,[ 4.12116978  2.31302246],-0.317422298174,[ 3.21769881  1.9610858 ],"[[-0.02698448  0.04282933 -0.04448805  0.18882963]
 [ 0.00406496  0.00348646  0.          0.        ]]","[ 0.96338399  1.66227734 -0.04704715 -0.93055064 -0.38416881  1.64178684
  0.32641786 -0.35271127  1.87317976 -2.17999489  0.        ]",[-0.18572986 -0.1957339 ]
1,-0.309618978691,[ 2.92192686 -0.12222075],-0.309618978691,[ 2.64246273  1.29025745],"[[ 0.01277112  0.08261077 -0.04448805  0.18882963]
 [ 3.95833764  3.96147099  0.          0.        ]]","[ 0.96382444  1.65912358  0.01260278 -0.8202264  -0.38416843  1.64178161
  0.73047033  0.25762451  1.86905717 -2.04759246  0.        ]",[-0.18572986 -0.1957339 ]
2,-0.288079060842,[ 2.40128624  2.42626023],-0.288079060842,[ 2.12120104  1.25111926],"[[ 0.13084538  0.15618249 -0.04448805  0.18882963]
 [ 7.83618211  3.39758053  0.          0.        ]]","[ 0.95057497  1.64805496  0.18922014 -0.61728019 -0.38416805  1.64177637
  1.12671217  0.17067027  1.82546103 -1.70952098  0.        ]",[-0.18572986 -0.1957339 ]
3,-0.249784034566,[ 1.27727566  0.57516549],-0.249784034566,[ 1.24642062  0.47479188],"[[  0.32569058   0.26317166  -0.04448805   0.18882963]
 [ 11.63573547   7.28835946   0.           0.        ]]","[ 0.88169051  1.61994321  0.47356103 -0.32662024 -0.38416767  1.64177113
  1.51495191  0.77064286  1.65972351 -1.19986015  0.        ]",[-0.18572986 -0.1957339 ]
4,-0.188265683174,[-1.11631288 -1.48744271],-0.188265683174,[-0.57504439 -0.44221944],"[[  0.59578308   0.43032475  -0.04448805   0.18882963]
 [ 15.36120507   9.41981255   0.           0.        ]]","[ 0.69435734  1.54829183  0.83548488  0.10972412 -0.38416729  1.64176589
  1.89561803  1.09931946  1.24197514 -0.60468678  0.        ]",[-0.18572986 -0.1957339 ]
5,-0.124397137093,[ 1.75128803 -0.32081449],-0.124397137093,[-0.58512104 -0.00925827],"[[  0.860287     0.57713365  -0.04448805   0.18882963]
 [ 11.10326836   5.27489759   0.           0.        ]]","[ 0.41976072  1.45888601  1.13090125  0.46669374 -0.38416691  1.64176065
  1.46053319  0.46015643  0.70300606 -0.24374175  0.        ]",[-0.18572986 -0.1957339 ]
6,-0.0648640442766,[-2.64836774 -1.17266522],-0.0648640442766,[-2.33609009 -0.93121839],"[[  1.11985068   0.66882157  -0.04448805   0.18882963]
 [ 14.84066639   3.89844329   0.           0.        ]]","[ 0.08114467  1.3913552   1.34398536  0.67354695 -0.38416653  1.64175541
  1.84241747  0.24790127  0.16303336 -0.11268603  0.        ]",[-0.18572986 -0.1957339 ]
7,-0.011636200082,[-1.14096756 -0.88117253],-0.011636200082,[-2.05798221 -0.59591246],"[[  1.37404      0.70629771  -0.04448805   0.18882963]
 [ 10.59233615  -0.13734095   0.           0.        ]]","[-0.2949071   1.36132036  1.46503186  0.7540218  -0.38416615  1.64175018
  1.40831588 -0.37443344 -0.32190415 -0.14715131  0.        ]",[-0.18572986 -0.1957339 ]
8,-0.0187207139182,[-1.46950094  0.54487886],-0.0187207139182,[-1.68976533 -0.095079  ],"[[ 1.54410115  0.66858282 -0.04448805  0.18882963]
 [ 6.4276391  -3.62249911  0.          0.        ]]","[-0.55903182  1.3915352   1.49344498  0.67302449 -0.38416576  1.64174494
  0.98276231 -0.9118586  -0.5834614  -0.20996381  0.        ]",[-0.18572986 -0.1957339 ]
9,-0.0309058739309,[-1.93583566 -0.49241435],-0.0309058739309,[-1.2005353  -0.34329659],"[[ 1.63167596  0.61851271 -0.04448805  0.18882963]
 [ 2.34346414 -1.39193029  0.          0.        ]]","[-0.69599982  1.42946483  1.49119556  0.56172795 -0.38416538  1.6417397
  0.56543757 -0.56789445 -0.69146412 -0.23789021  0.        ]",[-0.18572986 -0.1957339 ]
