timestep,rewards,actions,original_rewards,obs,human_obs,logstd_action_dist,avg_action_dist
0,-0.0465669132762,[-0.81734483  2.4384939 ],-0.0465669132762,"[ 0.99158738  1.61456792 -0.01598888 -1.25420924  1.48454433  0.15567113
  0.31290262 -0.34806713 -0.05190589 -0.45184161  0.        ]","[[ 0.00307363 -0.05895813  0.17020396  0.01862606]
 [-0.00342469 -0.00106343  0.          0.        ]]",[-0.21361427 -0.23133039],[ 0.33872586  1.62479162]
1,-0.0479040424308,[ 1.59341488  1.23497487],-0.0479040424308,"[ 0.99091447  1.61652515 -0.06407586 -1.14603276  1.48454069  0.15567101
 -0.01895769  0.27034237 -0.05191966 -0.47812013  0.        ]","[[-0.02945046 -0.01923873  0.17020396  0.01862606]
 [-3.23820818  3.95979931  0.          0.        ]]",[-0.21361427 -0.23133039],[ 1.00515425  0.97454643]
2,-0.0438988317692,[ 0.36658219 -0.43139963],-0.0438988317692,"[ 0.98931874  1.61058199 -0.100192   -0.8245067   1.48453705  0.15567089
  0.3932983   0.87606907 -0.05267994 -0.39426248  0.        ]","[[-0.05389659  0.09888283  0.17020396  0.01862606]
 [ 0.78022635  7.83943324  0.          0.        ]]",[-0.21361427 -0.23133039],[-0.75474364 -0.05304521]
3,-0.0373473373976,[-1.21152934  0.48653873],-0.0373473373976,"[ 0.99114361  1.5814376  -0.05585541 -0.45370706  1.48453341  0.15567077
  0.54056736  0.5850538  -0.07345112 -0.16658082  0.        ]","[[-0.02388933  0.23697012  0.17020396  0.01862606]
 [ 2.21572366  5.97551017  0.          0.        ]]",[-0.21361427 -0.23133039],[-1.64482939 -0.02346444]
4,-0.0373451054544,[-1.60271483 -1.04832452],-0.0373451054544,"[ 0.99128466  1.52910396 -0.04967984 -0.09615409  1.48452978  0.15567064
  0.13016016  0.86760152 -0.11351929 -0.002257    0.        ]","[[-0.01971202  0.37463775  0.17020396  0.01862606]
 [-1.78468093  7.78520974  0.          0.        ]]",[-0.21361427 -0.23133039],[-0.84286088 -0.40759295]
5,-0.0340028582109,[ 0.33336912 -0.20781724],-0.0340028582109,"[ 0.98456914  1.4686051  -0.16039878  0.18699566  1.48452614  0.15567052
 -0.2719207   0.22554536 -0.13205641 -0.03909418  0.        ]","[[-0.09472813  0.48908202  0.17020396  0.01862606]
 [-5.70392548  3.67290113  0.          0.        ]]",[-0.21361427 -0.23133039],[ 0.72681522  0.38443637]
6,-0.0309029120592,[ 1.36285087  1.16591472],-0.0309029120592,"[ 0.96208807  1.42804039 -0.30624339  0.33934604  1.4845225   0.1556704
 -0.12501516  0.08562839 -0.13213568 -0.18299481  0.        ]","[[-0.19443956  0.55354856  0.17020396  0.01862606]
 [-4.27198059  2.77674706  0.          0.        ]]",[-0.21361427 -0.23133039],[ 0.71663833  0.44855657]
7,-0.0279130088688,[-0.98402346  0.29748895],-0.0279130088688,"[ 0.94695841  1.3604104  -0.37109381  0.55216919  1.48451886  0.15567028
  0.28938525  0.69503352 -0.15986278 -0.1756562   0.        ]","[[-0.23935196  0.64824521  0.17020396  0.01862606]
 [-0.23265816  6.67992929  0.          0.        ]]",[-0.21361427 -0.23133039],[-0.67595124 -0.50295442]
8,-0.0229753735187,[ 2.40931098 -0.9141699 ],-0.0229753735187,"[ 0.929306    1.2404057  -0.4334736   0.84713611  1.48451523  0.15567016
 -0.10957193  0.85849583 -0.21521678 -0.11490131  0.        ]","[[-0.28302207  0.79234862  0.17020396  0.01862606]
 [-4.12144526  7.72689543  0.          0.        ]]",[-0.21361427 -0.23133039],[ 0.3515313  -0.75469774]
9,-0.0192017765471,[-1.50627791  0.00387168],-0.0192017765471,"[ 0.90967321  1.1296424  -0.49258971  1.0567378   1.48451159  0.15567003
  0.30481749  0.26925948 -0.26603672 -0.08262667  0.        ]","[[-0.32492457  0.90902054  0.17020396  0.01862606]
 [-0.08223569  3.95290091  0.          0.        ]]",[-0.21361427 -0.23133039],[-0.5897212  -0.30228227]
10,-0.0158427678629,[-0.02127782  1.13879062],-0.0158427678629,"[ 0.88775981  1.04914226 -0.55008058  1.18137503  1.48450795  0.15566991
 -0.10092811  0.25961468 -0.30016983 -0.08818209  0.        ]","[[-0.36625013  0.98745901  0.17020396  0.01862606]
 [-4.03718628  3.89112843  0.          0.        ]]",[-0.21361427 -0.23133039],[ 0.59952164 -0.28541964]
11,-0.00885076885024,[ 0.73738202 -1.24994829],-0.00885076885024,"[ 0.83774493  0.9215245  -0.65978452  1.3408051   1.48450432  0.15566979
 -0.10148757  0.86579023 -0.35121931 -0.13354367  0.        ]","[[-0.44704884  1.10423589  0.17020396  0.01862606]
 [-4.04264025  7.77362004  0.          0.        ]]",[-0.21361427 -0.23133039],[ 0.53259522 -1.18890238]
12,-0.00621358599823,[-1.21032488  0.07388513],-0.00621358599823,"[ 0.80158643  0.78923168 -0.72662064  1.46465156  1.48450068  0.15566967
  0.20616603  0.22342311 -0.41322558 -0.12429777  0.        ]","[[-0.49781378  1.21842808  0.17020396  0.01862606]
 [-1.04383178  3.65933495  0.          0.        ]]",[-0.21361427 -0.23133039],[-0.0617361  -0.66398472]
13,-0.00443041483543,[ 1.44741039 -0.08581156],-0.00443041483543,"[ 0.75398023  0.69865061 -0.80372353  1.5282446   1.48449704  0.15566955
 -0.19768717  0.2579282  -0.45128441 -0.16676928  0.        ]","[[-0.55818608  1.29383247  0.17020396  0.01862606]
 [-4.98032836  3.88033721  0.          0.        ]]",[-0.21361427 -0.23133039],[ 1.17216301 -0.71560842]
14,-0.00831039679724,[-0.08455301 -2.39880614],-0.00831039679724,"[ 0.70285836  0.60856589 -0.87621482  1.57584723  1.4844934   0.15566942
  0.21840415  0.19273616 -0.49121433 -0.20663487  0.        ]","[[-0.61710014  1.36724954  0.17020396  0.01862606]
 [-0.92454552  3.46279141  0.          0.        ]]",[-0.21361427 -0.23133039],[ 0.15192388 -0.87256294]
15,-0.0103399542011,[-0.47035076  0.11451149],-0.0103399542011,"[ 0.68294295  0.57277351 -0.90212739  1.59062156  1.48448977  0.1556693
  0.18604057 -0.43617281 -0.50789153 -0.21915234  0.        ]","[[-0.63875602  1.39609031  0.17020396  0.01862606]
 [-1.24000246 -0.56529069  0.          0.        ]]",[-0.21361427 -0.23133039],[ 0.53290439 -0.12500691]
16,-0.0135597690204,[ 1.32082535  0.20807812],-0.0135597690204,"[ 0.64143525  0.58103116 -0.95260744  1.58741198  1.48448613  0.15566918
 -0.00240803 -0.3635755  -0.49853895 -0.29917855  0.        ]","[[-0.68198594  1.3894498   0.17020396  0.01862606]
 [-3.07687129 -0.10031677  0.          0.        ]]",[-0.21361427 -0.23133039],[ 1.22291434 -0.17109835]
17,-0.0160162780972,[ 0.02016033 -0.77780808],-0.0160162780972,"[ 0.62022069  0.57323159 -0.97675812  1.59043794  1.48448249  0.15566906
  0.40980701 -0.23476132 -0.50125334 -0.33010139  0.        ]","[[-0.70320965  1.39572122  0.17020396  0.01862606]
 [ 0.94112111  0.72471892  0.          0.        ]]",[-0.21361427 -0.23133039],[ 0.07659961 -0.49713802]
18,-0.0139943421141,[-0.79899127 -1.13247975],-0.0139943421141,"[ 0.63967449  0.59379311 -0.95464779  1.58220882  1.48447886  0.15566894
  0.41614749 -0.71785704 -0.49171173 -0.31147746  0.        ]","[[-0.6837671   1.37917084  0.17020396  0.01862606]
 [ 1.00292736 -2.36944503  0.          0.        ]]",[-0.21361427 -0.23133039],[ 0.21187325  0.147686  ]
19,-0.0210232898864,[ 0.27986767  0.47127908],-0.0210232898864,"[ 0.62786612  0.7002278  -0.96816918  1.52724804  1.48447522  0.15566881
  0.0898377  -1.32863816 -0.43870948 -0.41356342  0.        ]","[[-0.69562163  1.29253169  0.17020396  0.01862606]
 [-2.1777114  -6.28142676  0.          0.        ]]",[-0.21361427 -0.23133039],[ 1.66171718  1.20372915]
20,-0.036508943689,[ 1.53585142  1.09103726],-0.036508943689,"[ 0.59513981  0.82642862 -1.00401531  1.43366526  1.48447158  0.15566869
  0.20784316 -1.01791298 -0.38783231 -0.57911156  0.        ]","[[-0.72763477  1.1868709   0.17020396  0.01862606]
 [-1.02747608 -4.29128642  0.          0.        ]]",[-0.21361427 -0.23133039],[ 1.50881815  0.82209897]
21,-0.0379087127264,[-0.68873724 -1.76005561],-0.0379087127264,"[ 0.61506047  0.8789466  -0.98246952  1.38488644  1.48446795  0.15566857
  0.61577215 -0.38659333 -0.36482731 -0.59103995  0.        ]","[[-0.70828946  1.14161511  0.17020396  0.01862606]
 [ 2.94873062 -0.24777609  0.          0.        ]]",[-0.21361427 -0.23133039],[ 0.06486194 -0.10766798]
22,-0.0373629725783,[ 1.36360021 -0.46054719],-0.0373629725783,"[ 0.64610744  0.92968078 -0.94713201  1.33181515  1.48446431  0.15566845
  0.33030543 -1.00392957 -0.34093009 -0.57994226  0.        ]","[[-0.67723295  1.09698816  0.17020396  0.01862606]
 [ 0.16620908 -4.20173414  0.          0.        ]]",[-0.21361427 -0.23133039],[ 1.10599232  0.89424109]
23,-0.0411949837603,[ 0.3336292  0.6859704],-0.0411949837603,"[ 0.68714215  1.04064979 -0.89674251  1.19330161  1.48446067  0.15566833
  0.73595098 -1.2758328  -0.29432122 -0.60716976  0.        ]","[[-0.63423722  0.99548046  0.17020396  0.01862606]
 [ 4.12015596 -5.94325094  0.          0.        ]]",[-0.21361427 -0.23133039],[ 0.06359546  1.18920803]
24,-0.0357221189839,[-1.62720182  2.3313516 ],-0.0357221189839,"[ 0.7692998   1.13358671 -0.78003025  1.05001416  1.48445704  0.15566821
  0.86291941 -0.83345245 -0.2476473  -0.51805785  0.        ]","[[-0.53941665  0.90504371  0.17020396  0.01862606]
 [ 5.35776285 -3.1098751   0.          0.        ]]",[-0.21361427 -0.23133039],[-0.75469327  0.74076843]
25,-0.0282955775045,[ 1.45124852 -0.63912168],-0.0282955775045,"[ 0.81967513  1.15510031 -0.69419637  1.01273603  1.4844534   0.15566808
  0.44600609 -0.20543396 -0.23509735 -0.40758574  0.        ]","[[-0.47303456  0.88320379  0.17020396  0.01862606]
 [ 1.29400057  0.91249131  0.          0.        ]]",[-0.21361427 -0.23133039],[-0.07143549  0.22294003]
26,-0.0215695226662,[-1.89992578  2.29433078],-0.0215695226662,"[ 0.86325856  1.16223884 -0.60682645  0.99998911  1.48444976  0.15566796
  0.84936751 -0.6035655  -0.23444308 -0.28286238  0.        ]","[[-0.40770668  0.87586897  0.17020396  0.01862606]
 [ 5.22568129 -1.63748573  0.          0.        ]]",[-0.21361427 -0.23133039],[-1.35851097  0.58037156]
27,-0.0187921544819,[-1.07398421 -0.09406438],-0.0187921544819,"[ 0.89988902  1.15511497 -0.51912852  1.01269962  1.48444613  0.15566784
  0.43272683  0.01990425 -0.24760706 -0.14635904  0.        ]","[[-0.34393948  0.88318453  0.17020396  0.01862606]
 [ 1.16457967  2.35574297  0.          0.        ]]",[-0.21361427 -0.23133039],[-0.72223651 -0.00520498]
28,-0.0170028775212,[ 0.78320567  0.45713877],-0.0170028775212,"[ 0.89090351  1.11247561 -0.54221586  1.08498986  1.48444249  0.15566772
  0.02446415 -0.04534141 -0.26683699 -0.1367282   0.        ]","[[-0.3605746   0.92610671  0.17020396  0.01862606]
 [-2.81486052  1.93785457  0.          0.        ]]",[-0.21361427 -0.23133039],[ 0.44274607  0.12988824]
29,-0.0145644353288,[-0.37074697  0.56419333],-0.0145644353288,"[ 0.87684337  1.05420433 -0.5761631   1.17404563  1.48443885  0.1556676
  0.34804217  0.23113233 -0.2927777  -0.13002692  0.        ]","[[-0.38522709  0.98263039  0.17020396  0.01862606]
 [ 0.33913744  3.70862518  0.          0.        ]]",[-0.21361427 -0.23133039],[-0.54588395 -0.37076837]
30,-0.0146402926608,[-0.36985098 -0.25126198],-0.0146402926608,"[ 0.87208507  0.95037149 -0.58711863  1.30837344  1.48443522  0.15566747
  0.19680056  0.5685279  -0.3486916  -0.0552325   0.        ]","[[-0.39323534  1.07848464  0.17020396  0.01862606]
 [-1.13504943  5.8695911   0.          0.        ]]",[-0.21361427 -0.23133039],[-0.37876701 -0.86739343]
31,-0.0150049924946,[-0.23017888 -1.05447266],-0.0150049924946,"[ 0.84880447  0.8289152  -0.63746394  1.4314511   1.48443158  0.15566735
  0.04899772  0.39510605 -0.4084106  -0.03056015  0.        ]","[[-0.4303907   1.18473219  0.17020396  0.01862606]
 [-2.57571786  4.75885596  0.          0.        ]]",[-0.21361427 -0.23133039],[ 0.07945625 -0.77040261]
32,-0.00925283330083,[ 1.50088441 -0.84575937],-0.00925283330083,"[ 0.80698263  0.76443543 -0.71710808  1.48361181  1.48442794  0.15566723
 -0.03911857 -0.23779605 -0.42908963 -0.09290809  0.        ]","[[-0.4905224   1.23923799  0.17020396  0.01862606]
 [-3.43460757  0.70522721  0.          0.        ]]",[-0.21361427 -0.23133039],[ 0.75184715 -0.03354102]
33,-0.00280741748893,[ 0.53831508  1.29530997],-0.00280741748893,"[ 0.78556214  0.78782575 -0.75373664  1.46568117  1.48442431  0.15566711
  0.37390211 -0.76299488 -0.40952593 -0.16157058  0.        ]","[[-0.5188224   1.21959224  0.17020396  0.01862606]
 [ 0.59119853 -2.65858316  0.          0.        ]]",[-0.21361427 -0.23133039],[-0.0284129   0.53047878]
34,-0.00734242876255,[-1.22293727 -1.08210792],-0.00734242876255,"[ 0.81048145  0.80311839 -0.7108785   1.45334807  1.48442067  0.15566699
  0.59113426 -0.13664088 -0.40816486 -0.11269188  0.        ]","[[-0.48575381  1.20667114  0.17020396  0.01862606]
 [ 2.70861238  1.35310005  0.          0.        ]]",[-0.21361427 -0.23133039],[-1.05159974 -0.34999466]
35,-0.00873777379157,[ 0.53991499 -0.57227583],-0.00873777379157,"[ 0.82053563  0.81834014 -0.69257845  1.4405862   1.48441703  0.15566686
  0.1797786  -0.75888874 -0.4029691  -0.0985001   0.        ]","[[-0.47181083  1.19374642  0.17020396  0.01862606]
 [-1.30095521 -2.63228758  0.          0.        ]]",[-0.21361427 -0.23133039],[ 0.37758231  0.65352035]
36,-0.00688199315342,[ 1.2852923   0.64553458],-0.00688199315342,"[ 0.81744848  0.90490587 -0.6982607   1.35842614  1.4844134   0.15566674
  0.4016638  -1.10463024 -0.35429704 -0.17483769  0.        ]","[[-0.4761302   1.11888269  0.17020396  0.01862606]
 [ 0.8618077  -4.8467089   0.          0.        ]]",[-0.21361427 -0.23133039],[ 0.06270021  1.12292814]
37,-0.0114171784919,[-2.31381224  1.04369298],-0.0114171784919,"[ 0.85590797  0.98342895 -0.62261498  1.26870958  1.48440976  0.15566662
  0.80577789 -0.69073872 -0.32354568 -0.13306979  0.        ]","[[-0.41937257  1.04854598  0.17020396  0.01862606]
 [ 4.80079611 -2.19581611  0.          0.        ]]",[-0.21361427 -0.23133039],[-1.46151912  0.46068355]
38,-0.0173573852965,[-2.12619739  0.18249787],-0.0173573852965,"[ 0.88898109  0.98752037 -0.54697245  1.26360361  1.48440612  0.1556665
  0.38998256 -0.06555785 -0.33591266 -0.03029478  0.        ]","[[-0.36402014  1.04480464  0.17020396  0.01862606]
 [ 0.74796272  1.80834856  0.          0.        ]]",[-0.21361427 -0.23133039],[-0.75157398 -0.10383779]
39,-0.015663209764,[ 1.18763052  0.03534635],-0.015663209764,"[ 0.87465603  0.93987991 -0.58119936  1.32033616  1.48440249  0.15566638
 -0.01749436  0.04184591 -0.35602861 -0.03853164  0.        ]","[[-0.38891049  1.0878737   0.17020396  0.01862606]
 [-3.22379041  2.49624893  0.          0.        ]]",[-0.21361427 -0.23133039],[ 0.38030386 -0.18338603]
40,-0.014695919226,[-1.53762802 -2.29647969],-0.014695919226,"[ 0.85990791  0.88227082 -0.61405772  1.3815156   1.48439885  0.15566625
  0.3949931   0.05581233 -0.38231238 -0.03859672  0.        ]","[[-0.41304675  1.13869602  0.17020396  0.01862606]
 [ 0.79680159  2.58570138  0.          0.        ]]",[-0.21361427 -0.23133039],[-0.75364506 -0.38731444]
41,-0.0115982112526,[ 1.59102483  0.80538374],-0.0115982112526,"[ 0.84447308  0.86905895 -0.64627013  1.39445626  1.48439522  0.15566613
 -0.01246929 -0.57024284 -0.38311418 -0.07276956  0.        ]","[[-0.43695897  1.15017893  0.17020396  0.01862606]
 [-3.17480421 -1.42405789  0.          0.        ]]",[-0.21361427 -0.23133039],[ 0.75987345  0.5420444 ]
42,-0.00831335019383,[ 0.991446   -0.18090301],-0.00831335019383,"[ 0.82874121  0.86468578 -0.67714618  1.39865021  1.48439158  0.15566601
  0.39984221 -0.06809946 -0.37964237 -0.11252784  0.        ]","[[-0.4601325   1.15396609  0.17020396  0.01862606]
 [ 0.84406703  1.79206592  0.          0.        ]]",[-0.21361427 -0.23133039],[-0.54165655 -0.2664364 ]
43,-0.0192763510731,[-3.19111563  0.00633566],-0.0192763510731,"[ 0.86549647  0.83180027 -0.60185378  1.4288624   1.48438794  0.15566589
  0.80063547 -0.18563899 -0.41531629  0.01530749  0.        ]","[[-0.4040551   1.18225423  0.17020396  0.01862606]
 [ 4.75067188  1.03924929  0.          0.        ]]",[-0.21361427 -0.23133039],[-1.96713126 -0.36795849]
44,-0.0302619889047,[-0.64924865  0.10464883],-0.0302619889047,"[ 0.89681272  0.80732657 -0.5271073   1.44982894  1.48438431  0.15566577
  0.38503449 -0.18478103 -0.45230406  0.12988809  0.        ]","[[-0.3496857   1.20309426  0.17020396  0.01862606]
 [ 0.69974804  1.04474338  0.          0.        ]]",[-0.21361427 -0.23133039],[-0.99932742 -0.17507041]
45,-0.0303047598948,[-0.07615043 -0.08657067],-0.0303047598948,"[ 0.89031375  0.77788555 -0.54363162  1.47338683  1.48438067  0.15566564
  0.12003227 -0.12321504 -0.46602095  0.12785271  0.        ]","[[-0.36160684  1.22794549  0.17020396  0.01862606]
 [-1.8832671   1.43905927  0.          0.        ]]",[-0.21361427 -0.23133039],[-0.25714216 -0.1935069 ]
46,-0.0256090929662,[ 1.34057572 -0.14953988],-0.0256090929662,"[ 0.86680302  0.74793581 -0.59894909  1.49553421  1.48437703  0.15566552
  0.09294797 -0.18117597 -0.46814503  0.07617098  0.        ]","[[-0.40192091  1.25300204  0.17020396  0.01862606]
 [-2.14726095  1.06783175  0.          0.        ]]",[-0.21361427 -0.23133039],[-0.03007718 -0.147668  ]
47,-0.0264927803677,[-1.30362927 -0.21112894],-0.0264927803677,"[ 0.86507231  0.72965239 -0.60277718  1.50817173  1.4843734   0.1556654
  0.5032937  -0.27707477 -0.47861625  0.08289376  0.        ]","[[-0.40473599  1.26819603  0.17020396  0.01862606]
 [ 1.85243858  0.4536207   0.          0.        ]]",[-0.21361427 -0.23133039],[-1.18160892 -0.21157306]
48,-0.0260421981021,[-0.82895302 -0.68109065],-0.0260421981021,"[ 0.8632033   0.7289229  -0.60687824  1.5086581   1.48436976  0.15566528
  0.09357979 -0.40885595 -0.47787237  0.07814357  0.        ]","[[-0.40775555  1.26880006  0.17020396  0.01862606]
 [-2.14109481 -0.39040901  0.          0.        ]]",[-0.21361427 -0.23133039],[ 0.07751484  0.13796681]
49,-0.0100617976694,[ 1.49961846  0.11555693],-0.0100617976694,"[ 0.81243015  0.77064712 -0.70734033  1.47888931  1.48436613  0.15566516
 -0.23853242 -0.82860508 -0.42742007 -0.08391733  0.        ]","[[-0.48305703  1.23401845  0.17020396  0.01862606]
 [-5.37823456 -3.0788083   0.          0.        ]]",[-0.21361427 -0.23133039],[ 1.58145583  0.84942079]
