timestep,rewards,actions,original_rewards,obs,human_obs,logstd_action_dist,avg_action_dist
0,-0.182904099793,[-1.27397985  0.93142666],-0.182904099793,"[ 0.98240169  1.56884914  0.14587136 -0.85450715  0.37885022 -0.44839172
  0.31187787 -0.3436927   1.09489053  0.71914835  0.        ]","[[ 0.09898079  0.09798081  0.04407935 -0.05096672]
 [-0.00307887 -0.00225373  0.          0.        ]]",[-0.22516802 -0.24408211],[-1.65344226  1.5742929 ]
1,-0.181361268189,[-1.22643663  1.75549664],-0.181361268189,"[ 0.98735711  1.56342386  0.08739688 -0.75564897  0.37884991 -0.44839133
 -0.11115323  0.23842496  1.09837316  0.67237698  0.        ]","[[ 0.05921487  0.13495514  0.04407935 -0.05096672]
 [-3.96033393  3.68738288  0.          0.        ]]",[-0.22516802 -0.24408211],[-1.36831391  1.17866862]
2,-0.176487526984,[-1.15918297  0.83804953],-0.176487526984,"[ 0.98738391  1.53637649 -0.08675948 -0.45779429  0.37884959 -0.44839094
 -0.5258291   0.85184505  1.09943799  0.53649965  0.        ]","[[-0.05891186  0.24771299  0.04407935 -0.05096672]
 [-7.83943077  7.57542668  0.          0.        ]]",[-0.22516802 -0.24408211],[-0.79447901  0.80067754]
3,-0.167230613672,[-1.66906824  0.48299699],-0.167230613672,"[ 0.93956055  1.45947933 -0.37036758  0.00689404  0.37884928 -0.44839055
 -0.9322886   1.35192     1.07334814  0.31179541  0.        ]","[[ -0.25384914   0.43102398   0.04407935  -0.05096672]
 [-11.6416728   10.7450658    0.           0.        ]]",[-0.22516802 -0.24408211],[ 0.25887644  0.32116562]
4,-0.152300090755,[ 1.69217556  0.03538887],-0.152300090755,"[ 0.77837836  1.30757201 -0.73809959  0.53904637  0.37884896 -0.44839016
 -1.3306887   1.62022865  0.98427553 -0.00726302  0.        ]","[[ -0.52407449   0.6629893    0.04407935  -0.05096672]
 [-15.36853588  12.44571267   0.           0.        ]]",[-0.22516802 -0.24408211],[ 1.67566383 -0.25685889]
5,-0.135736629403,[ 0.40485269 -0.58858745],-0.135736629403,"[ 0.52434026  1.08667619 -1.04645357  1.00889068  0.37884865 -0.44838977
 -0.87530193  1.60315584  0.83637961 -0.2567396   0.        ]","[[ -0.78870508   0.91081741   0.04407935  -0.05096672]
 [-11.10862358  12.33752634   0.           0.        ]]",[-0.22516802 -0.24408211],[ 1.62709808 -0.24066097]
6,-0.120786648253,[ 2.75277606 -1.64969513],-0.120786648253,"[ 0.27468043  0.84944635 -1.23528429  1.31885709  0.37884833 -0.44838938
 -0.68052907  1.19678038  0.68657467 -0.37677706  0.        ]","[[-0.99259707  1.1317246   0.04407935 -0.05096672]
 [-9.28662479  9.76180553  0.          0.        ]]",[-0.22516802 -0.24408211],[ 1.71635306 -0.0545513 ]
7,-0.10931344433,[ 1.91370666  0.13734751],-0.10931344433,"[ 0.07590304  0.66843671 -1.33830009  1.46522128  0.37884802 -0.44838899
 -0.23779699  0.54138675  0.56772169 -0.44219727  0.        ]","[[-1.1367768   1.28528076  0.04407935 -0.05096672]
 [-5.14508445  5.60771852  0.          0.        ]]",[-0.22516802 -0.24408211],[ 1.34596086  0.53309768]
8,-0.101987353315,[-1.14261148  1.17298196],-0.101987353315,"[-0.01432207  0.52530763 -1.37425777  1.53583613  0.37884771 -0.44838859
  0.19610102  0.60952394  0.50467518 -0.40443988  0.        ]","[[-1.19895498  1.40176794  0.04407935 -0.05096672]
 [-1.08618228  6.03959704  0.          0.        ]]",[-0.22516802 -0.24408211],[ 0.42067167  0.39968175]
9,-0.0922817143792,[-0.31643236 -1.32028982],-0.0922817143792,"[-0.1053238   0.32527357 -1.40447238  1.57407094  0.37884739 -0.4483882
 -0.22472463  1.21547612  0.4258596  -0.3122675   0.        ]","[[-1.26017551  1.56109556  0.04407935 -0.05096672]
 [-5.02279647  9.880322    0.          0.        ]]",[-0.22516802 -0.24408211],[ 1.00144219 -0.54400587]
10,-0.0797896837462,[ 2.88152924 -0.29298765],-0.0797896837462,"[-0.27626222  0.1291867  -1.44606784  1.54546817  0.37884708 -0.44838781
 -0.34791843  0.55991361  0.31054354 -0.29294922  0.        ]","[[-1.37219336  1.71701213  0.04407935 -0.05096672]
 [-6.17521448  5.72516732  0.          0.        ]]",[-0.22516802 -0.24408211],[ 1.39828825 -0.14666098]
11,-0.0708909108847,[-0.47375707 -0.86541822],-0.0708909108847,"[-0.40487838  0.00336992 -1.46514168  1.49187002  0.37884676 -0.44838742
  0.08826022  0.358904    0.22771397 -0.28550102  0.        ]","[[-1.45475997  1.81873202  0.04407935 -0.05096672]
 [-2.09498707  4.45110868  0.          0.        ]]",[-0.22516802 -0.24408211],[ 0.56437719 -0.00999877]
12,-0.0653704395442,[ 0.56001877 -0.02802779],-0.0653704395442,"[-0.49963616 -0.06191217 -1.47276709  1.45259866  0.37884645 -0.44838703
 -0.10772488 -0.19560663  0.17409323 -0.29851225  0.        ]","[[-1.51505398  1.87249061  0.04407935 -0.05096672]
 [-3.92832623  0.93645175  0.          0.        ]]",[-0.22516802 -0.24408211],[ 1.13294995  0.42452025]
13,-0.0620965360715,[ 1.26321624  0.3044843 ],-0.0620965360715,"[-0.58722349 -0.08285085 -1.4750549   1.43826604  0.37884613 -0.44838664
  0.13754372 -0.21608401  0.13530505 -0.34364216  0.        ]","[[-1.57060053  1.88991728  0.04407935 -0.05096672]
 [-1.63396707  0.80665901  0.          0.        ]]",[-0.22516802 -0.24408211],[ 0.75458992  0.44884163]
14,-0.0607975735563,[ 1.06060136  1.17628717],-0.0607975735563,"[-0.57561586 -0.11631683 -1.47500944  1.41355596  0.37884582 -0.44838625
  0.5641183  -0.028454    0.13015011 -0.30328555  0.        ]","[[-1.56324331  1.9179826   0.04407935 -0.05096672]
 [ 2.3564151   1.99591293  0.          0.        ]]",[-0.22516802 -0.24408211],[-0.39814869  0.13833103]
