timestep,rewards,actions,original_rewards,obs,human_obs,logstd_action_dist,avg_action_dist
0,-0.215200305758,[ 1.30409971  2.27550203],-0.215200305758,"[ 0.94830037  1.83092482  0.12590143 -1.17287094 -0.03716881 -0.14540487
  0.37493433 -0.36240968  1.43900603  0.06305179  0.        ]","[[  7.14970929e-02  -8.08374858e-02  -4.42105093e-03  -1.50104814e-02]
 [  7.73550378e-04   3.63827989e-05   0.00000000e+00   0.00000000e+00]]",[-0.12702577 -0.16713622],[ 0.26751503  1.97835135]
1,-0.216192909877,[ 0.50198086  1.56205487],-0.216192909877,"[ 0.94282268  1.83403971  0.1864896  -1.05751193 -0.03716877 -0.1454047
  0.74992742  0.22288291  1.43372726  0.18362965  0.        ]","[[ 0.11118751 -0.04112434 -0.00442105 -0.01501048]
 [ 3.95510465  3.95809263  0.          0.        ]]",[-0.12702577 -0.16713622],[-0.36130956  1.69167018]
2,-0.218253334456,[-2.26640448  0.01614607],-0.218253334456,"[ 0.91911579  1.8313004   0.33508088 -0.71406556 -0.03716873 -0.14540454
  0.93067902  0.79670406  1.38510365  0.49820231  0.        ]","[[  2.09413444e-01   7.69716817e-02  -4.42105093e-03  -1.50104814e-02]
 [  5.86115695e+00   7.83857687e+00   0.00000000e+00   0.00000000e+00]]",[-0.12702577 -0.16713622],[-0.92427957  1.44061208]
3,-0.218923663138,[-0.8953682   1.44960903],-0.218923663138,"[ 0.89081076  1.80028144  0.44855948 -0.26631046 -0.03716869 -0.14540437
  0.54455148  0.78343879  1.28530049  0.79178488  0.        ]","[[  2.85783826e-01   2.32843332e-01  -4.42105093e-03  -1.50104814e-02]
 [  1.78943729e+00   7.74887983e+00   0.00000000e+00   0.00000000e+00]]",[-0.12702577 -0.16713622],[-0.82929122  1.48739338]
4,-0.216717041082,[-0.24610352  1.8438494 ],-0.216717041082,"[ 0.89085929  1.71973315  0.44838532  0.26485011 -0.03716865 -0.14540421
  0.20517336  1.34646825  1.18235273  0.95639239  0.        ]","[[  2.85665822e-01   4.26023160e-01  -4.42105093e-03  -1.50104814e-02]
 [ -1.78931113e+00   1.15564006e+01   0.00000000e+00   0.00000000e+00]]",[-0.12702577 -0.16713622],[-0.57394993  1.28088164]
5,-0.209896239933,[-0.81061153  1.13744653],-0.209896239933,"[ 0.90863842  1.53605494  0.3814658   0.92496044 -0.0371686  -0.14540404
  0.11610075  1.89819338  1.04091658  1.07339306  0.        ]","[[  2.40455055e-01   6.94586762e-01  -4.42105093e-03  -1.50104814e-02]
 [ -2.72858175e+00   1.52875162e+01   0.00000000e+00   0.00000000e+00]]",[-0.12702577 -0.16713622],[-0.37192839  0.92223477]
6,-0.195705810294,[ 0.25888288  2.04160347],-0.195705810294,"[ 0.93419723  1.20104135  0.25190122  1.56765619 -0.03716856 -0.14540388
 -0.18298455  2.43907285  0.84839752  1.12299266  0.        ]","[[  1.54239875e-01   1.03703795e+00  -4.42105093e-03  -1.50104814e-02]
 [ -5.88243926e+00   1.89453602e+01   0.00000000e+00   0.00000000e+00]]",[-0.12702577 -0.16713622],[ 0.21548116  0.40676546]
7,-0.171303376381,[ 1.334057   0.8978195],-0.171303376381,"[ 0.95040688  0.69743681  0.08999448  1.9519275  -0.03716852 -0.14540371
 -0.07480051  2.96903382  0.58000746  1.09433828  0.        ]","[[  4.80349262e-02   1.45190556e+00  -4.42105093e-03  -1.50104814e-02]
 [ -4.74164043e+00   2.25294787e+01   0.00000000e+00   0.00000000e+00]]",[-0.12702577 -0.16713622],[ 0.27623889  0.10624531]
8,-0.134745031966,[-1.06502729  0.14290425],-0.134745031966,"[ 0.95212107  0.08615572  0.00697732  1.782933   -0.03716848 -0.14540355
  0.30956121  3.42861812  0.19212761  0.97956062  0.        ]","[[ -6.13606222e-03   1.93368112e+00  -4.42105093e-03  -1.50104814e-02]
 [ -6.88549875e-01   2.56378063e+01   0.00000000e+00   0.00000000e+00]]",[-0.12702577 -0.16713622],[-0.245773   -0.22821814]
9,-0.0877357601982,[-1.02058582 -1.14566448],-0.0877357601982,"[ 0.94947395 -0.44738791 -0.07472531  0.92489935 -0.03716844 -0.14540338
 -0.06437156  3.43720828 -0.16089155  0.66469312  0.        ]","[[ -5.94660697e-02   2.44702413e+00  -4.42105093e-03  -1.50104814e-02]
 [ -4.63166020e+00   2.56962299e+01   0.00000000e+00   0.00000000e+00]]",[-0.12702577 -0.16713622],[ 0.22031841 -0.08237755]
