timestep,avg_action_dist,actions,rewards,original_rewards,obs,human_obs,logstd_action_dist
0,[-2.55013824 -1.63719547],[-2.5364212  -0.82250305],-0.389610240154,-0.389610240154,"[ 1.04671173  1.64016981  0.00765465  1.25613948 -1.43412632 -0.76795078
 -0.23037082  0.30272073  2.91430056  1.31163816  0.        ]","[[ 0.04679586  0.07631651 -0.16583586 -0.08788355]
 [ 0.00036997  0.00346868  0.          0.        ]]",[-0.37466606 -0.35556328]
1,[-2.2837224 -1.3840872],[-1.69882669 -1.14200548],-0.387318792798,-0.387318792798,"[ 1.04826093  1.6426751  -0.05172969  1.17161834 -1.43412363 -0.76795003
 -0.69928336 -0.15805671  2.92127566  1.1840384   0.        ]","[[ 0.00712534  0.04372434 -0.16583586 -0.08788355]
 [-3.95425619 -3.25184202  0.          0.        ]]",[-0.37466606 -0.35556328]
2,[-1.90277576 -1.17821109],[-1.94704137 -1.11493227],-0.378102151333,-0.378102151333,"[ 1.03939686  1.64155926 -0.22806808  0.90128394 -1.43412093 -0.76794928
 -1.1588914  -0.70919599  2.90304266  0.7961236   0.        ]","[[-0.11085035 -0.06037927 -0.16583586 -0.08788355]
 [-7.83041937 -7.14554456  0.          0.        ]]",[-0.37466606 -0.35556328]
3,[-1.32838202 -0.86753201],[-1.79360405 -0.52960846],-0.355146136685,-0.355146136685,"[ 0.98111965  1.60662427 -0.51294496  0.43650084 -1.43411824 -0.76794853
 -1.60943392 -1.24941932  2.74102928  0.17831127  0.        ]","[[ -0.30558177  -0.24158339  -0.16583586  -0.08788355]
 [-11.63014432 -10.96213599   0.           0.        ]]",[-0.37466606 -0.35556328]
4,[-0.53824872 -0.44546711],[-0.73595545  0.12327737],-0.310267699677,-0.310267699677,"[ 0.81467568  1.49905203 -0.87754946 -0.14090815 -1.43411555 -0.76794778
 -2.05122683 -1.51528654  2.29203712 -0.49656031  0.        ]","[[ -0.57556681  -0.47967236  -0.16583586  -0.08788355]
 [-15.35610752 -12.84046092   0.           0.        ]]",[-0.37466606 -0.35556328]
5,[ 0.53969932  0.32695562],[ 0.64163557 -0.2772323 ],-0.241905443612,-0.241905443612,"[ 0.48951794  1.31767989 -1.24370559 -0.67259354 -1.43411285 -0.76794703
 -2.36063153 -1.40998133  1.55493758 -0.91018424  0.        ]","[[ -0.90886953  -0.72901795  -0.16583586  -0.08788355]
 [-17.9655908  -12.0965166    0.           0.        ]]",[-0.37466606 -0.35556328]
6,[ 0.99410164  1.17296028],[ 0.58618792  1.48022545],-0.162270574295,-0.162270574295,"[ 0.07039769  1.07582933 -1.47837657 -1.09896784 -1.43411016 -0.76794628
 -2.01766263 -1.53146193  0.78372168 -0.84170111  0.        ]","[[ -1.23916053  -0.97955953  -0.16583586  -0.08788355]
 [-15.07316503 -12.95477822   0.           0.        ]]",[-0.37466606 -0.35556328]
7,[ 1.20689344  1.45457125],[ 0.87102617  2.00605706],-0.0920192130977,-0.0920192130977,"[-0.31996284  0.82988044 -1.5575933  -1.35996359 -1.43410747 -0.76794553
 -1.70760309 -0.93469005  0.25321392 -0.44980927  0.        ]","[[ -1.51438981  -1.19635361  -0.16583586  -0.08788355]
 [-12.45826187  -8.7386924    0.           0.        ]]",[-0.37466606 -0.35556328]
8,[ 1.07401299  1.28166401],[ 2.46364344  1.41976625],-0.0454981908885,-0.0454981908885,"[-0.6265963   0.66694288 -1.54185064 -1.4648109  -1.43410477 -0.76794478
 -1.26989582 -0.3497934  -0.01693528 -0.04577628  0.        ]","[[-1.72651931 -1.32966748 -0.16583586 -0.08788355]
 [-8.76679884 -4.60649755  0.          0.        ]]",[-0.37466606 -0.35556328]
9,[ 0.59663075  0.76218367],[ 0.88338041  0.77531053],-0.0279895051998,-0.0279895051998,"[-0.81582043  0.60238813 -1.49759577 -1.4933969  -1.43410208 -0.76794403
 -0.78023525  0.22348148 -0.13009614  0.20473873  0.        ]","[[-1.86042236 -1.38116127 -0.16583586 -0.08788355]
 [-4.6371664  -0.55640794  0.          0.        ]]",[-0.37466606 -0.35556328]
