timestep,avg_action_dist,actions,rewards,original_rewards,obs,human_obs,logstd_action_dist
0,[-0.63959599 -1.33071637],[-1.9879211  -2.15419163],-0.203923438561,-0.203923438561,"[ 1.04925908  2.07037037  0.01371882  0.74399929  0.14711212 -0.48838578
 -0.26406631  0.34670756  1.16259227  0.65861207  0.        ]","[[  6.26886753e-02  -7.45247756e-03   1.79690275e-02  -5.72943396e-02]
 [  5.42887291e-04  -6.63113583e-05   0.00000000e+00   0.00000000e+00]]",[-0.16253753 -0.21950513]
1,[-0.16928671 -1.09417665],[ 0.42477255 -0.78099057],-0.200240687694,-0.200240687694,"[ 1.05163813  2.06888845 -0.04699804  0.62395049  0.14711192 -0.48838499
 -0.63304809 -0.19326484  1.16485015  0.54997771  0.        ]","[[ 0.02302436 -0.04716619  0.01796903 -0.05729434]
 [-3.95381498 -3.95811817  0.          0.        ]]",[-0.16253753 -0.21950513]
2,[-0.04554622 -1.06819105],[-0.53736063 -1.1547424 ],-0.192574842532,-0.192574842532,"[ 1.05097362  2.05382226 -0.14109385  0.29495669  0.14711173 -0.4883842
 -0.46884943 -0.60454325  1.14931618  0.33757904  0.        ]","[[-0.03839631 -0.1565762   0.01796903 -0.05729434]
 [-2.19412171 -6.97283286  0.          0.        ]]",[-0.16253753 -0.21950513]
3,[ 0.47198528 -0.82655048],[-0.41383066 -1.21445287],-0.181139343905,-0.181139343905,"[ 1.04455206  1.99540723 -0.2400609  -0.22590775  0.14711153 -0.48838341
 -0.66303287 -1.12578022  1.08469706  0.06567586  0.        ]","[[ -0.10315802  -0.33436751   0.01796903  -0.05729434]
 [ -4.27517822 -10.79356676   0.           0.        ]]",[-0.16253753 -0.21950513]
4,[ 0.90557277 -0.54418278],[ 0.68496902 -0.95079086],-0.162547008014,-0.162547008014,"[ 1.02286909  1.84317641 -0.39303986 -0.91049608  0.14711133 -0.48838262
 -0.80782813 -1.63671875  0.90772452 -0.29121285  0.        ]","[[ -0.20422962  -0.58781647   0.01796903  -0.05729434]
 [ -5.82695117 -14.53884664   0.           0.        ]]",[-0.16253753 -0.21950513]
5,[ 1.00169671 -0.36422908],[-0.2876231  -0.19472517],-0.138626565898,-0.138626565898,"[ 0.99249173  1.54382511 -0.52398694 -1.62749908  0.14711114 -0.48838183
 -0.5442073  -2.11115501  0.61047983 -0.57389975  0.        ]","[[ -2.92421911e-01  -9.13487239e-01   1.79690275e-02  -5.72943396e-02]
 [ -3.00176795e+00  -1.80166220e+01   0.00000000e+00   0.00000000e+00]]",[-0.16253753 -0.21950513]
6,[ 1.14905775 -0.10693842],[ 2.03637101  1.27316317],-0.111039088059,-0.111039088059,"[ 0.96050436  1.10754817 -0.62677816 -2.1288697   0.14711094 -0.48838105
 -0.64501369 -2.16761795  0.2459114  -0.69101459  0.        ]","[[ -3.63295433e-01  -1.27797339e+00   1.79690275e-02  -5.72943396e-02]
 [ -4.08210977e+00  -1.84306208e+01   0.00000000e+00   0.00000000e+00]]",[-0.16253753 -0.21950513]
7,[ 0.97347659 -0.09603812],[ 2.8747979   1.10132325],-0.0862029260107,-0.0862029260107,"[ 0.93889938  0.67299693 -0.68524098 -2.25599298  0.14711075 -0.48838026
 -0.26842276 -1.57776057 -0.05252977 -0.63756121  0.        ]","[[ -0.40444797  -1.60320508   0.01796903  -0.05729434]
 [ -0.04624046 -14.10691941   0.           0.        ]]",[-0.16253753 -0.21950513]
8,[ 0.7189846  -0.16624331],[ 0.20420165  0.10374988],-0.0675775478699,-0.0675775478699,"[ 0.95931531  0.35319752 -0.63016898 -2.14636629  0.14711055 -0.48837947
  0.10088001 -0.99955207 -0.18192072 -0.51011621  0.        ]","[[-0.36566568 -1.84281913  0.01796903 -0.05729434]
 [ 3.91152337 -9.86856456  0.          0.        ]]",[-0.16253753 -0.21950513]
9,[ 0.59601802 -0.16719329],[ 1.23733119 -0.45636501],-0.0514608444401,-0.0514608444401,"[ 0.99735781  0.11196054 -0.50587512 -1.9387423   0.14711036 -0.48837868
  0.16906813 -0.91685211 -0.22811502 -0.37724656  0.        ]","[[-0.28010351 -2.03410841  0.01796903 -0.05729434]
 [ 4.64228666 -9.26237487  0.          0.        ]]",[-0.16253753 -0.21950513]
10,[ 0.24051841 -0.30726546],[-0.0979607   0.39707669],-0.0330940150527,-0.0330940150527,"[ 1.03656653 -0.11817172 -0.30891643 -1.61343634  0.14711016 -0.48837789
  0.52988551 -1.13835708 -0.24791781 -0.22095807  0.        ]","[[ -0.14846145  -2.23564751   0.01796903  -0.05729434]
 [  8.50911207 -10.88607138   0.           0.        ]]",[-0.16253753 -0.21950513]
11,[ 0.0856941  -0.31958216],[-0.15190694 -0.12199489],-0.0138232062362,-0.0138232062362,"[ 1.05180067 -0.31295948 -0.05753215 -1.19583795  0.14710996 -0.48837711
  0.47799713 -0.89443144 -0.2591719  -0.05597828  0.        ]","[[ 0.01614162 -2.43542916  0.01796903 -0.05729434]
 [ 7.9530422  -9.0980669   0.          0.        ]]",[-0.16253753 -0.21950513]
12,[-0.00851158 -0.3137303 ],[-0.60226165  0.19999019],-0.00591057717052,-0.00591057717052,"[ 1.03234119 -0.45694774  0.17333246 -0.73910969  0.14710977 -0.48837632
  0.40720176 -0.93573605 -0.28713875  0.09709996  0.        ]","[[ 0.16759044 -2.62042832  0.01796903 -0.05729434]
 [ 7.19434885 -9.400854    0.          0.        ]]",[-0.16253753 -0.21950513]
13,[ 0.00308102 -0.24986176],[ 0.94449101  0.01937543],-0.0235132776097,-0.0235132776097,"[ 0.99498865 -0.55781395  0.35020562 -0.25037305  0.14710957 -0.48837553
  0.17142337 -0.80231362 -0.33657728  0.24039049  0.        ]","[[ 0.28612563 -2.79863262  0.01796903 -0.05729434]
 [ 4.66756379 -8.42285609  0.          0.        ]]",[-0.16253753 -0.21950513]
