timestep,avg_action_dist,actions,rewards,original_rewards,obs,human_obs,logstd_action_dist
32,[-0.30836153 -0.95119256],[-0.44020997 -1.33874169],-0.0112491002199,-0.0112491002199,"[-1.13224543 -1.01392874  1.16095808 -0.08551604  0.37820562  0.24466407
 -0.15276542  0.81942927 -0.35876955  0.27932773  0.        ]","[[ 2.18055619 -2.57560179  0.04448715  0.0283987 ]
 [ 0.27306679  3.3898734   0.          0.        ]]",[-0.72691137 -0.7256999 ]
33,[ 0.71264136 -0.07976586],[ 0.6786898   0.53343293],-0.0135670253881,-0.0135670253881,"[-1.11809096 -0.9943416   1.17111912 -0.14354356  0.37820547  0.24466398
 -0.39402298  0.18472859 -0.34237285  0.30950357  0.        ]","[[ 2.1684767  -2.54820569  0.04448715  0.0283987 ]
 [-1.47518196 -0.63684108  0.          0.        ]]",[-0.72691137 -0.7256999 ]
34,[-0.52476484 -0.67405015],[-0.91670622 -0.53141218],-0.0143837201753,-0.0143837201753,"[-1.11543896 -0.98803754  1.17299255 -0.16150463  0.37820532  0.24466389
 -0.01919421  0.51964569 -0.33792959  0.3198503   0.        ]","[[ 2.16622516 -2.53962362  0.04448715  0.0283987 ]
 [ 1.24097447  1.48796544  0.          0.        ]]",[-0.72691137 -0.7256999 ]
35,[ 1.09681273 -0.02090574],[ 0.58931452 -0.46916658],-0.0148151828718,-0.0148151828718,"[-1.10143001 -0.98182663  1.18274622 -0.17888213  0.37820517  0.2446638
 -0.52342007  0.18333407 -0.32945537  0.32393574  0.        ]","[[ 2.15438468 -2.53127196  0.04448715  0.0283987 ]
 [-2.41284454 -0.64568589  0.          0.        ]]",[-0.72691137 -0.7256999 ]
36,[ 0.29694608  0.20468301],[-0.00696046  0.54299863],-0.0105052169476,-0.0105052169476,"[-1.07225492 -1.0048014   1.20227444 -0.11298079  0.37820501  0.24466371
 -0.19486534 -0.1074637  -0.33313255  0.2658739   0.        ]","[[ 2.13001546 -2.56269615  0.04448715  0.0283987 ]
 [-0.03200986 -2.49058511  0.          0.        ]]",[-0.72691137 -0.7256999 ]
37,[ 0.15056404 -0.12371631],[-0.22476191 -0.38155523],-0.0075216203344,-0.0075216203344,"[-1.07115571 -1.02419     1.20298842 -0.05365666  0.37820486  0.24466362
 -0.19857773  0.23920495 -0.34606249  0.22834064  0.        ]","[[ 2.12910531 -2.59044096  0.04448715  0.0283987 ]
 [-0.05891183 -0.29122648  0.          0.        ]]",[-0.72691137 -0.7256999 ]
38,[ 0.66935539  0.24559861],[ 0.4705563  -0.26626494],-0.00496145396274,-0.00496145396274,"[-1.05893034 -1.0382473   1.21084788 -0.00823676  0.37820471  0.24466353
 -0.32121901  0.00197529 -0.35316328  0.19478043  0.        ]","[[ 2.11901043 -2.61136613  0.04448715  0.0283987 ]
 [-0.94761848 -1.79627402  0.          0.        ]]",[-0.72691137 -0.7256999 ]
39,[ 0.06251658  0.42109367],[-0.23729835  0.64675141],-0.00223233298176,-0.00223233298176,"[-1.05884127 -1.06749792  1.21090295  0.09388097  0.37820456  0.24466344
 -0.06154409 -0.15859532 -0.37828403  0.13542948  0.        ]","[[ 2.11893776 -2.6575126   0.04448715  0.0283987 ]
 [ 0.93408488 -2.81497631  0.          0.        ]]",[-0.72691137 -0.7256999 ]
40,[ 0.24339011  0.10244934],[-0.02493675 -0.48448711],-0.00456667112255,-0.00456667112255,"[-1.06982853 -1.08522457  1.20384576  0.16173338  0.37820441  0.24466335
 -0.193738    0.25383704 -0.39815759  0.10259489  0.        ]","[[ 2.12800825 -2.68755913  0.04448715  0.0283987 ]
 [-0.02384276 -0.19839786  0.          0.        ]]",[-0.72691137 -0.7256999 ]
41,[ 0.40132427  0.45235106],[ 0.48109982  0.86211458],-0.00685873822309,-0.00685873822309,"[-1.0680594  -1.09817511  1.20498998  0.2147589   0.37820426  0.24466326
 -0.20730415 -0.04792302 -0.41163864  0.07305198  0.        ]","[[ 2.12654508 -2.71073532  0.04448715  0.0283987 ]
 [-0.12214874 -2.1128414   0.          0.        ]]",[-0.72691137 -0.7256999 ]
42,[-0.43103036 -0.17431113],[-0.32501779 -0.17206489],-0.00759806723531,-0.00759806723531,"[-1.08813685 -1.10227581  1.19176351  0.2322414   0.37820411  0.24466317
  0.05589725  0.49674279 -0.42031374  0.07228937  0.        ]","[[ 2.14323822 -2.718322    0.04448715  0.0283987 ]
 [ 1.78510712  1.3426588   0.          0.        ]]",[-0.72691137 -0.7256999 ]
43,[-0.003181  -0.0747381],[ 0.4392718   0.31544544],-0.00596215723658,-0.00596215723658,"[-1.11478288 -1.09145505  1.17344069  0.18685629  0.37820396  0.24466308
 -0.12656018  0.38515838 -0.41458822  0.10870426  0.        ]","[[ 2.16567473 -2.6985716   0.04448715  0.0283987 ]
 [ 0.46295254  0.63474001  0.          0.        ]]",[-0.72691137 -0.7256999 ]
44,[-0.70648468 -0.46378177],[ 0.22671432 -1.70542131],-0.00557067442593,-0.00557067442593,"[-1.14587167 -1.07703981  1.15090397  0.12978879  0.37820381  0.24466299
  0.11217859  0.58006083 -0.40878079  0.15503794  0.        ]","[[ 2.19229138 -2.67347048  0.04448715  0.0283987 ]
 [ 2.19294199  1.87125186  0.          0.        ]]",[-0.72691137 -0.7256999 ]
45,[-0.74578577  0.15540111],[-0.56757309 -0.70733687],-0.00791221152516,-0.00791221152516,"[-1.20537208 -1.07860975  1.10403269  0.13583491  0.37820365  0.2446629
  0.2300433  -0.04989574 -0.42655267  0.17856146  0.        ]","[[ 2.24471953 -2.67614467  0.04448715  0.0283987 ]
 [ 3.0470335  -2.12535023  0.          0.        ]]",[-0.72691137 -0.7256999 ]
46,[ 0.32970282  0.4101727 ],[ 0.85575811  0.54795181],-0.0115758337405,-0.0115758337405,"[-1.24675368 -1.11681977  1.06826769  0.29729509  0.3782035   0.2446628
 -0.0883913  -0.48473594 -0.47128191  0.10301666  0.        ]","[[ 2.28250853 -2.74633092  0.04448715  0.0283987 ]
 [ 0.73954023 -4.88408553  0.          0.        ]]",[-0.72691137 -0.7256999 ]
47,[-1.02231002  0.06985008],[-1.26677293  0.87293914],-0.0180859701469,-0.0180859701469,"[-1.29805476 -1.15106652  1.0198837   0.47497332  0.37820335  0.24466271
  0.37715974 -0.12748689 -0.52086307  0.02462357  0.        ]","[[ 2.33114711 -2.8212724   0.04448715  0.0283987 ]
 [ 4.11309242 -2.61760989  0.          0.        ]]",[-0.72691137 -0.7256999 ]
48,[ 0.02514306 -0.02059085],[ 0.60994656  0.41919025],-0.019872744169,-0.019872744169,"[-1.3402162  -1.15793271  0.97635188  0.51630842  0.3782032   0.24466262
 -0.18043328  0.42548137 -0.53815383  0.0174058   0.        ]","[[ 2.37286916 -2.83842598  0.04448715  0.0283987 ]
 [ 0.07257262  0.89055669  0.          0.        ]]",[-0.72691137 -0.7256999 ]
49,[-0.92687786 -0.54324549],[-1.03089425 -0.64618061],-0.0175497645436,-0.0175497645436,"[-1.36527298 -1.14384099  0.94867533  0.43391638  0.37820305  0.24466253
  0.15263353  0.68434184 -0.5278743   0.07260476  0.        ]","[[ 2.39853633 -2.80413736  0.04448715  0.0283987 ]
 [ 2.48609396  2.5328324   0.          0.        ]]",[-0.72691137 -0.7256999 ]
