timestep,avg_action_dist,actions,rewards,original_rewards,obs,human_obs,logstd_action_dist
0,[-2.49658251 -2.01115656],[-3.4073481 -2.5044051],-0.121156321179,-0.121156321179,"[ 1.08387314  1.45609656  0.01079178  1.34536645  1.44628256 -0.85700199
 -0.2075858   0.28863976  0.03447981  1.5621657   0.        ]","[[ 0.04592854  0.05208589  0.16822255 -0.09860066]
 [-0.00432609  0.00451969  0.          0.        ]]",[-0.62635171 -0.58973902]
1,[-0.47226542 -0.83697313],[-0.41138308 -0.87188264],-0.109542740172,-0.109542740172,"[ 1.08535232  1.45774353 -0.04838058  1.24461957  1.44628068 -0.85700137
 -0.72278853 -0.31027178  0.04037563  1.40336407  0.        ]","[[ 0.00616781  0.01246297  0.16822255 -0.09860066]
 [-3.95858493 -3.95362482  0.          0.        ]]",[-0.62635171 -0.58973902]
2,[ 1.25936258  0.31586069],[ 0.1351767   1.03447144],-0.0795541557903,-0.0795541557903,"[ 1.07978021  1.45133978 -0.18920068  0.9577719   1.4462788  -0.85700074
 -0.92445123 -0.82070733  0.01795394  1.00054283  0.        ]","[[-0.08853323 -0.10045613  0.16822255 -0.09860066]
 [-5.50638056 -7.32704238  0.          0.        ]]",[-0.62635171 -0.58973902]
3,[ 1.4332726  -0.08192562],[ 0.87586743  0.51189698],-0.0483777252628,-0.0483777252628,"[ 1.0590516   1.43062016 -0.34198312  0.69298478  1.44627691 -0.85700011
 -0.8408006  -0.19966229 -0.05996132  0.59693066  0.        ]","[[-0.19221933 -0.20581602  0.16822255 -0.09860066]
 [-4.86435468 -3.22262357  0.          0.        ]]",[-0.62635171 -0.58973902]
4,[ 0.39776698 -0.61974245],[ 0.10173188 -0.96581272],-0.0322580070448,-0.0322580070448,"[ 1.03959108  1.41796572 -0.4313596   0.5852041   1.44627503 -0.85699949
 -0.37693102  0.11648033 -0.12150773  0.39157765  0.        ]","[[-0.25378537 -0.24930537  0.16822255 -0.09860066]
 [-1.30409144 -1.13327169  0.          0.        ]]",[-0.62635171 -0.58973902]
5,[ 0.95816356  0.32792825],[ 0.92332078  0.5009852 ],-0.0223422593648,-0.0223422593648,"[ 1.03144976  1.39631482 -0.46264279  0.43652879  1.44627315 -0.85699886
 -0.32094984 -0.45879717 -0.17225214  0.26807141  0.        ]","[[-0.27555614 -0.31011697  0.16822255 -0.09860066]
 [-0.87442928 -4.93521685  0.          0.        ]]",[-0.62635171 -0.58973902]
6,[-0.59032828 -0.28146294],[-0.96259649 -1.16853127],-0.0179683714772,-0.0179683714772,"[ 1.03870733  1.36199155 -0.43488291  0.25049595  1.44627127 -0.85699824
  0.15710641 -0.14406454 -0.20313477  0.22554869  0.        ]","[[-0.25623129 -0.38795177  0.16822255 -0.09860066]
 [ 2.79471791 -2.8551858   0.          0.        ]]",[-0.62635171 -0.58973902]
7,[ 1.34726059  1.0253284 ],[ 1.69450614  0.83270822],-0.0115910295963,-0.0115910295963,"[ 1.04471452  1.30957782 -0.41013352  0.02862779  1.44626939 -0.85699761
 -0.34606985 -0.73442655 -0.25195205  0.16203068  0.        ]","[[-0.23908454 -0.48420175  0.16822255 -0.09860066]
 [-1.0672279  -6.75682146  0.          0.        ]]",[-0.62635171 -0.58973902]
8,[-0.401575    0.25322986],[-0.53237699  0.72866322],-0.00613837179147,-0.00613837179147,"[ 1.05075262  1.2434208  -0.38324652 -0.19178782  1.4462675  -0.85699699
  0.17196293 -0.21549768 -0.30815933  0.10286978  0.        ]","[[-0.22053751 -0.58492866  0.16822255 -0.09860066]
 [ 2.90874154 -3.32728339  0.          0.        ]]",[-0.62635171 -0.58973902]
9,[-0.10651655 -0.15820625],[-0.29252598 -0.21410287],-0.00632484805986,-0.00632484805986,"[ 1.06122165  1.21639556 -0.33008082 -0.26914369  1.44626562 -0.85699636
 -0.11008317  0.23115045 -0.30144218  0.1471828   0.        ]","[[-0.18408216 -0.62185744  0.16822255 -0.09860066]
 [ 0.74400164 -0.3754399   0.          0.        ]]",[-0.62635171 -0.58973902]
10,[ 0.44120967  0.1738372 ],[ 0.29164004  1.1300615 ],-0.00529705091266,-0.00529705091266,"[ 1.06203118  1.20428886 -0.32550708 -0.30190706  1.44626374 -0.85699573
 -0.26274779  0.10406073 -0.31073805  0.13889911  0.        ]","[[-0.18095831 -0.63779341  0.16822255 -0.09860066]
 [-0.42771907 -1.21535968  0.          0.        ]]",[-0.62635171 -0.58973902]
