timestep,avg_action_dist,actions,rewards,original_rewards,obs,human_obs,logstd_action_dist
0,[ 2.22146988 -0.08034666],[ 3.02752448  0.21076937],-0.0860071808521,-0.0860071808521,"[ 1.07672318  1.44023181 -0.18275209  1.16785173  1.60103618  0.5297149
 -0.19070464  0.28588707 -0.14820923 -0.87242568  0.        ]","[[ -8.90357014e-02  -2.17008969e-02   1.85861785e-01   6.18078583e-02]
 [  4.66880236e-03  -6.68449624e-05   0.00000000e+00   0.00000000e+00]]",[-0.64343715 -0.61758423]
1,[ 0.68854606 -0.67438006],[ 0.43468915 -1.81882785],-0.0773688566123,-0.0773688566123,"[ 1.0806634   1.44041922 -0.12375843  1.18903493  1.60103382  0.52971462
  0.34206356  0.41248761 -0.14110984 -0.75635607  0.        ]","[[-0.049256   -0.01334425  0.18586178  0.06180786]
 [ 3.96013177  0.83296064  0.          0.        ]]",[-0.64343715 -0.61758423]
2,[ 0.15355754 -0.2930007 ],[-0.58394391 -0.09174768],-0.0610126799143,-0.0610126799143,"[ 1.08085629  1.43966764  0.01843854  1.13012894  1.60103146  0.52971434
  0.56333367 -0.19188015 -0.138941   -0.53608213  0.        ]","[[ 0.04642928 -0.03658473  0.18586178  0.06180786]
 [ 5.60292193 -3.1437527   0.          0.        ]]",[-0.64343715 -0.61758423]
3,[ 0.82637268 -0.06962229],[ 0.96476306 -0.57118757],-0.0505642240004,-0.0505642240004,"[ 1.0695065   1.43375121  0.14835012  0.96351253  1.6010291   0.52971406
  0.23728296 -0.23748831 -0.14709327 -0.3960408   0.        ]","[[ 0.13419998 -0.10247075  0.18586178  0.06180786]
 [ 3.18220715 -3.4438529   0.          0.        ]]",[-0.64343715 -0.61758423]
4,[-0.62496275 -0.0608853 ],[-0.32870948  0.28264109],-0.0399762962199,-0.0399762962199,"[ 1.04281161  1.41644097  0.29633903  0.73563805  1.60102674  0.52971378
  0.74297297 -0.57106429 -0.1655283  -0.2566578   0.        ]","[[ 0.23551331 -0.19337024  0.18586178  0.06180786]
 [ 6.93663041 -5.63876818  0.          0.        ]]",[-0.64343715 -0.61758423]
5,[-0.64233726 -0.13927978],[-1.52959933 -0.55765517],-0.0260778309348,-0.0260778309348,"[ 0.99056169  1.3851509   0.47289745  0.48864801  1.60102438  0.5297135
  0.54928752 -0.38392486 -0.20220237 -0.07446328  0.        ]","[[ 0.35981818 -0.29379086  0.18586178  0.06180786]
 [ 5.49864426 -4.40740164  0.          0.        ]]",[-0.64343715 -0.61758423]
6,[ 0.94101942  0.71888238],[ 1.60433043  2.412456  ],-0.0229727504944,-0.0229727504944,"[ 0.952435    1.33688565  0.56785419  0.2280486   1.60102202  0.52971321
  0.00190718 -0.70600679 -0.22599366 -0.04968226  0.        ]","[[ 0.42901663 -0.40320221  0.18586178  0.06180786]
 [ 1.43470284 -6.52668618  0.          0.        ]]",[-0.64343715 -0.61758423]
7,[-1.07564247 -0.25346619],[-1.13491237  0.11052283],-0.0181927748187,-0.0181927748187,"[ 0.90882751  1.28678673  0.65839806  0.02353151  1.60101966  0.52971293
  0.53073394 -0.08481738 -0.25508839 -0.00290838  0.        ]","[[ 0.49710299 -0.49272599  0.18586178  0.06180786]
 [ 5.36089647 -2.43929463  0.          0.        ]]",[-0.64343715 -0.61758423]
8,[ 0.07796291  0.00953525],[ 0.07030299 -0.69699851],-0.0101942094702,-0.0101942094702,"[ 0.86062659  1.25886163  0.74361344 -0.07333685  1.6010173   0.52971265
 -0.01642514 -0.01074302 -0.28803935  0.10038417  0.        ]","[[ 0.56356281 -0.53662142  0.18586178  0.06180786]
 [ 1.29860067 -1.95188966  0.          0.        ]]",[-0.64343715 -0.61758423]
9,[ 0.25180838  0.54616469],[-0.20254952  0.66627644],-0.0101158023142,-0.0101158023142,"[ 0.83829148  1.21261557  0.77912118 -0.21494052  1.60101494  0.52971237
  0.01770576 -0.42431322 -0.30279197  0.07809578  0.        ]","[[ 0.59207736 -0.60296259  0.18586178  0.06180786]
 [ 1.55200007 -4.67315772  0.          0.        ]]",[-0.64343715 -0.61758423]
10,[ 0.30752605  0.29212117],[ 0.47635633  0.88304462],-0.0115799987384,-0.0115799987384,"[ 0.81983271  1.16190992  0.80688597 -0.34966372  1.60101258  0.52971209
 -0.09449018 -0.00926525 -0.31676817  0.04162676  0.        ]","[[ 0.61475974 -0.66902481  0.18586178  0.06180786]
 [ 0.71901949 -1.94216837  0.          0.        ]]",[-0.64343715 -0.61758423]
11,[-0.85133606 -0.53961962],[-0.9520555  -1.09809558],-0.00565950986756,-0.00565950986756,"[ 0.79178803  1.15919167  0.84664796 -0.35638182  1.60101023  0.52971181
  0.15727093  0.5278699  -0.33445617  0.11627798  0.        ]","[[ 0.64789396 -0.67240728  0.18586178  0.06180786]
 [ 2.5881781   1.5921474   0.          0.        ]]",[-0.64343715 -0.61758423]
12,[ 0.81027144  0.50248498],[ 0.30204815  1.19348509],-0.00392906431822,-0.00392906431822,"[ 0.78002399  1.15256534  0.86253562 -0.37256966  1.60100787  0.52971153
 -0.35677063 -0.0784893  -0.34229155  0.13710531  0.        ]","[[ 0.66136636 -0.68059525  0.18586178  0.06180786]
 [-1.22823687 -2.39765519  0.          0.        ]]",[-0.64343715 -0.61758423]
13,[ 0.09641658 -0.30044761],[ 0.2033852   0.01677634],-0.00680269088405,-0.00680269088405,"[ 0.79081059  1.14622881  0.84798248 -0.3877992   1.60100551  0.52971125
 -0.19272613  0.53042965 -0.33562106  0.09694936  0.        ]","[[ 0.64902127 -0.68834838  0.18586178  0.06180786]
 [-0.01031759  1.60899034  0.          0.        ]]",[-0.64343715 -0.61758423]
14,[-0.32744616 -0.45866495],[-0.39463888 -0.80908186],-0.00338617170837,-0.00338617170837,"[ 0.7839544   1.172398    0.85727357 -0.32327302  1.60100315  0.52971097
 -0.08432233  0.53564204 -0.33942846  0.16063439  0.        ]","[[ 0.65688999 -0.65582444  0.18586178  0.06180786]
 [ 0.79450707  1.64328937  0.          0.        ]]",[-0.64343715 -0.61758423]
15,[ 0.5340389   0.25233001],[ 0.32418753  0.86861201],-0.00336977006518,-0.00336977006518,"[ 0.78388487  1.1727134   0.85736571 -0.32246545  1.60100079  0.52971069
 -0.29658283  0.0439006  -0.33948151  0.16141937  0.        ]","[[ 0.65696878 -0.65542269  0.18586178  0.06180786]
 [-0.78138393 -1.59233258  0.          0.        ]]",[-0.64343715 -0.61758423]
16,[-0.24515209 -0.4898217 ],[ 0.03866634 -0.46909395],-0.00355961001944,-0.00355961001944,"[ 0.78617183  1.17504981  0.85428212 -0.31648202  1.60099843  0.52971041
 -0.1219098   0.5713269  -0.33792972  0.15924004  0.        ]","[[ 0.65435253 -0.65244943  0.18586178  0.06180786]
 [ 0.51544376  1.87809383  0.          0.        ]]",[-0.64343715 -0.61758423]
17,[-0.23874727 -0.24374452],[-0.83835701 -1.09973936],-0.00444489783873,-0.00444489783873,"[ 0.77583891  1.18942845  0.86807632 -0.27884269  1.60099607  0.52971013
 -0.10259165  0.28338267 -0.34546243  0.21280499  0.        ]","[[ 0.66610041 -0.6338972   0.18586178  0.06180786]
 [ 0.6588675  -0.01655561  0.          0.        ]]",[-0.64343715 -0.61758423]
