timestep,avg_action_dist,actions,rewards,original_rewards,obs,human_obs,logstd_action_dist
0,[-1.36326361 -1.71693492],[-1.82209489 -2.0360141 ],-0.419174706053,-0.419174706053,"[ 1.07141412  2.02013638 -0.04390558  0.86849809 -1.36073377 -1.70180165
 -0.20261909  0.3427791   2.39300169  1.72314735  0.        ]","[[  6.51501503e-03   5.15365289e-02  -1.56529702e-01  -1.96683787e-01]
 [  4.13223120e-03   2.94112932e-05   0.00000000e+00   0.00000000e+00]]",[-0.09639724 -0.2139276 ]
1,[-1.20167899 -1.61145759],[-0.72163085 -1.57732097],-0.413259821078,-0.413259821078,"[ 1.07067874  2.02179856 -0.10433275  0.75173763 -1.36072717 -1.70179037
 -0.55866187 -0.19852031  2.39375255  1.6185217   0.        ]","[[-0.03307823  0.0118247  -0.1565297  -0.19668379]
 [-3.95029393 -3.95802611  0.          0.        ]]",[-0.09639724 -0.2139276 ]
2,[-0.97678906 -1.51120365],[-0.75698146 -3.13477243],-0.394373031808,-0.394373031808,"[ 1.0578393   2.01434162 -0.26674347  0.40492305 -1.36072057 -1.70177909
 -0.80851856 -0.72916403  2.36336177  1.32867248  0.        ]","[[-0.13992703 -0.10626658 -0.1565297  -0.19668379]
 [-6.72536553 -7.83817078  0.          0.        ]]",[-0.09639724 -0.2139276 ]
3,[-0.51830512 -1.34019053],[-1.91376229 -0.89825263],-0.358029399196,-0.358029399196,"[ 1.00800587  1.96174472 -0.50950756 -0.15575653 -1.36071397 -1.70176781
 -1.06604786 -1.2492887   2.22105276  0.90273464  0.        ]","[[ -0.30313179  -0.30118934  -0.1565297   -0.19668379]
 [ -9.58566944 -11.64142168   0.           0.        ]]",[-0.09639724 -0.2139276 ]
4,[ 0.10096985 -1.04678142],[ 0.8582868  -0.78853348],-0.296466840391,-0.296466840391,"[ 0.87872377  1.81260919 -0.8289743  -0.86403888 -1.36070737 -1.70175654
 -1.40512955 -1.70394739  1.86137331  0.43666226  0.        ]","[[ -0.5326295   -0.5673749   -0.1565297   -0.19668379]
 [-13.35177549 -14.96602401   0.           0.        ]]",[-0.09639724 -0.2139276 ]
5,[ 0.19813192 -0.86083603],[ 1.36820709 -1.32315945],-0.219963851435,-0.219963851435,"[ 0.68580519  1.52169952 -1.10870489 -1.57837861 -1.36070077 -1.70174526
 -1.07569333 -2.09051956  1.33283628  0.19001831  0.        ]","[[ -0.76295356  -0.89505787  -0.1565297   -0.19668379]
 [ -9.69291407 -17.79283547   0.           0.        ]]",[-0.09639724 -0.2139276 ]
6,[ 0.18572006 -0.69456989],[ 0.81522609 -1.10082894],-0.155213012961,-0.155213012961,"[ 0.5283715   1.06020956 -1.26382812 -2.10725952 -1.36069417 -1.70173398
 -0.7023139  -2.58394023  0.85238378  0.27780998  0.        ]","[[ -0.91520372  -1.28711738  -0.1565297   -0.19668379]
 [ -5.54596929 -21.40106649   0.           0.        ]]",[-0.09639724 -0.2139276 ]
7,[ 0.22008047 -0.55190158],[-0.27722532 -1.40115769],-0.130347544967,-0.130347544967,"[ 0.44048073  0.4476076  -1.3322137  -2.17737893 -1.36068757 -1.70172271
 -0.40216853 -3.06751693  0.54422836  0.62154535  0.        ]","[[ -0.99267644  -1.75062131  -0.1565297   -0.19668379]
 [ -2.21239565 -24.9375011    0.           0.        ]]",[-0.09639724 -0.2139276 ]
8,[ 0.33190399 -0.43310577],[ 0.73684466 -0.19671878],-0.163766359078,-0.163766359078,"[ 0.37546792 -0.18738146 -1.37601146 -1.50752777 -1.36068097 -1.70171143
 -0.49729948 -3.54139477  0.46279265  1.12158191  0.        ]","[[ -1.0475242   -2.2841443   -0.1565297   -0.19668379]
 [ -3.2689834  -28.40326396   0.           0.        ]]",[-0.09639724 -0.2139276 ]
9,[ 0.25822979 -0.42262113],[ 0.18836233  0.38615607],-0.22567278469,-0.22567278469,"[ 0.3322769  -0.59422984 -1.40223555 -0.11636876 -1.36067437 -1.70170016
 -0.22901138 -3.57092672  0.66415821  1.58456931  0.        ]","[[ -1.08301154  -2.85438271  -0.1565297   -0.19668379]
 [ -0.28923818 -28.61982729   0.           0.        ]]",[-0.09639724 -0.2139276 ]
