timestep,avg_action_dist,actions,rewards,original_rewards,obs,human_obs,logstd_action_dist
0,[-1.8721503  -1.61167645],[-1.85213069 -0.95863164],-0.259161241771,-0.259161241771,"[  1.04270179e+00   2.04276775e+00  -4.73695485e-02   8.59141890e-01
  -6.44086533e-05  -1.25794089e+00  -2.75577958e-01   3.41431211e-01
   1.31100030e+00   1.43789269e+00   0.00000000e+00]","[[ 0.02831389  0.01794108  0.00081694 -0.14529164]
 [ 0.00251954  0.00478369  0.          0.        ]]",[-0.19589521 -0.22200555]
1,[-1.32691562 -1.2665    ],[-1.14470089 -1.07966539],-0.252059454807,-0.252059454807,"[  1.04317433e+00   2.04270240e+00  -1.08083144e-01   7.45809943e-01
  -6.44085814e-05  -1.25793727e+00  -6.57162662e-01  -1.73534962e-01
   1.31173638e+00   1.32716015e+00   0.00000000e+00]","[[ -1.13119139e-02  -2.00331168e-02   8.16940954e-04  -1.45291642e-01]
 [ -3.95193850e+00  -3.78956293e+00   0.00000000e+00   0.00000000e+00]]",[-0.19589521 -0.22200555]
2,[-0.40186363 -0.79813677],[-1.2462188   0.91075957],-0.229325110548,-0.229325110548,"[  1.03150152e+00   2.03072971e+00  -2.88240557e-01   4.04536703e-01
  -6.44085096e-05  -1.25793364e+00  -1.03119977e+00  -7.00539231e-01
   1.27691165e+00   9.99008593e-01   0.00000000e+00]","[[ -1.29242018e-01  -1.34784260e-01   8.16940954e-04  -1.45291642e-01]
 [ -7.82819038e+00  -7.67261091e+00   0.00000000e+00   0.00000000e+00]]",[-0.19589521 -0.22200555]
3,[ 0.3039639 -0.6215052],[ 0.78266222 -0.8800649 ],-0.193905115278,-0.193905115278,"[  9.69908969e-01   2.00085257e+00  -5.78524351e-01   6.57075183e-02
  -6.44084377e-05  -1.25793002e+00  -1.39813102e+00  -1.90277079e-01
   1.13856453e+00   5.55636039e-01   0.00000000e+00]","[[ -3.23958797e-01  -2.50514509e-01   8.16940954e-04  -1.45291642e-01]
 [ -1.16308262e+01  -3.91293348e+00   0.00000000e+00   0.00000000e+00]]",[-0.19589521 -0.22200555]
4,[ 0.55791986 -0.40203702],[ 0.64555205  0.41141545],-0.155697117126,-0.155697117126,"[  8.54624478e-01   1.95507132e+00  -8.56373333e-01  -2.54092686e-01
  -6.44083658e-05  -1.25792640e+00  -1.07705727e+00  -6.52857471e-01
   9.03433379e-01   1.69358882e-01   0.00000000e+00]","[[ -5.23190933e-01  -3.62970363e-01   8.16940954e-04  -1.45291642e-01]
 [ -8.30349268e+00  -7.32129100e+00   0.00000000e+00   0.00000000e+00]]",[-0.19589521 -0.22200555]
5,[ 0.60958338 -0.39742982],[-0.2837037 -0.8182004],-0.123766329585,-0.123766329585,"[  7.45388851e-01   1.88321964e+00  -1.03266304e+00  -6.03260695e-01
  -6.44082940e-05  -1.25792277e+00  -8.14860924e-01  -4.12216369e-01
   6.54755100e-01  -6.87470201e-02   0.00000000e+00]","[[ -6.61998758e-01  -4.91606421e-01   8.16940954e-04  -1.45291642e-01]
 [ -5.58630748e+00  -5.54822252e+00   0.00000000e+00   0.00000000e+00]]",[-0.19589521 -0.22200555]
6,[ 0.93328047  0.01181845],[-0.19231669  1.01056709],-0.0931972282726,-0.0931972282726,"[  6.31762782e-01   1.78086003e+00  -1.17260801e+00  -9.62321758e-01
  -6.44082221e-05  -1.25791915e+00  -9.12423550e-01  -8.36943331e-01
   3.82343896e-01  -2.21942546e-01   0.00000000e+00]","[[ -7.83868726e-01  -6.33969688e-01   8.16940954e-04  -1.45291642e-01]
 [ -6.59739032e+00  -8.67767041e+00   0.00000000e+00   0.00000000e+00]]",[-0.19589521 -0.22200555]
7,[ 1.09418511  0.12218925],[ 0.59276454 -2.11901466],-0.0639204239367,-0.0639204239367,"[  4.84986382e-01   1.66616624e+00  -1.31186798e+00  -1.26364209e+00
  -6.44081503e-05  -1.25791552e+00  -9.73417776e-01  -2.76183959e-01
   7.80675559e-02  -3.07181395e-01   0.00000000e+00]","[[ -9.22159291e-01  -7.66068100e-01   8.16940954e-04  -1.45291642e-01]
 [ -7.22950903e+00  -4.54593590e+00   0.00000000e+00   0.00000000e+00]]",[-0.19589521 -0.22200555]
8,[ 1.10467935  0.38757324],[ 0.90030077  1.99856706],-0.0448967453415,-0.0448967453415,"[  3.44801500e-01   1.53701407e+00  -1.41360049e+00  -1.52453157e+00
  -6.44080784e-05  -1.25791190e+00  -7.33231130e-01  -8.01455414e-01
  -1.99181250e-01  -3.07898429e-01   0.00000000e+00]","[[ -1.04177521e+00  -8.95818430e-01   8.16940954e-04  -1.45291642e-01]
 [ -4.74041428e+00  -8.41620079e+00   0.00000000e+00   0.00000000e+00]]",[-0.19589521 -0.22200555]
9,[ 0.88061714  0.22579497],[ 1.28508192 -0.26685367],-0.0397250745821,-0.0397250745821,"[  2.72856292e-01   1.39693943e+00  -1.45629994e+00  -1.74187728e+00
  -6.44080066e-05  -1.25790828e+00  -3.80596135e-01  -2.41586395e-01
  -3.76373327e-01  -2.52684871e-01   0.00000000e+00]","[[ -1.09991868e+00  -1.02275333e+00   8.16940954e-04  -1.45291642e-01]
 [ -1.08598610e+00  -4.29103206e+00   0.00000000e+00   0.00000000e+00]]",[-0.19589521 -0.22200555]
10,[ 0.58495188  0.14613652],[ 0.86383095 -0.25510074],-0.036929737195,-0.036929737195,"[  2.95616474e-01   1.28387250e+00  -1.44341952e+00  -1.87864469e+00
  -6.44079347e-05  -1.25790465e+00   3.30708926e-03  -3.73609803e-01
  -4.17790103e-01  -2.03237376e-01   0.00000000e+00]","[[ -1.08172161e+00  -1.11833424e+00   8.16940954e-04  -1.45291642e-01]
 [  2.89248282e+00  -5.26379619e+00   0.00000000e+00   0.00000000e+00]]",[-0.19589521 -0.22200555]
11,[ 0.25353694  0.03953531],[-0.02689386 -1.67223289],-0.0287183598557,-0.0287183598557,"[  4.06673293e-01   1.14159612e+00  -1.37191582e+00  -2.01000513e+00
  -6.44078628e-05  -1.25790103e+00   3.27647082e-01  -4.96660064e-01
  -3.73237332e-01  -1.48584511e-01   0.00000000e+00]","[[ -9.90148445e-01  -1.23270725e+00   8.16940954e-04  -1.45291642e-01]
 [  6.25368601e+00  -6.17044607e+00   0.00000000e+00   0.00000000e+00]]",[-0.19589521 -0.22200555]
12,[ 0.25525212  0.1314854 ],[-0.03215725  0.79163912],-0.0169235746101,-0.0169235746101,"[  5.45241239e-01   9.30651429e-01  -1.25932473e+00  -2.13274797e+00
  -6.44077910e-05  -1.25789740e+00   3.05534912e-01  -1.01744692e+00
  -3.24164846e-01  -5.97131423e-02   0.00000000e+00]","[[ -8.67373448e-01  -1.39461619e+00   8.16940954e-04  -1.45291642e-01]
 [  6.02453734e+00  -1.00076617e+01   0.00000000e+00   0.00000000e+00]]",[-0.19589521 -0.22200555]
13,[ 0.11155345  0.12741178],[ 1.60286508 -0.44476966],-0.00443198509248,-0.00443198509248,"[  6.65514270e-01   7.07046011e-01  -1.13449613e+00  -2.17880015e+00
  -6.44077191e-05  -1.25789378e+00   2.81702004e-01  -5.65103995e-01
  -2.90106071e-01   4.36741771e-02   0.00000000e+00]","[[ -7.49361022e-01  -1.56132939e+00   8.16940954e-04  -1.45291642e-01]
 [  5.77755625e+00  -6.67476937e+00   0.00000000e+00   0.00000000e+00]]",[-0.19589521 -0.22200555]
14,[-0.32049784 -0.05329254],[-0.48369618 -0.9558957 ],-0.0112003805498,-0.0112003805498,"[  8.00727674e-01   5.05586087e-01  -9.49909309e-01  -2.14956259e+00
  -6.44076473e-05  -1.25789016e+00   6.52619130e-01  -7.86232490e-01
  -2.14636010e-01   1.47644530e-01   0.00000000e+00]","[[ -5.95243732e-01  -1.71117275e+00   8.16940954e-04  -1.45291642e-01]
 [  9.62144231e+00  -8.30407084e+00   0.00000000e+00   0.00000000e+00]]",[-0.19589521 -0.22200555]
15,[-0.22452775  0.04334411],[ 0.7280252 -0.315757 ],-0.0286052240068,-0.0286052240068,"[  9.18429318e-01   2.41002982e-01  -7.21026049e-01  -2.00528249e+00
  -6.44075754e-05  -1.25788653e+00   4.49577438e-01  -1.27753573e+00
  -1.70187251e-01   3.00743427e-01   0.00000000e+00]","[[ -4.23925474e-01  -1.91357421e+00   8.16940954e-04  -1.45291642e-01]
 [  7.51729540e+00  -1.19240553e+01   0.00000000e+00   0.00000000e+00]]",[-0.19589521 -0.22200555]
16,[-0.59582055 -0.07920592],[-1.9893407  -0.17349852],-0.0494584514397,-0.0494584514397,"[  1.00074411e+00  -5.76442846e-02  -4.64109113e-01  -1.67195515e+00
  -6.44075036e-05  -1.25788291e+00   7.13331504e-01  -1.41516432e+00
  -1.67034653e-01   4.99063128e-01   0.00000000e+00]","[[ -2.46155845e-01  -2.16223052e+00   8.16940954e-04  -1.45291642e-01]
 [  1.02506305e+01  -1.29381481e+01   0.00000000e+00   0.00000000e+00]]",[-0.19589521 -0.22200555]
17,[-0.41295043  0.08615166],[-1.0660772   0.20260306],-0.0726219411977,-0.0726219411977,"[  1.03840632e+00  -3.22917750e-01  -2.17592195e-01  -1.15396452e+00
  -6.44074317e-05  -1.25787929e+00   3.11767123e-01  -1.47358559e+00
  -1.99364460e-01   7.17142054e-01   0.00000000e+00]","[[ -8.28952471e-02  -2.42531198e+00   8.16940954e-04  -1.45291642e-01]
 [  6.08916525e+00  -1.33686393e+01   0.00000000e+00   0.00000000e+00]]",[-0.19589521 -0.22200555]
18,[-0.17762552  0.27513117],[-0.88845872  1.53631775],-0.0964944806854,-0.0964944806854,"[  1.04324314e+00  -5.14381994e-01  -9.38467937e-02  -5.18312414e-01
  -6.44073598e-05  -1.25787566e+00  -8.19051906e-02  -1.32878082e+00
  -2.72879882e-01   9.35114704e-01   0.00000000e+00]","[[ -2.04406195e-03  -2.68197979e+00   8.16940954e-04  -1.45291642e-01]
 [  2.00948583e+00  -1.23017344e+01   0.00000000e+00   0.00000000e+00]]",[-0.19589521 -0.22200555]
19,[-0.00820265  0.4268232 ],[-0.69687468  0.55120126],-0.117669783209,-0.117669783209,"[  1.04323941e+00  -6.10469986e-01  -8.69553191e-02   5.06315423e-02
  -6.44072880e-05  -1.25787204e+00  -4.25177349e-01  -7.58344135e-01
  -3.31139206e-01   1.12090529e+00   0.00000000e+00]","[[  2.45325517e-03  -2.88584406e+00   8.16940954e-04  -1.45291642e-01]
 [ -1.54789100e+00  -8.09870989e+00   0.00000000e+00   0.00000000e+00]]",[-0.19589521 -0.22200555]
