timestep,avg_action_dist,actions,rewards,original_rewards,obs,human_obs,logstd_action_dist
0,[ 0.50795287 -1.39428079],[ 1.6786368  -0.95985275],-0.214467302449,-0.214467302449,"[ 1.03850103  1.99097618 -0.08542375  1.10290583 -0.03567541  0.33310222
 -0.28086137  0.33550107  1.35510347 -0.1479617   0.        ]","[[ 0.00293705  0.09014786 -0.00327607  0.03721345]
 [ 0.00359632  0.00029149  0.          0.        ]]",[-0.22903146 -0.25571194]
1,[ 0.35232908 -1.38194025],[-0.37128036 -0.61870359],-0.213883032365,-0.213883032365,"[ 1.03720792  1.99459216 -0.02473451  0.99193901 -0.03567537  0.33310185
  0.11075299 -0.18028991  1.35426536 -0.11015615  0.        ]","[[  4.27136157e-02   5.20053340e-02  -3.27606634e-03   3.72134491e-02]
 [  3.96087759e+00  -3.80186879e+00   0.00000000e+00   0.00000000e+00]]",[-0.22903146 -0.25571194]
2,[ 0.41174775 -1.30932975],[ 1.74742531 -0.68488069],-0.21347474485,-0.21347474485,"[ 1.03045793  1.99485979  0.07220795  0.70080418 -0.03567534  0.33310148
 -0.04225638 -0.5023325   1.35294073 -0.08839284  0.        ]","[[  1.06418061e-01  -4.78505756e-02  -3.27606634e-03   3.72134491e-02]
 [  2.41471241e+00  -6.17581162e+00   0.00000000e+00   0.00000000e+00]]",[-0.22903146 -0.25571194]
3,[ 0.16570516 -1.36401641],[ 0.25754883 -1.58785515],-0.212193503898,-0.212193503898,"[ 1.01184158  1.97039477  0.20423349  0.26838602 -0.0356753   0.33310111
  0.3445941  -0.85382993  1.34424577 -0.07173998  0.        ]","[[  1.93933789e-01  -1.97364028e-01  -3.27606634e-03   3.72134491e-02]
 [  6.32384953e+00  -8.76688530e+00   0.00000000e+00   0.00000000e+00]]",[-0.22903146 -0.25571194]
4,[ 0.02938438 -1.31434596],[ 1.2042328  -1.62541552],-0.207995074065,-0.207995074065,"[ 0.96204486  1.88505777  0.40378839 -0.32417634 -0.03567527  0.33310074
  0.43318669 -1.36746665  1.31426863 -0.03057749  0.        ]","[[  3.29393006e-01  -4.10691050e-01  -3.27606634e-03   3.72134491e-02]
 [  7.21908411e+00  -1.25531855e+01   0.00000000e+00   0.00000000e+00]]",[-0.22903146 -0.25571194]
5,[-0.35374442 -1.328089  ],[ 0.59056919  0.12082022],-0.198723294852,-0.198723294852,"[ 0.85610135  1.68243247  0.65790285 -1.03647859 -0.03567523  0.33310037
  0.81070005 -1.87104872  1.24443612  0.01616053  0.        ]","[[  5.12049056e-01  -6.99001339e-01  -3.27606634e-03   3.72134491e-02]
 [  1.10338726e+01  -1.62654043e+01   0.00000000e+00   0.00000000e+00]]",[-0.22903146 -0.25571194]
6,[-0.65106177 -1.31026387],[ 0.21996908 -2.08465566],-0.182431067341,-0.182431067341,"[ 0.65306209  1.36255228  0.95488271 -1.63937398 -0.0356752   0.3331
  1.02034497 -1.76248287  1.11936926  0.11973601  0.        ]","[[  7.53980844e-01  -1.01628104e+00  -3.27606634e-03   3.72134491e-02]
 [  1.31523562e+01  -1.54651622e+01   0.00000000e+00   0.00000000e+00]]",[-0.22903146 -0.25571194]
7,[-0.71979666 -1.15438497],[-1.92766059 -0.65281226],-0.15950111359,-0.15950111359,"[ 0.35683038  0.93488016  1.21314515 -2.0132164  -0.03567516  0.33309963
  1.08088422 -2.25800203  0.93840168  0.20038728  0.        ]","[[  1.02316628e+00  -1.36223478e+00  -3.27606634e-03   3.72134491e-02]
 [  1.37641293e+01  -1.91180016e+01   0.00000000e+00   0.00000000e+00]]",[-0.22903146 -0.25571194]
8,[-0.37375677 -0.9614172 ],[-0.27871201 -1.76564688],-0.130265555927,-0.130265555927,"[ 0.05668021  0.39711254  1.36134725 -2.02061178 -0.03567512  0.33309926
  0.66234823 -2.55711154  0.71439096  0.13241963  0.        ]","[[  1.25601808e+00  -1.76671743e+00  -3.27606634e-03   3.72134491e-02]
 [  9.53483059e+00  -2.13230497e+01   0.00000000e+00   0.00000000e+00]]",[-0.22903146 -0.25571194]
9,[-0.28799832 -0.95951092],[ 0.65775691  0.37883965],-0.0954434219099,-0.0954434219099,"[-0.18933092 -0.16078757  1.42202552 -1.46767423 -0.03567509  0.33309889
  0.53447882 -3.0368965   0.43341393 -0.05669411  0.        ]","[[  1.43375233e+00  -2.22866600e+00  -3.27606634e-03   3.72134491e-02]
 [  8.24271726e+00  -2.48600655e+01   0.00000000e+00   0.00000000e+00]]",[-0.22903146 -0.25571194]
10,[-0.59152502 -0.98698217],[ 0.23137997 -1.35530865],-0.0604441859789,-0.0604441859789,"[-0.45794819 -0.5558713   1.43424457 -0.39070676 -0.03567505  0.33309852
  0.775992   -2.76658728  0.08938375 -0.21909724  0.        ]","[[  1.62309117e+00  -2.70587660e+00  -3.27606634e-03   3.72134491e-02]
 [  1.06832186e+01  -2.28676122e+01   0.00000000e+00   0.00000000e+00]]",[-0.22903146 -0.25571194]
11,[-0.54434752 -0.58080727],[-0.87776092 -0.43311831],-0.0463786857264,-0.0463786857264,"[-0.76708552 -0.68078451  1.37979193  0.79538281 -0.03567502  0.33309815
  0.84577792 -0.94661631 -0.17842033 -0.30412659  0.        ]","[[  1.84382650e+00  -3.12618193e+00  -3.27606634e-03   3.72134491e-02]
 [  1.13884192e+01  -9.45131307e+00   0.00000000e+00   0.00000000e+00]]",[-0.22903146 -0.25571194]
12,[-0.29983976 -0.35295612],[-0.37586038  0.73373556],-0.047705182632,-0.047705182632,"[-1.01963247 -0.68065124  1.27517466  0.90116533 -0.03567498  0.33309777
  0.47959729  0.6428645  -0.25583896 -0.33668938  0.        ]","[[  2.03447076e+00  -3.16245199e+00  -3.27606634e-03   3.72134491e-02]
 [  7.68817527e+00   2.26589635e+00   0.00000000e+00   0.00000000e+00]]",[-0.22903146 -0.25571194]
13,[-0.25233418 -0.44111729],[-0.32614016  0.09756135],-0.0441427590245,-0.0441427590245,"[-1.18774404 -0.67894996  1.16889296  0.68128698 -0.03567495  0.3330974
  0.3172792   1.040257   -0.18861311 -0.28667853  0.        ]","[[  2.17177751e+00  -3.08703883e+00  -3.27606634e-03   3.72134491e-02]
 [  6.04795822e+00   5.19537562e+00   0.00000000e+00   0.00000000e+00]]",[-0.22903146 -0.25571194]
14,[-0.23399734 -0.4843719 ],[-1.29573689 -0.95745555],-0.0391855382524,-0.0391855382524,"[-1.3081919  -0.66356284  1.06972095  0.37188036 -0.03567491  0.33309703
  0.17764075  1.0786983  -0.12277214 -0.19843489  0.        ]","[[  2.27857930e+00  -2.98028793e+00  -3.27606634e-03   3.72134491e-02]
 [  4.63691791e+00   5.47877112e+00   0.00000000e+00   0.00000000e+00]]",[-0.22903146 -0.25571194]
15,[-0.07823186 -0.39506736],[-0.30738381 -0.04557012],-0.0363474064722,-0.0363474064722,"[-1.36319389 -0.64515105  1.0164801   0.1703987  -0.03567487  0.33309666
 -0.22327626  0.54968136 -0.09033014 -0.1318534   0.        ]","[[ 2.33066997 -2.90984005 -0.00327607  0.03721345]
 [ 0.58566576  1.57901453  0.          0.        ]]",[-0.22903146 -0.25571194]
16,[-0.02687236 -0.38112015],[ 0.61688647 -0.13544268],-0.0358901058965,-0.0358901058965,"[-1.36255704 -0.63552959  1.01712311  0.08708321 -0.03567484  0.33309629
 -0.34486134  0.52095632 -0.07682064 -0.10709155  0.        ]","[[ 2.33005618 -2.8803843  -0.00327607  0.03721345]
 [-0.64294915  1.36726681  0.          0.        ]]",[-0.22903146 -0.25571194]
17,[-0.12029767 -0.43022782],[-0.13057033 -0.66346125],-0.0353252869196,-0.0353252869196,"[-1.37462998 -0.6277253   1.00467441  0.0261361  -0.0356748   0.33309592
 -0.10190015  0.4445456  -0.06888141 -0.08566743  0.        ]","[[ 2.3418301  -2.85869046 -0.00327607  0.03721345]
 [ 1.81215802  0.8039935   0.          0.        ]]",[-0.22903146 -0.25571194]
