timestep,avg_action_dist,actions,rewards,original_rewards,obs,human_obs,logstd_action_dist
0,[-0.18507569 -1.17110705],[-0.51399268 -2.13720763],-0.349914523353,-0.349914523353,"[ 1.05676825  1.58636371  0.03742772  0.34733739 -0.92015141 -1.3094117
  0.07036727  0.26587393  1.85880801  1.13645749  0.        ]","[[ 0.0158874  -0.0843951  -0.10846542 -0.15151689]
 [ 0.0042479   0.001023    0.          0.        ]]",[-0.04590237 -0.15881361]
1,[-0.18101411 -1.16027236],[-1.46414733  0.23477383],-0.34584246755,-0.34584246755,"[ 1.05692064  1.58125204  0.00632148  0.25872862 -0.92014401 -1.30939622
 -0.12068314 -0.27651366  1.85449722  1.07227057  0.        ]","[[-0.00441376 -0.12409476 -0.10846542 -0.15151689]
 [-2.02760781 -3.95779802  0.          0.        ]]",[-0.04590237 -0.15881361]
2,[-0.17555995 -1.14706981],[-0.23350614 -2.94254116],-0.333619849694,-0.333619849694,"[ 1.05198564  1.56780327 -0.11587091  0.10578565 -0.9201366  -1.30938073
 -0.48891479 -0.13820539  1.82995973  0.89303     0.        ]","[[-0.08425837 -0.19312221 -0.10846542 -0.15151689]
 [-5.94381848 -2.94831375  0.          0.        ]]",[-0.04590237 -0.15881361]
3,[-0.16521677 -1.11958587],[-0.47207303 -0.48733465],-0.312435531564,-0.312435531564,"[ 1.02597889  1.53881599 -0.30814801 -0.1078798  -0.9201292  -1.30936524
 -0.564583   -0.67265449  1.75438649  0.62866796  0.        ]","[[-0.21120892 -0.29122721 -0.10846542 -0.15151689]
 [-6.74858967 -6.84918212  0.          0.        ]]",[-0.04590237 -0.15881361]
4,[-0.15034901 -1.07493854],[-0.00325288 -0.34208208],-0.28015449044,-0.28015449044,"[ 0.96590366  1.4700713  -0.53182394 -0.43199149 -0.92012179 -1.30934975
 -0.72759054 -0.91834636  1.5875532   0.32037965  0.        ]","[[-0.36357434 -0.44620374 -0.10846542 -0.15151689]
 [-8.48223282 -8.64248759  0.          0.        ]]",[-0.04590237 -0.15881361]
5,[-0.1324445 -1.0133673],[-0.68818914 -2.43830674],-0.238328126884,-0.238328126884,"[ 0.86473148  1.35353203 -0.76373789 -0.78737004 -0.92011439 -1.30933427
 -0.71302991 -1.08045913  1.32270498  0.04821375  0.        ]","[[-0.53166535 -0.63092601 -0.10846542 -0.15151689]
 [-8.32743015 -9.82578714  0.          0.        ]]",[-0.04590237 -0.15881361]
6,[-0.1085307  -0.91594243],[ 0.35499489 -1.65722671],-0.183055339083,-0.183055339083,"[ 0.70780287  1.15769695 -1.00173397 -1.17189168 -0.92010699 -1.30931878
 -0.95353092 -1.59612818  0.94055407 -0.13513867  0.        ]","[[ -0.72387514  -0.86520674  -0.10846542  -0.15151689]
 [-10.88524138 -13.58972389   0.           0.        ]]",[-0.04590237 -0.15881361]
7,[-0.08499873 -0.80169106],[-0.08414027 -0.63024506],-0.115534699429,-0.115534699429,"[ 0.5022076   0.83495565 -1.21092666 -1.53339755 -0.92009959 -1.3093033
 -0.80129348 -2.10172524  0.48266728 -0.12513961  0.        ]","[[ -0.92533464  -1.17403061  -0.10846542  -0.15151689]
 [ -9.2662587  -17.28035425   0.           0.        ]]",[-0.04590237 -0.15881361]
8,[-0.06198123 -0.69827527],[ 1.25467971  0.09679714],-0.0565238571534,-0.0565238571534,"[ 0.28104162  0.39541382 -1.36083945 -1.70673522 -0.92009218 -1.30928782
 -0.81558169 -2.39662836  0.0963717   0.12588388  0.        ]","[[ -1.11218345  -1.54123945  -0.10846542  -0.15151689]
 [ -9.41827626 -19.43334875   0.           0.        ]]",[-0.04590237 -0.15881361]
9,[-0.04717797 -0.6315574 ],[-1.12496206 -0.91548405],-0.0673666248596,-0.0673666248596,"[ 0.09179392 -0.06492634 -1.44527552 -1.57054156 -0.92008478 -1.30927233
 -0.42616487 -2.29139014 -0.08050929  0.50256275  0.        ]","[[ -1.25899987  -1.92220408  -0.10846542  -0.15151689]
 [ -5.27686806 -18.66566081   0.           0.        ]]",[-0.04590237 -0.15881361]
