timestep,avg_action_dist,actions,rewards,original_rewards,obs,human_obs,logstd_action_dist
0,[-1.74425602 -1.43187892],[-2.48904712 -0.58700134],-0.141551716281,-0.141551716281,"[ 1.03367096  1.82519315 -0.01368762  1.05102096  1.2017644  -0.95359819
 -0.27114484  0.32161595  0.23462733  1.34641242  0.        ]","[[ 0.03644859  0.03718836  0.13924118 -0.11107008]
 [-0.00018754 -0.00153338  0.          0.        ]]",[-0.29560906 -0.29184571]
1,[-0.7785815  -0.90164202],[-1.07244131 -1.45529871],-0.132407201243,-0.132407201243,"[  1.03462823e+00   1.82596385e+00  -7.33563694e-02   9.87017963e-01
   1.20176215e+00  -9.53596791e-01  -6.94727957e-01   1.12657862e-03
   2.37585194e-01   1.23851137e+00   0.00000000e+00]","[[ -3.23656117e-03   1.38531367e-02   1.39241179e-01  -1.11070082e-01]
 [ -3.95516195e+00  -2.32425308e+00   0.00000000e+00   0.00000000e+00]]",[-0.29560906 -0.29184571]
2,[ 0.675565   -0.04814693],[ 0.85913316 -0.36147837],-0.103369949094,-0.103369949094,"[ 1.02395379  1.82271415 -0.25035604  0.75195787  1.20175989 -0.9535954
 -1.10986722 -0.53866076  0.21467378  0.90110687  0.        ]","[[-0.12123017 -0.07188292  0.13924118 -0.11107008]
 [-7.83130545 -6.23631714  0.          0.        ]]",[-0.29560906 -0.29184571]
3,[ 0.68199492  0.12612858],[-0.46555862  0.842346  ],-0.0689221037245,-0.0689221037245,"[ 0.99215924  1.79748776 -0.42917067  0.37775213  1.20175764 -0.953594
 -0.72923084 -0.71930234  0.12218912  0.5163519   0.        ]","[[-0.24219818 -0.20974485  0.13924118 -0.11107008]
 [-4.27733799 -7.54550613  0.          0.        ]]",[-0.29560906 -0.29184571]
4,[ 1.28990448  0.06166406],[ 1.19920869  0.61526683],-0.0419364205824,-0.0419364205824,"[ 0.94869128  1.75749651 -0.57763988  0.0711563   1.20175539 -0.9535926
 -0.91757284 -0.23838123 -0.00840919  0.21675439  0.        ]","[[-0.34538904 -0.32568455  0.13924118 -0.11107008]
 [-6.03588564 -4.0600782   0.          0.        ]]",[-0.29560906 -0.29184571]
5,[ 0.71431506 -0.32567894],[ 1.63588851  0.01431843],-0.0295533817898,-0.0295533817898,"[ 0.90503488  1.73220858 -0.68887279 -0.07287532  1.20175314 -0.95359121
 -0.48119878  0.10865153 -0.11636121  0.03408017  0.        ]","[[-0.42522745 -0.38165145  0.13924118 -0.11107008]
 [-1.96149753 -1.54499293  0.          0.        ]]",[-0.29560906 -0.29184571]
6,[ 0.0361896  -0.52412206],[ 1.69767072  0.13626184],-0.0281853111538,-0.0281853111538,"[ 0.90554385  1.71706451 -0.68770633 -0.14888983  1.20175089 -0.95358981
 -0.05335165  0.12049058 -0.13549993  0.01318538  0.        ]","[[-0.42437671 -0.41169048  0.13924118 -0.11107008]
 [ 2.03327676 -1.45919004  0.          0.        ]]",[-0.29560906 -0.29184571]
7,[-0.86040366 -0.88333434],[-1.34791734 -1.41348585],-0.0331144680598,-0.0331144680598,"[ 0.94916187  1.70446613 -0.5762728  -0.20765722  1.20174864 -0.95358842
  0.36601747  0.1987279  -0.07360721  0.1291364   0.        ]","[[-0.34442469 -0.43518537  0.13924118 -0.11107008]
 [ 5.94889293 -0.89217272  0.          0.        ]]",[-0.29560906 -0.29184571]
8,[-0.15625568 -0.16945937],[-0.61876076 -0.41597878],-0.0381474813574,-0.0381474813574,"[ 0.98332917  1.67097673 -0.4642541  -0.34842936  1.20174639 -0.95358702
 -0.07012973 -0.34497219 -0.04103095  0.21926698  0.        ]","[[-0.26630489 -0.49256401  0.13924118 -0.11107008]
 [ 1.87662641 -4.83257706  0.          0.        ]]",[-0.29560906 -0.29184571]
9,[ 0.4668465   0.32754749],[ 0.78155987 -0.16962646],-0.0295802703261,-0.0295802703261,"[ 0.98804331  1.59467034 -0.44593484 -0.61096577  1.20174414 -0.95358563
 -0.33622676 -0.55891692 -0.10386496  0.15638098  0.        ]","[[-0.25369999 -0.60477256  0.13924118 -0.11107008]
 [-0.60789763 -6.38311929  0.          0.        ]]",[-0.29560906 -0.29184571]
