timestep,rewards,actions,original_rewards,avg_action_dist,human_obs,obs,logstd_action_dist
0,-0.310008859427,[-1.70264035  2.66026445],-0.310008859427,[-1.04364467  1.85665774],"[[-0.02775558 -0.06654465 -0.09419875 -0.0754956 ]
 [ 0.00204891 -0.00388832  0.          0.        ]]","[ 1.05398676  1.8905546   0.1353398  -1.13013731 -0.81392141 -0.64981582
  0.12694789 -0.34021553  2.14799327  0.55231341  0.        ]",[-0.08778717 -0.13754117]
1,-0.309051409884,[-0.51553821  0.81052336],-0.309051409884,[-0.88312823  1.66150212],"[[-0.06742096 -0.02687837 -0.09419875 -0.0754956 ]
 [-3.95540476  3.95731058  0.          0.        ]]","[ 1.05126384  1.89298345  0.07515549 -1.01632891 -0.81392039 -0.64981513
 -0.28487747  0.21680843  2.14642284  0.51445544  0.        ]",[-0.08778717 -0.13754117]
2,-0.3065321856,[ 0.40734281  1.96956345],-0.3065321856,[-0.68742937  1.55762482],"[[-0.16621829  0.08368975 -0.09419875 -0.0754956 ]
 [-5.91779229  7.08905951  0.          0.        ]]","[ 1.03466085  1.88884966 -0.07384586 -0.69901886 -0.81391937 -0.64981443
 -0.48908963  0.65719484  2.13782904  0.43300432  0.        ]",[-0.08778717 -0.13754117]
3,-0.30456739396,[-0.96231236  1.16724603],-0.30456739396,[-0.7507028   1.39745498],"[[ -0.26724691   0.26378375  -0.09419875  -0.0754956 ]
 [ -4.19080051  10.90761654   0.           0.        ]]","[ 1.00333898  1.84796221 -0.22366612 -0.19018731 -0.81391835 -0.64981373
 -0.30937273  1.19415909  2.1229306   0.42173343  0.        ]",[-0.08778717 -0.13754117]
4,-0.300341495789,[ 0.86099703  1.13101982],-0.300341495789,[-0.50830871  1.27258301],"[[ -0.3884408    0.51951083  -0.09419875  -0.0754956 ]
 [ -7.91620323  14.65257364   0.           0.        ]]","[ 0.94708767  1.71994969 -0.39786156  0.48690276 -0.81391733 -0.64981303
 -0.69705031  1.72077057  2.08282687  0.45323471  0.        ]",[-0.08778717 -0.13754117]
5,-0.292083323057,[-2.12174895  1.17255176],-0.292083323057,[-0.43933854  1.12417316],"[[ -0.51102916   0.849366    -0.09419875  -0.0754956 ]
 [ -4.35430585  18.32076194   0.           0.        ]]","[ 0.87027226  1.44696074 -0.56546481  1.21766561 -0.81391631 -0.64981234
 -0.32638646  2.23658106  1.99489134  0.55930937  0.        ]",[-0.08778717 -0.13754117]
6,-0.276126771757,[-1.57275067  1.9714636 ],-0.276126771757,[-0.05479752  0.98095226],"[[ -0.63695398   1.25188003  -0.09419875  -0.0754956 ]
 [ -8.22534699  21.91856102   0.           0.        ]]","[ 0.77171989  0.99077796 -0.72599628  1.78845234 -0.81391529 -0.64981164
 -0.72922005  2.7424844   1.82309393  0.71595777  0.        ]",[-0.08778717 -0.13754117]
7,-0.24616165749,[ 1.09922768 -0.57191245],-0.24616165749,[ 0.42564806  0.75176603],"[[ -0.83953623   1.72562922  -0.09419875  -0.0754956 ]
 [-12.02036178  25.44448182   0.           0.        ]]","[ 0.57542125  0.37571068 -0.95323157  1.8989238  -0.81391427 -0.64981094
 -1.12414113  3.23826737  1.5424569   0.78086158  0.        ]",[-0.08778717 -0.13754117]
8,-0.208722695588,[ 0.33441696 -0.15077416],-0.208722695588,[ 0.1431908  0.6047709],"[[ -1.0378374    2.20673467  -0.09419875  -0.0754956 ]
 [ -7.82357984  22.67542927   0.           0.        ]]","[ 0.34505481 -0.20249214 -1.13092761  1.37176647 -0.81391325 -0.64981025
 -0.68740811  2.84886951  1.19041382  0.8222436   0.        ]",[-0.08778717 -0.13754117]
9,-0.170626949246,[-0.06554138  1.90692695],-0.170626949246,[ 0.06682754  0.44342083],"[[ -1.17946684   2.64974715  -0.09419875  -0.0754956 ]
 [ -6.34430002  21.62934302   0.           0.        ]]","[ 0.16236663 -0.58057709 -1.2267749   0.41737195 -0.81391223 -0.64980955
 -0.53346834  2.70175497  0.82063992  0.84041527  0.        ]",[-0.08778717 -0.13754117]
10,-0.127374353877,[ 0.2560366   0.13504454],-0.127374353877,[-0.03693081  0.29294464],"[[ -1.30769197   3.11776478  -0.09419875  -0.0754956 ]
 [ -6.47804179  20.19981193   0.           0.        ]]","[-0.01263712 -0.7360726  -1.28933659 -0.87070091 -0.81391121 -0.64980885
 -0.54738547  2.5007257   0.41291134  0.77639625  0.        ]",[-0.08778717 -0.13754117]
11,-0.116522604989,[-2.68384257  1.42295894],-0.116522604989,[-0.63212293  0.32904565],"[[-1.42580795  3.23472961 -0.09419875 -0.0754956 ]
 [-5.3370692  -2.11711102  0.          0.        ]]","[-0.1793622  -0.73074591 -1.32567175 -1.20627802 -0.81391019 -0.64980815
 -0.42865119 -0.63738766  0.30917168  0.75122526  0.        ]",[-0.08778717 -0.13754117]
12,-0.125692410666,[-0.22035815  0.73710225],-0.125692410666,[-0.32714081  0.56398582],"[[-1.57121593  3.1580279  -0.09419875 -0.0754956 ]
 [-9.19082659 -4.2309573   0.          0.        ]]","[-0.38834909 -0.73626658 -1.34160804 -0.98634138 -0.81390916 -0.64980746
 -0.82968686 -0.93462685  0.39647333  0.77327794  0.        ]",[-0.08778717 -0.13754117]
13,-0.132167595515,[ 0.41285166  0.4747168 ],-0.132167595515,[-0.32902572  0.35349578],"[[-1.76196006  3.08589407 -0.09419875 -0.0754956 ]
 [-9.88127553 -2.84802298  0.          0.        ]]","[-0.66177893 -0.73440415 -1.31393285 -0.77922649 -0.81390814 -0.64980676
 -0.9015364  -0.74016334  0.47841324  0.75905767  0.        ]",[-0.08778717 -0.13754117]
14,-0.134431757729,[ 0.24964907 -1.81749015],-0.134431757729,[-0.49120045  0.12082168],"[[-1.94122162  3.04274628 -0.09419875 -0.0754956 ]
 [-8.05098429 -1.54341406  0.          0.        ]]","[-0.90986513 -0.7300238  -1.23856646 -0.6556665  -0.81390712 -0.64980606
 -0.71106842 -0.55671388  0.52563929  0.72457071  0.        ]",[-0.08778717 -0.13754117]
15,-0.136084419628,[ 1.68563036  1.27261282],-0.136084419628,[-0.36026818  0.4933219 ],"[[-2.09072636  2.97245696 -0.09419875 -0.0754956 ]
 [-6.90330322 -5.4724253   0.          0.        ]]","[-1.10429378 -0.71767821 -1.14085545 -0.45561627 -0.8139061  -0.64980537
 -0.59163565 -1.10919421  0.58114242  0.65986009  0.        ]",[-0.08778717 -0.13754117]
16,-0.136430632241,[-0.29332186  0.1163588 ],-0.136430632241,[-0.85335219 -0.02621731],"[[-2.18769439  2.90382476 -0.09419875 -0.0754956 ]
 [-2.80716814 -1.4043503   0.          0.        ]]","[-1.22210912 -0.69944637 -1.06159057 -0.2625791  -0.81390508 -0.64980467
 -0.16537552 -0.53715699  0.62148849  0.58839067  0.        ]",[-0.08778717 -0.13754117]
17,-0.135406007924,[ 0.96196005 -1.1975613 ],-0.135406007924,[-0.75533396 -0.07893282],"[[-2.25493195  2.88063886 -0.09419875 -0.0754956 ]
 [-3.91290335 -0.91586933  0.          0.        ]]","[-1.29926223 -0.69192174 -0.99974384 -0.19804047 -0.81390406 -0.64980397
 -0.28044255 -0.46846825  0.62837139  0.55287394  0.        ]",[-0.08778717 -0.13754117]
18,-0.135146201075,[-1.29016745  0.14129089],-0.135146201075,[-0.87229067  0.30059969],"[[-2.29420088  2.82277694 -0.09419875 -0.0754956 ]
 [-0.02693704 -4.8571873   0.          0.        ]]","[-1.34243699 -0.67017567 -0.96114292 -0.03879293 -0.81390304 -0.64980328
  0.12394694 -1.02267992  0.65182356  0.49161147  0.        ]",[-0.08778717 -0.13754117]
19,-0.134518478332,[ 0.67953317  0.9847515 ],-0.134518478332,[-0.61268395  0.31465748],"[[-2.3344575   2.73220987 -0.09419875 -0.0754956 ]
 [-3.98551531 -4.20170329  0.          0.        ]]","[-1.38516893 -0.62778031 -0.91974935  0.20421755 -0.81390202 -0.64980258
 -0.28799902 -0.93050693  0.68050379  0.39466023  0.        ]",[-0.08778717 -0.13754117]
