timestep,obs,actions,rewards,original_rewards,avg_action_dist,human_obs,logstd_action_dist
0,"[ 1.06856227  2.0448581   0.18009078 -0.97405881 -1.24846948  0.35146727
  0.11110753 -0.35071621  2.49255016 -0.45213798  0.        ]",[ 2.49513093  2.91975011],-0.355704056375,-0.355704056375,[ 1.77308059  2.7937119 ],"[[ 0.00334878 -0.03207324 -0.14323831  0.0393719 ]
 [-0.00178822 -0.00097171  0.          0.        ]]",[-0.01659009 -0.08943554]
1,"[ 1.06724431  2.04550415  0.2401706  -0.85247833 -1.24846656  0.35146691
  0.50029905  0.19526328  2.49105306 -0.33661031  0.        ]",[ 0.59424293  2.05146059],-0.354237085671,-0.354237085671,[ 1.1071682  2.3867166],"[[ 0.04298843  0.00761992 -0.14323831  0.0393719 ]
 [ 3.95259147  3.95710157  0.          0.        ]]",[-0.01659009 -0.08943554]
2,"[ 1.05356373  2.03487356  0.39382687 -0.49177931 -1.24846365  0.35146655
  0.72382141  0.73052222  2.45292797 -0.02716153  0.        ]",[ 0.6826821   1.20964185],-0.348220238803,-0.348220238803,[ 0.53203797  2.06979871],"[[ 0.1448267   0.12569485 -0.14323831  0.0393719 ]
 [ 6.22369529  7.8374589   0.          0.        ]]",[-0.01659009 -0.08943554]
3,"[ 1.00659861  1.97667229  0.61603702  0.08958285 -1.24846074  0.35146619
  0.9773828   1.25516121  2.29870381  0.41735764  0.        ]",[ 1.3439816  0.7080721],-0.332997986382,-0.332997986382,[ 0.24111524  1.79146922],"[[  0.29514878   0.32060466  -0.14323831   0.0393719 ]
 [  8.8000163   11.64083954   0.           0.        ]]",[-0.01659009 -0.08943554]
4,"[ 0.88683687  1.82511371  0.91396562  0.80100883 -1.24845783  0.35146583
  1.34959554  1.6098849   1.9256817   0.9053063   0.        ]",[ 0.86750907  1.8391993 ],-0.301172965455,-0.301172965455,[-0.19151954  1.35513377],"[[  0.50909207   0.57922342  -0.14323831   0.0393719 ]
 [ 12.58190836  14.21244096   0.           0.        ]]",[-0.01659009 -0.08943554]
5,"[ 0.64143847  1.53383479  1.25486963  1.52451153 -1.24845491  0.35146547
  1.66297436  2.11702196  1.2798565   1.21708204  0.        ]",[ 1.11485378  1.15964748],-0.24474277007,-0.24474277007,[-0.89657688  0.58851182],"[[  0.79267399   0.90036091  -0.14323831   0.0393719 ]
 [ 15.76604532  17.88900425   0.           0.        ]]",[-0.01659009 -0.08943554]
6,"[ 0.22797292  1.0631494   1.55553323  2.07121261 -1.248452    0.35146511
  2.02201103  2.61403491  0.49305838  1.05077811  0.        ]",[-1.32840536  0.44523584],-0.158754054237,-0.158754054237,[-1.47616708 -0.21655524],"[[  1.14459176   1.2942942   -0.14323831   0.0393719 ]
 [ 19.41413097  21.49224303   0.           0.        ]]",[-0.01659009 -0.08943554]
7,"[-0.24790446  0.46998636  1.68613715  2.14506658 -1.24844909  0.35146475
  1.59520533  2.79843259  0.02696737  0.39616978  0.        ]",[-1.16896742  0.09825391],-0.0658615918082,-0.0658615918082,[-1.26448953 -0.32987577],"[[  1.48936633   1.73755297  -0.14323831   0.0393719 ]
 [ 15.07761381  22.82920737   0.           0.        ]]",[-0.01659009 -0.08943554]
8,"[-0.61744287 -0.09381876  1.66734381  1.61256725 -1.24844618  0.35146439
  1.17669795  2.78968895  0.08388649 -0.24871395  0.        ]",[-0.34027125 -0.50359082],-0.0528372637246,-0.0528372637246,[-1.13407707 -0.2160815 ],"[[  1.74825863   2.19350246  -0.14323831   0.0393719 ]
 [ 10.82537963  22.76598145   0.           0.        ]]",[-0.01659009 -0.08943554]
9,"[-0.89378834 -0.480166    1.58392943  0.63912762 -1.24844327  0.35146403
  1.02328406  2.45241439  0.41722845 -0.57228592  0.        ]",[-0.93253464  0.83880911],-0.106584132137,-0.106584132137,[-1.1246227  -0.13523191],"[[  1.94913053   2.62429031  -0.14323831   0.0393719 ]
 [  9.26663084  20.32097442   0.           0.        ]]",[-0.01659009 -0.08943554]
10,"[-1.08246428 -0.65247044  1.48711087 -0.6261424  -1.24844035  0.35146367
  0.6419427   2.25471216  0.80706275 -0.54330055  0.        ]",[-0.72791206 -0.40325672],-0.149701653285,-0.149701653285,[-1.08032751 -0.118613  ],"[[  2.09559235   3.05999511  -0.14323831   0.0393719 ]
 [  5.39200423  18.88778758   0.           0.        ]]",[-0.01659009 -0.08943554]
11,"[-1.17672798 -0.65585747  1.42406111 -0.99985965 -1.24843744  0.35146331
  0.34770114 -0.50234081  0.90998508 -0.47241005  0.        ]",[-0.70208494  1.31092376],-0.159611263835,-0.159611263835,[-1.02022064 -0.00710356],"[[ 2.17343399  3.18209208 -0.14323831  0.0393719 ]
 [ 2.40235564 -1.10003667  0.          0.        ]]",[-0.01659009 -0.08943554]
12,"[-1.19979842 -0.65681684  1.40690554 -0.83052257 -1.24843453  0.35146295
  0.06942574 -0.80095591  0.86728829 -0.50788248  0.        ]",[-0.71744286 -0.4771173 ],-0.155603401747,-0.155603401747,[-0.82495499  0.12108006],"[[ 2.1931121   3.12680316 -0.14323831  0.0393719 ]
 [-0.42506878 -3.26491517  0.          0.        ]]",[-0.01659009 -0.08943554]
13,"[-1.15624971 -0.65042792  1.43868263 -0.57488906 -1.24843162  0.35146259
 -0.20932276 -1.05264411  0.8003982  -0.55269563  0.        ]",[-1.52176829 -0.39632767],-0.149278175443,-0.149278175443,[-0.60514879  0.26905057],"[[ 2.15619397  3.04319726 -0.14323831  0.0393719 ]
 [-3.25730036 -5.08959313  0.          0.        ]]",[-0.01659009 -0.08943554]
14,"[-1.02768917 -0.62587458  1.51897319 -0.22248922 -1.24842871  0.35146223
 -0.59264895 -1.25523135  0.69301224 -0.5856481   0.        ]",[ 1.39106284  3.01412254],-0.138140597899,-0.138140597899,[-0.38079861  0.40611708],"[[ 2.05196997  2.92666931 -0.14323831  0.0393719 ]
 [-7.15209759 -6.55831086  0.          0.        ]]",[-0.01659009 -0.08943554]
15,"[-0.8950337  -0.59457478  1.58337315  0.04425788 -1.24842579  0.35146187
 -0.1890212  -0.69113094  0.60171165 -0.57949508  0.        ]",[-2.1375889  -1.89080248],-0.127419415131,-0.127419415131,[-0.7602545   0.12796092],"[[ 1.95007556  2.8365349  -0.14323831  0.0393719 ]
 [-3.05103781 -2.46875772  0.          0.        ]]",[-0.01659009 -0.08943554]
16,"[-0.75929276 -0.55360056  1.63243179  0.29923567 -1.24842288  0.35146151
 -0.57274517 -1.23058206  0.51263259 -0.54621729  0.        ]",[-0.80701732 -1.36459251],-0.11572225081,-0.11572225081,[-0.45148453  0.3460595 ],"[[ 1.84993611  2.74792069 -0.14323831  0.0393719 ]
 [-6.94987058 -6.37963615  0.          0.        ]]",[-0.01659009 -0.08943554]
17,"[-0.5210084  -0.45076102  1.6820365   0.75069675 -1.24841997  0.35146115
 -0.87363035 -1.75935526  0.36479447 -0.42310063  0.        ]",[-0.54405574  1.08225259],-0.0930178081469,-0.0930178081469,[  9.03904438e-05   7.08600521e-01],"[[  1.68026417   2.58186541  -0.14323831   0.0393719 ]
 [-10.00702551 -10.2131319    0.           0.        ]]",[-0.01659009 -0.08943554]
18,"[-0.2067226  -0.3195942   1.68189408  1.14927074 -1.24841706  0.35146079
 -1.06605683 -1.18533497  0.27327829 -0.19535303  0.        ]",[ 0.56648965  1.13077178],-0.0742179690842,-0.0742179690842,[ 0.04792906  0.66972911],"[[  1.46050716   2.41935635  -0.14323831   0.0393719 ]
 [-11.96219336  -6.05166678   0.           0.        ]]",[-0.01659009 -0.08943554]
19,"[ 0.09265837 -0.24486215  1.61189957  1.32670779 -1.24841415  0.35146043
 -0.82200607 -0.62268986  0.2963035   0.00675998  0.        ]",[-0.5395085  -0.20427452],-0.0762317089635,-0.0762317089635,[ 0.1094583   0.70656866],"[[ 1.24614338  2.33924891 -0.14323831  0.0393719 ]
 [-9.4825312  -1.97265387  0.          0.        ]]",[-0.01659009 -0.08943554]
20,"[ 0.3647476  -0.19799767  1.48013411  1.42466699 -1.24841123  0.35146007
 -1.0137167  -0.72891249  0.37750943  0.17111839  0.        ]",[-0.45941695  1.68400489],-0.0899542535109,-0.0899542535109,[ 0.34223542  0.95979512],"[[  1.03694871   2.29206948  -0.14323831   0.0393719 ]
 [-11.43042327  -2.74274493   0.           0.        ]]",[-0.01659009 -0.08943554]
21,"[ 0.64177517 -0.18310156  1.25446766  1.45392388 -1.24840832  0.35145971
 -1.17044973 -0.17531195  0.51754782  0.2941066   0.        ]",[ 0.06125769  0.61523445],-0.11108039303,-0.11108039303,[ 0.50964093  1.06128037],"[[  0.79236265   2.27748299  -0.14323831   0.0393719 ]
 [-13.02293272   1.27069792   0.           0.        ]]",[-0.01659009 -0.08943554]
22,"[ 0.8669362  -0.23297083  0.9504487   1.35243999 -1.24840541  0.35145935
 -1.12123462  0.15716706  0.67304682  0.31420627  0.        ]",[ 0.9114348  0.1636448],-0.130306476468,-0.130306476468,[ 0.64536881  1.15573418],"[[  0.53692111   2.32708092  -0.14323831   0.0393719 ]
 [-12.5229065    3.68107373   0.           0.        ]]",[-0.01659009 -0.08943554]
23,"[ 0.99349352 -0.30799665  0.65928644  1.17871009 -1.2484025   0.35145899
 -0.74173765  0.23643622  0.78180277  0.26405579  0.        ]",[ 0.31074972  1.95515366],-0.1418694535,-0.1418694535,[ 0.72155011  1.22284389],"[[ 0.3251498   2.4064678  -0.14323831  0.0393719 ]
 [-8.6670415   4.2557529   0.          0.        ]]",[-0.01659009 -0.08943554]
