timestep,obs,actions,rewards,original_rewards,avg_action_dist,human_obs,logstd_action_dist
0,"[ 1.09693943  1.46372871  0.18487559 -1.07760924 -1.46060194  0.05994512
  0.0981196  -0.31210817  3.31993119  0.09572075  0.        ]",[ 1.87495832  1.33661368],-0.377468056858,-0.377468056858,[ 1.99507833  1.69996262],"[[ 0.06135352  0.06854297 -0.16832453  0.00641554]
 [ 0.00464814 -0.00154729  0.          0.        ]]",[-0.57691413 -0.5595035 ]
1,"[ 1.09232304  1.45919594  0.24371283 -0.9753414  -1.46060012  0.0599451
  0.61624858  0.32561809  3.30235104  0.2524777   0.        ]",[ 1.63897992  0.93955206],-0.376349562222,-0.376349562222,[ 2.44748211  1.50894117],"[[ 0.10112072  0.10822474 -0.16832453  0.00641554]
 [ 3.95891553  3.95653783  0.          0.        ]]",[-0.57691413 -0.5595035 ]
2,"[ 1.06540615  1.4344773   0.4166481  -0.6803678  -1.46059831  0.05994507
  1.12415742  0.91215671  3.20358773  0.70078359  0.        ]",[ 2.74981941  2.0514443 ],-0.370617004173,-0.370617004173,[ 2.62626195  1.32922769],"[[  2.19190457e-01   2.23880712e-01  -1.68324531e-01   6.41554250e-03]
 [  7.83518891e+00   7.59692588e+00   0.00000000e+00   0.00000000e+00]]",[-0.57691413 -0.5595035 ]
3,"[ 0.97878044  1.35746013  0.69106841 -0.21390217 -1.46059649  0.05994505
  1.62206246  1.52563813  2.9001437   1.35368668  0.        ]",[ 2.99642505  1.59606728],-0.353449599421,-0.353449599421,[ 2.79599857  1.31684875],"[[  4.14018970e-01   4.14022475e-01  -1.68324531e-01   6.41554250e-03]
 [  1.16351257e+01   1.14045440e+01   0.00000000e+00   0.00000000e+00]]",[-0.57691413 -0.5595035 ]
4,"[ 0.77778201  1.17937415  1.0320441   0.37126172 -1.46059468  0.05994503
  2.11025991  2.12694201  2.25663153  1.97214124  0.        ]",[ 1.74556524  0.55984583],-0.314805051366,-0.314805051366,[ 1.90938878  0.34071478],"[[  6.84101627e-01   6.79558749e-01  -1.68324531e-01   6.41554250e-03]
 [  1.53609953e+01   1.51366001e+01   0.00000000e+00   0.00000000e+00]]",[-0.57691413 -0.5595035 ]
5,"[ 0.40812034  0.87042881  1.3649999   0.9245445  -1.46059286  0.059945
  2.58911474  2.43547463  1.30665418  2.13938802  0.        ]",[-0.58804035 -1.05592506],-0.246906782867,-0.246906782867,[ 0.08825888 -1.27077842],"[[  1.02798581e+00   1.00150505e+00  -1.68324531e-01   6.41554250e-03]
 [  1.90155943e+01   1.70515697e+01   0.00000000e+00   0.00000000e+00]]",[-0.57691413 -0.5595035 ]
6,"[-0.06117889  0.51988113  1.55178843  1.2379318  -1.46059105  0.05994498
  2.23546301  1.74302774  0.49885454  1.67644779  0.        ]",[-1.484448   -0.90222754],-0.166313212317,-0.166313212317,[-0.77262515 -1.97037435],"[[  1.38122077e+00   1.29941606e+00  -1.68324531e-01   6.41554250e-03]
 [  1.63166189e+01   1.27538612e+01   0.00000000e+00   0.00000000e+00]]",[-0.57691413 -0.5595035 ]
7,"[-0.46474449  0.2438035   1.57185098  1.32875915 -1.46058923  0.05994495
  1.67497215  1.12675622  0.11161867  1.02940004  0.        ]",[-1.8944628  -2.57843375],-0.101469650703,-0.101469650703,[-0.86226088 -2.02898097],"[[  1.66463791e+00   1.51611601e+00  -1.68324531e-01   6.41554250e-03]
 [  1.20390509e+01   8.92892699e+00   0.00000000e+00   0.00000000e+00]]",[-0.57691413 -0.5595035 ]
8,"[-0.74320729  0.06662537  1.51530886  1.32384599 -1.46058742  0.05994493
  1.1253862   0.46035149 -0.00481026  0.53323412  0.        ]",[-0.82390335 -1.18578267],-0.0615153822384,-0.0615153822384,[-0.41729403 -1.30928326],"[[  1.86333772e+00   1.65319538e+00  -1.68324531e-01   6.41554250e-03]
 [  7.84469294e+00   4.79283149e+00   0.00000000e+00   0.00000000e+00]]",[-0.57691413 -0.5595035 ]
9,"[-0.90763683 -0.00431823  1.45226461  1.30817452 -1.4605856   0.05994491
  0.67788184 -0.19284897 -0.03175492  0.26242585  0.        ]",[-0.89572379  0.4868273 ],-0.0439141638281,-0.0439141638281,[ 0.0406823  -0.48292875],"[[ 1.9859658   1.70837525 -0.16832453  0.00641554]
 [ 4.42940275  0.73868877  0.          0.        ]]",[-0.57691413 -0.5595035 ]
