timestep,obs,actions,rewards,original_rewards,avg_action_dist,human_obs,logstd_action_dist
0,"[ 1.09902386  1.45813528  0.01323674 -1.20611681 -0.08823622 -0.65186118
  0.09693434 -0.31146642  1.79085266  0.76636423  0.        ]",[-2.79934085  1.95100621],-0.229735508818,-0.229735508818,[-2.83871365  1.28817272],"[[-0.05173803  0.02204785 -0.00986704 -0.07564567]
 [ 0.00136912  0.00037234  0.          0.        ]]",[-0.60533929 -0.57003969]
1,"[ 1.09496415  1.45597612 -0.04546361 -1.10337896 -0.08823618 -0.65186082
 -0.42499793  0.32988962  1.7880661   0.71673644  0.        ]",[-2.44461513  1.07238353],-0.22833943746,-0.22833943746,[-2.69630098  0.95524156],"[[-0.09141687  0.0617985  -0.00986704 -0.07564567]
 [-3.95607241  3.96148554  0.          0.        ]]",[-0.60533929 -0.57003969]
2,"[ 1.06967248  1.43752695 -0.21847541 -0.80004308 -0.08823615 -0.65186046
 -0.93660555  0.95853893  1.77070085  0.57030981  0.        ]",[-1.71664208  1.06330621],-0.223670243806,-0.223670243806,[-2.65923452  0.72141612],"[[-0.20945904  0.17998412 -0.00986704 -0.07564567]
 [-7.83523193  7.8441223   0.          0.        ]]",[-0.60533929 -0.57003969]
3,"[ 0.98560461  1.36842498 -0.4935627  -0.31548903 -0.08823611 -0.6518601
 -1.43810503  1.57471629  1.7129734   0.33746709  0.        ]",[-2.86476799  0.73458591],-0.214327467732,-0.214327467732,[-2.58077049  0.53401345],"[[ -4.04315227e-01   3.75049966e-01  -9.86704279e-03  -7.56456671e-02]
 [ -1.16377563e+01   1.16497389e+01   0.00000000e+00   0.00000000e+00]]",[-0.60533929 -0.57003969]
4,"[ 0.78773403  1.20605927 -0.83633585  0.27123176 -0.08823608 -0.65185973
 -1.9296743   2.00847284  1.57670286  0.0327756   0.        ]",[-2.25938322  0.40803389],-0.19808393078,-0.19808393078,[-1.68289196  0.18190029],"[[ -6.74466084e-01   6.34924613e-01  -9.86704279e-03  -7.56456671e-02]
 [ -1.53650023e+01   1.43287101e+01   0.00000000e+00   0.00000000e+00]]",[-0.60533929 -0.57003969]
5,"[ 0.42107493  0.93255513 -1.17274612  0.81812705 -0.08823604 -0.65185937
 -2.41154842  2.22417407  1.32197202 -0.31306619  0.        ]",[ 0.49593472 -0.08178969],-0.172965104592,-0.172965104592,[ 0.39114022 -0.15356001],"[[ -1.01842392e+00   9.34867011e-01  -9.86704279e-03  -7.56456671e-02]
 [ -1.90187625e+01   1.56609473e+01   0.00000000e+00   0.00000000e+00]]",[-0.60533929 -0.57003969]
6,"[-0.05167444  0.58192729 -1.36509426  1.18500322 -0.08823601 -0.65185901
 -2.10325214  2.1212324   0.99141571 -0.5449498   0.        ]",[ 0.61304808 -0.45069758],-0.143197572977,-0.143197572977,[ 0.96746719 -0.54381675],"[[ -1.37534623e+00   1.24170674e+00  -9.86704279e-03  -7.56456671e-02]
 [ -1.66811985e+01   1.50251900e+01   0.00000000e+00   0.00000000e+00]]",[-0.60533929 -0.57003969]
7,"[-0.48724857  0.22745875 -1.38428292  1.32065921 -0.08823597 -0.65185865
 -1.73983631  1.78386555  0.68810745 -0.59728712  0.        ]",[ 2.60555761 -0.62357956],-0.115085130573,-0.115085130573,[ 1.16697443 -0.86069763],"[[ -1.68132410e+00   1.52130409e+00  -9.86704279e-03  -7.56456671e-02]
 [ -1.39256842e+01   1.29415701e+01   0.00000000e+00   0.00000000e+00]]",[-0.60533929 -0.57003969]
8,"[-0.81534255 -0.07098686 -1.30514111  1.28110705 -0.08823594 -0.65185829
 -1.18154992  1.34239387  0.46198063 -0.53645109  0.        ]",[ 0.49708593 -1.25085021],-0.0919377357022,-0.0919377357022,[ 0.14765546 -1.09364033],"[[ -1.91736697e+00   1.75277749e+00  -9.86704279e-03  -7.56456671e-02]
 [ -9.69258363e+00   1.02149690e+01   0.00000000e+00   0.00000000e+00]]",[-0.60533929 -0.57003969]
9,"[-1.0386651  -0.274005   -1.19818575  1.17180982 -0.0882359  -0.65185793
 -0.89674593  0.66845345  0.3068636  -0.45894238  0.        ]",[ 0.39338703 -0.85827894],-0.0749990505821,-0.0749990505821,[-0.14030847 -0.60946321],"[[-2.08955228  1.91531395 -0.00986704 -0.07564567]
 [-7.53311163  6.05259034  0.          0.        ]]",[-0.60533929 -0.57003969]
10,"[-1.19774517 -0.37679323 -1.08879931  1.08803307 -0.08823587 -0.65185757
 -0.67170013  0.09875064  0.18744993 -0.43102919  0.        ]",[-0.77050977  0.10605767],-0.0630463646399,-0.0630463646399,[-0.27525291 -0.0306223 ],"[[-2.22309419  2.00106238 -0.00986704 -0.07564567]
 [-5.82674391  2.53400116  0.          0.        ]]",[-0.60533929 -0.57003969]
11,"[-1.35386005 -0.43998126 -0.94529084  1.02589352 -0.08823583 -0.65185721
 -1.05875445  0.15862394  0.05406859 -0.43151018  0.        ]",[ 1.64558217 -0.89003606],-0.0512641357836,-0.0512641357836,[ 1.22523701 -0.22780144],"[[-2.36907441  2.05545295 -0.00986704 -0.07564567]
 [-8.7615219   2.90378994  0.          0.        ]]",[-0.60533929 -0.57003969]
12,"[-1.47785888 -0.46519572 -0.79436283  0.9986554  -0.0882358  -0.65185684
 -0.5138016  -0.42136496 -0.0746514  -0.44746874  0.        ]",[ 0.20515949  0.23619455],-0.0418174742908,-0.0418174742908,[ 0.36504197  0.56587529],"[[-2.50284744  2.0775878  -0.00986704 -0.07564567]
 [-4.62951444 -0.67832679  0.          0.        ]]",[-0.60533929 -0.57003969]
13,"[-1.54499868 -0.46060508 -0.69193192  1.00372097 -0.08823577 -0.65185648
 -0.3946191  -0.26778512 -0.16351948 -0.46866033  0.        ]",[-0.67816295 -0.39380163],-0.0373292394109,-0.0373292394109,[ 0.29583666  0.39195526],"[[-2.58637078  2.07353818 -0.00986704 -0.07564567]
 [-3.72583563  0.2702089   0.          0.        ]]",[-0.60533929 -0.57003969]
14,"[-1.61464534 -0.4488909  -0.56124299  1.01643045 -0.08823573 -0.65185612
 -0.73891668 -0.52110743 -0.27585656 -0.48718663  0.        ]",[ 2.51045175  1.42777326],-0.033817431881,-0.033817431881,[ 1.97434139  1.04346681],"[[-2.68708039  2.06324474 -0.00986704 -0.07564567]
 [-6.33641338 -1.29435571  0.          0.        ]]",[-0.60533929 -0.57003969]
15,"[-1.66370776 -0.46491307 -0.44470226  0.99896569 -0.0882357  -0.65185576
 -0.20035666  0.12409088 -0.35704561 -0.46672926  0.        ]",[ 0.08711068 -0.71406001],-0.0309029829183,-0.0309029829183,[ 0.18786305 -0.03919306],"[[-2.7728372   2.07733875 -0.00986704 -0.07564567]
 [-2.25288037  2.69050132  0.          0.        ]]",[-0.60533929 -0.57003969]
16,"[-1.68378598 -0.49292067 -0.3873332   0.96700592 -0.08823566 -0.6518554
 -0.14897623 -0.34232897 -0.38215472 -0.43520581  0.        ]",[ 0.30967702  0.61177459],-0.0284184859529,-0.0284184859529,[ 0.29769304  0.60663223],"[[-2.81398602  2.10224586 -0.00986704 -0.07564567]
 [-1.86329818 -0.19018842  0.          0.        ]]",[-0.60533929 -0.57003969]
