timestep,rewards,actions,original_rewards,avg_action_dist,human_obs,obs,logstd_action_dist
0,-0.166591239751,[-3.7933377  -1.34342651],-0.166591239751,[-3.58512831 -1.84237385],"[[ 0.05086317  0.02914179  0.18087161 -0.15023437]
 [-0.00330238  0.0034196   0.          0.        ]]","[ 1.07972325  1.61668599  0.22070822 -1.05202911  1.56666011 -1.2919597
  0.11530568 -0.31811348 -0.12691841  1.75961864  0.        ]",[-0.31903949 -0.30743593]
1,-0.154195152598,[-1.65352935 -1.76121079],-0.154195152598,[-2.06033611 -0.53233993],"[[ 0.01112272 -0.0105029   0.18087161 -0.15023437]
 [-3.95758143 -3.95470206  0.          0.        ]]","[ 1.08149561  1.6171583   0.16127219 -1.15604139  1.56665724 -1.29195788
 -0.35110644 -0.91222946 -0.12259671  1.61984349  0.        ]",[-0.31903949 -0.30743593]
2,-0.116732308082,[-0.34013824 -0.05447656],-0.116732308082,[-0.15904897  1.18728626],"[[-0.1069191  -0.12852403  0.18087161 -0.15023437]
 [-7.83371948 -7.83448141  0.          0.        ]]","[ 1.07335871  1.6066125  -0.01506306 -1.46479136  1.56665438 -1.29195605
 -0.80830143 -1.49458458 -0.15534047  1.20665424  0.        ]",[-0.31903949 -0.30743593]
3,-0.0650264172787,[ 1.64304488  2.16882008],-0.0650264172787,[ 1.5552901   2.01001906],"[[-0.27554048 -0.28581651  0.18087161 -0.15023437]
 [-9.02448148 -7.89455889  0.          0.        ]]","[ 1.02725129  1.56501825 -0.26249859 -1.86827008  1.56665152 -1.29195423
 -0.94875249 -1.50359965 -0.3104634   0.66212987  0.        ]",[-0.31903949 -0.30743593]
4,-0.0329060673057,[ 1.98271664  1.92128304],-0.0329060673057,[ 1.18111813  1.49822688],"[[-0.41456525 -0.40242651  0.18087161 -0.15023437]
 [-4.89170534 -3.78015174  0.          0.        ]]","[ 0.95957464  1.51441887 -0.4581181  -2.15613801  1.56664865 -1.2919524
 -0.46128556 -0.88602415 -0.51551381  0.27969147  0.        ]",[-0.31903949 -0.30743593]
5,-0.0301736063938,[-0.14065265  0.2058649 ],-0.0301736063938,[-0.03959985  0.52454042],"[[-0.47175197 -0.43756563  0.18087161 -0.15023437]
 [-0.84042954  0.25279904  0.          0.        ]]","[ 0.92426008  1.49597905 -0.53541629 -2.24031565  1.56664579 -1.29195058
  0.01656818 -0.28067591 -0.60802107  0.1501079   0.        ]",[-0.31903949 -0.30743593]
6,-0.0302625145652,[ 0.49827308 -0.11262401],-0.0302625145652,[ 0.1822148   0.45433408],"[[-0.49397955 -0.42437928  0.18087161 -0.15023437]
 [-1.38052856  1.0631352   0.          0.        ]]","[ 0.90939447  1.5030652  -0.56487426 -2.20887292  1.56664293 -1.29194875
 -0.04713728 -0.15904386 -0.62454329  0.12177748  0.        ]",[-0.31903949 -0.30743593]
7,-0.0298682486328,[-0.48688556  0.40156919],-0.0298682486328,[-0.43252373  0.33180425],"[[-0.50153695 -0.40780948  0.18087161 -0.15023437]
 [ 0.61813126  0.5954052   0.          0.        ]]","[ 0.90419648  1.51168093 -0.57481061 -2.16909888  1.56664006 -1.29194693
  0.18860764 -0.22925033 -0.6206919   0.12111764  0.        ]",[-0.31903949 -0.30743593]
8,-0.0290794528336,[ 0.85005367  0.88669233],-0.0290794528336,[ 0.02992713  0.20898211],"[[-0.5086283  -0.38005893  0.18087161 -0.15023437]
 [-1.3208064   2.17438582  0.          0.        ]]","[ 0.8992534   1.5253844  -0.58409682 -2.10185733  1.5666372  -1.2919451
 -0.04009316  0.00775586 -0.60761565  0.12988236  0.        ]",[-0.31903949 -0.30743593]
9,-0.0285108956242,[-0.96497192  0.31883739],-0.0285108956242,[-1.47522986 -0.93870986],"[[-0.50105552 -0.30178951  0.18087161 -0.15023437]
 [ 2.06678624  5.64100473  0.          0.        ]]","[ 0.90452798  1.55904966 -0.57417801 -1.90835065  1.56663434 -1.29194328
  0.35947884  0.52809793 -0.54002494  0.20608883  0.        ]",[-0.31903949 -0.30743593]
