timestep,rewards,actions,original_rewards,avg_action_dist,human_obs,obs,logstd_action_dist
0,-0.399097152419,[-1.80310536  1.94841731],-0.399097152419,[-1.40546858  1.81078947],"[[ 0.06762334 -0.01456581 -0.1668933  -0.11976783]
 [ 0.00215169 -0.00400929  0.          0.        ]]","[ 1.05321899  1.82970323  0.27657397 -1.0175868  -1.44276135 -1.02620509
  0.12482547 -0.33481716  2.80287732  1.25597384  0.        ]",[-0.12278312 -0.16287714]
1,-0.397980724844,[-0.16917747  3.25442202],-0.397980724844,[-1.2162832   1.57025027],"[[ 0.02796     0.02509809 -0.1668933  -0.11976783]
 [-3.95530399  3.95719203  0.          0.        ]]","[ 1.05595616  1.82942531  0.21656    -0.9065463  -1.44275824 -1.02620362
 -0.29810599  0.22745336  2.80445989  1.2170535   0.        ]",[-0.12278312 -0.16287714]
2,-0.396075861496,[-1.84519555  1.9178465 ],-0.396075861496,[-1.09913003  1.41290271],"[[-0.05709104  0.14318598 -0.1668933  -0.11976783]
 [-4.54782241  7.83865815  0.          0.        ]]","[ 1.05416457  1.81648581  0.08776774 -0.57729267 -1.44275512 -1.02620214
 -0.36142795  0.77840556  2.80126429  1.16909506  0.        ]",[-0.12278312 -0.16287714]
3,-0.39200607819,[ 0.0754836   1.73145956],-0.39200607819,[-0.88113827  1.28555596],"[[ -0.18685072   0.33814451  -0.1668933   -0.11976783]
 [ -8.41528287  11.6444849    0.           0.        ]]","[ 1.03135879  1.75598201 -0.10720931 -0.04803143 -1.44275201 -1.02620066
 -0.77474153  1.31861965  2.78075088  1.11260537  0.        ]",[-0.12278312 -0.16287714]
4,-0.384313428197,[-0.59385459  1.71119832],-0.384313428197,[-0.70296544  1.13627243],"[[ -0.35050478   0.60844606  -0.1668933   -0.11976783]
 [ -7.95163135  15.37323696   0.           0.        ]]","[ 0.96863278  1.59580125 -0.34596919  0.62350021 -1.4427489  -1.02619919
 -0.72519043  1.84788995  2.72395869  1.07050691  0.        ]",[-0.12278312 -0.16287714]
5,-0.371429513361,[-0.29893242  0.99021881],-0.371429513361,[-0.40443668  1.00628543],"[[ -0.53154481   0.9525901   -0.1668933   -0.11976783]
 [-10.14508007  19.02892734   0.           0.        ]]","[ 0.85708011  1.28158263 -0.59364733  1.30474665 -1.44274578 -1.02619771
 -0.95960255  2.36678344  2.60835403  1.07592557  0.        ]",[-0.12278312 -0.16287714]
6,-0.349614333328,[-0.82061329  1.50287089],-0.349614333328,[-0.07700501  0.86290479],"[[ -0.74431039   1.36872649  -0.1668933   -0.11976783]
 [-11.12816004  22.57285829   0.           0.        ]]","[ 0.67427377  0.78752563 -0.85208927  1.76595233 -1.44274267 -1.02619624
 -1.06466252  2.86980407  2.40735214  1.09842327  0.        ]",[-0.12278312 -0.16287714]
7,-0.316314396844,[ 0.87300333 -0.17548592],-0.316314396844,[ 0.4919031  0.7528578],"[[ -0.99725529   1.85542677  -0.1668933   -0.11976783]
 [-14.15633197  26.08535595   0.           0.        ]]","[ 0.39538067  0.15964809 -1.0982916   1.71026726 -1.44273956 -1.02619476
 -1.38827977  3.36834985  2.09806182  1.12468123  0.        ]",[-0.12278312 -0.16287714]
8,-0.276307705388,[ 0.30640339  1.73305627],-0.276307705388,[ 0.39682814  0.56484985],"[[ -1.24289854   2.36497123  -0.1668933   -0.11976783]
 [-10.42024925  24.87327478   0.           0.        ]]","[ 0.07657744 -0.40431048 -1.2599861   0.98543972 -1.44273644 -1.02619329
 -0.98900429  3.1962794   1.70734735  1.17582243  0.        ]",[-0.12278312 -0.16287714]
9,-0.232173493391,[ 1.52362852  0.45846733],-0.232173493391,[ 0.45385423  0.44121248],"[[ -1.43705912   2.89722138  -0.1668933   -0.11976783]
 [ -9.00047767  28.34024012   0.           0.        ]]","[-0.19620018 -0.739444   -1.32716848 -0.29942985 -1.44273333 -1.02619181
 -0.83727269  3.68834685  1.247493    1.23265766  0.        ]",[-0.12278312 -0.16287714]
10,-0.208153854745,[-1.15483401 -0.74503138],-0.208153854745,[-0.60973597  0.10946465],"[[-1.57556849  3.16676992 -0.1668933  -0.11976783]
 [-4.86413569  1.83797407  0.          0.        ]]","[-0.39583277 -0.77777229 -1.34067602 -1.04729386 -1.44273022 -1.02619034
 -0.39522256 -0.07338291  0.9976929   1.22991926  0.        ]",[-0.12278312 -0.16287714]
11,-0.212956817714,[-0.85313776  0.77012244],-0.212956817714,[-0.55476403  0.19362396],"[[-1.71161324  3.13394586 -0.1668933  -0.11976783]
 [-8.72739439 -3.5750813   0.          0.        ]]","[-0.59180649 -0.77814657 -1.32569561 -0.95540185 -1.4427271  -1.02618886
 -0.80808734 -0.84171114  1.0501256   1.2285049   0.        ]",[-0.12278312 -0.16287714]
12,-0.217704123005,[ 0.40944074 -0.31146586],-0.217704123005,[-0.20591593  0.01965785],"[[ -1.91831797   3.07304017  -0.1668933   -0.11976783]
 [-11.93238898  -2.40334406   0.           0.        ]]","[-0.88120929 -0.77512098 -1.25012656 -0.78503176 -1.44272399 -1.02618739
 -1.15060271 -0.675394    1.1199339   1.19710735  0.        ]",[-0.12278312 -0.16287714]
13,-0.219316719078,[-0.21830045 -0.25142204],-0.219316719078,[-0.27609748 -0.04524866],"[[ -2.13833093   3.01307718  -0.1668933   -0.11976783]
 [-10.07509279  -3.5890064    0.           0.        ]]","[-1.16594173 -0.76742916 -1.10319244 -0.61799049 -1.44272088 -1.02618591
 -0.95211255 -0.84368603  1.17395884  1.13308086  0.        ]",[-0.12278312 -0.16287714]
14,-0.217869919597,[-0.67969497 -0.48462415],-0.217869919597,[-0.09264597 -0.04057914],"[[ -2.34650333   2.93202052  -0.1668933   -0.11976783]
 [-10.73992026  -4.51358592   0.           0.        ]]","[-1.40106525 -0.74965053 -0.90730938 -0.39434951 -1.44271776 -1.02618444
 -1.02316107 -0.97491965  1.21516974  1.02799533  0.        ]",[-0.12278312 -0.16287714]
15,-0.210453817605,[-0.35013045 -0.14070706],-0.210453817605,[ 0.37853825  0.13285404],"[[ -2.58616826   2.82338991  -0.1668933   -0.11976783]
 [-13.21827684  -6.3433955    0.           0.        ]]","[-1.61709232 -0.71271931 -0.62459288 -0.10088562 -1.44271465 -1.02618296
 -1.28802018 -1.23464091  1.21767806  0.86802848  0.        ]",[-0.12278312 -0.16287714]
16,-0.193722601402,[ 1.54533478 -0.56055375],-0.193722601402,[ 0.78882468  0.13098654],"[[ -2.8618137    2.69218886  -0.1668933   -0.11976783]
 [-14.34248736  -6.77529375   0.           0.        ]]","[-1.77816785 -0.64870111 -0.24410657  0.23947363 -1.44271154 -1.02618148
 -1.40816135 -1.29594215  1.13623778  0.67829955  0.        ]",[-0.12278312 -0.16287714]
17,-0.169364070095,[ 0.92485863  0.79072242],-0.169364070095,[ 0.66868109  0.22217536],"[[ -3.10608717   2.5357566   -0.1668933   -0.11976783]
 [-10.09898714  -8.86097097   0.           0.        ]]","[-1.83345535 -0.54610136  0.12044957  0.6174957  -1.44270842 -1.02618001
 -0.95465852 -1.59197929  0.97019936  0.51362185  0.        ]",[-0.12278312 -0.16287714]
18,-0.146068892103,[-1.08267268 -0.88708544],-0.146068892103,[ 0.35759714 -0.25177592],"[[-3.26931929  2.39170894 -0.1668933  -0.11976783]
 [-6.23718753 -5.55480319  0.          0.        ]]","[-1.82258628 -0.42840365  0.36719474  0.93135636 -1.44270531 -1.02617853
 -0.54194867 -1.12270048  0.78817561  0.42578569  0.        ]",[-0.12278312 -0.16287714]
19,-0.121620741379,[-0.27544292 -0.36956392],-0.121620741379,[ 1.1738019   0.37958285],"[[ -3.43253893   2.24647324  -0.1668933   -0.11976783]
 [-10.07185809  -8.9574502    0.           0.        ]]","[-1.77360778 -0.28973192  0.60879144  1.20777242 -1.4427022  -1.02617706
 -0.95175768 -1.60566765  0.57184964  0.41205263  0.        ]",[-0.12278312 -0.16287714]
20,-0.0965078580694,[ 0.5080706   1.28203839],-0.0965078580694,[ 1.6280359   0.69240963],"[[ -3.64290522   2.05441815  -0.1668933   -0.11976783]
 [-10.96172382 -10.24378626   0.           0.        ]]","[-1.65649328 -0.08052056  0.90225672  1.50183309 -1.44269908 -1.02617558
 -1.04685588 -1.78824454  0.27513359  0.52358229  0.        ]",[-0.12278312 -0.16287714]
21,-0.0957326124336,[ 1.71536037  0.26841411],-0.0957326124336,[ 1.58150077  0.33835557],"[[-3.8397782   1.89129909 -0.1668933  -0.11976783]
 [-8.73315938 -6.08197647  0.          0.        ]]","[-1.49612887  0.11500907  1.14805257  1.68034095 -1.44269597 -1.02617411
 -0.80868882 -1.19751741  0.04263011  0.75909342  0.        ]",[-0.12278312 -0.16287714]
22,-0.110067901174,[ 2.37234544  0.4961831 ],-0.110067901174,[ 1.47433805  0.36449826],"[[-3.97299123  1.78152429 -0.1668933  -0.11976783]
 [-4.60199244 -4.89942142  0.          0.        ]]","[-1.3629047   0.25306709  1.29355109  1.76097299 -1.44269286 -1.02617263
 -0.36719165 -1.02966474 -0.07723435  0.97893993  0.        ]",[-0.12278312 -0.16287714]
23,-0.119919485137,[ 0.2770619   0.18899848],-0.119919485137,[ 1.19623864  0.23409674],"[[-4.02440725  1.70421549 -0.1668933  -0.11976783]
 [-0.5531655  -2.83832244  0.          0.        ]]","[-1.30672711  0.35236489  1.3445323   1.79801909 -1.44268975 -1.02617116
  0.0655058  -0.73711274 -0.13696121  1.10000774  0.        ]",[-0.12278312 -0.16287714]
24,-0.122724092993,[ 0.28324561 -0.69741708],-0.122724092993,[ 1.06780469  0.17674361],"[[-4.02435953  1.65551971 -0.1668933  -0.11976783]
 [ 0.55423714 -2.03393774  0.          0.        ]]","[-1.30677792  0.41548089  1.34448375  1.8128529  -1.44268663 -1.02616968
  0.18385369 -0.6229382  -0.16931622  1.13670465  0.        ]",[-0.12278312 -0.16287714]
25,-0.124020937269,[ 0.28610675  1.20656099],-0.124020937269,[ 0.86201841  0.34665045],"[[-4.00213302  1.58753631 -0.1668933  -0.11976783]
 [ 1.66471772 -4.75533646  0.          0.        ]]","[-1.33136465  0.50400062  1.32281216  1.82249735 -1.44268352 -1.02616821
  0.3025305  -1.00921083 -0.21264714  1.15882934  0.        ]",[-0.12278312 -0.16287714]
26,-0.121342754632,[ 0.47109003 -0.12354615],-0.121342754632,[ 0.71741068  0.04595438],"[[-3.95781565  1.53309992 -0.1668933  -0.11976783]
 [ 2.76334186 -0.7018172   0.          0.        ]]","[-1.37898896  0.57497326  1.27792126  1.82089513 -1.44268041 -1.02616673
  0.41994018 -0.43385585 -0.24670799  1.13793904  0.        ]",[-0.12278312 -0.16287714]
27,-0.111641323593,[-0.30312899 -0.91774464],-0.111641323593,[ 0.35008544 -0.01628971],"[[-3.88439123  1.51429097 -0.1668933  -0.11976783]
 [ 4.57306593 -1.17750202  0.          0.        ]]","[-1.45357132  0.59947227  1.1988228   1.81841029 -1.44267729 -1.02616526
  0.61334501 -0.50137393 -0.2559128   1.04318088  0.        ]",[-0.12278312 -0.16287714]
28,-0.103815625462,[-0.13080953 -0.53009247],-0.103815625462,[ 0.36815277  0.24826837],"[[-3.80586779  1.45451649 -0.1668933  -0.11976783]
 [ 3.28358438 -4.78790387  0.          0.        ]]","[-1.52697444  0.67711616  1.10813347  1.80396718 -1.44267418 -1.02616378
  0.4755375  -1.01383179 -0.28653609  0.9699174   0.        ]",[-0.12278312 -0.16287714]
29,-0.102939903671,[-0.50720038  0.18025055],-0.102939903671,[ 0.35588872  0.42675546],"[[-3.74603783  1.33865084 -0.1668933  -0.11976783]
 [ 2.70137542 -6.79197788  0.          0.        ]]","[-1.57821646  0.82583562  1.03513919  1.74776646 -1.44267107 -1.02616231
  0.41331636 -1.29828697 -0.35243257  0.96638218  0.        ]",[-0.12278312 -0.16287714]
30,-0.108247167601,[-0.3881524  0.6914805],-0.108247167601,[ 0.65136749  0.4845807 ],"[[-3.71268529  1.21132599 -0.1668933  -0.11976783]
 [ 0.64076996 -5.94332252  0.          0.        ]]","[-1.60494326  0.98454932  0.99309296  1.64391667 -1.44266796 -1.02616083
  0.19309873 -1.17782719 -0.42342697  1.01760715  0.        ]",[-0.12278312 -0.16287714]
31,-0.117329649732,[ 1.15997327  0.71810833],-0.117329649732,[ 0.96094209  0.38560095],"[[-3.71541353  1.1211151  -0.1668933  -0.11976783]
 [-0.90844034 -3.08728167  0.          0.        ]]","[-1.60280307  1.09265059  0.99656569  1.54453083 -1.44266484 -1.02615935
  0.02753406 -0.7724411  -0.47047672  1.10312018  0.        ]",[-0.12278312 -0.16287714]
32,-0.116711773027,[ 0.03707049 -0.7952259 ],-0.116711773027,[ 0.40202239  0.07063539],"[[-3.69370968  1.08850084 -0.1668933  -0.11976783]
 [ 3.06557101 -0.18382774  0.          0.        ]]","[-1.6195415   1.13064204  0.96875968  1.5035032  -1.44266173 -1.02615788
  0.45223798 -0.36032569 -0.48548818  1.09522645  0.        ]",[-0.12278312 -0.16287714]
33,-0.109030407288,[ 1.62220012 -0.96464449],-0.109030407288,[ 0.24908894  0.25916582],"[[-3.63152666  1.05326759 -0.1668933  -0.11976783]
 [ 3.15243614 -3.32901541  0.          0.        ]]","[-1.66426992  1.17096023  0.88706977  1.45621858 -1.44265862 -1.0261564
  0.4615209  -0.80675175 -0.49853045  1.01733571  0.        ]",[-0.12278312 -0.16287714]
34,-0.100811499613,[ 0.49869602  0.15136738],-0.100811499613,[-0.35454747  0.56879497],"[[-3.52939494  0.94901342 -0.1668933  -0.11976783]
 [ 7.04772359 -7.08391877  0.          0.        ]]","[-1.72696537  1.28538688  0.74707181  1.29886498 -1.4426555  -1.02615493
  0.87781132 -1.33971912 -0.5362219   0.92847715  0.        ]",[-0.12278312 -0.16287714]
35,-0.0845076229385,[ 0.14362848  0.66621059],-0.0845076229385,[-0.71784699  0.59984386],"[[-3.37004681  0.81474805 -0.1668933  -0.11976783]
 [ 8.88096014 -6.34509805  0.          0.        ]]","[-1.79673821  1.42043604  0.51728565  1.06008289 -1.44265239 -1.02615345
  1.07372873 -1.23484898 -0.56435644  0.75662629  0.        ]",[-0.12278312 -0.16287714]
36,-0.0594861825237,[-0.71302586 -0.43503349],-0.0594861825237,[-0.98565912  0.45555526],"[[-3.18849999  0.71556983 -0.1668933  -0.11976783]
 [ 9.27242484 -3.58193349  0.          0.        ]]","[-1.83269814  1.50997636  0.24523472  0.85989012 -1.44264928 -1.02615198
  1.11556303 -0.84264548 -0.54045827  0.5080581   0.        ]",[-0.12278312 -0.16287714]
