timestep,obs,actions,rewards,original_rewards,avg_action_dist,human_obs,logstd_action_dist
0,"[ 1.05640388  1.7320206   0.1285293  -0.80870764 -1.32190087  1.66169693
  0.10678128 -0.32651874  2.79414106 -1.97837539  0.        ]",[ 3.41602286  4.09047057],-0.404723815207,-0.404723815207,[ 4.06863737  3.16234183],"[[ -1.12191759e-02   9.38074372e-02  -1.51832369e-01   1.90036090e-01]
 [  5.36874019e-05   3.29087819e-03   0.00000000e+00   0.00000000e+00]]",[-0.18147197 -0.21387231]
1,"[ 1.05590768  1.72616627  0.18831731 -0.70144888 -1.32189864  1.6616931
  0.55353728  0.24731966  2.78449421 -1.84646233  0.        ]",[ 2.83706463  0.82279478],-0.398203794603,-0.398203794603,[ 3.37228346  2.25486445],"[[ 0.02845711  0.13358503 -0.15183237  0.19003609]
 [ 3.95441986  3.96128166  0.          0.        ]]",[-0.18147197 -0.21387231]
2,"[ 1.04100347  1.69909329  0.36534117 -0.40540635 -1.32189641  1.66168926
  0.99150174  0.70807055  2.71532239 -1.47126588  0.        ]",[ 2.2978208   0.20705504],-0.376896312602,-0.376896312602,[ 2.73104501  1.66502035],"[[ 0.14643977  0.24469642 -0.15183237  0.19003609]
 [ 7.83097481  7.13926485  0.          0.        ]]",[-0.18147197 -0.21387231]
3,"[ 0.97307181  1.63824228  0.64971834 -0.02033345 -1.32189418  1.66168543
  1.42093929  0.80621463  2.49791647 -0.94153834  0.        ]",[ 1.01334881  2.93424481],-0.337930934664,-0.337930934664,[ 1.87804556  1.20157874],"[[  0.34119622   0.39427387  -0.15183237   0.19003609]
 [ 11.63206819   7.81620831   0.           0.        ]]",[-0.18147197 -0.21387231]
4,"[ 0.79449204  1.51943124  1.0102757   0.44429992 -1.32189196  1.66168159
  1.84181773  1.35759719  2.02455216 -0.3918977   0.        ]",[ 0.91398746  0.46631864],-0.275248120782,-0.275248120782,[ 0.05451559 -0.42615786],"[[  0.61121348   0.58875634  -0.15183237   0.19003609]
 [ 15.35742556  11.61932336   0.           0.        ]]",[-0.18147197 -0.21387231]
5,"[ 0.44924572  1.30916168  1.37269814  0.9533085  -1.32188973  1.66167776
  2.21614079  1.59166099  1.25789962 -0.08995371  0.        ]",[-2.14919258 -3.38868987],-0.186070914274,-0.186070914274,[-1.23989892 -2.02220583],"[[  0.95160333   0.83734185  -0.15183237   0.19003609]
 [ 18.67074024  13.23377655   0.           0.        ]]",[-0.18147197 -0.21387231]
6,"[ 0.02199573  1.07545088  1.58992094  1.30431353 -1.3218875   1.66167392
  1.72773575  0.97965077  0.53667567 -0.23664307  0.        ]",[-2.10389752 -1.89829182],-0.104842467757,-0.104842467757,[-1.50630641 -2.04133701],"[[  1.28164665   1.05966374  -0.15183237   0.19003609]
 [ 14.34775058   9.0125074    0.           0.        ]]",[-0.18147197 -0.21387231]
7,"[-0.32593691  0.9129872   1.65097312  1.46517119 -1.32188527  1.66167009
  1.2488473   0.37978741  0.11628678 -0.55316296  0.        ]",[-3.04136189 -1.41769848],-0.0719936557615,-0.0719936557615,[-1.56899559 -1.73923135],"[[  1.52607463   1.19840067  -0.15183237   0.19003609]
 [ 10.10897006   4.87501372   0.           0.        ]]",[-0.18147197 -0.21387231]
8,"[-0.55778127  0.84365984  1.64238958  1.51716246 -1.32188304  1.66166625
  0.77933374 -0.20816815 -0.08747195 -0.79641682  0.        ]",[-2.91129371 -2.22983582],-0.0761441514585,-0.0761441514585,[-1.09744418 -1.17568028],"[[ 1.68655853  1.25521185 -0.15183237  0.19003609]
 [ 5.95315775  0.8196523   0.          0.        ]]",[-0.18147197 -0.21387231]
9,"[-0.66954681  0.87249242  1.62421607  1.49666278 -1.32188081  1.66166242
  0.31907487 -0.784459   -0.16416192 -0.87088479  0.        ]",[ 1.1396933  -0.73268109],-0.0796206072926,-0.0796206072926,[-0.35553217 -0.34610632],"[[ 1.76474702  1.23172312 -0.15183237  0.19003609]
 [ 1.87925781 -3.15525518  0.          0.        ]]",[-0.18147197 -0.21387231]
10,"[-0.77784006  0.98251253  1.59751935  1.40335621 -1.32187859  1.66165859
  0.76199404 -1.19616354 -0.22752748 -0.87266565  0.        ]",[ 0.10335566  1.8530181 ],-0.0779400871801,-0.0779400871801,[-0.90002728 -0.12576944],"[[ 1.84166741  1.14012669 -0.15183237  0.19003609]
 [ 5.79968463 -5.99495308  0.          0.        ]]",[-0.18147197 -0.21387231]
11,"[-0.94054918  1.07377089  1.53941224  1.30626331 -1.32187636  1.66165475
  0.7950956  -0.60491617 -0.33138662 -0.95833682  0.        ]",[-1.37343971 -0.1491518 ],-0.0845104345342,-0.0845104345342,[-1.40807974 -0.8301028 ],"[[ 1.96060084  1.06114415 -0.15183237  0.19003609]
 [ 6.09268417 -1.91689343  0.          0.        ]]",[-0.18147197 -0.21387231]
12,"[-1.04698088  1.12279272  1.48853851  1.24590682 -1.32187413  1.66165092
  0.3344689  -0.68488069 -0.39943758 -1.03598637  0.        ]",[-0.44930314  0.06511823],-0.0918754542377,-0.0918754542377,[-0.82336938 -0.43105718],"[[ 2.04154701  1.01727217 -0.15183237  0.19003609]
 [ 2.0155328  -2.4684439   0.          0.        ]]",[-0.18147197 -0.21387231]
13,"[-1.07528527  1.17308865  1.47312215  1.1774148  -1.3218719   1.66164708
  0.12910944 -0.64033687 -0.41435149 -1.01896183  0.        ]",[ 0.14130711 -0.82226898],-0.0903213514967,-0.0903213514967,[-0.52501321 -0.27044848],"[[ 2.06362003  0.97098582 -0.15183237  0.19003609]
 [ 0.19783262 -2.16121186  0.          0.        ]]",[-0.18147197 -0.21387231]
14,"[-1.08741121  1.25168171  1.46625921  1.05552964 -1.32186967  1.66164325
  0.19194507 -1.106197   -0.41282605 -0.94875396  0.        ]",[-0.52123321  0.86380509],-0.0835974239903,-0.0835974239903,[-0.28162473  0.44859636],"[[ 2.07315688  0.89552224 -0.15183237  0.19003609]
 [ 0.75401122 -5.37443744  0.          0.        ]]",[-0.18147197 -0.21387231]
15,"[-1.08007855  1.32246595  1.47042205  0.92780731 -1.32186744  1.66163941
 -0.04284674 -0.59479024 -0.39262207 -0.85844632  0.        ]",[-1.10706279 -1.00621598],-0.0748543454918,-0.0748543454918,[-0.16590516  0.01140448],"[[ 2.06738579  0.82342469 -0.15183237  0.19003609]
 [-1.32420237 -1.84707276  0.          0.        ]]",[-0.18147197 -0.21387231]
16,"[-0.99479033  1.39237306  1.51482696  0.78141004 -1.32186522  1.66163558
 -0.48671265 -1.16337921 -0.2977159  -0.67294058  0.        ]",[ 1.59971976  0.9648012 ],-0.0576734981642,-0.0576734981642,[ 1.05885875  1.22030616],"[[ 2.00148237  0.74713477 -0.15183237  0.19003609]
 [-5.25299474 -5.76885846  0.          0.        ]]",[-0.18147197 -0.21387231]
17,"[-0.90900001  1.45644555  1.55244068  0.62507867 -1.32186299  1.66163174
 -0.02813621 -0.5931584  -0.1854177  -0.50281125  0.        ]",[-0.33676296  0.56382481],-0.045977724806,-0.045977724806,[ 0.08731201  0.18643728],"[[ 1.93714818  0.67121884 -0.15183237  0.19003609]
 [-1.19400044 -1.83583141  0.          0.        ]]",[-0.18147197 -0.21387231]
18,"[-0.85864021  1.46758969  1.57145271  0.59527061 -1.32186076  1.66162791
 -0.17607659 -0.26414946 -0.12894178 -0.44004849  0.        ]",[-0.84336515  0.10782082],-0.0444541490119,-0.0444541490119,[ 0.22163719 -0.08011529],"[[ 1.90012995  0.65727086 -0.15183237  0.19003609]
 [-2.50346427  0.43346658  0.          0.        ]]",[-0.18147197 -0.21387231]
19,"[-0.74343128  1.45730231  1.60696592  0.62280191 -1.32185853  1.66162408
 -0.54745637 -0.20334074 -0.01998883 -0.34984835  0.        ]",[ 0.18706628  0.07062449],-0.0479079855955,-0.0479079855955,[ 0.88754833  0.14552669],"[[ 1.81707934  0.67014853 -0.15183237  0.19003609]
 [-5.7906554   0.85288622  0.          0.        ]]",[-0.18147197 -0.21387231]
20,"[-0.59118591  1.44124903  1.63789216  0.66435619 -1.3218563   1.66162024
 -0.45091471 -0.16529864  0.12639015 -0.25140389  0.        ]",[ 0.0246279   0.11988045],-0.0592773921314,-0.0592773921314,[ 0.98661184  0.23445517],"[[ 1.70983982  0.68983885 -0.15183237  0.19003609]
 [-4.93614125  1.11527599  0.          0.        ]]",[-0.18147197 -0.21387231]
21,"[-0.45178034  1.41874015  1.65108622  0.71992834 -1.32185408  1.66161641
 -0.42889549 -0.09969878  0.25798499 -0.18501029  0.        ]",[ 0.48962293 -0.26571015],-0.0726438956978,-0.0726438956978,[ 1.14738286  0.31635717],"[[ 1.61307244  0.7166841  -0.15183237  0.19003609]
 [-4.74124583  1.56774181  0.          0.        ]]",[-0.18147197 -0.21387231]
22,"[-0.34407487  1.40109322  1.65164927  0.76146182 -1.32185185  1.66161257
 -0.19941059 -0.25683947  0.36185567 -0.14320069  0.        ]",[ 1.59170661 -1.35095058],-0.0840038835933,-0.0840038835933,[ 1.06258047  0.4976756 ],"[[ 1.53862743  0.73716413 -0.15183237  0.19003609]
 [-2.71001423  0.48388438  0.          0.        ]]",[-0.18147197 -0.21387231]
23,"[-0.32389682  1.42693218  1.6508225   0.70003481 -1.32184962  1.66160874
  0.25377312 -0.83249487  0.40704136 -0.11180467  0.        ]",[ 0.67342629  0.86242268],-0.0889866328276,-0.0889866328276,[ 0.7474786   0.94561744],"[[ 1.52467327  0.70700437 -0.15183237  0.19003609]
 [ 1.30123615 -3.48662318  0.          0.        ]]",[-0.18147197 -0.21387231]
24,"[-0.39982658  1.45562075  1.65239091  0.62719615 -1.32184739  1.6616049
  0.5517327  -0.32752571  0.34772763 -0.12331416  0.        ]",[-0.57489322  0.30840381],-0.0822716895523,-0.0822716895523,[ 0.1063811   0.22444128],"[[  1.57715907e+00   6.72217553e-01  -1.51832369e-01   1.90036090e-01]
 [  3.93855764e+00  -3.67208224e-03   0.00000000e+00   0.00000000e+00]]",[-0.18147197 -0.21387231]
