timestep,rewards,actions,original_rewards,avg_action_dist,human_obs,obs,logstd_action_dist
0,-0.352666088336,[ 3.64764013  2.23304028],-0.352666088336,[ 4.12619686  2.47511315],"[[ 0.01480619  0.05594495 -0.09247236  0.19107218]
 [ 0.00499026  0.00463752  0.          0.        ]]","[ 1.0942529   1.53072229  0.1495653  -1.05171595 -0.79768786  1.65239721
  0.11225649 -0.31353707  2.4709711  -2.17731858  0.        ]",[-0.4701921  -0.43812039]
1,-0.345343812867,[ 3.32995746  0.02574254],-0.345343812867,[ 3.18390155  1.14857864],"[[ 0.05458014  0.09574918 -0.09247236  0.19107218]
 [ 3.95924766  3.96259968  0.          0.        ]]","[ 1.09227497  1.52682929  0.20882545 -0.94910906 -0.79768726  1.6523944
  0.60337848  0.30306952  2.46053867 -2.02889597  0.        ]",[-0.4701921  -0.43812039]
2,-0.324457122613,[ 2.74161415  1.20091593],-0.324457122613,[ 2.6382699   1.20019627],"[[ 0.17267022  0.17522151 -0.09247236  0.19107218]
 [ 7.83685906  3.98455972  0.          0.        ]]","[ 1.07309844  1.51298286  0.38365143 -0.74557958 -0.79768667  1.65239159
  1.08498041  0.3064905   2.39731601 -1.64512013  0.        ]",[-0.4701921  -0.43812039]
3,-0.286328388218,[ 1.86634782 -0.17377581],-0.286328388218,[ 1.43649447  0.19364905],"[[  0.36752924   0.29383362  -0.09247236   0.19107218]
 [ 11.63644981   7.8637117    0.           0.        ]]","[ 0.99870843  1.47744361  0.66319502 -0.44749274 -0.79768607  1.65238879
  1.55689072  0.91081922  2.19129633 -1.07324535  0.        ]",[-0.4701921  -0.43812039]
4,-0.227279816874,[ 0.47363687 -0.58606747],-0.227279816874,[-0.17561528 -0.49005121],"[[  0.63764732   0.44262553  -0.09247236   0.19107218]
 [ 15.36299236   7.01826323   0.           0.        ]]","[ 0.81282023  1.40841136  1.01504591 -0.08892798 -0.79768548  1.65238598
  2.01972583  0.77910701  1.73790552 -0.45144599  0.        ]",[-0.4701921  -0.43812039]
5,-0.155469071695,[-2.08400784 -1.59128491],-0.155469071695,[-1.59123158 -1.11640644],"[[  0.96067173   0.55830262  -0.09247236   0.19107218]
 [ 16.93420032   4.5576152    0.           0.        ]]","[ 0.48247249  1.33684527  1.34941341  0.1733164  -0.79768489  1.65238318
  2.21486497  0.39576464  1.08394813 -0.03842262  0.        ]",[-0.4701921  -0.43812039]
6,-0.0919563309897,[-1.12187683 -0.02756537],-0.0919563309897,[-1.57595646 -0.62220913],"[[  1.25631853   0.60883123  -0.09247236   0.19107218]
 [ 12.64468278   0.50877452   0.           0.        ]]","[ 0.10466296  1.30093101  1.54529054  0.28232022 -0.79768429  1.65238037
  1.68210198 -0.23500078  0.47910189  0.06180645  0.        ]",[-0.4701921  -0.43812039]
7,-0.0489207787012,[-0.43361098 -0.37338591],-0.0489207787012,[-1.36913168 -0.73564261],"[[ 1.46700968  0.61782213 -0.09247236  0.19107218]
 [ 8.43843401  0.39073961  0.          0.        ]]","[-0.19013275  1.29425343  1.61038298  0.3013282  -0.7976837   1.65237757
  1.15968314 -0.25338923  0.07503182  0.00183389  0.        ]",[-0.4701921  -0.43812039]
8,-0.0210905796628,[-1.52351801 -0.04287091],-0.0210905796628,[-1.41177607 -0.56365764],"[[ 1.61689715  0.61073054 -0.09247236  0.19107218]
 [ 6.55656974 -1.09493703  0.          0.        ]]","[-0.40463093  1.29952466  1.61681893  0.28634536 -0.7976831   1.65237476
  0.92595418 -0.48484149 -0.19011529 -0.09471428  0.        ]",[-0.4701921  -0.43812039]
9,-0.0113205766032,[-1.90881483 -0.13831109],-0.0113205766032,[-0.6773538  -0.20479888],"[[ 1.707034    0.58735982 -0.09247236  0.19107218]
 [ 2.47072776 -1.24163337  0.          0.        ]]","[-0.53321675  1.31652229  1.60458548  0.23644529 -0.79768251  1.65237196
  0.41849097 -0.50769492 -0.32848079 -0.15911008  0.        ]",[-0.4701921  -0.43812039]
