timestep,rewards,actions,original_rewards,avg_action_dist,human_obs,obs,logstd_action_dist
0,-0.363760182788,[-0.16521555  0.5158314 ],-0.363760182788,[-0.1564312   0.61329293],"[[ 0.04183323 -0.08262127 -0.14578862 -0.07687521]
 [ 0.00262948  0.00390944  0.          0.        ]]","[ 1.11078922  1.43504967  0.16914528 -1.47506217 -1.25670292 -0.66109161
  0.1069185  -0.30899636  3.1441435   0.92369073  0.        ]",[-0.63367218 -0.61446542]
1,-0.364025031767,[ 0.18995488  0.62807542],-0.364025031767,[ -4.35903668e-04   5.54735839e-01],"[[ 0.03531985 -0.06204845 -0.14578862 -0.07687521]
 [-0.65178627  2.04656495  0.          0.        ]]","[ 1.11114609  1.43698027  0.15948364 -1.42253408 -1.25670171 -0.66109126
  0.02017523  0.02539322  3.1448968   0.93503721  0.        ]",[-0.63367218 -0.61446542]
2,-0.365360897665,[-0.39110007  0.53628047],-0.365360897665,[ 0.28194869  0.62149578],"[[  2.99433306e-02   3.42542398e-03  -1.45788620e-01  -7.68752143e-02]
 [  1.11595853e-01   4.49267075e+00   0.00000000e+00   0.00000000e+00]]","[ 1.11139502  1.43947191  0.15150667 -1.25502591 -1.2567005  -0.66109091
  0.12136205  0.42582895  3.14484123  1.01205461  0.        ]",[-0.63367218 -0.61446542]
3,-0.366784341242,[-0.19136455  0.86967638],-0.366784341242,[ 0.31970364  0.56428182],"[[ 0.01662224  0.11369773 -0.14578862 -0.07687521]
 [-1.43853902  6.52777481  0.          0.        ]]","[ 1.11183581  1.43108694  0.13173762 -0.97336196 -1.25669929 -0.66109055
 -0.08410952  0.75898212  3.1364975   1.12997778  0.        ]",[-0.63367218 -0.61446542]
4,-0.366882471188,[-0.04334115  0.18589996],-0.366882471188,[ 0.50680739  0.53568274],"[[-0.01947104  0.27750972 -0.14578862 -0.07687521]
 [-2.16834416  9.84237509  0.          0.        ]]","[ 1.11176166  1.38975497  0.07816183 -0.56247018 -1.25669808 -0.6610902
 -0.18084573  1.3015925   3.10958639  1.25893795  0.        ]",[-0.63367218 -0.61446542]
5,-0.364779776158,[-0.70028001  0.28400079],-0.364779776158,[ 0.4408924   0.48822492],"[[ -0.06412909   0.47978796  -0.14578862  -0.07687521]
 [ -2.29702168  10.38364341   0.           0.        ]]","[ 1.10910288  1.29274221  0.0119325  -0.08215049 -1.25669687 -0.66108984
 -0.19790197  1.39019848  3.05098454  1.40972895  0.        ]",[-0.63367218 -0.61446542]
6,-0.359269545734,[ 0.7630429  -0.65894633],-0.359269545734,[ 0.27668393  0.39048555],"[[ -0.13741218   0.69669047  -0.14578862  -0.07687521]
 [ -5.02224499  11.30351689   0.           0.        ]]","[ 1.0986036   1.13663112 -0.09627664  0.37887295 -1.25669566 -0.66108949
 -0.55913259  1.54078297  2.97038727  1.49419924  0.        ]",[-0.63367218 -0.61446542]
7,-0.352050531971,[ 0.15437594  0.69732128],-0.352050531971,[ 0.09750178  0.63548034],"[[-0.20656097  0.89432622 -0.14578862 -0.07687521]
 [-1.90299106  8.46953266  0.          0.        ]]","[ 1.08175014  0.95348511 -0.19739016  0.73241151 -1.25669445 -0.66108913
 -0.14567241  1.07684946  2.87691447  1.55320746  0.        ]",[-0.63367218 -0.61446542]
8,-0.343519657114,[ 0.42772744  0.11698301],-0.343519657114,[ 0.43467712  0.54429483],"[[ -0.23812041   1.08973553  -0.14578862  -0.07687521]
 [ -1.25504576  11.06276075   0.           0.        ]]","[ 1.07183724  0.74123009 -0.24308346  1.00559996 -1.25669324 -0.66108878
 -0.05978658  1.50136767  2.74584551  1.67817525  0.        ]",[-0.63367218 -0.61446542]
9,-0.331188242743,[ 0.06062076 -0.24649688],-0.331188242743,[ 0.72615087  0.59350181],"[[ -0.24598729   1.31343626  -0.14578862  -0.07687521]
 [  0.46270106  11.30651556   0.           0.        ]]","[ 1.06915054  0.4706668  -0.25442091  1.21182926 -1.25669203 -0.66108842
  0.16790253  1.54126918  2.55163875  1.84100771  0.        ]",[-0.63367218 -0.61446542]
