timestep,rewards,actions,original_rewards,avg_action_dist,human_obs,obs,logstd_action_dist
0,-0.183952916355,[ 0.71553894  1.69451737],-0.183952916355,[-0.52933615  1.37575614],"[[ 0.09835843 -0.04960959  0.0271793  -0.01010607]
 [ 0.00259352 -0.0045601   0.          0.        ]]","[ 1.10222366  2.13206291  0.31733898 -0.98054074  0.24057259 -0.09779374
  0.1132379  -0.3579678   1.1077095   0.17716542  0.        ]",[ 0.04079136 -0.08628681]
1,-0.184725267594,[-1.98607515  1.50695524],-0.184725267594,[-1.17298746  1.00544524],"[[ 0.12679445 -0.00998309  0.0271793  -0.01010607]
 [ 2.83159314  3.95402105  0.          0.        ]]","[ 1.09770318  2.13367567  0.35989536 -0.85631038  0.24057232 -0.09779363
  0.37532967  0.18525814  1.10057039  0.26644955  0.        ]",[ 0.04079136 -0.08628681]
2,-0.185692367113,[-0.64877431  0.87892605],-0.185692367113,[-1.21758902  0.91437876],"[[ 0.14315878  0.10805541  0.0271793  -0.01010607]
 [-1.1817897   7.8368821   0.          0.        ]]","[ 1.09458612  2.1256997   0.38431783 -0.48673106  0.24057204 -0.09779352
  0.00351008  0.71809278  1.07831738  0.40671331  0.        ]",[ 0.04079136 -0.08628681]
3,-0.184586812168,[-1.18174981  1.5319352 ],-0.184586812168,[-1.16210639  0.86881483],"[[  9.39946217e-02   2.98163983e-01   2.71793012e-02  -1.01060654e-02]
 [ -3.72614680e+00   1.11628813e+01   0.00000000e+00   0.00000000e+00]]","[ 1.10280841  2.0729575   0.31079533  0.09642546  0.24057176 -0.09779342
 -0.2322117   1.17450898  1.04547388  0.49194161  0.        ]",[ 0.04079136 -0.08628681]
4,-0.179249822022,[-0.53224641  1.06125981],-0.179249822022,[-0.68704373  0.89394045],"[[ -1.94941379e-02   5.58946166e-01   2.71793012e-02  -1.01060654e-02]
 [ -7.60981912e+00   1.49028335e+01   0.00000000e+00   0.00000000e+00]]","[ 1.10878013  1.92413244  0.14007201  0.83831456  0.24057148 -0.09779331
 -0.59201415  1.68772676  0.993362    0.51911468  0.        ]",[ 0.04079136 -0.08628681]
5,-0.166958388858,[-0.21440337  0.56906992],-0.166958388858,[-0.28284532  0.81900609],"[[ -1.91320046e-01   8.93775256e-01   2.71793012e-02  -1.01060654e-02]
 [ -9.56625878e+00   1.85678134e+01   0.00000000e+00   0.00000000e+00]]","[ 1.08324077  1.61931564 -0.11697434  1.61978923  0.24057121 -0.0977932
 -0.77326753  2.19064847  0.90033308  0.49739741  0.        ]",[ 0.04079136 -0.08628681]
6,-0.146151183948,[ 1.12174677  1.41532208],-0.146151183948,[ 0.07359099  0.70898283],"[[ -3.89263571e-01   1.28404949e+00   2.71793012e-02  -1.01060654e-02]
 [ -1.02258822e+01   2.04532958e+01   0.00000000e+00   0.00000000e+00]]","[ 1.00323732  1.14608255 -0.40217103  2.18350456  0.24057093 -0.09779309
 -0.83437696  2.44936853  0.74213744  0.46094359  0.        ]",[ 0.04079136 -0.08628681]
7,-0.11639906653,[-0.85360225  1.15567596],-0.11639906653,[-0.04331174  0.40390313],"[[ -5.52049252e-01   1.72876858e+00   2.71793012e-02  -1.01060654e-02]
 [ -6.06614128e+00   2.40068863e+01   0.00000000e+00   0.00000000e+00]]","[ 0.8989478   0.53994856 -0.62045396  2.27250307  0.24057065 -0.09779299
 -0.44899607  2.93698293  0.48370802  0.47192968  0.        ]",[ 0.04079136 -0.08628681]
8,-0.0761818430296,[-0.70370687 -1.0428183 ],-0.0761818430296,[ 0.30930769  0.41013214],"[[ -7.06059245e-01   2.24386670e+00   2.71793012e-02  -1.01060654e-02]
 [ -9.32412161e+00   2.74912334e+01   0.00000000e+00   0.00000000e+00]]","[ 0.77091267 -0.10188551 -0.80783138  1.62750298  0.24057038 -0.09779288
 -0.75083151  3.41507508  0.12104005  0.43662337  0.        ]",[ 0.04079136 -0.08628681]
9,-0.0373398675499,[-0.26095964  0.4701231 ],-0.0373398675499,[ 0.47914666  0.40497065],"[[ -9.18636621e-01   2.74850003e+00   2.71793012e-02  -1.01060654e-02]
 [ -1.19251985e+01   2.29870921e+01   0.00000000e+00   0.00000000e+00]]","[ 0.55307806 -0.51548501 -1.02763251  0.37644123  0.2405701  -0.09779277
 -0.99180714  2.79697495 -0.23821941  0.2785175   0.        ]",[ 0.04079136 -0.08628681]
