timestep,original_rewards,logstd_action_dist,avg_action_dist,rewards,obs,human_obs,actions
0,-0.181345430411,[-0.25589126 -0.00106988],[-0.26998991  2.45640802],-1.01032,"[ 1.25444982  2.24691695  0.50587117 -0.91346201  0.44941477  0.72050948
 -0.43603098 -0.34491227  0.87506898 -0.74445806  0.        ]","[[ 0.02111626 -0.07328227  0.05040173  0.08280155]
 [ 0.00442703  0.0024304   0.          0.        ]]",[-1.17592942  3.57239606]
1,-0.183261733183,[-0.25589126 -0.00106988],[-0.11638618  2.4438951 ],-1.51598,"[ 1.25452563  2.24989346  0.4459381  -0.78342776  0.44941432  0.72050857
 -0.60800899  0.17463754  0.87511216 -0.7778156   0.        ]","[[-0.01850203 -0.03349087  0.05040173  0.08280155]
 [-3.9530738   3.96350405  0.          0.        ]]",[-0.12820292  1.19393618]
2,-0.18520219583,[-0.25589126 -0.00106988],[-0.0130612   2.47075915],-0.928077,"[ 1.24692276  2.24562404  0.32006025 -0.39690001  0.44941387  0.72050766
 -0.62671495  0.68372147  0.87246462 -0.81585998  0.        ]","[[-0.10188258  0.08472142  0.05040173  0.08280155]
 [-4.38354368  7.84478745  0.          0.        ]]",[ 0.80930466  2.82571463]
3,-0.178953399173,[-0.25589126 -0.00106988],[ 0.01629214  2.49628282],-1.58373,"[ 1.23623839  2.19594505  0.23801679  0.22989185  0.44941343  0.72050676
 -0.48388091  1.18253731  0.86154878 -0.73139069  0.        ]","[[ -0.15657621   0.27977391   0.05040173   0.08280155]
 [ -1.09672238  11.6477964    0.           0.        ]]",[ 0.72462456  0.24239877]
4,-0.161727839091,[-0.25589126 -0.00106988],[  2.24505365e-03   2.52946424e+00],-0.523359,"[ 1.23786353  2.06461994  0.24854874  0.95242445  0.44941298  0.72050585
 -0.35836465  1.2780384   0.81477429 -0.50275936  0.        ]","[[ -0.14953206   0.52003523   0.05040173   0.08280155]
 [  1.79159209  12.37592184   0.           0.        ]]",[ 0.38330308  3.84011436]
5,-0.134517980081,[-0.25589126 -0.00106988],[ 0.11320068  2.53958154],-0.120019,"[ 1.2473758   1.81897165  0.32462765  1.68484123  0.44941253  0.72050495
 -0.29402825  1.76518127  0.68426999 -0.19324787  0.        ]","[[ -0.09884786   0.80481783   0.05040173   0.08280155]
 [  3.27206434  16.08996668   0.           0.        ]]",[ 2.55254586  4.2621929 ]
6,-0.0945661995228,[-0.25589126 -0.00106988],[ 0.43189374  2.52730393],-1.61886,"[ 1.25474774  1.40133601  0.48246826  2.33069545  0.44941208  0.72050404
 -0.12486499  2.24257971  0.39614403  0.14786459  0.        ]","[[  5.64618528e-03   1.16313629e+00   5.04017304e-02   8.28015462e-02]
 [  7.16476271e+00   1.97297655e+01   0.00000000e+00   0.00000000e+00]]",[-0.22611346  0.29602562]
7,-0.0525339308278,[-0.25589126 -0.00106988],[ 0.81493014  2.48209119],-0.815342,"[ 1.2402412   0.85077941  0.68288895  2.59883172  0.44941164  0.72050314
 -0.16979403  2.34508009 -0.02424772  0.32600024  0.        ]","[[  0.1385679    1.56557341   0.05040173   0.08280155]
 [  6.13087554  20.51133308   0.           0.        ]]",[ 0.7731782   2.33186569]
8,-0.039452075511,[-0.25589126 -0.00106988],[ 1.10375488  2.25470877],-0.750136,"[ 1.19117436  0.24321511  0.90754333  2.28623518  0.44941119  0.72050223
 -0.04194744  2.81106639 -0.46938925  0.22185588  0.        ]","[[  0.29069945   2.01144717   0.05040173   0.08280155]
 [  9.07281219  24.06422271   0.           0.        ]]",[-0.11654681  2.84535998]
9,-0.0731276497382,[-0.25589126 -0.00106988],[ 1.21467888  1.93072128],-0.187074,"[ 1.09331412 -0.30682127  1.15335191  1.21146857  0.44941074  0.72050132
 -0.06964711  3.26786356 -0.76904264 -0.19616603  0.        ]","[[  0.46576157   2.52767688   0.05040173   0.08280155]
 [  8.43540148  27.54715618   0.           0.        ]]",[ 2.6758312   3.50852009]
