timestep,original_rewards,logstd_action_dist,avg_action_dist,rewards,obs,human_obs,actions
0,-0.372660375641,[-0.42851382  0.02471416],[-2.44511175  4.14153481],-4.47223,"[ 1.28468155  2.47193276  0.45333646 -0.42174579 -0.90896704 -1.7051042
 -0.55512825 -0.35910921  2.03862972  1.70072225  0.        ]","[[-0.03039085  0.0860782  -0.10510792 -0.19621312]
 [ 0.00360659  0.00195849  0.          0.        ]]",[-1.68905597  2.59169308]
1,-0.370398375614,[-0.42851382  0.02471416],[-2.23075342  4.20301819],-3.60353,"[ 1.2815586   2.46565864  0.39429625 -0.27241059 -0.90896636 -1.70510144
 -0.68706177  0.14841633  2.03717833  1.66663586  0.        ]","[[-0.07002543  0.12586022 -0.10510792 -0.19621312]
 [-3.95388432  3.96303516  0.          0.        ]]",[-1.86593672  4.92264462]
2,-0.36306698898,[-0.42851382  0.02471416],[-1.97247255  4.44001198],-3.27375,"[ 1.25774358  2.43328712  0.21985469  0.16601774 -0.90896567 -1.70509869
 -0.81638581  0.6458852   2.02617003  1.56567855  0.        ]","[[-0.18802441  0.24407638 -0.10510792 -0.19621312]
 [-7.83310482  7.84562353  0.          0.        ]]",[-2.26520824  5.54086536]
3,-0.349168127709,[-0.42851382  0.02471416],[-1.59153497  4.78913307],-3.54924,"[ 1.17179057  2.33608405 -0.05853038  0.85888941 -0.90896498 -1.70509593
 -0.94315558  1.13348217  1.98646823  1.40450349  0.        ]","[[ -0.38283884   0.43917158  -0.10510792  -0.19621312]
 [-11.63571221  11.65116942   0.           0.        ]]",[-1.39690865  3.74259622]
4,-0.326687856115,[-0.42851382  0.02471416],[-0.73947322  5.24282646],-2.22735,"[ 0.96256571  2.11788443 -0.40753175  1.71343365 -0.9089643  -1.70509318
 -1.06742924  1.61137249  1.88984557  1.20242505  0.        ]","[[ -0.65295376   0.70961821  -0.10510792  -0.19621312]
 [-15.3634521   15.38096883   0.           0.        ]]",[-0.50125634  5.72230131]
5,-0.296851257656,[-0.42851382  0.02471416],[ 0.71547151  5.66248131],-1.70723,"[ 0.59398249  1.72402257 -0.73767694  2.5357401  -0.90896361 -1.70509042
 -1.12347875  2.07964057  1.71858088  1.03008518  0.        ]","[[ -0.97709108   1.0539075   -0.10510792  -0.19621312]
 [-17.04474447  19.03568916   0.           0.        ]]",[ 0.57552592  5.59037775]
6,-0.26896888661,[-0.42851382  0.02471416],[ 1.82087934  5.66091061],-1.70728,"[ 0.14824547  1.1370304  -0.9352388   3.00996985 -0.90896292 -1.70508766
 -1.03636989  2.53847039  1.50240313  1.01167674  0.        ]","[[ -1.29177213   1.47055078  -0.10510792  -0.19621312]
 [-14.43185382  22.61677703   0.           0.        ]]",[ 1.5693978   4.50599741]
7,-0.252055189153,[-0.42851382  0.02471416],[ 2.15735197  5.17294502],-1.60458,"[-0.23228634  0.42540567 -0.9921159   2.74927385 -0.90896224 -1.70508491
 -0.89492014  2.98825929  1.27003882  1.19769771  0.        ]","[[ -1.53784298   1.95810743  -0.10510792  -0.19621312]
 [-10.18894759  26.127346     0.           0.        ]]",[ 3.23601322  3.71064247]
8,-0.243883435518,[-0.42851382  0.02471416],[ 1.53683817  4.27013874],-2.93712,"[-0.4860058  -0.21869051 -0.98051641  1.46685967 -0.90896155 -1.70508215
 -0.7561936   3.42924493  0.97167887  1.50884882  0.        ]","[[ -1.69987415   2.51518703  -0.10510792  -0.19621312]
 [ -6.02772175  29.56926475   0.           0.        ]]",[ 0.54852649  1.13110645]
9,-0.232290046986,[-0.42851382  0.02471416],[ 0.58408415  3.27406788],-2.6681,"[-0.63663547 -0.50147594 -0.95478148 -0.74191306 -0.90896086 -1.7050794
 -0.6797932   3.049222    0.53561681  1.758065    0.        ]","[[ -1.79743072   3.14042658  -0.10510792  -0.19621312]
 [ -3.73602858  26.60337344   0.           0.        ]]",[ 0.5365975   3.72904077]
