timestep,original_rewards,logstd_action_dist,avg_action_dist,rewards,obs,human_obs,actions
0,-0.292084566896,[-0.74800688  0.03407127],[-1.77444482  9.06947231],-3.52813,"[ 1.13716084  2.61047715  0.7588171  -0.71756904 -0.61079594 -0.55076716
 -0.51393647 -0.36560685  1.80382517  0.70123511  0.        ]","[[  9.56425465e-02   1.89544794e-02  -7.03496776e-02  -6.37608707e-02]
 [ -9.82281125e-04   1.78002875e-05   0.00000000e+00   0.00000000e+00]]",[-1.43154345  7.56420653]
1,-0.291233775239,[-0.74800688  0.03407127],[-1.58692801  9.17384148],-3.36091,"[ 1.14208942  2.60809579  0.69559191 -0.55432618 -0.61079575 -0.55076701
 -0.63952601  0.13571834  1.80601298  0.66701437  0.        ]","[[ 0.05591714  0.05869811 -0.07034968 -0.06376087]
 [-3.95837714  3.96113816  0.          0.        ]]",[-1.721522    8.46664594]
2,-0.288101965041,[-0.74800688  0.03407127],[-1.30805588  9.38484478],-2.6911,"[ 1.141484    2.58670518  0.50720623 -0.07216831 -0.61079557 -0.55076685
 -0.76263119  0.62711143  1.80573541  0.5650423   0.        ]","[[-0.06217065  0.17687686 -0.07034968 -0.06376087]
 [-7.83749032  7.84378255  0.          0.        ]]",[ -0.80193005  10.54885446]
3,-0.28138656286,[-0.74800688  0.03407127],[-0.95133483  9.61499119],-2.49713,"[ 1.0940156   2.50538969  0.21268829  0.69843893 -0.61079538 -0.55076669
 -0.85843749  1.10872022  1.78386692  0.41305335  0.        ]","[[ -0.24920989   0.37193304  -0.07034968  -0.06376087]
 [-10.85640421  11.64912054   0.           0.        ]]",[ -0.69945055  10.18205321]
4,-0.269279942649,[-0.74800688  0.03407127],[-0.26902288  9.87574196],-1.94537,"[ 0.9502696   2.30364964 -0.14761136  1.66714115 -0.6107952  -0.55076653
 -0.93948943  1.58073867  1.71693046  0.24391385  0.        ]","[[ -0.49196252   0.64233604  -0.07034968  -0.06376087]
 [-13.41040247  15.37868792   0.           0.        ]]",[ -0.65014176  11.80689216]
5,-0.249418565451,[-0.74800688  0.03407127],[  1.3841387   10.35376549],-2.04187,"[ 0.66696955  1.91974243 -0.51999624  2.6334923  -0.61079502 -0.55076638
 -1.01275854  2.04334261  1.58350077  0.09168009  0.        ]","[[ -0.78333433   0.98658448  -0.07034968  -0.06376087]
 [-15.7191619   19.03387838   0.           0.        ]]",[ 0.52243737  9.77133002]
6,-0.22240456478,[-0.74800688  0.03407127],[  2.40770197  10.09485245],-1.83436,"[ 0.28696702  1.32695235 -0.79679576  3.25766338 -0.61079483 -0.55076622
 -0.93733253  2.49659521  1.3879394   0.05731702  0.        ]","[[ -1.07387341   1.40319401  -0.07034968  -0.06376087]
 [-13.34246368  22.61519657   0.           0.        ]]",[ 3.0507108   9.41193566]
7,-0.190712430089,[-0.74800688  0.03407127],[ 2.69757318  9.17908764],-2.27251,"[-0.05339359  0.58533615 -0.9309876   3.10667604 -0.61079465 -0.55076606
 -0.80336399  2.94090091  1.14308854  0.20807034  0.        ]","[[ -1.29837226   1.89071994  -0.07034968  -0.06376087]
 [ -9.12105918  26.12584454   0.           0.        ]]",[ 2.46235393  7.08785726]
8,-0.153372356784,[-0.74800688  0.03407127],[ 2.66785526  7.67989159],-2.15067,"[-0.27943005 -0.11467812 -0.97606432  1.83325511 -0.61079446 -0.5507659
 -0.67197196  3.3765082   0.80486305  0.45735968  0.        ]","[[ -1.43925658   2.44776987  -0.07034968  -0.06376087]
 [ -4.9808396   29.56779272   0.           0.        ]]",[ 3.14151543  7.4929177 ]
9,-0.10693019704,[-0.74800688  0.03407127],[ 1.80197179  5.8320446 ],-2.25083,"[-0.37543785 -0.46727932 -0.98564301 -0.51365779 -0.61079428 -0.55076575
 -0.54316538  3.03674112  0.331525    0.59863106  0.        ]","[[ -1.49814664   3.07298064  -0.07034968  -0.06376087]
 [ -0.92208712  26.88322965   0.           0.        ]]",[ 2.43281708  7.69461645]
