timestep,human_obs,actions,logstd_action_dist,avg_action_dist,rewards,obs,original_rewards
0,"[[ 0.00719981  0.01439959 -0.14974583  0.19683233]
 [-0.00445938 -0.00386985  0.          0.        ]]",[ 2.37868945  0.10033679],[-0.51084614 -0.27945498],[ 2.00130582 -0.74727523],-0.80532,"[ 1.20823311  1.15572746  0.02364097 -0.39836604 -1.28624293  1.69228127
  0.29840695 -0.12324706  2.03231448 -1.30914217  0.        ]",-0.40857142328
1,"[[ 0.04680046  0.01829368 -0.14974583  0.19683233]
 [ 3.95135368  0.39196452  0.          0.        ]]",[ 2.24377242 -0.75279561],[-0.51084614 -0.27945498],[ 2.02618361 -0.77571929],-0.832192,"[ 1.20675907  1.15563889  0.08219624 -0.39192445 -1.28623958  1.69227485
  0.36979225 -0.05909615  2.03038831 -1.24963161  0.        ]",-0.404223695825
2,"[[  1.64745536e-01  -3.86699144e-03  -1.49745827e-01   1.96832331e-01]
 [  7.83023456e+00  -2.59806139e+00   0.00000000e+00   0.00000000e+00]]",[ 2.24450437  0.24519324],[-0.51084614 -0.27945498],[ 2.02370095 -0.62700558],-0.842777,"[ 1.18963016  1.15585201  0.25559452 -0.42858278 -1.28623623  1.69226843
  0.43978922 -0.54367419  2.01553992 -1.09845653  0.        ]",-0.392348253993
3,"[[  0.35948284  -0.0455859   -0.14974583   0.19683233]
 [ 11.63084454  -1.57722265   0.           0.        ]]",[ 2.3442785  -0.98168687],[-0.51084614 -0.27945498],[ 2.05170465 -0.70865917],-0.767178,"[ 1.12029562  1.15445713  0.53338705 -0.49757198 -1.28623288  1.69226201
  0.50837366 -0.37823136  1.96066641 -0.85917015  0.        ]",-0.370669007224
4,"[[  0.62949732  -0.11583142  -0.14974583   0.19683233]
 [ 15.35819799  -5.43445337   0.           0.        ]]",[ 2.37008648 -1.14523215],[-0.51084614 -0.27945498],[ 2.01869702 -0.40232494],-0.720408,"[ 0.94448364  1.14681137  0.88389978 -0.61337682 -1.28622953  1.6922556
  0.57563605 -1.00335267  1.82888316 -0.56086564  0.        ]",-0.336996767048
5,"[[  0.97332029  -0.26318106  -0.14974583   0.19683233]
 [ 19.0119711   -9.28761205   0.           0.        ]]",[ 3.09878187  0.80248779],[-0.51084614 -0.27945498],[ 1.98684072 -0.05276167],-0.337553,"[ 0.60627241  1.10937445  1.23599583 -0.85255679 -1.28622617  1.69224918
  0.64157054 -1.62781019  1.60329408 -0.27836244  0.        ]",-0.292508360212
6,"[[  1.38946886  -0.41521525  -0.14974583   0.19683233]
 [ 22.5910098   -5.92691424   0.           0.        ]]",[ 2.21222216  0.03436329],[-0.51084614 -0.27945498],[ 1.98424172 -0.285898  ],0.0947167,"[ 0.08027776  1.04115245  1.46801282 -1.08950708 -1.28622282  1.69224276
  0.70615627 -1.08315623  1.23821307 -0.04009976  0.        ]",-0.229701475181
7,"[[  1.87650158  -0.53121313  -0.14974583   0.19683233]
 [ 26.10061948  -5.67360546   0.           0.        ]]",[ 1.85552778 -1.05636564],[-0.51084614 -0.27945498],[ 1.91053319 -0.25837007],0.55036,"[-0.58206432  0.96982795  1.42367411 -1.26021668 -1.28621947  1.69223634
  0.76948895 -1.04210161  0.71755021  0.04996175  0.        ]",-0.144362864488
8,"[[  2.4330487   -0.68328066  -0.14974583   0.19683233]
 [ 29.54275547  -9.52016333   0.           0.        ]]",[ 1.80451475  1.53420296],[-0.51084614 -0.27945498],[ 1.76711917  0.13588293],0.792958,"[-1.21281253  0.85280895  0.9755887  -1.46660523 -1.28621612  1.69222992
  0.83160387 -1.66548786  0.16831105 -0.14940025  0.        ]",-0.0591122045868
9,"[[  3.05773405  -0.83204862  -0.14974583   0.19683233]
 [ 32.91455369  -5.37026399   0.           0.        ]]",[ 2.11542486 -0.7937538 ],[-0.51084614 -0.27945498],[ 1.67203331 -0.1133709 ],0.873606,"[-1.53919698  0.71492711  0.13688212 -1.64521773 -1.28621277  1.6922235
  0.89244931 -0.99293363 -0.26570714 -0.67874321  0.        ]",-0.102611004945
10,"[[  3.74921143  -0.96989299  -0.14974583   0.19683233]
 [ 36.22232885  -8.40384194   0.           0.        ]]",[ 1.47414897 -0.14831828],[-0.51084614 -0.27945498],[ 1.57501841  0.21990928],0.678253,"[-1.29771234  0.56917339 -0.83156569 -1.78667461 -1.28620942  1.69221709
  0.95213919 -1.48456494 -0.37747928 -1.45358444  0.        ]",-0.217804214572
11,"[[  4.50618908  -1.1421503   -0.14974583   0.19683233]
 [ 39.46475706  -8.82023609   0.           0.        ]]",[ 0.39816471  0.60948418],[-0.51084614 -0.27945498],[ 1.5933181   0.41842082],0.0928992,"[-0.44963593  0.36703098 -1.43496424 -1.92679179 -1.28620606  1.69221067
  1.01064962 -1.55204247 -0.0284853  -2.16242256  0.        ]",-0.319736635787
12,"[[  5.30347429  -1.29252765  -0.14974583   0.19683233]
 [ 40.26104957  -6.22603626   0.           0.        ]]",[ 0.6522587 -0.7827095],[-0.51084614 -0.27945498],[ 1.73464036  0.37986377],-0.242581,"[ 0.59899464  0.17676721 -1.21531792 -2.01281035 -1.28620271  1.69220425
  1.02501735 -1.13161273  0.65798189 -2.46841767  0.        ]",-0.38795135462
13,"[[  6.1266292   -1.44684035  -0.14974583   0.19683233]
 [ 42.04866274  -9.19518359   0.           0.        ]]",[ 2.6890807   0.50034868],[-0.51084614 -0.27945498],[ 1.89950132  0.64293301],-0.294615,"[ 1.19143469 -0.027136   -0.21766189 -2.06374331 -1.28619936  1.69219783
  1.05727418 -1.61279971  1.33192332 -2.1854645   0.        ]",-0.404863754874
14,"[[  6.99898542  -1.60896502  -0.14974583   0.19683233]
 [ 45.17651902  -7.02429114   0.           0.        ]]",[ 3.16435887  1.04160718],[-0.51084614 -0.27945498],[ 2.03910995  0.57787681],-0.0556597,"[ 0.87051291 -0.24554459  0.98371943 -2.07522048 -1.28619601  1.69219141
  1.1137166  -1.26097297  1.63229126 -1.46697661  0.        ]",-0.365490535295
15,"[[  7.93327004  -1.70823995  -0.14974583   0.19683233]
 [ 48.24154185  -2.91668556   0.           0.        ]]",[ 1.49710008  0.05411322],[-0.51084614 -0.27945498],[ 2.03742671  0.33732188],0.264293,"[-0.27688417 -0.37898286  1.4876133  -2.06081402 -1.28619266  1.692185
  1.16902486 -0.59527753  1.37281045 -0.69460845  0.        ]",-0.272110453647
16,"[[  8.92824404  -1.76374449  -0.14974583   0.19683233]
 [ 51.24585357  -2.63450218   0.           0.        ]]",[ 2.18010239  1.13593181],[-0.51084614 -0.27945498],[ 1.83969736  0.34070116],0.750827,"[-1.37784715 -0.45287764  0.71767959 -2.0457062  -1.28618931  1.69217858
  1.22323724 -0.54954506  0.64157778 -0.42738435  0.        ]",-0.146656359451
17,"[[  9.98269755  -1.77607098  -0.14974583   0.19683233]
 [ 54.18940138   1.38866433   0.           0.        ]]",[ 1.20598927 -0.4074288 ],[-0.51084614 -0.27945498],[ 1.65745294  0.10902663],0.683339,"[ -1.33534711e+00  -4.69187601e-01  -7.70186192e-01  -2.04166249e+00
  -1.28618596e+00   1.69217216e+00   1.27635275e+00   1.02465820e-01
   1.64602835e-03  -9.87555833e-01   0.00000000e+00]",-0.148993701629
18,"[[ 11.09543525  -1.76463384  -0.14974583   0.19683233]
 [ 57.07488121  -0.23929076   0.           0.        ]]",[ 0.8013594   0.08480101],[-0.51084614 -0.27945498],[ 1.64458108  0.33133659],0.164572,"[-0.03068481 -0.45405468 -1.45892933 -2.04540266 -1.28618261  1.69216574
  1.32842004 -0.1613674   0.14368747 -1.93776181  0.        ]",-0.290383513675
19,"[[ 12.25742332  -1.76586351  -0.14974583   0.19683233]
 [ 59.11709396   0.11531203   0.           0.        ]]",[ 2.87153677  0.41140584],[-0.51084614 -0.27945498],[ 1.90817308  0.3183015 ],-0.118134,"[ 1.14311212 -0.45568278 -0.43680158 -2.04499919 -1.28617925  1.69215932
  1.36526961 -0.10389879  1.00820942 -2.19356674  0.        ]",-0.376179790585
20,"[[ 13.46773261  -1.74708563  -0.14974583   0.19683233]
 [ 61.90439726   1.75725516   0.           0.        ]]",[ 1.5341905 -0.6541141],[-0.51084614 -0.27945498],[ 2.15394831  0.07653612],-0.0543007,"[ 0.68607584 -0.43077025  1.1729933  -2.05072334 -1.2861759   1.69215291
  1.41556457  0.1622019   1.57483073 -1.35683785  0.        ]",-0.348399252002
21,"[[ 14.73323866  -1.73811068  -0.14974583   0.19683233]
 [ 64.63733815  -0.85081486   0.           0.        ]]",[ 2.99350519 -0.01033312],[-0.51084614 -0.27945498],[ 2.03655601  0.1611793 ],0.750157,"[-0.94044718 -0.41883295  1.23715334 -2.053251   -1.28617255  1.69214649
  1.46487811 -0.26047405  1.01896717 -0.45478819  0.        ]",-0.205357088724
22,"[[ 16.05286692  -1.75518814  -0.14974583   0.19683233]
 [ 67.31656965  -0.85666488   0.           0.        ]]",[ 1.38639732  0.60988753],[-0.51084614 -0.27945498],[ 1.75028586  0.19223142],0.801066,"[-1.46298352 -0.44152938 -0.48717495 -2.04829828 -1.2861692   1.69214007
  1.51322202 -0.26142186  0.06957953 -0.82071441  0.        ]",-0.127850646935
23,"[[ 17.42554015  -1.7477265   -0.14974583   0.19683233]
 [ 69.94176245   1.59492232   0.           0.        ]]",[ 2.70290132 -0.5774533 ],[-0.51084614 -0.27945498],[ 1.7315048   0.17414337],0.327322,"[ 0.03338841 -0.4316204  -1.45039188 -2.05050565 -1.28616585  1.69213366
  1.56059031  0.13589461  0.16943269 -1.98152589  0.        ]",-0.297459364152
24,"[[ 18.85019699  -1.73887449  -0.14974583   0.19683233]
 [ 72.5155805   -0.70179811   0.           0.        ]]",[ 1.09268447  0.59226507],[-0.51084614 -0.27945498],[ 2.05851746  0.29546985],-0.290477,"[ 1.20826774 -0.41984803  0.01393038 -2.05300865 -1.2861625   1.69212724
  1.60703106 -0.23632362  1.24938482 -2.06866691  0.        ]",-0.383038088629
25,"[[ 20.32581715  -1.72901439  -0.14974583   0.19683233]
 [ 75.03777568   1.68014444   0.           0.        ]]",[ 2.41985448  0.13557824],[-0.51084614 -0.27945498],[ 2.21736097 -0.01693362],0.421499,"[-0.03798066 -0.40671425  1.48565423 -2.05564739 -1.28615915  1.69212082
  1.65253976  0.1497066   1.4585284  -0.83932141  0.        ]",-0.293536844695
26,"[[ 21.85137106  -1.69011491  -0.14974583   0.19683233]
 [ 77.50930658   2.20833616   0.           0.        ]]",[ 1.79338312  0.01595242],[-0.51084614 -0.27945498],[ 1.92753029 -0.1177853 ],0.898955,"[-1.53060573 -0.35471161  0.21907637 -2.06453706 -1.2861558   1.6921144
  1.6971337   0.23530802  0.31882684 -0.5108138   0.        ]",-0.109950727856
27,"[[ 23.4258621   -1.64549148  -0.14974583   0.19683233]
 [ 79.93170595   2.25414814   0.           0.        ]]",[ 2.04157894  1.02098431],[-0.51084614 -0.27945498],[ 1.77963185  0.01147985],0.441375,"[-0.35457065 -0.29476238 -1.45262257 -2.07167522 -1.28615245  1.69210799
  1.74084053  0.24273231  0.01196111 -1.8483367   0.        ]",-0.274388314116
28,"[[ 25.04830294  -1.56084936  -0.14974583   0.19683233]
 [ 82.30394435   6.19721187   0.           0.        ]]",[ 2.06509468  0.10580375],[-0.51084614 -0.27945498],[ 2.18479204 -0.26831517],-0.133195,"[ 1.2033666  -0.18059779 -0.11177784 -2.07619515 -1.28614909  1.69210157
  1.78364166  0.8817666   1.30909243 -2.13494291  0.        ]",-0.396709560133
29,"[[ 26.71770074  -1.43363747  -0.14974583   0.19683233]
 [ 84.62801558   6.52311611   0.           0.        ]]",[ 2.70081376 -1.98354356],[-0.51084614 -0.27945498],[ 2.32539964 -0.60343468],0.673877,"[-0.18736985 -0.0094541   1.49211015 -2.06073081 -1.28614574  1.69209515
  1.82557304  0.93458283  1.40594406 -0.53594618  0.        ]",-0.269311735491
30,"[[ 28.43313478  -1.34389137  -0.14974583   0.19683233]
 [ 86.90830779   2.46520309   0.           0.        ]]",[ 1.46861282 -1.86986202],[-0.51084614 -0.27945498],[ 1.93571782 -0.40595159],1.04725,"[-1.52671043  0.10965263 -0.22094581 -2.03385445 -1.28614239  1.69208874
  1.86671386  0.27693334 -0.10393648 -0.74350113  0.        ]",-0.111143662796
31,"[[ 30.19375218  -1.33448508  -0.14974583   0.19683233]
 [ 89.14647167  -1.51105366   0.           0.        ]]",[ 2.47930193 -0.70824734],[-0.51084614 -0.27945498],[ 1.94889665 -0.00883877],0.167152,"[ 0.30221972  0.12201101 -1.37731075 -2.0302726  -1.28613904  1.69208232
  1.9070939  -0.36748234  0.39990075 -2.38422406  0.        ]",-0.363441298606
32,"[[ 31.99871255  -1.39220532  -0.14974583   0.19683233]
 [ 91.34260721  -4.25147789   0.           0.        ]]",[ 2.26109152 -0.20954233],[-0.51084614 -0.27945498],[ 2.335181    0.10104123],-0.0804844,"[ 0.98111351  0.04577532  0.82710549 -2.04992514 -1.28613569  1.6920759
  1.94671493 -0.81161103  1.72357512 -1.49766663  0.        ]",-0.380251236799
33,"[[ 33.84717211  -1.48435509  -0.14974583   0.19683233]
 [ 93.49629828  -4.96076268   0.           0.        ]]",[ 2.85680148 -1.13597649],[-0.51084614 -0.27945498],[ 2.12317991  0.14763977],1.00326,"[-1.21118491 -0.07748391  0.97761258 -2.07004803 -1.28613234  1.69206949
  1.98556945 -0.92656043  0.68059003 -0.27761926  0.        ]",-0.144538663272
34,"[[ 35.73829909  -1.6219314   -0.14974583   0.19683233]
 [ 95.60987037  -8.78380537   0.           0.        ]]",[ 0.87203957  0.66046361],[-0.51084614 -0.27945498],[ 1.79609442  0.63074565],0.583404,"[-0.69109291 -0.26302357 -1.35520829 -2.07405128 -1.28612899  1.69206307
  2.02369942 -1.5461414  -0.08785766 -1.64025599  0.        ]",-0.242664886132
35,"[[ 37.66619982  -1.76922694  -0.14974583   0.19683233]
 [ 97.17465803  -5.95507574   0.           0.        ]]",[ 1.73568172 -0.4947086 ],[-0.51084614 -0.27945498],[ 2.14369369  0.60392863],-0.176433,"[ 1.2075267  -0.46013425 -0.03569615 -2.04374346 -1.28612564  1.69205665
  2.05192593 -1.08769815  1.20699077 -2.08197571  0.        ]",-0.380464702275
36,"[[ 39.63016439  -1.90639764  -0.14974583   0.19683233]
 [ 99.21522778  -7.7559532    0.           0.        ]]",[ 2.80159777 -0.05941614],[-0.51084614 -0.27945498],[ 2.2087121   0.68002176],0.548424,"[-0.65298903 -0.63859954  1.39729749 -1.98391123 -1.28612229  1.69205024
  2.08873744 -1.37955519  1.20694778 -0.67407546  0.        ]",-0.24594982384
37,"[[  41.63454193   -2.06193706   -0.14974583    0.19683233]
 [ 101.21583897   -7.79802703    0.            0.        ]]",[ 1.3135195   0.56256994],[-0.51084614 -0.27945498],[ 1.8114934   0.78525603],0.690657,"[-1.13271284 -0.83068379 -1.04181796 -1.88065474 -1.28611894  1.69204382
  2.12482726 -1.38636994  0.1231852  -1.10054305  0.        ]",-0.169729752539
38,"[[  43.67852538   -2.19361317   -0.14974583    0.19683233]
 [ 103.17566666   -5.37792652    0.            0.        ]]",[ 2.97475769  2.04365361],[-0.51084614 -0.27945498],[ 1.99440765  0.86238599],0.122558,"[ 1.14526626 -0.98145796 -0.42950306 -1.76558925 -1.28611559  1.69203741
  2.1601805  -0.99415274  0.79661448 -1.98394704  0.        ]",-0.332341660809
39,"[[  45.76129369   -2.26000394   -0.14974583    0.19683233]
 [ 105.09429802   -1.27491247    0.            0.        ]]",[ 1.36647311  1.514131  ],[-0.51084614 -0.27945498],[ 2.23954844  0.55926311],0.367233,"[-0.45232527 -1.05246169  1.46031124 -1.69860856 -1.28611223  1.69203099
  2.19478971 -0.32919458  1.21995253 -1.01026934  0.        ]",-0.271682080044
40,"[[  47.88202539   -2.24514724   -0.14974583    0.19683233]
 [ 106.97212445    2.74747923    0.            0.        ]]",[ 2.33122073  0.75879817],[-0.51084614 -0.27945498],[ 1.89893031  0.31498677],0.629057,"[-1.16712266 -1.03688778 -1.00412545 -1.71408855 -1.28610888  1.69202457
  2.22866195  0.32269733  0.25184277 -1.0517303   0.        ]",-0.170125015433
41,"[[  50.03991267   -2.16019843   -0.14974583    0.19683233]
 [ 108.81002662    5.73809051    0.            0.        ]]",[ 2.01546055 -0.01679356],[-0.51084614 -0.27945498],[ 2.11844444  0.27087617],0.0302404,"[ 1.17341189 -0.9443816  -0.31787729 -1.79705465 -1.28610553  1.69201816
  2.2618131   0.80737235  0.8573261  -1.99646664  0.        ]",-0.338761666577
42,"[[  52.23417484   -2.0468014    -0.14974583    0.19683233]
 [ 110.61013398    5.60281077    0.            0.        ]]",[ 2.98539762 -0.79987525],[-0.51084614 -0.27945498],[ 2.32033777 -0.03584361],0.720856,"[-0.70110472 -0.81258566  1.37669306 -1.89225801 -1.28610218  1.69201174
  2.29428159  0.78544686  1.18376299 -0.76050029  0.        ]",-0.248017796089
43,"[[  54.46409056   -1.96715141   -0.14974583    0.19683233]
 [ 112.37601417    2.37351045    0.            0.        ]]",[ 1.24074493  0.05870087],[-0.51084614 -0.27945498],[ 1.91459131  0.1644747 ],0.648179,"[-0.84421452 -0.71515684 -1.27531103 -1.947897   -1.28609883  1.69200533
  2.32613179  0.2620865   0.03929591 -1.33167779  0.        ]",-0.199827125135
44,"[[  56.72898757   -1.91730709   -0.14974583    0.19683233]
 [ 114.10786066    2.61056498    0.            0.        ]]",[ 2.65865746 -0.37583482],[-0.51084614 -0.27945498],[ 2.2875483   0.18760219],0.0550785,"[ 1.18596293 -0.65246529  0.27828039 -1.97780949 -1.28609548  1.69199891
  2.35736719  0.30050472  1.24028483 -1.94697408  0.        ]",-0.368042478171
45,"[[  59.02818155   -1.88000658   -0.14974583    0.19683233]
 [ 115.80610789    1.12482033    0.            0.        ]]",[ 1.61390264  0.01174294],[-0.51084614 -0.27945498],[ 2.23879838  0.04100408],0.864154,"[-1.25326365 -0.60479692  0.92237692 -1.99766711 -1.28609213  1.69199249
  2.38799563  0.05971539  0.82393803 -0.48840042  0.        ]",-0.177526890613
46,"[[  61.36101035   -1.85670675   -0.14974583    0.19683233]
 [ 117.47120459    1.2052324     0.            0.        ]]",[ 1.49181303  0.63662563],[-0.51084614 -0.27945498],[ 1.96059179  0.21058857],0.420655,"[-0.03055031 -0.5747263  -1.45891286 -2.00895669 -1.28608878  1.69198608
  2.4180252   0.07274743  0.15231555 -1.86938241  0.        ]",-0.280780859487
47,"[[  63.72679803   -1.8069686    -0.14974583    0.19683233]
 [ 119.10167665    3.76046867    0.            0.        ]]",[ 2.43788386 -0.09867847],[-0.51084614 -0.27945498],[ 2.45480227 -0.07322285],0.300826,"[ 0.69299378 -0.50986477  1.16707346 -2.0301779  -1.28608543  1.69197966
  2.44742931  0.48686555  1.54359656 -1.39114333  0.        ]",-0.347203011585
48,"[[  66.12485759   -1.73582021   -0.14974583    0.19683233]
 [ 120.69900564    3.35613694    0.            0.        ]]",[ 3.06245796 -0.83722914],[-0.51084614 -0.27945498],[ 2.1043756  -0.19044805],1.07354,"[-1.52827633 -0.41576575 -0.21014602 -2.05361242 -1.28608208  1.69197325
  2.47623469  0.4213363   0.1569931  -0.68347683  0.        ]",-0.114600259684
