timestep,human_obs,rewards,obs,avg_action_dist,actions,logstd_action_dist,original_rewards
0,"[[-0.05448937  0.05836756 -0.1914918   0.18181496]
 [-0.00221366  0.00445627  0.          0.        ]]",-1.67838,"[ 1.23129636  1.24437852 -0.06432565 -0.09279495 -1.65239014  1.5878965
  0.26540803 -0.0870744   2.25768596 -1.22991634  0.        ]",[ 2.85975838 -1.38136196],[ 2.42771098 -1.59041465],[-0.66703081 -0.41055122],-0.442699683665
1,"[[-0.01482725  0.01871252 -0.1914918   0.18181496]
 [ 3.95524311 -3.95675403  0.          0.        ]]",-1.80898,"[ 1.23319022  1.2468911  -0.00607493 -0.14594165 -1.65238712  1.58789376
  0.32788581 -0.8295295   2.25850171 -1.20370304  0.        ]",[ 2.84872723 -0.54659092],[ 1.86780799 -0.1050976 ],[-0.66703081 -0.41055122],-0.441166954404
2,"[[ 0.10318452 -0.06382702 -0.1914918   0.18181496]
 [ 7.83302511 -4.29606031  0.          0.        ]]",-1.65415,"[ 1.2260046   1.24382686  0.16709164 -0.25659319 -1.65238411  1.58789102
  0.38910571 -0.89312543  2.25487342 -1.09997045  0.        ]",[ 2.86042333 -0.49462301],[ 2.93254909  0.17235918],[-0.66703081 -0.41055122],-0.434342233767
3,"[[  0.29797835  -0.14206186  -0.1914918    0.18181496]
 [ 11.63371184  -3.5299599    0.           0.        ]]",-1.72247,"[ 1.1725601   1.230599    0.44718796 -0.3609482  -1.65238109  1.58788828
  0.44910847 -0.74953343  2.22419662 -0.88954759  0.        ]",[ 2.86878586 -0.65808266],[ 2.85755354 -2.19417531],[-0.66703081 -0.41055122],-0.418266055412
4,"[[  0.56805042  -0.25170087  -0.1914918    0.18181496]
 [ 15.3611059   -7.42093737   0.           0.        ]]",-1.82203,"[ 1.01673573  1.19532333  0.80637301 -0.50509491 -1.65237807  1.58788555
  0.50795409 -1.47882341  2.13187097 -0.61449664  0.        ]",[ 2.78962827  0.22493467],[ 1.82572308 -0.50601483],[-0.66703081 -0.41055122],-0.391724512058
5,"[[  0.91192505  -0.41875866  -0.1914918    0.18181496]
 [ 19.01424968  -9.27857423   0.           0.        ]]",-1.43865,"[ 0.69851583  1.10498755  1.17774477 -0.71645199 -1.65237505  1.58788281
  0.56562746 -1.82699924  1.94796425 -0.32924631  0.        ]",[ 2.66434526  0.73162353],[ 3.36394684  1.43119201],[-0.66703081 -0.41055122],-0.353261209744
6,"[[  1.3281187   -0.56276416  -0.1914918    0.18181496]
 [ 22.59323155  -5.13567884   0.           0.        ]]",-1.13345,"[ 0.1855587   0.99339954  1.44230137 -0.88666319 -1.65237204  1.58788007
  0.62212997 -1.05048983  1.62017707 -0.05056125  0.        ]",[ 2.5638752 -0.1492734],[ 1.59386278 -0.18382283],[-0.66703081 -0.41055122],-0.29497467836
7,"[[  1.81520053  -0.67175897  -0.1914918    0.18181496]
 [ 26.10331957  -5.76159296   0.           0.        ]]",-0.413587,"[-0.47960586  0.88963701  1.44168731 -1.00582136 -1.65236902  1.58787733
  0.67754478 -1.16780438  1.12953114  0.10727153  0.        ]",[ 2.35656428 -0.06200412],[ 2.06043328  0.21017319],[-0.66703081 -0.41055122],-0.213438248496
8,"[[  2.3717851   -0.77748718  -0.1914918    0.18181496]
 [ 29.54371404  -4.81423524   0.           0.        ]]",0.123805,"[-1.13619847  0.7743652   1.03858304 -1.11195437 -1.652366    1.5878746
  0.73185925 -0.99023896  0.55616338 -0.00891338  0.        ]",[ 2.11328745 -0.2813701 ],[ 1.75053801  0.00265701],[-0.66703081 -0.41055122],-0.117126894714
9,"[[  2.99649957  -0.87269126  -0.1914918    0.18181496]
 [ 32.91654518  -4.70636108   0.           0.        ]]",0.331853,"[-1.51057864  0.65932119  0.22819781 -1.1985626  -1.65236298  1.58787186
  0.78510702 -0.97001905  0.06326903 -0.48189897  0.        ]",[ 1.86739159 -0.17089227],[ 2.2304967  -0.48522648],[-0.66703081 -0.41055122],-0.0815339573639
10,"[[  3.68801117  -0.98513105  -0.1914918    0.18181496]
 [ 36.22371683  -6.53133011   0.           0.        ]]",0.0707079,"[-1.32424424  0.51119813 -0.74796787 -1.2888085  -1.65235997  1.58786912
  0.83731812 -1.31207358 -0.10612099 -1.23134532  0.        ]",[ 1.73715675  0.50057507],[ 1.26444499 -0.68418136],[-0.66703081 -0.41055122],-0.187162938823
11,"[[  4.44502012  -1.14159852  -0.1914918    0.18181496]
 [ 39.46655468  -9.10657852   0.           0.        ]]",-0.35087,"[-0.51024211  0.28639332 -1.40172496 -1.39068638 -1.65235695  1.58786639
  0.88851348 -1.7947518   0.19341971 -1.95190134  0.        ]",[ 1.85526586  1.3345015 ],[ 2.26469641  1.72101626],[-0.66703081 -0.41055122],-0.301330768793
12,"[[  5.26623052  -1.28213488  -0.1914918    0.18181496]
 [ 42.64381367  -4.96061871   0.           0.        ]]",-0.756938,"[ 0.57954106  0.07004707 -1.23424313 -1.45684562 -1.65235393  1.58786365
  0.93867343 -1.01766936  0.87799695 -2.30229802  0.        ]",[ 2.19588351  1.05217004],[ 2.52428333  1.41013732],[-0.66703081 -0.41055122],-0.388546237306
13,"[[  6.15034779  -1.340561    -0.1914918    0.18181496]
 [ 45.75734681  -0.89531862   0.           0.        ]]",-0.920239,"[ 1.22118995 -0.02286603 -0.17893941 -1.47694548 -1.65235091  1.58786091
  0.98782723 -0.25570594  1.65880391 -2.00847891  0.        ]",[ 2.54255152  0.53306729],[ 3.37161361  0.37100978],[-0.66703081 -0.41055122],-0.428402614167
14,"[[  7.09611309  -1.34346414  -0.1914918    0.18181496]
 [ 48.80892134   0.60022957   0.           0.        ]]",-0.976133,"[ 0.80216572 -0.02751884  1.08312448 -1.47782631 -1.6523479   1.58785817
  1.03600277  0.02460628  1.98087796 -1.08445943  0.        ]",[ 2.61172628  0.17199188],[ 3.12392254  0.44867659],[-0.66703081 -0.41055122],-0.391505144655
15,"[[  8.10229669  -1.31365555  -0.1914918    0.18181496]
 [ 51.79933605   2.37491342   0.           0.        ]]",-0.222355,"[-0.48483449  0.02009933  1.44028507 -1.46823361 -1.65234488  1.58785544
  1.08321264  0.35723717  1.4304722  -0.20321926  0.        ]",[ 2.36386704 -0.57678485],[ 2.80314422 -0.16093869],[-0.66703081 -0.41055122],-0.265054860029
16,"[[  9.16769542  -1.27291287  -0.1914918    0.18181496]
 [ 54.73081081   1.70179219   0.           0.        ]]",0.318881,"[-1.47974324  0.08457461  0.38938339 -1.4532607  -1.65234186  1.5878527
  1.1294919   0.23107309  0.39565168 -0.30150071  0.        ]",[ 1.94241905 -0.69104201],[ 2.09688943 -1.76619406],[-0.66703081 -0.41055122],-0.101553379645
17,"[[ 10.29115722  -1.27882098  -0.1914918    0.18181496]
 [ 57.60610113  -2.27910357   0.           0.        ]]",0.00462002,"[-1.03902233  0.07527216 -1.10414957 -1.45556194 -1.65233885  1.58784996
  1.17488402 -0.51507125  0.01052152 -1.40906141  0.        ]",[ 1.78716266  0.2631219 ],[ 2.45787352 -0.0416534 ],[-0.66703081 -0.41055122],-0.215489334653
18,"[[ 11.47155794  -1.32546826  -0.1914918    0.18181496]
 [ 60.42461254  -2.38499993   0.           0.        ]]",-0.715941,"[  4.86106730e-01   1.27090361e-03  -1.29057817e+00  -1.47216578e+00
  -1.65233583e+00   1.58784723e+00   1.21937963e+00  -5.34919224e-01
   7.81250123e-01  -2.26511498e+00   0.00000000e+00]",[ 2.21622801  0.63284498],[ 1.95522453  0.73261161],[-0.66703081 -0.41055122],-0.376585406759
19,"[[ 12.70775898  -1.34343641  -0.1914918    0.18181496]
 [ 63.18604845   0.57856638   0.           0.        ]]",-0.986474,"[ 1.21957855 -0.0274746   0.22281162 -1.4778066  -1.65233281  1.58784449
  1.26297404  0.02054639  1.83141533 -1.78218744  0.        ]",[ 2.68583822  0.16409296],[ 2.49574105  0.32993095],[-0.66703081 -0.41055122],-0.426698836699
20,"[[ 13.99863158  -1.31870483  -0.1914918    0.18181496]
 [ 65.89206747   1.89044893   0.           0.        ]]",-0.553722,"[ 0.04459358  0.01205818  1.47128224 -1.46992815 -1.65232979  1.58784175
  1.30569341  0.26643447  1.73834538 -0.45912947  0.        ]",[ 2.57731366 -0.43857467],[ 2.40119645  0.38637413],[-0.66703081 -0.41055122],-0.32235529878
21,"[[ 15.34307834  -1.26574066  -0.1914918    0.18181496]
 [ 68.54361214   3.40113296   0.           0.        ]]",0.291349,"[-1.43426876  0.09584478  0.54014305 -1.45039301 -1.65232678  1.58783901
  1.34755263  0.54958413  0.48162094 -0.23433811  0.        ]",[ 2.07461596 -1.07653522],[ 1.57507171 -0.01865765],[-0.66703081 -0.41055122],-0.1107803089
22,"[[ 16.74002676  -1.19894281  -0.1914918    0.18181496]
 [ 71.14257029   3.27922522   0.           0.        ]]",-0.115205,"[-0.85346226  0.1995103  -1.24577977 -1.42064781 -1.65232376  1.58783628
  1.3885815   0.52673442  0.04498813 -1.64358639  0.        ]",[ 1.98063231 -0.81287307],[ 2.7459101  -1.14429189],[-0.66703081 -0.41055122],-0.25138613089
