timestep,human_obs,rewards,obs,avg_action_dist,actions,logstd_action_dist,original_rewards
0,"[[-0.00155783  0.06534875  0.15509212 -0.07130438]
 [-0.00474303 -0.00139745  0.          0.        ]]",-1.40216,"[ 1.25085645  1.35132795  0.01752661 -0.02260496  1.35118016 -0.6146791
  0.23336836 -0.0634515   0.18891651  0.5148118   0.        ]",[-2.533566    2.47713113],[-2.67841995  3.0757187 ],[-0.90015179 -0.64815557],-0.0953910904696
1,"[[-0.04135773  0.10506433  0.15509212 -0.07130438]
 [-3.96206678  3.95974763  0.          0.        ]]",-1.3156,"[ 1.2496759   1.34479226 -0.04070085  0.02700444  1.35117912 -0.61467887
  0.17581023  0.75056849  0.18841471  0.48897688  0.        ]",[-2.42020369  2.31731415],[-3.08887291  2.1429654 ],[-0.90015179 -0.64815557],-0.0921028165024
2,"[[-0.15951868  0.22321544  0.15509212 -0.07130438]
 [-7.8411194   7.84240709  0.          0.        ]]",-1.21815,"[ 1.23331631  1.30748424 -0.21265063  0.17306008  1.35117808 -0.61467864
  0.11939053  1.54845857  0.18140421  0.41282306  0.        ]",[-2.29991794  1.78995848],[-2.23838594  2.08476731],[-0.90015179 -0.64815557],-0.0821578598653
3,"[[ -0.3544917    0.41824707   0.15509212  -0.07130438]
 [-11.64355483  11.64803008   0.           0.        ]]",-0.960901,"[ 1.16495642  1.1887892  -0.48817326  0.40474358  1.35117704 -0.61467841
  0.06408521  2.33051461  0.15210214  0.2908513   0.        ]",[-2.10917997  0.83965087],[-1.86470794  0.26759558],[-0.90015179 -0.64815557],-0.0651941797856
4,"[[ -0.62475108   0.65953496   0.15509212  -0.07130438]
 [-15.37006467  12.47790614   0.           0.        ]]",-0.82023,"[ 0.98989645  0.94995345 -0.83615207  0.66375538  1.35117601 -0.61467818
  0.00988421  2.50105001  0.07799618  0.11613177  0.        ]",[-1.98613763  0.1213685 ],[-1.76020403  0.63227068],[-0.90015179 -0.64815557],-0.0396182851726
5,"[[ -0.96881223   0.93173717   0.15509212  -0.07130438]
 [-19.02401531  14.73465738   0.           0.        ]]",-0.75524,"[ 0.65165681  0.57517054 -1.18637927  0.90185163  1.35117497 -0.61467795
 -0.04326145  2.964806   -0.06703736 -0.090186    0.        ]",[-1.71858025 -1.29789293],[-2.57169818 -1.30650043],[-0.90015179 -0.64815557],-0.0190312221142
6,"[[ -1.38521629   1.18377061   0.15509212  -0.07130438]
 [-22.60460668  10.48269162   0.           0.        ]]",-0.612276,"[ 0.12424123  0.15172548 -1.41850266  1.05653662  1.35117393 -0.61467772
 -0.09534011  2.09102299 -0.30582712 -0.30917804  0.        ]",[-1.91692734 -1.44634342],[-0.95326192 -1.40332472],[-0.90015179 -0.64815557],-0.0568551719832
7,"[[ -1.87067195   1.35159915   0.15509212  -0.07130438]
 [-25.92990917   6.31390103   0.           0.        ]]",-0.876095,"[-0.53877931 -0.15761422 -1.37832116  1.11926922  1.35117289 -0.61467749
 -0.14370567  1.23433551 -0.66264757 -0.5023963   0.        ]",[-2.10221195 -1.63683069],[-2.67431146 -1.94457595],[-0.90015179 -0.64815557],-0.118959374902
8,"[[ -2.42382865   1.43687107   0.15509212  -0.07130438]
 [-29.37421057   2.22675457   0.           0.        ]]",-1.28659,"[-1.17134886 -0.31987486 -0.94269692  1.13804098  1.35117185 -0.61467726
 -0.19380204  0.39442673 -1.14030957 -0.55064595  0.        ]",[-2.38963842 -1.50515258],[-2.22119112 -2.37904439],[-0.90015179 -0.64815557],-0.190429733226
9,"[[ -3.04518102   1.44120258   0.15509212  -0.07130438]
 [-32.7496102   -1.78040399   0.           0.        ]]",-1.24631,"[-1.50578504 -0.32817712 -0.12106412  1.13875374  1.35117081 -0.61467703
 -0.24289624 -0.42904446 -1.66434157 -0.30450223  0.        ]",[-2.84673476 -0.82718205],[-2.83809681 -0.99751925],[-0.90015179 -0.64815557],-0.262744219409
