timestep,human_obs,rewards,obs,avg_action_dist,actions,logstd_action_dist,original_rewards
16,"[[ -2.33410931   2.73043375   0.18856901   0.11042348]
 [-26.98647928  -1.64037133   0.           0.        ]]",-0.197648,"[-1.13427101 -1.3167771  -1.06603881  0.23050362  1.64165095  0.96565948
 -0.20933419 -0.38303067 -1.12745797 -0.97059543  0.        ]",[-0.82817268 -0.36573136],[-1.44339643 -0.11789826],[-0.43134141 -0.18567058],-0.209920935843
17,"[[ -2.90820065   2.69325326   0.18856901   0.11042348]
 [-30.41122346  -2.07630218   0.           0.        ]]",-0.301834,"[-1.52196293 -1.29672421 -0.33771032  0.29021191  1.64164329  0.96565712
 -0.27634249 -0.45020508 -1.26351637 -1.08663823  0.        ]",[-0.83823383 -0.33061516],[-1.02024795 -0.3994473 ],[-0.43134141 -0.18567058],-0.237646157591
18,"[[ -3.55010514   2.6362503    0.18856901   0.11042348]
 [-33.76798211  -3.61895937   0.           0.        ]]",-0.600311,"[-1.44598598 -1.26286257  0.59410031  0.37966991  1.64163562  0.96565476
 -0.34202055 -0.68792097 -1.47701462 -1.09209439  0.        ]",[-0.79362619 -0.15049416],[-0.70771748 -1.22953153],[-0.43134141 -0.18567058],-0.265217375794
19,"[[ -4.24686279   2.52483539   0.18856901   0.11042348]
 [-35.90049938  -7.50970134   0.           0.        ]]",-0.553845,"[-0.80045733 -1.18617244  1.32994166  0.54623937  1.64162795  0.9656524
 -0.383745   -1.28746447 -1.70335611 -0.8987315   0.        ]",[-0.82690537  0.29456049],[-0.25008864  1.19806466],[-0.43134141 -0.18567058],-0.281717832954
20,"[[ -4.96766386   2.41582639   0.18856901   0.11042348]
 [-36.1788157   -3.40496708   0.           0.        ]]",-0.843523,"[ 0.16532038 -1.09845983  1.43965656  0.69696165  1.64162028  0.96565004
 -0.38919    -0.65494063 -1.73225921 -0.51903381  0.        ]",[-0.82669294  0.01681648],[-1.01750613  0.09932746],[-0.43134141 -0.18567058],-0.265503607946
21,"[[ -5.72376797   2.35230878   0.18856901   0.11042348]
 [-39.42078342  -2.94848124   0.           0.        ]]",-0.790741,"[ 0.98465953 -1.04197847  0.79193175  0.77847397  1.64161262  0.96564768
 -0.45262206 -0.58459699 -1.463227   -0.22513564  0.        ]",[-0.86008954  0.01676944],[-1.12350616 -0.90011141],[-0.43134141 -0.18567058],-0.21337772765
22,"[[ -6.54406232   2.25811419   0.18856901   0.11042348]
 [-42.59783226  -6.45948754   0.           0.        ]]",-0.254432,"[ 1.14795866 -0.95152244 -0.37722827  0.88995053  1.64160495  0.96564533
 -0.51478383 -1.12562623 -1.01216547 -0.25121979  0.        ]",[-0.87126946  0.37970644],[-1.33765611  0.89899617],[-0.43134141 -0.18567058],-0.142107886107
23,"[[ -7.42726244   2.16585803   0.18856901   0.11042348]
 [-45.71197327  -2.77862682   0.           0.        ]]",0.146847,"[ 0.3875151  -0.85586522 -1.3444338   0.9874028   1.64159728  0.96564297
 -0.57571464 -0.55841912 -0.71942769 -0.74546695  0.        ]",[-0.85705197  0.02347016],[-1.269668   -1.13800425],[-0.43134141 -0.18567058],-0.140150300801
24,"[[ -8.37212437   2.07103129   0.18856901   0.11042348]
 [-48.76373464  -6.69125948   0.           0.        ]]",0.156181,"[-0.86431781 -0.75112037 -1.28277366  1.07459492  1.64158962  0.96564061
 -0.63542483 -1.16133753 -0.95480152 -1.37847031  0.        ]",[-0.92739773  0.38779902],[-1.46839379 -0.75985555],[-0.43134141 -0.18567058],-0.236894832661
25,"[[ -9.37739655   1.90825321   0.18856901   0.11042348]
 [-51.75317711  -9.57723658   0.           0.        ]]",-0.346227,"[-1.55774367 -0.55886333 -0.06505129  1.19141991  1.64158195  0.96563825
 -0.69391554 -1.60604819 -1.68571085 -1.50175921  0.        ]",[-1.03023267  0.72154891],[-1.47362364 -1.47877758],[-0.43134141 -0.18567058],-0.328977850672
26,"[[-10.44183889   1.6787699    0.18856901   0.11042348]
 [-54.68078262 -13.35879592   0.           0.        ]]",-0.19115,"[-0.9064448  -0.26981882  1.2661612   1.28076739  1.64157428  0.96563589
 -0.75119618 -2.1887547  -2.18165936 -0.6441923   0.        ]",[-1.14458942  1.2755928 ],[-1.45031328  1.47532538],[-0.43134141 -0.18567058],-0.340860132771
27,"[[-11.56424954   1.4538458    0.18856901   0.11042348]
 [-57.55107372  -9.14785574   0.           0.        ]]",0.0912021,"[ 0.55912757  0.02067966  1.25436943  1.27898334  1.64156662  0.96563353
 -0.80735524 -1.53986292 -1.518085    0.29829518  0.        ]",[-1.10531878  1.26945758],[-1.70504095  0.39351917],[-0.43134141 -0.18567058],-0.224119821527
28,"[[-12.74350814   1.28819903   0.18856901   0.11042348]
 [-60.36554437  -7.42270875   0.           0.        ]]",0.359505,"[ 1.17300538  0.23056875 -0.2560806   1.22097208  1.64155895  0.96563117
 -0.8624219  -1.27402247 -0.42193806 -0.20560199  0.        ]",[-0.99820828  1.35144305],[-0.47158867  2.97217411],[-0.43134141 -0.18567058],-0.0507542453012
29,"[[-13.95753706   1.18079758   0.18856901   0.11042348]
 [-61.0355072   -3.33103018   0.           0.        ]]",0.395093,"[ 0.06363784  0.3617262  -1.45351784  1.15838525  1.64155129  0.96562881
 -0.87552859 -0.64351532 -0.55579341 -1.60309721  0.        ]",[-0.88688159  1.07349038],[-1.43936445  0.83767689],[-0.43134141 -0.18567058],-0.240229013217
30,"[[ -1.52058299e+01   1.14797157e+00   1.88569014e-01   1.10423476e-01]
 [ -6.37849015e+01   3.70121841e-02   0.00000000e+00   0.00000000e+00]]",-0.788408,"[-1.38931853  0.40074935 -0.70837364  1.1354578   1.64154362  0.96562646
 -0.92932171 -0.12451729 -1.81062826 -1.85466586  0.        ]",[-1.03118336  0.63454068],[-0.30241375  0.59381843],[-0.43134141 -0.18567058],-0.378810282526
31,"[[-16.48088267   1.17213392   0.18856901   0.11042348]
 [-63.72077878   2.37142005   0.           0.        ]]",-1.12356,"[-1.16806785  0.37207768  1.04031411  1.1524983   1.64153595  0.9656241
 -0.92806488  0.235203   -2.38772246 -0.57783468  0.        ]",[-1.17817533  0.30233595],[-1.13712268 -0.0398494 ],[-0.43134141 -0.18567058],-0.370992901948
32,"[[-17.78236174   1.21734656   0.18856901   0.11042348]
 [-66.41814605   2.15028474   0.           0.        ]]",-0.343599,"[ 0.4821148   0.31765297  1.3036407   1.18182666  1.64152829  0.96562174
 -0.9808398   0.20112685 -1.47179792  0.41452271  0.        ]",[-1.17998159  0.40520933],[-1.40895308 -1.15991756],[-0.43134141 -0.18567058],-0.220725949833
33,"[[-19.13723632   1.2200185    0.18856901   0.11042348]
 [-69.06014491  -1.86994331   0.           0.        ]]",0.339252,"[ 1.13796858  0.31440645 -0.41547655  1.18345105  1.64152062  0.96561938
 -1.0325311  -0.4183711  -0.3347317  -0.35062466  0.        ]",[-1.00333512  0.93280387],[-0.52927538 -0.71388368],[-0.43134141 -0.18567058],-0.0572901856786
