timestep,human_obs,rewards,obs,avg_action_dist,actions,logstd_action_dist,original_rewards
0,"[[ 0.07522666 -0.05237828 -0.06478798  0.13514905]
 [-0.00058203  0.0032914   0.          0.        ]]",-1.00723,"[ 1.23190097  1.25796383  0.12622887 -0.22525964 -0.55290694  1.17820439
  0.25668759 -0.08305637  1.49772216 -0.81661376  0.        ]",[ 2.01332116 -1.0050745 ],[ 1.58640361 -1.2337691 ],[-0.68174082 -0.41802722],-0.301649514029
1,"[[ 0.1149211  -0.09205637 -0.06478798  0.13514905]
 [ 3.95684595 -3.95789233  0.          0.        ]]",-0.983232,"[ 1.22670157  1.25315256  0.18426291 -0.27769926 -0.55290661  1.1782031
  0.3183459  -0.83576805  1.49546826 -0.79054369  0.        ]",[ 2.08264756 -0.44571778],[ 2.67352571 -0.96431369],[-0.68174082 -0.41802722],-0.299687532544
2,"[[ 0.2329781  -0.20875303 -0.06478798  0.13514905]
 [ 7.83594357 -7.69928935  0.          0.        ]]",-1.30895,"[ 1.1985295   1.22378983  0.35494317 -0.43050954 -0.55290628  1.17820182
  0.37878377 -1.54671376  1.48323822 -0.712888    0.        ]",[ 2.12184477  0.36455512],[ 1.41278336  0.1700977 ],[-0.68174082 -0.41802722],-0.293226262088
3,"[[  0.42783071  -0.35446543  -0.06478798   0.13514905]
 [ 11.6366953   -6.87466311   0.           0.        ]]",-1.15568,"[ 1.11145973  1.1558143   0.62522515 -0.61583302 -0.55290595  1.17820054
  0.43800096 -1.39001479  1.44393118 -0.55587548  0.        ]",[ 2.1022315   0.24636047],[ 1.99563234  0.75445559],[-0.68174082 -0.41802722],-0.278938698611
4,"[[  0.69793729  -0.46063133  -0.06478798   0.13514905]
 [ 15.36158464  -3.75227992   0.           0.        ]]",-0.936257,"[ 0.91322414  1.08514707  0.95971888 -0.74493694 -0.55290562  1.17819926
  0.49603616 -0.79669304  1.34136856 -0.28821582  0.        ]",[ 2.06063676 -0.44427654],[ 2.0366084  -0.98001662],[-0.68174082 -0.41802722],-0.252373653212
5,"[[  1.04182964  -0.57387314  -0.06478798   0.13514905]
 [ 19.01554367  -7.55913606   0.           0.        ]]",-0.960475,"[ 0.55244118  0.99111401  1.28385671 -0.87530019 -0.55290529  1.17819798
  0.5529662  -1.52007688  1.13274967  0.01414963  0.        ]",[ 2.00516009  0.41279656],[ 2.98984074 -0.48545837],[-0.68174082 -0.41802722],-0.213429011424
6,"[[  1.45807323  -0.74284254  -0.06478798   0.13514905]
 [ 22.59698195  -9.33176951   0.           0.        ]]",-0.684289,"[ 0.01145301  0.81763116  1.4752689  -1.05220381 -0.55290497  1.1781967
  0.6087663  -1.85691213  0.80786075  0.24870745  0.        ]",[ 1.85670638  0.87125516],[ 1.71605385  0.22002279],[-0.68174082 -0.41802722],-0.163182750456
7,"[[  1.94523101  -0.91887686  -0.06478798   0.13514905]
 [ 26.10719213  -8.2750211    0.           0.        ]]",-0.202004,"[-0.64827575  0.59949114  1.38282543 -1.20928365 -0.55290464  1.17819542
  0.6634566  -1.65610429  0.36611846  0.35205781  0.        ]",[ 1.62678385  0.74370182],[ 1.2897787   2.15723595],[-0.68174082 -0.41802722],-0.0998156680888
8,"[[  2.50189021  -1.04298924  -0.06478798   0.13514905]
 [ 29.54724967  -4.14979412   0.           0.        ]]",0.137926,"[-1.25047214  0.4263151   0.89261784 -1.30070953 -0.55290431  1.17819413
  0.71705384 -0.87222198 -0.16200962  0.23225871  0.        ]",[ 1.36881471 -0.12970456],[ 0.81496095 -0.0023528 ],[-0.68174082 -0.41802722],-0.0340058951599
9,"[[  3.11933238  -1.12522624  -0.06478798   0.13514905]
 [ 32.18820417  -4.07401719   0.           0.        ]]",0.191655,"[-1.52289582  0.30422424  0.04852941 -1.35166269 -0.55290398  1.17819285
  0.75820064 -0.85782206 -0.62364489 -0.2064126   0.        ]",[ 1.18374133 -0.0517799 ],[ 1.13825658 -0.1830317 ],[-0.68174082 -0.41802722],-0.0867434181102
10,"[[  3.79642003  -1.21313333  -0.06478798   0.13514905]
 [ 35.509568    -4.71436485   0.           0.        ]]",0.0554522,"[-1.23788687  0.16832512 -0.87866422 -1.39718365 -0.55290365  1.17819157
  0.80994848 -0.979501   -0.78776122 -0.9001143   0.        ]",[ 1.08858418  0.37514853],[ 1.43105965  1.35316585],[-0.68174082 -0.41802722],-0.174952907474
11,"[[  4.53926409  -1.26670919  -0.06478798   0.13514905]
 [ 38.76384378  -0.65655181   0.           0.        ]]",-0.316135,"[-0.38135487  0.08320361 -1.43095523 -1.42024384 -0.55290332  1.17819029
  0.86065099 -0.2084292  -0.51081147 -1.62741415  0.        ]",[ 1.17889833 -0.03899035],[ 1.20781029 -0.26101767],[-0.68174082 -0.41802722],-0.255526124178
12,"[[  5.34655417  -1.29002105  -0.06478798   0.13514905]
 [ 41.95460146  -1.67105984   0.           0.        ]]",-0.559104,"[ 0.67365499  0.04570038 -1.16733575 -1.42914729 -0.55290299  1.17818901
  0.91036379 -0.40120741  0.19732308 -1.98940573  0.        ]",[ 1.54647636  0.30851594],[ 1.25570954  0.452797  ],[-0.68174082 -0.41802722],-0.308192171575
