timestep,human_obs,actions,logstd_action_dist,avg_action_dist,rewards,obs,original_rewards
0,"[[-0.06760371 -0.0989026   0.09214189 -0.02678274]
 [-0.00426794  0.00399577  0.          0.        ]]",[-1.91226387  1.50414376],[-0.88778979 -0.67208636],[-1.91035903  1.8471204 ],-1.41749,"[ 1.24803574  1.34337909 -0.0774138  -0.23188283  0.80819349 -0.24024702
  0.23477262 -0.06121676  0.55308546  0.03062559  0.        ]",-0.116122257723
1,"[[-0.1073942  -0.05908022  0.09214189 -0.02678274]
 [-3.96159778  3.96503735  0.          0.        ]]",[-2.12613128  1.95379674],[-0.88778979 -0.67208636],[-1.87717342  1.73250365],-1.43048,"[ 1.24323267  1.34947798 -0.13543197 -0.18208244  0.80819313 -0.24024696
  0.17727935  0.7562178   0.5510291   0.00506691  0.        ]",-0.115781615298
2,"[[-0.22554559  0.05917591  0.09214189 -0.02678274]
 [-7.84062367  7.84762809  0.          0.        ]]",[-1.79595516  1.24950125],[-0.88778979 -0.67208636],[-1.82459271  1.58872712],-1.31306,"[ 1.2162074   1.34946599 -0.30589053 -0.03380988  0.80819278 -0.24024689
  0.12092372  1.55746155  0.53944497 -0.07004887  0.        ]",-0.114639993331
3,"[[ -0.42050793   0.25431178   0.09214189  -0.02678274]
 [-11.64297175  11.65324496   0.           0.        ]]",[-1.28653688  0.62481124],[-0.88778979 -0.67208636],[-1.67746925  0.91165543],-1.06835,"[ 1.1308643   1.29042391 -0.57608537  0.20761446  0.80819242 -0.24024682
  0.06568208  2.34281737  0.50284427 -0.18911031  0.        ]",-0.112354937569
4,"[[ -0.69075913   0.50989593   0.09214189  -0.02678274]
 [-15.36981195  13.89761321   0.           0.        ]]",[-1.51267753 -0.03215567],[-0.88778979 -0.67208636],[-1.53431809  0.03719376],-0.856522,"[ 0.93457506  1.10591792 -0.91114385  0.50432586  0.80819206 -0.24024675
  0.01153744  2.80597733  0.4169672  -0.34716157  0.        ]",-0.109049553197
5,"[[ -1.03480371   0.7838161    0.09214189  -0.02678274]
 [-19.02261663  13.49561571   0.           0.        ]]",[-2.00919874 -0.69135583],[-0.88778979 -0.67208636],[-1.4301312  -0.62790203],-0.753545,"[ 0.57538039  0.78643377 -1.23704063  0.77769456  0.80819171 -0.24024669
 -0.04153159  2.7230118   0.25304565 -0.53954792  0.        ]",-0.10849920983
6,"[[ -1.45117911   1.02357916   0.09214189  -0.02678274]
 [-22.60312968  10.49054475   0.           0.        ]]",[-1.90628833 -0.84349466],[-0.88778979 -0.67208636],[-1.53150642 -0.83104444],-0.725167,"[ 0.0348473   0.42163738 -1.43185851  0.96335421  0.80819135 -0.24024662
 -0.09355035  2.10285936 -0.01716562 -0.74361177  0.        ]",-0.119778465791
7,"[[ -1.93845863   1.1977838    0.09214189  -0.02678274]
 [-26.11318214   6.94157842   0.           0.        ]]",[-2.42491301 -1.41210753],[-0.88778979 -0.67208636],[-1.72982252 -1.03158796],-0.906948,"[-0.62640514  0.11900486 -1.34449236  1.06027817  0.80819099 -0.24024655
 -0.14454543  1.37046719 -0.41300771 -0.88981375  0.        ]",-0.148366814602
8,"[[ -2.49524171e+00   1.29548647e+00   9.21418914e-02  -2.67827432e-02]
 [ -2.95536061e+01   2.84218673e+00   0.00000000e+00   0.00000000e+00]]",[-1.83614498 -1.71888143],[-0.88778979 -0.67208636],[-2.11335349 -0.82789576],-1.28502,"[-1.2325279  -0.06071706 -0.86013494  1.09930338  0.80819063 -0.24024648
 -0.19452892  0.52448622 -0.9178477  -0.85882459  0.        ]",-0.189553778658
9,"[[ -3.12014466e+00   1.31200597e+00   9.21418914e-02  -2.67827432e-02]
 [ -3.29253002e+01  -1.17699811e+00   0.00000000e+00   0.00000000e+00]]",[-2.87530096 -0.30006108],[-0.88778979 -0.67208636],[-2.60520959 -0.10349599],-1.26792,"[-1.5108065  -0.09164953 -0.0099209   1.10477164  0.80819028 -0.24024641
 -0.24351389 -0.30494256 -1.4269251  -0.5122333   0.        ]",-0.232991028413
10,"[[ -3.81181035e+00   1.27673806e+00   9.21418914e-02  -2.67827432e-02]
 [ -3.62301855e+01  -2.34604680e+00   0.00000000e+00   0.00000000e+00]]",[-2.8879768   0.90726294],[-0.88778979 -0.67208636],[-2.87025309  0.45497572],-1.24099,"[-1.21236044 -0.02578586  0.9307139   1.09269622  0.80818992 -0.24024635
 -0.29152823 -0.54619602 -1.68124375  0.18815905  0.        ]",-0.262201945444
11,"[[ -4.56892959e+00   1.26627664e+00   9.21418914e-02  -2.67827432e-02]
 [ -3.94711321e+01   1.28762556e+00   0.00000000e+00   0.00000000e+00]]",[-2.99864815  0.58715643],[-0.88778979 -0.67208636],[-2.66346931 -0.28024435],-1.1545,"[-0.32742752 -0.00637979  1.47022253  1.08882598  0.80818956 -0.24024628
 -0.33861364  0.2036759  -1.40936487  0.9448965   0.        ]",-0.258445985214
12,"[[ -5.39023162e+00   1.31503886e+00   9.21418914e-02  -2.67827432e-02]
 [ -4.26486295e+01   3.58074679e+00   0.00000000e+00   0.00000000e+00]]",[-2.02569406 -0.71713664],[-0.88778979 -0.67208636],[-2.50140524 -0.58878803],-1.5019,"[ 0.73617613 -0.09734356  1.16165527  1.10573785  0.80818921 -0.24024621
 -0.38477724  0.67690151 -0.6973357   1.2657619   0.        ]",-0.215140230722
13,"[[ -6.27444409e+00   1.35737848e+00   9.21418914e-02  -2.67827432e-02]
 [ -4.57620998e+01   6.62724240e-01   0.00000000e+00   0.00000000e+00]]",[-2.38574172 -0.19102542],[-0.88778979 -0.67208636],[-2.26756835 -0.03034151],-1.34746,"[ 1.25113659 -0.177281    0.03426524  1.11808298  0.80818885 -0.24024614
 -0.43001063  0.07471616  0.0439953   0.8930285   0.        ]",-0.138692634255
