timestep,human_obs,actions,logstd_action_dist,avg_action_dist,rewards,obs,original_rewards
0,"[[ 0.09282477  0.09565366 -0.09813929 -0.00255517]
 [ 0.00475355  0.00141032  0.          0.        ]]",[ 0.13363127 -0.61909386],[-0.73827714 -0.46527722],[ 0.46645361 -1.6110425 ],-1.52678,"[ 1.23292508  1.26080507  0.15526766 -0.02162039 -0.83993794 -0.03255072
  0.25351327 -0.07664941  1.68187094  0.23149065  0.        ]",-0.307476196288
1,"[[ 0.09823234  0.07108427 -0.09813929 -0.00255517]
 [ 0.5342377  -2.45017876  0.          0.        ]]",[ 0.93946893 -0.05957477],[-0.73827714 -0.46527722],[ 0.6034013  -1.23434615],-1.54914,"[ 1.23221237  1.26432742  0.16317161 -0.05374189 -0.83993734 -0.03255071
  0.26165099 -0.55055491  1.68379618  0.22142465  0.        ]",-0.307639770457
2,"[[  1.46099813e-01   2.01861514e-02  -9.81392853e-02  -2.55517034e-03]
 [  4.24016938e+00  -2.63899922e+00   0.00000000e+00   0.00000000e+00]]",[ 0.90449136 -0.62460886],[-0.73827714 -0.46527722],[ 0.73826283 -1.23732305],-1.55311,"[ 1.22416621  1.26832476  0.23292753 -0.12044191 -0.83993674 -0.03255069
  0.31860869 -0.58705464  1.6806516   0.25039344  0.        ]",-0.30759139533
3,"[[  2.65970895e-01  -5.68976197e-02  -9.81392853e-02  -2.55517034e-03]
 [  7.73530083e+00  -5.06129765e+00   0.00000000e+00   0.00000000e+00]]",[ 0.92438296 -0.05458142],[-0.73827714 -0.46527722],[ 0.99909127 -0.68833578],-1.61274,"[ 1.19036089  1.26588714  0.40511501 -0.22153136 -0.83993614 -0.03255068
  0.37232651 -1.05529772  1.66080113  0.35760605  0.        ]",-0.306612977736
4,"[[  4.55831826e-01  -1.59299917e-01  -9.81392853e-02  -2.55517034e-03]
 [  1.12391367e+01  -5.17852343e+00   0.00000000e+00   0.00000000e+00]]",[ 1.99632481 -0.56668596],[-0.73827714 -0.46527722],[ 1.13362515 -0.66052341],-1.53238,"[ 1.09802771  1.24686578  0.66554723 -0.35503748 -0.83993554 -0.03255066
  0.4261781  -1.07795715  1.60654809  0.53494825  0.        ]",-0.30351410545
5,"[[  7.18084194e-01  -2.84367991e-01  -9.81392853e-02  -2.55517034e-03]
 [  1.49736912e+01  -7.32110370e+00   0.00000000e+00   0.00000000e+00]]",[ 0.42410074 -0.42951495],[-0.73827714 -0.46527722],[ 1.32457328 -0.11256748],-1.59877,"[ 0.89827021  1.19950146  0.98525756 -0.51499781 -0.83993494 -0.03255065
  0.48357567 -1.492128    1.48809853  0.77006688  0.        ]",-0.296310241124
6,"[[  1.03142804e+00  -4.46401304e-01  -9.81392853e-02  -2.55517034e-03]
 [  1.63561236e+01  -8.87699923e+00   0.00000000e+00   0.00000000e+00]]",[ 1.41971229 -0.55909661],[-0.73827714 -0.46527722],[ 1.34696341  0.38076559],-1.56493,"[ 0.56797035  1.09989363  1.27906012 -0.71332997 -0.83993435 -0.03255064
  0.50482256 -1.79288808  1.29696981  0.99645914  0.        ]",-0.28356985322
7,"[[  1.39500973e+00  -6.44396237e-01  -9.81392853e-02  -2.55517034e-03]
 [  1.99900342e+01  -1.09155914e+01   0.00000000e+00   0.00000000e+00]]",[ 1.28005079  0.63466896],[-0.73827714 -0.46527722],[ 1.24083781  0.96442235],-1.49158,"[ 0.10079447  0.92327831  1.46488763 -0.93504407 -0.83993375 -0.03255062
  0.56067327 -2.1869536   1.02785721  1.17310009  0.        ]",-0.263503853947
8,"[[  1.83053757e+00  -8.35324965e-01  -9.81392853e-02  -2.55517034e-03]
 [  2.35509749e+01  -8.18623190e+00   0.00000000e+00   0.00000000e+00]]",[ 1.42604337  1.5817484 ],[-0.73827714 -0.46527722],[ 1.02546167  0.43685484],-1.03939,"[-0.49465628  0.70191388  1.43826035 -1.119767   -0.83993315 -0.03255061
  0.61540245 -1.65935199  0.64786698  1.27428924  0.        ]",-0.232756867599
9,"[[  2.33657619e+00  -9.57685927e-01  -9.81392853e-02  -2.55517034e-03]
 [  2.70412563e+01  -4.06345233e+00   0.00000000e+00   0.00000000e+00]]",[ 0.27136114 -0.83754076],[-0.73827714 -0.46527722],[ 0.79818499 -0.44302559],-0.366873,"[-1.09639007  0.53739202  1.07760992 -1.21993168 -0.83993255 -0.0325506
  0.66904561 -0.86239779  0.15585914  1.21622449  0.        ]",-0.189292522609
10,"[[  2.88282509e+00  -1.07139614e+00  -9.81392853e-02  -2.55517034e-03]
 [  2.75819242e+01  -7.29673952e+00   0.00000000e+00   0.00000000e+00]]",[ 0.77261331  0.16408097],[-0.73827714 -0.46527722],[ 0.72593987  0.40324068],-0.207687,"[-1.473767    0.37116094  0.39489357 -1.2986587  -0.83993195 -0.03255058
  0.67735494 -1.48740619 -0.28868928  0.90382007  0.        ]",-0.137224568181
11,"[[  3.45967298e+00  -1.20933803e+00  -9.81392853e-02  -2.55517034e-03]
 [  3.00945385e+01  -6.49996107e+00   0.00000000e+00   0.00000000e+00]]",[ 0.66000808  1.16401282],[-0.73827714 -0.46527722],[ 0.67260462  0.5625577 ],-0.0873224,"[-1.45049877  0.15542089 -0.44006241 -1.37411132 -0.83993135 -0.03255057
  0.7159719  -1.3333835  -0.53447377  0.39155684  0.        ]",-0.0870854627202
12,"[[  4.08179536e+00  -1.29828413e+00  -9.81392853e-02  -2.55517034e-03]
 [  3.21108788e+01  -2.40817149e+00   0.00000000e+00   0.00000000e+00]]",[-0.96405437  0.43488483],[-0.73827714 -0.46527722],[ 0.69719654  0.1629101 ],-0.157036,"[-0.95366541  0.00990634 -1.16680095 -1.4104717  -0.83993075 -0.03255056
  0.74696139 -0.54242073 -0.5217995  -0.24120399  0.        ]",-0.0751594044384
13,"[[  4.67936274e+00  -1.32864258e+00  -9.81392853e-02  -2.55517034e-03]
 [  2.76605956e+01  -6.33777754e-01   0.00000000e+00   0.00000000e+00]]",[ 1.04744956  0.39706809],[-0.73827714 -0.46527722],[ 0.78426373  0.04871908],-0.265299,"[-0.18595596 -0.04065736 -1.44839623 -1.42060619 -0.83993016 -0.03255054
  0.6785627  -0.19942175 -0.21724155 -0.76949416  0.        ]",-0.12090388646
14,"[[  5.26678381e+00  -1.32539018e+00  -9.81392853e-02  -2.55517034e-03]
 [  3.10700881e+01   9.53870630e-01   0.00000000e+00   0.00000000e+00]]",[ 2.00495333  0.72108746],[-0.73827714 -0.46527722],[ 0.94685304 -0.22416511],-0.363185,"[ 0.58567746 -0.03522125 -1.22926405 -1.41957445 -0.83992956 -0.03255053
  0.73096417  0.10747844  0.30081132 -1.03918504  0.        ]",-0.177571498684
