timestep,human_obs,rewards,obs,avg_action_dist,actions,logstd_action_dist,original_rewards
0,"[[ 0.07805208 -0.04840825  0.15252612  0.11406211]
 [-0.00267056  0.00249021  0.          0.        ]]",-0.229958,"[ 1.19967874  1.15975396  0.12430701 -0.52086144  1.33074724  1.00423127
  0.31935325 -0.12806704  0.1848111  -0.70832512  0.        ]",[-0.21190734  1.72481096],[-0.52172323  1.53008308],[-0.48896614 -0.26489019],-0.117782610069
1,"[[ 0.0572763  -0.00862304  0.15252612  0.11406211]
 [-2.06802571  3.96282913  0.          0.        ]]",-0.23581,"[ 1.20161013  1.16127237  0.09363929 -0.45430278  1.33074344  1.00422919
  0.28128789  0.50709412  0.18516839 -0.70821028  0.        ]",[-0.20046085  1.54187894],[ 0.44366364  1.4175492 ],[-0.48896614 -0.26489019],-0.117796531418
2,"[[ 0.03392032  0.1095672   0.15252612  0.11406211]
 [-0.27353629  7.8432651   0.          0.        ]]",-0.189401,"[ 1.20307318  1.1532773   0.05911989 -0.25685107  1.33073964  1.00422711
  0.31436049  1.12943888  0.17972001 -0.65311849  0.        ]",[-0.17367721  1.2520504 ],[ 0.08297277  0.93288947],[-0.48896614 -0.26489019],-0.11037488574
3,"[[  0.03178405   0.30193492   0.15252612   0.11406211]
 [  0.05883655  11.38171457   0.           0.        ]]",-0.150744,"[ 1.20316677  1.1006474   0.05596084  0.05784357  1.33073584  1.00422503
  0.32048585  1.69693127  0.14964948 -0.51551636  0.        ]",[-0.18018514  0.79993832],[-0.97906981  1.15999586],[-0.48896614 -0.26489019],-0.0907776141902
4,"[[ -5.92382046e-03   5.67050645e-01   1.52526118e-01   1.14062110e-01]
 [ -3.81671446e+00   1.51173825e+01   0.00000000e+00   0.00000000e+00]]",-0.0707482,"[  1.20383511e+00   9.51410897e-01   1.78491052e-04   4.59167765e-01
   1.33073204e+00   1.00422295e+00   2.49057933e-01   2.29604449e+00
   8.40865942e-02  -3.87179904e-01   0.00000000e+00]",[-0.29125869  0.0973525 ],[ 0.07482287  0.64862686],[-0.48896614 -0.26489019],-0.0692666154985
5,"[[ -0.07853464   0.8921623    0.15252612   0.11406211]
 [ -3.44551822  17.38622327   0.           0.        ]]",0.0793622,"[ 1.19961161  0.66204626 -0.1071328   0.86301156  1.33072824  1.00422087
  0.25589892  2.65989842 -0.02496522 -0.29022762  0.        ]",[-0.39413786 -0.53642881],[-0.9558975  -2.25936187],[-0.48896614 -0.26489019],-0.0477191115362
6,"[[ -0.18469246   1.19671525   0.15252612   0.11406211]
 [ -7.15813176  13.08334542   0.           0.        ]]",0.185264,"[ 1.18043234  0.31024581 -0.26276612  1.11810748  1.33072443  1.00421879
  0.18747393  1.96979843 -0.13860845 -0.27098892  0.        ]",[-0.5262149  -0.34036264],[-0.02305491 -1.62907555],[-0.48896614 -0.26489019],-0.0393661255356
7,"[[-0.32734075  1.41605322  0.15252612  0.11406211]
 [-7.10692655  8.86451052  0.          0.        ]]",0.16164,"[ 1.13072657  0.02687334 -0.46676798  1.2138542   1.33072063  1.00421672
  0.18841746  1.2931855  -0.20523379 -0.33672134  0.        ]",[-0.53636265 -0.09697083],[-1.30761763  0.0840361 ],[-0.48896614 -0.26489019],-0.0492278316942
8,"[[ -0.50777778   1.59492545   0.15252612   0.11406211]
 [-10.92415961   9.02210991   0.           0.        ]]",0.261843,"[ 1.0300934  -0.21219035 -0.71046362  1.23336294  1.33071683  1.00421464
  0.11806423  1.31845728 -0.24886002 -0.45007424  0.        ]",[-0.57031965 -0.4042494 ],[ 0.6059671  -1.03057161],[-0.48896614 -0.26489019],-0.0667825359205
9,"[[-0.70002734  1.73383921  0.15252612  0.11406211]
 [-8.30945959  4.88311219  0.          0.        ]]",0.26939,"[ 0.87998214 -0.39752974 -0.94423311  1.21164993  1.33071303  1.00421256
  0.16625406  0.65465206 -0.28412035 -0.57793747  0.        ]",[-0.52876449 -0.1898227 ],[-0.60782885  0.02146668],[-0.48896614 -0.26489019],-0.0862654536042
