timestep,human_obs,actions,logstd_action_dist,avg_action_dist,rewards,obs,original_rewards
0,"[[ -5.32000312e-02  -8.36276163e-02  -7.66921136e-02  -1.77944652e-01]
 [  3.30818279e-03  -1.29663536e-04   0.00000000e+00   0.00000000e+00]]",[-1.7586852  -1.18264038],[-0.58437681 -0.33555919],[-1.96706426 -1.32410061],-0.878695,"[ 1.21899822  1.17445084 -0.0629903  -0.42786186 -0.65319168 -1.53978173
  0.28177207 -0.10999174  1.57208071  1.07230246  0.        ]",-0.326141292975
1,"[[-0.09280972 -0.1233426  -0.07669211 -0.17794465]
 [-3.95112107 -3.95818235  0.          0.        ]]",[-2.24231419  0.836595  ],[-0.58437681 -0.33555919],[-1.93243074 -0.83147597],-0.997287,"[ 1.21501696  1.16845683 -0.12124108 -0.48658152 -0.653191   -1.53977795
  0.21520326 -0.79475601  1.56108275  0.98838154  0.        ]",-0.318651104005
2,"[[-0.21075208 -0.16846865 -0.07669211 -0.17794465]
 [-7.83019297 -0.56572842  0.          0.        ]]",[-2.80503351 -0.58373513],[-0.58437681 -0.33555919],[-1.95246422 -1.22822773],-0.829202,"[ 1.19046725  1.1588727  -0.29306505 -0.55294643 -0.65319033 -1.53977418
  0.14990301 -0.20784223  1.51855389  0.79563845  0.        ]",-0.300117186324
3,"[[ -0.40548409  -0.20284603  -0.07669211  -0.17794465]
 [-11.63037012  -2.86434187   0.           0.        ]]",[-1.89939056 -0.94050254],[-0.58437681 -0.33555919],[-1.91466355 -0.95529532],-0.831404,"[ 1.109254    1.14960228 -0.56626997 -0.60317015 -0.65318965 -1.5397704
  0.08593088 -0.60551497  1.41092378  0.52332706  0.        ]",-0.269676276931
4,"[[ -0.6754615   -0.29691204  -0.07669211  -0.17794465]
 [-15.35502329  -6.53001997   0.           0.        ]]",[-1.46101416 -0.83270774],[-0.58437681 -0.33555919],[-1.85588431 -0.33912852],-0.750272,"[ 0.91850004  1.11563668 -0.90660872 -0.73861391 -0.65318897 -1.53976663
  0.02323012 -1.23969636  1.15626803  0.18116354  0.        ]",-0.218089880181
5,"[[ -1.01919889  -0.45927911  -0.07669211  -0.17794465]
 [-19.00668005  -9.69608197   0.           0.        ]]",[-1.59649911  0.76754622],[-0.58437681 -0.33555919],[-1.78544903  0.33096522],-0.620615,"[ 0.56538947  1.02818356 -1.24051256 -0.96269118 -0.65318829 -1.53976285
 -0.03824182 -1.78743788  0.68822898 -0.09532563  0.        ]",-0.140246362572
6,"[[ -1.43527383  -0.62075996  -0.07669211  -0.17794465]
 [-22.58888557  -6.46269461   0.           0.        ]]",[-2.0841675  -0.53100845],[-0.58437681 -0.33555919],[-1.81217325  0.1174539 ],-0.126393,"[ 0.02968408  0.90704342 -1.44569543 -1.16836113 -0.65318762 -1.53975908
 -0.09854462 -1.22804189  0.08194628 -0.10661278  0.        ]",-0.0430481474531
7,"[[ -1.92226626  -0.76979861  -0.07669211  -0.17794465]
 [-26.09882148  -8.43448612   0.           0.        ]]",[-1.34339888  1.56848229],[-0.58437681 -0.33555919],[-1.86881304  0.72621596],-0.32084,"[-0.63059641  0.76771839 -1.36906516 -1.33833085 -0.65318694 -1.53975531
 -0.15763083 -1.56916856 -0.49630184  0.25963016  0.        ]",-0.0673890602312
8,"[[ -2.47878551  -0.89705038  -0.07669211  -0.17794465]
 [-29.54153975  -4.30431879   0.           0.        ]]",[-3.07743603  0.31811184],[-0.58437681 -0.33555919],[-2.01614809  0.42511857],-0.295983,"[-1.24212223  0.63022338 -0.89196341 -1.46542988 -0.65318626 -1.53975153
 -0.21558549 -0.8546269  -0.8124507   0.96730378  0.        ]",-0.179044438046
9,"[[ -3.10346282  -0.96960093  -0.07669211  -0.17794465]
 [-32.91493385  -2.95508953   0.           0.        ]]",[-1.83244591  0.2829936 ],[-0.58437681 -0.33555919],[-2.14350724  0.41518104],-0.467523,"[-1.53274573  0.54508352 -0.04078051 -1.52960226 -0.65318558 -1.53974776
 -0.27237314 -0.6212025  -0.69002645  1.7739162   0.        ]",-0.277045333462
