timestep,human_obs,rewards,obs,avg_action_dist,actions,logstd_action_dist,original_rewards
0,"[[-0.02264981  0.01130848  0.10844585  0.17009928]
 [ 0.00218958 -0.00115821  0.          0.        ]]",-0.425263,"[ 1.05874828  1.17105955 -0.06898517 -0.08748317  0.89136178  1.38783745
 -0.06894356 -0.04835278  0.36961307 -1.12165785  0.        ]",[ 0.02706846  0.03534511],[-1.18029059 -1.660531  ],[-0.02293718 -0.01460341],-0.201115848728
1,"[[-0.06228151 -0.02842685  0.10844585  0.17009928]
 [-3.95219905 -3.95918869  0.          0.        ]]",-0.478551,"[ 1.05628366  1.17051948 -0.12898274 -0.15299995  0.89129906  1.38767824
 -0.43538541 -0.57086523  0.36582578 -1.20367939  0.        ]",[ 0.02697705  0.03504891],[-1.59068899  2.49388885],[-0.02293718 -0.01460341],-0.211857598592
2,"[[-0.18024749 -0.06708114  0.10844585  0.17009928]
 [-7.83147667  0.08029483  0.          0.        ]]",-0.411419,"[ 1.03604934  1.16807134 -0.30633504 -0.21666368  0.89123636  1.38751909
 -0.79484743 -0.03755404  0.33922406 -1.38938193  0.        ]",[ 0.02709976  0.03400146],[-0.48899143  2.08005942],[-0.02293718 -0.01460341],-0.235657750582
3,"[[-0.35474655 -0.02575622  0.10844585  0.17009928]
 [-9.61249268  4.03899974  0.          0.        ]]",-0.401395,"[ 0.97089185  1.17039416 -0.56104522 -0.14857973  0.89117367  1.38735999
 -0.95983354  0.48508792  0.28305782 -1.5883735   0.        ]",[ 0.02761004  0.03344289],[-0.26285624  0.42985915],[-0.02293718 -0.01460341],-0.260790260599
4,"[[ -0.55552802   0.07130214   0.10844585   0.17009928]
 [-10.46282668   5.66142098   0.           0.        ]]",-0.437549,"[ 0.84634322  1.1674844  -0.83386209  0.01139782  0.89111099  1.38720095
 -1.03855518  0.69926083  0.19943469 -1.77189734  0.        ]",[ 0.02821204  0.03331957],[-1.12764124  0.5182223 ],[-0.02293718 -0.01460341],-0.283827532876
5,"[[ -0.80240688   0.20400771   0.10844585   0.17009928]
 [-14.21259377   7.60263567   0.           0.        ]]",-0.289597,"[ 0.62781426  1.14430561 -1.12421878  0.22804411  0.89104833  1.38704196
 -1.38591197  0.95549942  0.06449334 -1.9654364   0.        ]",[ 0.02791229  0.03175868],[ 1.66203065  0.1828631 ],[-0.02293718 -0.01460341],-0.308371507241
6,"[[-1.04415081  0.361797    0.10844585  0.17009928]
 [-9.97589239  8.17440344  0.          0.        ]]",-0.313962,"[ 0.35603452  1.08841612 -1.34454495  0.47768425  0.89098568  1.38688302
 -0.99320594  1.03091025 -0.0878269  -2.10725876  0.        ]",[ 0.02883152  0.03248331],[ 0.55409282  1.492661  ],[-0.02293718 -0.01460341],-0.327051827654
7,"[[ -1.21971129   0.5633788    0.10844585   0.17009928]
 [ -7.58806475  11.97113705   0.           0.        ]]",-0.323675,"[ 0.13176353  0.97445934 -1.45728047  0.77469777  0.89092304  1.38672414
 -0.77186991  1.53201528 -0.17455786 -2.14051968  0.        ]",[ 0.02901857  0.03242733],[-0.00796883  0.99120099],[-0.02293718 -0.01460341],-0.331384181043
8,"[[ -1.37029625   0.83979997   0.10844585   0.17009928]
 [ -7.4707708   15.65868376   0.           0.        ]]",-0.312525,"[-0.07277941  0.74889269 -1.51916958  1.12176735  0.89086041  1.38656532
 -0.76095263  2.01847751 -0.21601739 -2.09231628  0.        ]",[ 0.0290701   0.03196625],[ 0.18025297 -1.06098341],[-0.02293718 -0.01460341],-0.323815543965
9,"[[ -1.51106041   1.11013099   0.10844585   0.17009928]
 [ -6.60856203  11.38865827   0.           0.        ]]",-0.324435,"[-0.26983477  0.46599713 -1.54661953  1.37109897  0.8907978   1.38640655
 -0.68100729  1.45459994 -0.26246294 -2.02128254  0.        ]",[ 0.02877533  0.03296599],[-0.54229165 -0.36453244],[-0.02293718 -0.01460341],-0.312851960965
10,"[[-1.66344683  1.32116282  0.10844585  0.17009928]
 [-8.62344935  9.72004553  0.          0.        ]]",-0.28794,"[-0.48491583  0.21553558 -1.54261877  1.4917276   0.8907352   1.38624783
 -0.86768382  1.23420854 -0.34170519 -1.98035187  0.        ]",[ 0.02769002  0.03248717],[-0.1530705   0.24342117],[-0.02293718 -0.01460341],-0.306912238909
11,"[[ -1.84028632   1.52330118   0.10844585   0.17009928]
 [ -9.05905564  10.49121007   0.           0.        ]]",-0.277047,"[-0.73037106 -0.03755805 -1.49423747  1.54078999  0.89067262  1.38608917
 -0.90799051  1.33586019 -0.44306376 -1.94235072  0.        ]",[ 0.02712912  0.03179777],[-0.13691356 -1.22449197],[-0.02293718 -0.01460341],-0.302325025937
12,"[[-2.02510198  1.69131053  0.10844585  0.17009928]
 [-9.4213348   6.32360774  0.          0.        ]]",-0.288628,"[-0.9742129  -0.25023179 -1.39507206  1.53048698  0.89061005  1.38593056
 -0.94149686  0.78568392 -0.55289586 -1.91102011  0.        ]",[ 0.02669273  0.03240664],[-0.56351896 -0.21369907],[-0.02293718 -0.01460341],-0.299924045414
13,"[[ -2.23403798   1.80803519   0.10844585   0.17009928]
 [-11.46548624   5.35205732   0.           0.        ]]",-0.2239,"[-1.22399809 -0.39580961 -1.22742923  1.49606552  0.89054749  1.38577201
 -1.13084816  0.65739976 -0.68483423 -1.90006692  0.        ]",[ 0.02614079  0.03167099],[ 0.46559924  0.50881524],[-0.02293718 -0.01460341],-0.302526997058
14,"[[-2.44258703  1.93422013  0.10844585  0.17009928]
 [-9.39627556  7.26012099  0.          0.        ]]",-0.184143,"[-1.43553065 -0.54856063 -1.00834955  1.43437215  0.89048494  1.38561351
 -0.93900629  0.90920985 -0.80211156 -1.85852906  0.        ]",[ 0.02637287  0.03082668],[ 1.22653724  1.28798758],[-0.02293718 -0.01460341],-0.301399549871
