timestep,human_obs,rewards,obs,avg_action_dist,actions,logstd_action_dist,original_rewards
0,"[[ -1.21245627e-02   1.41075874e-02  -1.69083399e-01   1.22998403e-01]
 [ -6.84640557e-06   2.76919615e-04   0.00000000e+00   0.00000000e+00]]",-2.06458,"[  1.25034538e+00   1.35279261e+00   1.89179273e-03  -8.59561620e-02
  -1.45421562e+00   1.07588019e+00   2.33012523e-01  -6.31259027e-02
   2.10954432e+00  -7.95953971e-01   0.00000000e+00]",[ 2.99881363 -1.3678993 ],[ 2.77382157 -2.26846286],[-0.89376593 -0.65381414],-0.398839159929
1,"[[ 0.02758125 -0.02563022 -0.1690834   0.1229984 ]
 [ 3.95740638 -3.96085048  0.          0.        ]]",-2.09356,"[ 1.24992061  1.35235048  0.05999909 -0.13581471 -1.45421437  1.07587955
  0.29065353 -0.87557503  2.10935972 -0.77024328  0.        ]",[ 3.03980994 -0.66628456],[ 3.28275504 -0.80312465],[-0.89376593 -0.65381414],-0.397595152376
2,"[[ 0.14564672 -0.1359819  -0.1690834   0.1229984 ]
 [ 7.83622863 -7.06396388  0.          0.        ]]",-2.25281,"[ 1.23581857  1.33519618  0.23205028 -0.27376128 -1.45421312  1.07587891
  0.34714982 -1.51203975  2.10328275 -0.68851745  0.        ]",[ 3.0585351   0.07755812],[ 2.59681978  0.34598805],[-0.89376593 -0.65381414],-0.392987062963
3,"[[  0.34050172  -0.26212666  -0.1690834    0.1229984 ]
 [ 11.63664025  -5.555512     0.           0.        ]]",-2.04328,"[ 1.17113068  1.28716683  0.50841583 -0.42881837 -1.45421187  1.07587827
  0.40250402 -1.20264705  2.07357885 -0.51713704  0.        ]",[ 2.97206926 -0.09577659],[ 3.43751057 -0.03633346],[-0.89376593 -0.65381414],-0.381697349442
4,"[[  0.61061801  -0.37358883  -0.1690834    0.1229984 ]
 [ 15.36261066  -5.59054149   0.           0.        ]]",-2.06767,"[ 1.00080465  1.22008264  0.8588184  -0.56160531 -1.45421062  1.07587763
  0.45677396 -1.20983097  1.98433712 -0.25024596  0.        ]",[ 2.8533895   0.05240518],[ 2.87918749 -0.4217766 ],[-0.89376593 -0.65381414],-0.360148161549
5,"[[  0.95452203  -0.50105417  -0.1690834    0.1229984 ]
 [ 19.01567695  -7.15071722   0.           0.        ]]",-2.02443,"[ 0.66746392  1.11614177  1.21397697 -0.70639733 -1.45420937  1.07587699
  0.509982   -1.52983023  1.79378965  0.05209789  0.        ]",[ 2.68587732  0.55934894],[ 2.2314862   0.01815272],[-0.89376593 -0.65381414],-0.325838421049
6,"[[  1.37075924  -0.64193044  -0.1690834    0.1229984 ]
 [ 22.59618098  -6.93751054   0.           0.        ]]",-1.61029,"[ 0.14348366  0.96945044  1.45403564 -0.8549549  -1.45420812  1.07587635
  0.56213313 -1.48609906  1.46947321  0.32101721  0.        ]",[ 2.43492508  0.54959571],[ 1.86024357  0.35293639],[-0.89376593 -0.65381414],-0.275275968487
7,"[[  1.85789455  -0.76527756  -0.1690834    0.1229984 ]
 [ 26.10570228  -5.40218173   0.           0.        ]]",-0.966709,"[-0.52221125  0.8157922   1.42331436 -0.97289806 -1.45420687  1.07587571
  0.61325036 -1.17119409  0.99786748  0.46564336  0.        ]",[ 2.09395099  0.1393162 ],[ 2.49911336  0.5873727 ],[-0.89376593 -0.65381414],-0.203983731731
8,"[[  2.41452203  -0.84890107  -0.1690834    0.1229984 ]
 [ 29.54557761  -2.96813686   0.           0.        ]]",-0.472335,"[-1.16314737  0.69945357  0.99245498 -1.04544648 -1.45420563  1.07587507
  0.66335314 -0.67195817  0.42663817  0.35476132  0.        ]",[ 1.73777366 -0.56901932],[ 1.3114387 -0.373692 ],[-0.89376593 -0.65381414],-0.108964816328
9,"[[  3.03927701  -0.9224994   -0.1690834    0.1229984 ]
 [ 32.91876152  -4.38680583   0.           0.        ]]",-0.397389,"[-1.50525984  0.58967189  0.16911954 -1.10386731 -1.45420438  1.07587443
  0.71248452 -0.96293431 -0.0617351  -0.11369206  0.        ]",[ 1.52601337 -0.07928404],[ 1.59428717 -0.61326301],[-0.89376593 -0.65381414],-0.0225492634529
10,"[[  3.73083456  -1.03369645  -0.1690834    0.1229984 ]
 [ 36.22611192  -6.72489926   0.           0.        ]]",-0.587709,"[-1.27951635  0.4120608  -0.79372698 -1.18176765 -1.45420313  1.07587379
  0.76065697 -1.44248867 -0.21487434 -0.84316726  0.        ]",[ 1.56743574  0.61311829],[ 1.6147158   0.88585442],[-0.89376593 -0.65381414],-0.131952531321
11,"[[  4.48786984  -1.13162128  -0.1690834    0.1229984 ]
 [ 39.46653582  -3.07951434   0.           0.        ]]",-0.982781,"[-0.43858465  0.24548966 -1.40721788 -1.23937011 -1.45420188  1.07587315
  0.80785459 -0.69480049  0.09731418 -1.57357273  0.        ]",[ 1.90534115  0.16484681],[ 2.16334357  0.98766092],[-0.89376593 -0.65381414],-0.247068833433
12,"[[  5.3090619   -1.15330547  -0.1690834    0.1229984 ]
 [ 42.64189948   0.89802906   0.           0.        ]]",-1.20117,"[ 0.64521719  0.20748546 -1.19105768 -1.25067047 -1.45420063  1.07587251
  0.85410454  0.12101497  0.85432437 -1.93147877  0.        ]",[ 2.45615911 -0.29405108],[ 2.35794624  0.4783284 ],[-0.89376593 -0.65381414],-0.342649033754
13,"[[  6.19312559  -1.11645295  -0.1690834    0.1229984 ]
 [ 45.75397723   2.78110611   0.           0.        ]]",-1.26143,"[ 1.24484678  0.27184596 -0.11199724 -1.23114528 -1.45419938  1.07587187
  0.89943267  0.5072441   1.68776154 -1.5143006   0.        ]",[ 2.77126837 -0.53311706],[ 2.86782757 -0.55235069],[-0.89376593 -0.65381414],-0.387171390372
14,"[[  7.13882147  -1.08325037  -0.1690834    0.1229984 ]
 [ 48.80557778   0.54676018   0.           0.        ]]",-1.43634,"[ 0.77485959  0.32885118  1.12462458 -1.21224193 -1.45419813  1.07587123
  0.94387989  0.04896753  1.88886746 -0.46090751  0.        ]",[ 2.67200947 -0.41386744],[ 2.77268259 -0.92126953],[-0.89376593 -0.65381414],-0.34938820992
15,"[[  8.14495748  -1.10893658  -0.1690834    0.1229984 ]
 [ 51.79829341  -3.10299512   0.           0.        ]]",-0.889814,"[-0.52734456  0.28483446  1.4216965  -1.22697257 -1.45419688  1.07587059
  0.98746938 -0.69961713  1.17129084  0.31934254  0.        ]",[ 2.10863829  0.19976318],[ 1.57431031  1.05899964],[-0.89376593 -0.65381414],-0.22583006139
16,"[[  9.21033786  -1.13055089  -0.1690834    0.1229984 ]
 [ 54.72972003   0.92835757   0.           0.        ]]",-0.327116,"[-1.48084244  0.24735539  0.33108494 -1.23879409 -1.45419563  1.07586995
  1.03016613  0.12723563  0.14118204  0.04365876  0.        ]",[ 1.66338587 -0.86747181],[ 2.28298508 -1.55553258],[-0.89376593 -0.65381414],-0.047070566186
17,"[[ 10.33378099  -1.15178157  -0.1690834    0.1229984 ]
 [ 57.60530761  -3.0379674    0.           0.        ]]",-0.71702,"[-0.97997364  0.21016802 -1.1349767  -1.24988952 -1.45419438  1.07586931
  1.07204951 -0.68627957 -0.13064542 -1.12957077  0.        ]",[ 1.73641157  0.20509113],[ 1.23109394 -0.16090398],[-0.89376593 -0.65381414],-0.175445405658
18,"[[ 11.51416942  -1.21819963  -0.1690834    0.1229984 ]
 [ 60.42421967  -3.6016637    0.           0.        ]]",-1.1553,"[ 0.55371897  0.0916272  -1.25151374 -1.28124447 -1.45419313  1.07586867
  1.11310734 -0.80189649  0.73979819 -1.89839238  0.        ]",[ 2.4121871   0.60031617],[ 2.36729321  0.74373185],[-0.89376593 -0.65381414],-0.32907769258
19,"[[ 12.75036635  -1.25982272  -0.1690834    0.1229984 ]
 [ 63.18605032  -0.57046758   0.           0.        ]]",-1.35308,"[ 1.22712719  0.0158104   0.28741112 -1.29825469 -1.45419188  1.07586803
  1.1533337  -0.18018098  1.75751236 -1.29854652  0.        ]",[ 2.75472736  0.58409667],[ 2.70783516  0.24636871],[-0.89376593 -0.65381414],-0.377856674596
20,"[[ 14.04124546  -1.26116735  -0.1690834    0.1229984 ]
 [ 65.89275761   0.43290669   0.           0.        ]]",-1.10865,"[  1.28964569e-03   1.33434020e-02   1.47649130e+00  -1.29876891e+00
  -1.45419063e+00   1.07586739e+00   1.19275710e+00   2.56168046e-02
   1.55918890e+00   7.20848003e-03   0.00000000e+00]",[ 2.34460449 -0.14429945],[ 1.88691111 -1.00741893],[-0.89376593 -0.65381414],-0.286160015783
21,"[[ 15.38573693  -1.29214445  -0.1690834    0.1229984 ]
 [ 68.54791311  -3.51716782   0.           0.        ]]",-0.275255,"[-1.44138342 -0.04377514  0.48312042 -1.31003651 -1.45418938  1.07586675
  1.23142957 -0.7845659   0.33232552  0.12844299  0.        ]",[ 1.59640586  0.55050361],[ 1.74126608  0.13397723],[-0.89376593 -0.65381414],-0.0811732164688
22,"[[ 16.78280808  -1.35626977  -0.1690834    0.1229984 ]
 [ 71.1505047   -2.8971102    0.           0.        ]]",-0.727511,"[-0.78841429 -0.16356874 -1.26761359 -1.32967319 -1.45418813  1.07586611
  1.26933637 -0.65738823 -0.04199169 -1.16169801  0.        ]",[ 1.76915991  0.72647202],[ 1.49428799  1.15001957],[-0.89376593 -0.65381414],-0.181091021628
23,"[[ 18.23139809  -1.37369332  -0.1690834    0.1229984 ]
 [ 73.69960513   1.14157578   0.           0.        ]]",-1.19773,"[ 0.99480276 -0.19643007 -0.82856463 -1.33414012 -1.45418689  1.07586546
  1.30646398  0.17096971  1.08212864 -1.81625517  0.        ]",[ 2.56747556  0.378149  ],[ 2.9917929   0.58131441],[-0.89376593 -0.65381414],-0.34847096897
24,"[[ 19.73044613  -1.32776333  -0.1690834    0.1229984 ]
 [ 76.19661327   3.4439732    0.           0.        ]]",-1.22153,"[ 0.74823486 -0.11007762  1.14850601 -1.32155928 -1.45418564  1.07586482
  1.34283278  0.64320469  1.83026706 -0.59761838  0.        ]",[ 2.62477016 -0.45927253],[ 2.62068525  0.17459291],[-0.89376593 -0.65381414],-0.344820329857
25,"[[ 21.27892966  -1.25238871  -0.1690834    0.1229984 ]
 [ 78.64349842   4.09150093   0.           0.        ]]",-0.330932,"[-1.17666837  0.02943054  0.97610845 -1.29536151 -1.45418439  1.07586418
  1.37847144  0.77601611  0.66744625  0.29293185  0.        ]",[ 1.87201595 -1.3353194 ],[ 1.99582547 -1.69956782],[-0.89376593 -0.65381414],-0.142541509152
26,"[[  2.28758817e+01  -1.21084635e+00  -1.69083399e-01   1.22998403e-01]
 [  8.10441581e+01   7.63129947e-02   0.00000000e+00   0.00000000e+00]]",-0.625073,"[-1.00617061  0.1049056  -1.11280967 -1.27801853 -1.45418314  1.07586354
  1.41343674 -0.04752272 -0.12664923 -1.06271219  0.        ]",[ 1.81744218 -0.1350829 ],[ 1.27414413  0.60058631],[-0.89376593 -0.65381414],-0.165140290435
