timestep,human_obs,actions,logstd_action_dist,avg_action_dist,rewards,obs,original_rewards
0,"[[ 0.02564891  0.07033153 -0.02999895  0.18676383]
 [ 0.00358754  0.00172674  0.          0.        ]]",[ 2.46653237  0.14682583],[-1.07140613 -0.89419842],[ 2.77261615 -0.32324249],-2.15071,"[ 1.25793506  1.42448728  0.06183026 -0.00466744 -0.25466343  1.60494086
  0.21306819 -0.04937168  1.28015178 -1.08548501  0.        ]",-0.295800504394
1,"[[ 0.06540823  0.07618337 -0.02999895  0.18676383]
 [ 3.95917518  0.58152865  0.          0.        ]]",[ 3.78993032 -0.39879683],[-1.07140613 -0.89419842],[ 2.75880265 -0.30990463],-2.04607,"[ 1.25543264  1.42355976  0.11984978  0.0024846  -0.25466338  1.60493987
  0.26836284  0.07715197  1.27559021 -1.02838039  0.        ]",-0.289998648208
2,"[[ 0.18350277  0.07183988 -0.02999895  0.18676383]
 [ 7.8373628  -1.01056892  0.          0.        ]]",[ 2.77737035 -0.5768277 ],[-1.07140613 -0.89419842],[ 2.87601161 -0.68733048],-2.11295,"[ 1.23517449  1.42425398  0.29093772 -0.00282367 -0.25466333  1.60493888
  0.32257552 -0.27027363  1.25245892 -0.87541262  0.        ]",-0.273707753818
3,"[[  0.37839396   0.02889808  -0.02999895   0.18676383]
 [ 11.63909393  -3.27605602   0.           0.        ]]",[ 2.54291434 -0.74242456],[-1.07140613 -0.89419842],[ 2.95694566 -0.83487511],-2.15246,"[ 1.16057705  1.42893107  0.56405463 -0.05537712 -0.25466329  1.6049379
  0.37571942 -0.76464541  1.18874753 -0.65536084  0.        ]",-0.247855639496
4,"[[  0.64856775  -0.06548176  -0.02999895   0.18676383]
 [ 15.36588188  -6.15232249   0.           0.        ]]",[ 3.19612262 -0.69329805],[-1.07140613 -0.89419842],[ 2.99284291 -0.64691252],-2.13905,"[ 0.97763654  1.42519636  0.90680162 -0.17097526 -0.25466324  1.60493691
  0.42781569 -1.39230032  1.05688462 -0.39722292  0.        ]",-0.211988284971
5,"[[  0.99253772  -0.21486218  -0.02999895   0.18676383]
 [ 19.01898363  -8.77692104   0.           0.        ]]",[ 3.34411426  1.07042446],[-1.07140613 -0.89419842],[ 2.93251228  0.10268824],-2.09436,"[ 0.63143907  1.38007796  1.24772668 -0.35207373 -0.25466319  1.60493592
  0.4788819  -1.9650355   0.83043018 -0.14230741  0.        ]",-0.16507304084
6,"[[  1.40882102  -0.34893829  -0.02999895   0.18676383]
 [ 22.59745992  -4.64438088   0.           0.        ]]",[ 2.18850669 -2.02947717],[-1.07140613 -0.89419842],[ 2.35723329 -1.10954237],-1.84558,"[ 0.09869843  1.29943314  1.46611997 -0.50977739 -0.25466315  1.60493493
  0.52890493 -1.06323747  0.45899219  0.07287342  0.        ]",-0.100227580231
7,"[[  1.8959959   -0.48063501  -0.02999895   0.18676383]
 [ 26.10841631  -8.51228732   0.           0.        ]]",[ 2.30066094 -0.102524  ],[-1.07140613 -0.89419842],[ 2.11806512  0.19518529],-1.57316,"[-0.56604197  1.18467558  1.40867211 -0.65737643 -0.2546631   1.60493394
  0.57798409 -1.90728554 -0.0402496   0.1289688   0.        ]",-0.0224778582684
8,"[[  2.45268522  -0.65325868  -0.02999895   0.18676383]
 [ 29.54915042  -8.74911806   0.           0.        ]]",[ 1.67375158  0.60608852],[-1.07140613 -0.89419842],[ 1.74386442  0.37796426],-1.39245,"[-1.19162105  0.98431935  0.95303419 -0.83560378 -0.25466305  1.60493295
  0.6260816  -1.95896478 -0.55340932 -0.07984351  0.        ]",-0.0738890776046
9,"[[  3.07750129e+00  -8.02409290e-01  -2.99989531e-02   1.86763830e-01]
 [  3.29212624e+01  -6.17432608e+00   0.00000000e+00   0.00000000e+00]]",[ 1.19003484  0.01493372],[-1.07140613 -0.89419842],[ 1.442101   -0.31840211],-1.49951,"[-1.50411171  0.76981833  0.11792764 -0.97194437 -0.25466301  1.60493196
  0.67321985 -1.39709679 -0.95882988 -0.59333276  0.        ]",-0.170891487766
