timestep,human_obs,rewards,obs,avg_action_dist,actions,logstd_action_dist,original_rewards
0,"[[ 0.06643782 -0.09453182  0.05758814  0.07645733]
 [ 0.00195929  0.00041561  0.          0.        ]]",-1.80252,"[ 1.25295009  1.38732178  0.11829009 -0.21154309  0.50464116  0.66844863
  0.22415142 -0.05699638  0.76682952 -0.458598    0.        ]",[-0.89636606  1.35296965],[-1.7370061   0.04604305],[-0.96866691 -0.79224157],-0.168714539043
1,"[[ 0.02678533 -0.09267898  0.05758814  0.07645733]
 [-3.95403581  0.18425153  0.          0.        ]]",-1.73744,"[ 1.25550324  1.38767604  0.06040114 -0.20926288  0.50464102  0.66844842
  0.16791181 -0.01800222  0.76676732 -0.5107771   0.        ]",[-0.95972556  1.44616437],[-1.10197252  1.21934048],[-0.96866691 -0.79224157],-0.172365354755
2,"[[-0.09121661 -0.0492875   0.05758814  0.07645733]
 [-7.83323461  4.14170439  0.          0.        ]]",-1.7111,"[ 1.25025152  1.39398541 -0.11187986 -0.15576842  0.50464088  0.66844821
  0.11276396  0.82142845  0.75953921 -0.63913137  0.        ]",[-1.04730082  1.48707938],[-0.70960691  1.61267611],[-0.96866691 -0.79224157],-0.181574612898
3,"[[ -0.27450653   0.07246212   0.05758814   0.07645733]
 [-10.48692363   8.02031929   0.           0.        ]]",-1.57234,"[ 1.2042416   1.39109347 -0.3749395  -0.00538382  0.50464075  0.668448
  0.07503832  1.64413553  0.73309582 -0.79783903  0.        ]",[-1.01141727  1.42558551],[-0.50767671  0.71445091],[-0.96866691 -0.79224157],-0.192942384455
4,"[[ -0.50232491   0.25966522   0.05758814   0.07645733]
 [-12.28893429  10.69106405   0.           0.        ]]",-1.50608,"[ 1.08523039  1.32772893 -0.68244716  0.22249077  0.50464061  0.66844779
  0.04942039  2.21063479  0.67648855 -0.9612323   0.        ]",[-0.95097303  0.96780026],[-1.39111585  0.86968638],[-0.96866691 -0.79224157],-0.203802885428
5,"[[ -0.7853711    0.50592494   0.05758814   0.07645733]
 [-16.00338763  13.92405422   0.           0.        ]]",-1.39241,"[ 0.85114473  1.13958516 -1.01221545  0.5041349   0.50464047  0.66844759
 -0.0033854   2.89639048  0.57042183 -1.13153241  0.        ]",[-0.8943578  -0.03995621],[-1.48144183 -0.13509334],[-0.96866691 -0.79224157],-0.213624691238
6,"[[ -1.14196032   0.7762787    0.05758814   0.07645733]
 [-19.64354832  13.11388865   0.           0.        ]]",-1.2895,"[ 0.44844974  0.80902299 -1.30798626  0.77113507  0.50464034  0.66844738
 -0.05513502  2.72453859  0.38081678 -1.31957914  0.        ]",[-0.9668588  -0.44279402],[-1.03392141  0.35652169],[-0.96866691 -0.79224157],-0.224186952652
7,"[[ -1.57064519   1.05011212   0.05758814   0.07645733]
 [-23.21321193  14.2654404    0.           0.        ]]",-1.32636,"[-0.12613659  0.36598227 -1.4403318   0.97736836  0.5046402   0.66844717
 -0.10588244  2.96879151  0.09253096 -1.4767497   0.        ]",[-0.92380172 -1.56324196],[-0.74374221 -2.06712392],[-0.96866691 -0.79224157],-0.234243927883
8,"[[ -2.05983504   1.29284314   0.05758814   0.07645733]
 [-25.69757831  10.02166043   0.           0.        ]]",-1.56067,"[-0.77573879 -0.09148226 -1.26901056  1.09372899  0.50464007  0.66844696
 -0.14120093  2.06862943 -0.28048192 -1.54048612  0.        ]",[-1.15533519 -1.60892224],[-1.4504141  -0.77004176],[-0.96866691 -0.79224157],-0.242401587766
9,"[[ -2.60839891   1.46067049   0.05758814   0.07645733]
 [-29.14734312   6.7717291    0.           0.        ]]",-1.74399,"[-1.31680173 -0.42877782 -0.72164689  1.13368129  0.50463993  0.66844675
 -0.19024383  1.37927727 -0.71223818 -1.45373821  0.        ]",[-1.45804477 -1.73530984],[-1.55102582 -2.14381421],[-0.96866691 -0.79224157],-0.248005320978
10,"[[ -3.22527067   1.55499867   0.05758814   0.07645733]
 [-32.52847868   2.67457526   0.           0.        ]]",-1.54414,"[-1.50384949 -0.62175428  0.1434199   1.1410141   0.50463979  0.66844655
 -0.23831107  0.51021945 -1.12297965 -1.13186204  0.        ]",[-1.7804873  -1.40147972],[-2.13308107 -1.05178966],[-0.96866691 -0.79224157],-0.244548781722
11,"[[ -3.90908649   1.56818759   0.05758814   0.07645733]
 [-35.84188061  -1.342465     0.           0.        ]]",-1.27034,"[-1.12115024 -0.64879822  1.0360911   1.14116356  0.50463966  0.66844634
 -0.28541538 -0.34184519 -1.34703543 -0.54275241  0.        ]",[-1.76387167 -0.3036055 ],[-1.59927454  0.00308853],[-0.96866691 -0.79224157],-0.223351390269
12,"[[ -4.65851139   1.54167402   0.05758814   0.07645733]
 [-39.08977982  -1.309179     0.           0.        ]]",-0.99656,"[-0.20078463 -0.59443715  1.48072808  1.14064309  0.50463952  0.66844613
 -0.33158848 -0.33478473 -1.15119016  0.14347386  0.        ]",[-1.5194993   0.27338228],[-1.43250412  0.71187298],[-0.96866691 -0.79224157],-0.174172156146
13,"[[ -5.4722573    1.54396728   0.05758814   0.07645733]
 [-42.27437036   1.52885619   0.           0.        ]]",-1.38754,"[ 0.82584981 -0.59913776  1.08080393  1.14072181  0.50463938  0.66844592
 -0.37686157  0.26719837 -0.52252405  0.4860352   0.        ]",[-1.20087957 -0.34831971],[-0.4280729  -0.97925663],[-0.96866691 -0.79224157],-0.0993542280812
14,"[[ -6.32634313   1.53525975   0.05758814   0.07645733]
 [-43.13111227  -2.38661322   0.           0.        ]]",-1.48906,"[ 1.25471103 -0.58129047 -0.04180147  1.14038569  0.50463925  0.66844571
 -0.38904119 -0.56332223  0.16984699  0.19632652  0.        ]",[-0.89007711  0.59351671],[-0.64904165  1.14940193],[-0.96866691 -0.79224157],-0.0585821345036
15,"[[ -7.20617708   1.52764955   0.05758814   0.07645733]
 [-44.84682334   1.61215614   0.           0.        ]]",-1.58405,"[ 0.70781236 -0.56569676 -1.14422923  1.14001515  0.50463911  0.6684455
 -0.4134322   0.28486756  0.41935401 -0.59213974  0.        ]",[-0.83388835 -1.13979053],[-0.61644309 -0.84470038],[-0.96866691 -0.79224157],-0.13217230519
16,"[[ -8.11868272   1.5259277    0.05758814   0.07645733]
 [-46.39834874  -1.77316284   0.           0.        ]]",-1.71382,"[-0.487994   -0.56216915 -1.38942511  1.13992096  0.50463898  0.6684453
 -0.43548909 -0.43320169 -0.00680926 -1.31796394  0.        ]",[-1.06971025 -0.94120389],[-1.01142724 -1.59810184],[-0.96866691 -0.79224157],-0.207551163971
17,"[[ -9.07712419   1.45099692   0.05758814   0.07645733]
 [-49.43534701  -5.7070002    0.           0.        ]]",-1.37435,"[-1.42598714 -0.40907051 -0.47669418  1.13230522  0.50463884  0.66844509
 -0.47866395 -1.26761825 -0.8786902  -1.39002082  0.        ]",[-1.85448217  0.23229624],[-1.51653529 -0.56425565],[-0.96866691 -0.79224157],-0.251898757446
18,"[[-10.09568798   1.31547097   0.05758814   0.07645733]
 [-52.41089166  -7.83864809   0.           0.        ]]",-0.70747,"[-1.20907151 -0.13624068  0.92992837  1.10109283  0.5046387   0.66844488
 -0.52096516 -1.71976653 -1.45151268 -0.50668406  0.        ]",[-2.2309134   2.19259715],[-2.68306552  2.76983108],[-0.96866691 -0.79224157],-0.237838733541
19,"[[-11.17318353   1.19987152   0.05758814   0.07645733]
 [-55.32926623  -3.73510517   0.           0.        ]]",-0.62334,"[ 0.11788478  0.0891584   1.45985611  1.05710328  0.50463857  0.66844467
 -0.56245361 -0.84935271 -0.92015904  0.52083891  0.        ]",[-2.00291228  2.45778322],[-2.34788678  2.65562197],[-0.96866691 -0.79224157],-0.15553431259
20,"[[ -1.23084861e+01   1.16551904e+00   5.75881362e-02   7.64573346e-02]
 [ -5.81917624e+01   2.86267542e-01   0.00000000e+00   0.00000000e+00]]",-1.46041,"[ 1.21028698  0.15436026  0.39401574  1.04103499  0.50463843  0.66844446
 -0.60314765  0.0036315   0.19519395  0.38268501  0.        ]",[-1.5602212   1.42552638],[-1.61328687  0.75533412],[-0.96866691 -0.79224157],-0.0800050397826
21,"[[ -1.35004847e+01   1.20106238e+00   5.75881362e-02   7.64573346e-02]
 [ -6.09989889e+01   3.25789712e+00   0.00000000e+00   0.00000000e+00]]",-1.4759,"[ 0.69550149  0.08688186 -1.15396631  1.05763507  0.50463829  0.66844426
 -0.64305595  0.63395181  0.50618184 -0.81204723  0.        ]",[-1.08759069 -0.28700405],[-1.26402776  0.76749921],[-0.96866691 -0.79224157],-0.167339156753
22,"[[ -1.47480856e+01   1.29591403e+00   5.75881362e-02   7.64573346e-02]
 [ -6.37522065e+01   6.21707081e+00   0.00000000e+00   0.00000000e+00]]",-1.67071,"[-0.91928346 -0.09753855 -1.17596075  1.09475738  0.50463816  0.66844405
 -0.68219643  1.26162963 -0.39843806 -1.55647478  0.        ]",[-1.44481826 -1.52980947],[-1.41757395 -1.09578106],[-0.96866691 -0.79224157],-0.247743785825
23,"[[ -1.60501935e+01   1.37912218e+00   5.75881362e-02   7.64573346e-02]
 [ -6.64493011e+01   2.11709077e+00   0.00000000e+00   0.00000000e+00]]",-1.58543,"[-1.42852149 -0.26349777  0.51175239  1.11852534  0.50463802  0.66844384
 -0.72053903  0.39197152 -1.35665442 -0.87474024  0.        ]",[-2.19526768 -0.90308875],[-1.65409034 -1.54155793],[-0.96866691 -0.79224157],-0.249194866241
24,"[[ -1.74056882e+01   1.38112743e+00   5.75881362e-02   7.64573346e-02]
 [ -6.90909805e+01  -1.90342625e+00   0.00000000e+00   0.00000000e+00]]",-0.856627,"[ 0.04864495 -0.26753521  1.47109047  1.11899453  0.50463789  0.66844363
 -0.75809381 -0.4608314  -1.01267805  0.37707421  0.        ]",[-2.06622958  1.19061208],[-1.74847597  0.28678188],[-0.96866691 -0.79224157],-0.159958131553
25,"[[ -1.88134894e+01   1.35462728e+00   5.75881362e-02   7.64573346e-02]
 [ -7.16806264e+01  -7.50670813e-01   0.00000000e+00   0.00000000e+00]]",-1.52168,"[ 1.25509994 -0.21430975  0.07396125  1.11239304  0.50463775  0.66844342
 -0.79490884 -0.21631715  0.2352597   0.23803254  0.        ]",[-1.39426875  0.60188913],[-2.12445872  0.4312947 ],[-0.96866691 -0.79224157],-0.0714236774897
26,"[[ -2.02725786e+01   1.35667965e+00   5.75881362e-02   7.64573346e-02]
 [ -7.42200043e+01   9.49972391e-01   0.00000000e+00   0.00000000e+00]]",-1.59479,"[ 0.07718755 -0.21842132 -1.4244019   1.11293408  0.50463761  0.66844322
 -0.83100923  0.14441111  0.26383942 -1.16468553  0.        ]",[-1.12221003 -1.05483866],[-1.56515596 -0.25145847],[-0.96866691 -0.79224157],-0.19452333393
27,"[[ -2.17819501e+01   1.36526635e+00   5.75881362e-02   7.64573346e-02]
 [ -7.67087570e+01  -8.81210605e-02   0.00000000e+00   0.00000000e+00]]",-1.40631,"[-1.4785473  -0.23564315 -0.28227811  1.11514419  0.50463748  0.66844301
 -0.86638989 -0.07578189 -1.04535296 -1.32273174  0.        ]",[-2.07432938 -0.83344585],[-1.80382444 -1.20866831],[-0.96866691 -0.79224157],-0.258781915678
28,"[[ -2.33405829e+01   1.32354352e+00   5.75881362e-02   7.64573346e-02]
 [ -7.91459316e+01  -4.07111579e+00   0.00000000e+00   0.00000000e+00]]",-0.392321,"[-0.42984814 -0.15227433  1.44718463  1.10356872  0.50463734  0.6684428
 -0.90103727 -0.92062629 -1.24893589  0.1645395   0.        ]",[-2.41470194  1.81870508],[-3.66727859  2.31596719],[-0.96866691 -0.79224157],-0.191015292576
29,"[[ -2.49474836e+01   1.28239526e+00   5.75881362e-02   7.64573346e-02]
 [ -8.15366356e+01  -5.73035691e-02   0.00000000e+00   0.00000000e+00]]",-1.42883,"[ 1.23234571 -0.07090852  0.29048279  1.09010949  0.5046372   0.66844259
 -0.93502399 -0.06924469  0.17612215  0.34102508  0.        ]",[-1.60139537  0.74930596],[-1.54051831  0.09816901],[-0.96866691 -0.79224157],-0.0731204902612
30,"[[ -2.66017343e+01   1.28488360e+00   5.75881362e-02   7.64573346e-02]
 [ -8.38806659e+01   3.04655277e-01   0.00000000e+00   0.00000000e+00]]",-1.56082,"[ 0.01414065 -0.07580224 -1.43276386  1.09098009  0.50463707  0.66844238
 -0.96834715  0.00753148  0.22739091 -1.25100508  0.        ]",[-1.20510578 -0.85007042],[-0.93897676 -1.46578724],[-0.96866691 -0.79224157],-0.205262016179
31,"[[ -2.82999593e+01   1.25089528e+00   5.75881362e-02   7.64573346e-02]
 [ -8.59345085e+01  -3.69036265e+00   0.00000000e+00   0.00000000e+00]]",-1.14872,"[-1.50823142 -0.00928106  0.05870864  1.07844849  0.50463693  0.66844218
 -0.99754488 -0.83986364 -1.28020906 -1.13081951  0.        ]",[-2.3900485   0.50531572],[-2.4894517  -0.17222576],[-0.96866691 -0.79224157],-0.263476156934
32,"[[ -3.00412627e+01   1.17067713e+00   5.75881362e-02   7.64573346e-02]
 [ -8.81882337e+01  -4.32943004e+00   0.00000000e+00   0.00000000e+00]]",-0.403841,"[ 0.14304463  0.14463001  1.454826    1.04352742  0.5046368   0.66844197
 -1.02958417 -0.97541777 -0.89265162  0.54700155  0.        ]",[-2.37471628  2.5243578 ],[-2.36789528  2.30261109],[-0.96866691 -0.79224157],-0.153710469889
33,"[[ -3.18272115e+01   1.12436857e+00   5.75881362e-02   7.64573346e-02]
 [ -9.03997615e+01  -3.14955012e-01   0.00000000e+00   0.00000000e+00]]",-1.534,"[ 1.14072289  0.23120355 -0.56306704  1.02001819  0.50463666  0.66844176
 -1.06102355 -0.12389514  0.56106731 -0.27567568  0.        ]",[-1.31872296  0.59301162],[-1.31861783  0.84195003],[-0.96866691 -0.79224157],-0.125423027557
34,"[[ -3.36569770e+01   1.15126045e+00   5.75881362e-02   7.64573346e-02]
 [ -9.25699624e+01   2.99278407e+00   0.00000000e+00   0.00000000e+00]]",-1.64672,"[-0.98503374  0.18114856 -1.12413637  1.03396391  0.50463652  0.66844155
 -1.09187538  0.57771951 -0.5368317  -1.61299962  0.        ]",[-1.70864224 -0.95834285],[-1.50761567 -2.20761266],[-0.96866691 -0.79224157],-0.261557026927
35,"[[ -3.55297031e+01   1.17045180e+00   5.75881362e-02   7.64573346e-02]
 [ -9.46950782e+01  -1.06045962e+00   0.00000000e+00   0.00000000e+00]]",-0.896806,"[-0.90528807  0.14505542  1.22870465  1.04341752  0.50463639  0.66844134
 -1.12208623 -0.28202667 -1.43935623 -0.08934682  0.        ]",[-2.66524148  0.99178785],[-2.73557494  1.39366178],[-0.96866691 -0.79224157],-0.22232511019
36,"[[ -3.74445204e+01   1.18882217e+00   5.75881362e-02   7.64573346e-02]
 [ -9.67802094e+01   2.88403189e+00   0.00000000e+00   0.00000000e+00]]",-1.37727,"[ 1.21144158  0.11023038  0.38935975  1.05207403  0.50463625  0.66844113
 -1.15172861  0.55465182  0.18282836  0.38257622  0.        ]",[-1.73144364  0.04465142],[-1.59904624  0.29611727],[-0.96866691 -0.79224157],-0.0785587936256
37,"[[ -3.94006426e+01   1.25731274e+00   5.75881362e-02   7.64573346e-02]
 [ -9.88253610e+01   3.96099257e+00   0.00000000e+00   0.00000000e+00]]",-1.62102,"[-0.30654834 -0.02178682 -1.4278585   1.08091596  0.50463611  0.66844093
 -1.1808026   0.78308914  0.03849841 -1.42342447  0.        ]",[-1.39974999 -1.6139586 ],[-1.05486727 -2.25276336],[-0.96866691 -0.79224157],-0.224716832324
38,"[[ -4.13972458e+01   1.29561074e+00   5.75881362e-02   7.64573346e-02]
 [ -1.00827758e+02  -1.17962786e-01   0.00000000e+00   0.00000000e+00]]",-1.1171,"[-1.30007188 -0.09693996  0.79334729  1.09464747  0.50463598  0.66844072
 -1.20926874 -0.08211124 -1.45123224 -0.61828708  0.        ]",[-2.6126771  -0.21797088],[-2.43058216 -0.07770665],[-0.96866691 -0.79224157],-0.244204787005
39,"[[ -4.34334854e+01   1.28976158e+00   5.75881362e-02   7.64573346e-02]
 [ -1.02789612e+02  -4.66061457e-01   0.00000000e+00   0.00000000e+00]]",-1.03016,"[ 1.05299595 -0.08540637  0.78373154  1.0926621   0.50463584  0.66844051
 -1.23715846 -0.15594756 -0.13897635  0.53668221  0.        ]",[-1.97817159  0.80611241],[-1.56461379  0.4044072 ],[-0.96866691 -0.79224157],-0.0818018817604
40,"[[ -4.55085795e+01   1.29615681e+00   5.75881362e-02   7.64573346e-02]
 [ -1.04713617e+02   1.10006848e+00   0.00000000e+00   0.00000000e+00]]",-1.56584,"[-0.06482949 -0.09801766 -1.43888323  1.09482966  0.50463571  0.6684403
 -1.26451008  0.17624942  0.18754468 -1.28556891  0.        ]",[-1.31145954 -1.41566062],[-1.25303779 -1.22694982],[-0.96866691 -0.79224157],-0.20855149608
41,"[[ -4.76217560e+01   1.27775171e+00   5.75881362e-02   7.64573346e-02]
 [ -1.06597160e+02  -2.92739338e+00   0.00000000e+00   0.00000000e+00]]",-0.868212,"[-1.3408734  -0.06178623  0.71924352  1.08845835  0.50463557  0.66844009
 -1.29128644 -0.67802885 -1.45040789 -0.67185075  0.        ]",[-2.6878674  0.4889074],[-2.40449331  0.50950259],[-0.96866691 -0.79224157],-0.247528092789
