timestep,human_obs,actions,logstd_action_dist,avg_action_dist,rewards,obs,original_rewards
0,"[[ 0.08192873  0.08373033  0.17553478 -0.0087492 ]
 [-0.00127131 -0.00086741  0.          0.        ]]",[-1.4488987   0.38531857],[-0.23541486 -0.07117753],[-1.09915054  0.39732918],0.118962,"[ 1.15010694  1.18985229  0.12748158 -0.05218801  1.51295799 -0.07530748
  0.29113951 -0.04934541  0.01728817  0.24677413  0.        ]",-0.0478996302076
1,"[[ 0.04220704  0.09903643  0.17553478 -0.0087492 ]
 [-3.95772267  1.52638129  0.          0.        ]]",[-2.12132917  0.58692204],[-0.23541486 -0.07117753],[-1.13670909  0.37345439],0.117433,"[ 1.15348795  1.18810667  0.06807868 -0.02604297  1.5129458  -0.07530729
  0.18441276  0.15965428  0.02138584  0.19989748  0.        ]",-0.043787784782
2,"[[-0.07586161  0.15259295  0.17553478 -0.0087492 ]
 [-7.83623171  3.82160912  0.          0.        ]]",[-1.39164267  0.60867305],[-0.23541486 -0.07117753],[-1.18685889  0.31597966],0.138889,"[ 1.15075128  1.17973562 -0.10871455  0.06508632  1.51293361 -0.0753071
  0.07978854  0.47374967  0.0249646   0.06631892  0.        ]",-0.0351901475587
3,"[[ -2.70731437e-01   2.52461302e-01   1.75534782e-01  -8.74919599e-03]
 [ -1.16381067e+01   6.15741630e+00   0.00000000e+00   0.00000000e+00]]",[-0.91986194  1.87136394],[-0.23541486 -0.07117753],[-1.24658799  0.23791642],0.134063,"[ 1.10461619  1.15473517 -0.39589034  0.23282118  1.51292141 -0.07530692
 -0.02276844  0.79339711  0.00593647 -0.14346583  0.        ]",-0.0367289044158
4,"[[ -5.37710774e-01   4.14125201e-01   1.75534782e-01  -8.74919599e-03]
 [ -1.50485118e+01   9.99612787e+00   0.00000000e+00   0.00000000e+00]]",[-0.27344191 -1.18100008],[-0.23541486 -0.07117753],[-1.32856023  0.10256097],0.307907,"[ 0.96065972  1.08896794 -0.76261468  0.49458065  1.51290922 -0.07530673
 -0.11476537  1.31870886 -0.06451547 -0.39872846  0.        ]",-0.0593282610715
5,"[[ -8.46536513e-01   5.72332511e-01   1.75534782e-01  -8.74919599e-03]
 [ -1.58314764e+01   5.83842399e+00   0.00000000e+00   0.00000000e+00]]",[ 0.28652341  1.0175204 ],[-0.23541486 -0.07117753],[-1.30090499  0.17207181],0.308257,"[ 0.69074119  0.99582162 -1.11747438  0.73336053  1.51289703 -0.07530655
 -0.1358859   0.74973291 -0.20742555 -0.6814948   0.        ]",-0.0959930084075
6,"[[ -1.14866846e+00   7.27658111e-01   1.75534782e-01  -8.74919599e-03]
 [ -1.43865327e+01   9.68133374e+00   0.00000000e+00   0.00000000e+00]]",[-1.46995901  1.86526059],[-0.23541486 -0.07117753],[-1.35600829  0.03932792],0.29353,"[ 0.3430308   0.8789304  -1.36205858  0.94524828  1.51288484 -0.07530636
 -0.09690747  1.27561942 -0.39954667 -0.90467168  0.        ]",-0.131932499199
7,"[[ -1.47325860e+00   9.59093791e-01   1.75534782e-01  -8.74919599e-03]
 [ -1.80603576e+01   1.34495544e+01   0.00000000e+00   0.00000000e+00]]",[-1.52399127 -1.10270617],[-0.23541486 -0.07117753],[-1.44141138 -0.1251948 ],0.342527,"[-0.08641037  0.66424702 -1.48646109  1.20862822  1.51287265 -0.07530618
 -0.19601077  1.79127383 -0.6232412  -1.02827079  0.        ]",-0.160906859044
8,"[[ -1.87057982e+00   1.18568162e+00   1.75534782e-01  -8.74919599e-03]
 [ -2.16598947e+01   9.22316167e+00   0.00000000e+00   0.00000000e+00]]",[-0.32328926 -1.02376543],[-0.23541486 -0.07117753],[-1.4273895  -0.09561925],0.178868,"[-0.62637019  0.41704628 -1.42674204  1.39401765  1.51286045 -0.07530599
 -0.29311006  1.21289688 -0.93433722 -1.10974848  0.        ]",-0.197031552146
9,"[[ -2.31231474e+00   1.32856720e+00   1.75534782e-01  -8.74919599e-03]
 [ -2.25107259e+01   5.07916143e+00   0.00000000e+00   0.00000000e+00]]",[-0.05033478 -0.85984674],[-0.23541486 -0.07117753],[-1.38335121 -0.04150327],-0.131912,"[-1.14899926  0.248013   -1.1001375   1.469567    1.51284826 -0.07530581
 -0.31606103  0.64580086 -1.32295343 -1.11118762  0.        ]",-0.240193606261
10,"[[ -2.76005800e+00   1.39495976e+00   1.75534782e-01  -8.74919599e-03]
 [ -2.22643356e+01   1.57178680e+00   0.00000000e+00   0.00000000e+00]]",[-2.1383555  -1.86175444],[-0.23541486 -0.07117753],[-1.35067856  0.00806016],-0.37846,"[-1.49643344  0.16718509 -0.55305138  1.49318347  1.51283607 -0.07530562
 -0.30941362  0.16582625 -1.72065334 -0.96654909  0.        ]",-0.281061894752
11,"[[ -3.24062149e+00   1.38633924e+00   1.75534782e-01  -8.74919599e-03]
 [ -2.57801597e+01  -2.42065489e+00   0.00000000e+00   0.00000000e+00]]",[-2.09931645 -1.25151342],[-0.23541486 -0.07117753],[-1.33499563  0.06697743],-0.662258,"[-1.58855396  0.17774127  0.1530404   1.49052228  1.51282388 -0.07530543
 -0.40425495 -0.38052821 -2.09464201 -0.61799799  0.        ]",-0.317937183595
12,"[[ -3.79079324e+00   1.29865574e+00   1.75534782e-01  -8.74919599e-03]
 [ -2.92253152e+01  -6.33476596e+00   0.00000000e+00   0.00000000e+00]]",[-0.98191925 -0.85288812],[-0.23541486 -0.07117753],[-1.348248    0.13863847],-0.872596,"[-1.31556136  0.28401791  0.91078291  1.45648238  1.51281169 -0.07530525
 -0.49718975 -0.91616139 -2.32541822  0.01726803  0.        ]",-0.342806278461
13,"[[ -4.40845374e+00   1.13930536e+00   1.75534782e-01  -8.74919599e-03]
 [ -3.25294920e+01  -9.58951103e+00   0.00000000e+00   0.00000000e+00]]",[-0.86090946 -0.52439589],[-0.23541486 -0.07117753],[-1.38180065  0.21791208],-0.651728,"[-0.6317855   0.47002099  1.43465931  1.36238052  1.5127995  -0.07530506
 -0.58632128 -1.3615566  -2.14925308  0.83551901  0.        ]",-0.3360288321
14,"[[ -5.08672898e+00   9.28551857e-01   1.75534782e-01  -8.74919599e-03]
 [ -3.52887198e+01  -1.14795519e+01   0.00000000e+00   0.00000000e+00]]",[-1.87014551 -1.09214699],[-0.23541486 -0.07117753],[-1.40532136  0.29968697],0.0543652,"[ 0.2825017   0.69502988  1.39955976  1.17782446  1.51278731 -0.07530488
 -0.66075199 -1.62018961 -1.41470497  1.38255234  0.        ]",-0.277343489609
15,"[[ -5.82514852e+00   6.61480675e-01   1.75534782e-01  -8.74919599e-03]
 [ -3.85422508e+01  -1.52150374e+01   0.00000000e+00   0.00000000e+00]]",[-1.0222405   1.47709912],[-0.23541486 -0.07117753],[-1.32622826  0.40424252],0.448958,"[ 1.01298743  0.93163924  0.66747035  0.85797297  1.51277512 -0.07530469
 -0.74851662 -2.13135057 -0.42256857  1.07502644  0.        ]",-0.156607119289
16,"[[ -6.62802252e+00   3.99904985e-01   1.75534782e-01  -8.74919599e-03]
 [ -4.17348388e+01  -1.09565405e+01   0.00000000e+00   0.00000000e+00]]",[-3.15476746  0.82633732],[-0.23541486 -0.07117753],[-1.22555625  0.43707627],0.439042,"[ 1.0737682   1.09595832 -0.50167209  0.47210559  1.51276293 -0.07530451
 -0.83463674 -1.5485803  -0.00892881 -0.13635048  0.        ]",-0.0341795686313
