timestep,human_obs,actions,logstd_action_dist,avg_action_dist,rewards,obs,original_rewards
0,"[[ 0.0134858   0.0363487  -0.07866034  0.12357586]
 [-0.00145913  0.00250064  0.          0.        ]]",[  2.23743942e+00  -2.20042885e-04],[-0.75840604 -0.51513159],[ 2.26181436 -0.98454094],-1.18588,"[ 1.24217489  1.28994301  0.03967088 -0.08198305 -0.66829905  1.05788073
  0.24777019 -0.07082064  1.57517112 -0.74225351  0.        ]",-0.311240692195
1,"[[  5.31474264e-02   3.63740284e-02  -7.86603379e-02   1.23575858e-01]
 [  3.95444975e+00   4.53036117e-05   0.00000000e+00   0.00000000e+00]]",[ 3.19233735 -2.12231563],[-0.75840604 -0.51513159],[ 2.28854203 -1.02583027],-1.03998,"[ 1.24035099  1.28994009  0.09782265 -0.08195031 -0.66829869  1.0578799
  0.30755475 -0.07130451  1.57257715 -0.68798768  0.        ]",-0.307810240867
2,"[[  1.71157587e-01  -3.36808637e-03  -7.86603379e-02   1.23575858e-01]
 [  7.83364483e+00  -3.96105011e+00   0.00000000e+00   0.00000000e+00]]",[ 1.96203361 -0.90496959],[-0.75840604 -0.51513159],[ 2.38366079 -0.46696562],-1.42312,"[ 1.22213752  1.29110694  0.26976881 -0.13328332 -0.66829833  1.05787907
  0.36617994 -0.85196384  1.55815579 -0.55577735  0.        ]",-0.298953764712
3,"[[  0.36598018  -0.11776944  -0.07866034   0.12357586]
 [ 11.63596049  -7.46738272   0.           0.        ]]",[ 2.28320281  0.34534121],[-0.75840604 -0.51513159],[ 2.43271232  0.16206811],-1.43162,"[ 1.15092103  1.27877743  0.54491265 -0.2807286  -0.66829797  1.05787824
  0.42364326 -1.54299636  1.51659319 -0.37690872  0.        ]",-0.285215810018
4,"[[  0.63607601  -0.25192733  -0.07866034   0.12357586]
 [ 15.36124537  -5.95341226   0.           0.        ]]",[ 1.93625782 -0.42097307],[-0.75840604 -0.51513159],[ 2.34699249 -0.16002482],-1.36371,"[ 0.97246295  1.23488741  0.89141222 -0.45096867 -0.66829761  1.05787741
  0.47994242 -1.24461927  1.41203488 -0.13010438  0.        ]",-0.262095169475
5,"[[  0.97995173  -0.38654775  -0.07866034   0.12357586]
 [ 19.01420655  -7.50339706   0.           0.        ]]",[ 2.32478142  0.04600156],[-0.75840604 -0.51513159],[ 2.2516911   0.19225295],-1.23187,"[ 0.63115368  1.15968618  1.2382756  -0.61597474 -0.66829726  1.05787658
  0.53514854 -1.55009094  1.20073223  0.15659722  0.        ]",-0.226536616365
6,"[[  1.39615768  -0.53330336  -0.07866034   0.12357586]
 [ 22.59452285  -7.17316217   0.           0.        ]]",[ 2.08678948  0.23971362],[-0.75840604 -0.51513159],[ 2.03578091  0.13816151],-0.922798,"[ 0.1022815   1.04375533  1.46467669 -0.78571606 -0.6682969   1.05787575
  0.58925677 -1.48500596  0.85578467  0.40125959  0.        ]",-0.177476005926
7,"[[  1.8832599   -0.66581737  -0.07866034   0.12357586]
 [ 26.10406226  -6.08174509   0.           0.        ]]",[ 2.15740476  0.16657535],[-0.75840604 -0.51513159],[ 1.72634065 -0.09118831],-0.442705,"[-0.56159329  0.91065951  1.41595206 -0.92694953 -0.66829654  1.05787492
  0.64229534 -1.26990661  0.37055552  0.50774768  0.        ]",-0.113960107708
8,"[[  2.43986013  -0.77961718  -0.07866034   0.12357586]
 [ 29.54454559  -5.30068462   0.           0.        ]]",[ 1.23108346 -1.02411599],[-0.75840604 -0.51513159],[ 1.37888968 -0.25497383],-0.11645,"[-1.19120124  0.77665684  0.96696133 -1.03715578 -0.66829618  1.05787409
  0.69429024 -1.11597315 -0.18571454  0.34951218  0.        ]",-0.0510985054814
9,"[[  3.06460694  -0.9242866   -0.07866034   0.12357586]
 [ 32.91906061  -9.15321823   0.           0.        ]]",[ 0.24150284 -0.12576945],[-0.75840604 -0.51513159],[ 1.1696316  0.7301752],-0.0630337,"[-1.51311318  0.58289507  0.13271607 -1.16012455 -0.66829582  1.05787326
  0.74528814 -1.87523288 -0.61886264 -0.13203735  0.        ]",-0.0836538310891
10,"[[  3.72606119  -1.11049073  -0.07866034   0.12357586]
 [ 33.22539605  -9.4660592    0.           0.        ]]",[ 1.12005149  0.62910694],[-0.75840604 -0.51513159],[ 1.09163201  1.01561022],-0.185534,"[-1.28816778  0.30113319 -0.78960507 -1.28637656 -0.66829547  1.05787243
  0.74991729 -1.93688456 -0.73490877 -0.7864567   0.        ]",-0.158843577146
11,"[[  4.4236883   -1.27289984  -0.07866034   0.12357586]
 [ 36.52633528  -6.7835617    0.           0.        ]]",[ 1.38707214  1.48938335],[-0.75840604 -0.51513159],[ 1.21001804  0.93060607],-0.475371,"[-0.53027352  0.03267783 -1.38650941 -1.36394074 -0.66829511  1.0578716
  0.79980322 -1.40821357 -0.49662072 -1.41901607  0.        ]",-0.228414543397
12,"[[  5.18667362  -1.36744368  -0.07866034   0.12357586]
 [ 39.76129379  -2.6842717    0.           0.        ]]",[ 1.39531473 -0.45301648],[-0.75840604 -0.51513159],[ 1.51293051  0.657978  ],-0.626612,"[ 0.49268487 -0.13040607 -1.28528502 -1.39422043 -0.66829475  1.05787077
  0.84869194 -0.60032117  0.0888801  -1.81747603  0.        ]",-0.284139131089
