timestep,human_obs,rewards,obs,avg_action_dist,actions,logstd_action_dist,original_rewards
0,"[[-0.00790596  0.06818039  0.05727884  0.10011102]
 [ 0.00464428 -0.00204425  0.          0.        ]]",-1.64777,"[ 1.255056    1.38272282  0.00935515 -0.01150311  0.50274495  0.87354828
  0.22685651 -0.05876483  0.76846859 -0.59686993  0.        ]",[-0.53811324  1.60565758],[-0.4584866   2.05587178],[-0.93535608 -0.78114903],-0.179303321477
1,"[[-0.026027    0.10787483  0.05727884  0.10011102]
 [-1.81069876  3.95828586  0.          0.        ]]",-1.59648,"[ 1.25463034  1.37565318 -0.01713191  0.03749912  0.5027448   0.87354793
  0.20093483  0.77577576  0.76729282 -0.59329525  0.        ]",[-0.74990183  1.49858308],[-0.60266884  1.04395755],[-0.93535608 -0.78114903],-0.178842506142
2,"[[-0.08581703  0.22599118  0.05727884  0.10011102]
 [-4.16047596  7.8404047   0.          0.        ]]",-1.61993,"[ 1.2500112   1.33591818 -0.10438962  0.1817697   0.50274466  0.87354758
  0.16738186  1.59383436  0.76112538 -0.59067221  0.        ]",[-0.80212468  1.33973539],[-0.54975741  1.9428425 ],[-0.93535608 -0.78114903],-0.177739425194
3,"[[ -0.19003598   0.42097739   0.05727884   0.10011102]
 [ -6.25444561  11.64551836   0.           0.        ]]",-1.48043,"[ 1.23021385  1.21055979 -0.25523266  0.41053225  0.50274452  0.87354723
  0.13748162  2.39566337  0.74180097 -0.59394905  0.        ]",[-0.67796189  0.68324172],[ 0.60793331  0.94410023],[-0.93535608 -0.78114903],-0.175233652467
4,"[[ -0.2897652    0.68907178   0.05727884   0.10011102]
 [ -3.72678782  15.15225487   0.           0.        ]]",-1.35186,"[ 1.19747373  0.92522743 -0.3967933   0.69207698  0.50274438  0.87354688
  0.17357452  3.13461204  0.69397644 -0.54306504  0.        ]",[-0.39359194 -0.53265429],[  5.40180300e-04  -7.77987491e-01],[-0.93535608 -0.78114903],-0.164177817811
5,"[[ -0.36352597   0.95819862   0.05727884   0.10011102]
 [ -3.64959665  11.77169429   0.           0.        ]]",-1.28839,"[ 1.16476731  0.52647761 -0.49889967  0.91805798  0.50274423  0.87354653
  0.1746767   2.42224175  0.61960989 -0.4665462   0.        ]",[-0.33667374 -0.29088762],[-0.51385856 -0.76263269],[-0.93535608 -0.78114903],-0.147267683443
6,"[[-0.456183    1.1610013   0.05727884  0.10011102]
 [-5.6096753   8.51938603  0.          0.        ]]",-1.24533,"[ 1.11375189  0.16878628 -0.62309236  1.04081112  0.50274409  0.87354618
  0.1466883   1.73690029  0.55457192 -0.45914959  0.        ]",[-0.27978176 -0.08915284],[ 0.24065344  0.08778581],[-0.93535608 -0.78114903],-0.137241877862
7,"[[-0.55770968  1.33318052  0.05727884  0.10011102]
 [-4.54650645  8.69795425  0.          0.        ]]",-1.24427,"[ 1.04564886 -0.16148029 -0.75279199  1.10860325  0.50274395  0.87354584
  0.16186947  1.77452724  0.49456078 -0.47936022  0.        ]",[-0.03621252 -0.79756999],[-0.2008029  -0.55135124],[-0.93535608 -0.78114903],-0.130543983555
8,"[[-0.65570557  1.48350838  0.05727884  0.10011102]
 [-5.25077512  6.34267104  0.          0.        ]]",-1.34495,"[ 0.96845031 -0.46171265 -0.87043762  1.13870799  0.50274381  0.87354549
  0.15181303  1.2782119   0.4371717  -0.50539362  0.        ]",[ 0.17197759 -0.85945165],[-0.76489435 -1.06391281],[-0.93535608 -0.78114903],-0.125315276945
9,"[[-0.79004417  1.56937772  0.05727884  0.10011102]
 [-8.17338767  2.25783731  0.          0.        ]]",-1.23306,"[ 0.84570492 -0.63543682 -1.01760109  1.14342463  0.50274366  0.87354514
  0.11008039  0.41743963  0.4073995  -0.59404939  0.        ]",[ 0.40991366 -0.47373721],[ 0.67839025 -0.24639664],[-0.93535608 -0.78114903],-0.13096151776
