timestep,human_obs,actions,logstd_action_dist,avg_action_dist,rewards,obs,original_rewards
0,"[[-0.04381166  0.06118881  0.14834835 -0.03665055]
 [-0.00078711 -0.00186428  0.          0.        ]]",[-0.37936634  0.50530145],[-0.22070765 -0.0677596 ],[-1.18601966  0.26537946],-0.013434,"[ 1.14876195  1.19752796 -0.06155568 -0.06666382  1.28006089 -0.31695576
  0.28628391 -0.04313322  0.1904212   0.24021436  0.        ]",-0.0703951665283
1,"[[-0.0588923   0.08123229  0.14834835 -0.03665055]
 [-1.5022747   1.9995392   0.          0.        ]]",[-0.86686463 -0.54749573],[-0.22070765 -0.0677596 ],[-1.21367061  0.23942305],0.0426865,"[ 1.14769046  1.19574635 -0.08414752 -0.03250049  1.28005206 -0.31695485
  0.2438475   0.22916233  0.18986948  0.23339566  0.        ]",-0.0698565110556
2,"[[-0.12303744  0.09908827  0.14834835 -0.03665055]
 [-4.90092637 -0.20659451  0.          0.        ]]",[-1.9751144   0.11714289],[-0.22070765 -0.0677596 ],[-1.20636272  0.26155442],0.0278621,"[ 1.13967162  1.19373882 -0.1799556  -0.00211213  1.28004324 -0.31695394
  0.14779259 -0.0709885   0.18620395  0.15188858  0.        ]",-0.0646330673966
3,"[[-0.25977577  0.09966611  0.14834835 -0.03665055]
 [-8.76005677  0.26280532  0.          0.        ]]",[-0.64386954  1.07410766],[-0.22070765 -0.0677596 ],[-1.2100997   0.26153111],0.0534344,"[  1.10391900e+00   1.19365994e+00  -3.81170547e-01  -1.12957262e-03
   1.28003441e+00  -3.16953026e-01   3.87233976e-02  -7.12507673e-03
   1.61368265e-01  -4.92549907e-02   0.00000000e+00]",-0.0572682204802
4,"[[ -0.45880952   0.14460666   0.14834835  -0.03665055]
 [-11.13541242   4.2180569    0.           0.        ]]",[-1.83102203  0.38699722],[-0.22070765 -0.0677596 ],[-1.25570214  0.2062753 ],0.127072,"[ 1.00782998  1.18684193 -0.66021003  0.07508751  1.28002558 -0.31695211
 -0.02841045  0.53099962  0.0928436  -0.2983227   0.        ]",-0.0619874522969
5,"[[ -0.71900501   0.24351776   0.14834835  -0.03665055]
 [-14.87171376   5.66818707   0.           0.        ]]",[-1.32845451 -0.13374326],[-0.22070765 -0.0677596 ],[-1.30141759  0.16730985],0.215395,"[ 0.8096294   1.1631159  -0.98385704  0.24086922  1.28001676 -0.3169512
 -0.13400826  0.7282926  -0.03981006 -0.5677615   0.        ]",-0.0833106665476
6,"[[ -1.05317839   0.35045308   0.14834835  -0.03665055]
 [-18.53345801   5.02742392   0.           0.        ]]",[-0.23352095  1.14613912],[-0.22070765 -0.0677596 ],[-1.33008647  0.15622491],0.215378,"[ 0.45529906  1.12419933 -1.29941267  0.41552034  1.28000793 -0.31695029
 -0.23749886  0.64111179 -0.28741402 -0.8644913   0.        ]",-0.122254693277
7,"[[ -1.42945597   0.48972703   0.14834835  -0.03665055]
 [-19.09247771   8.88706774   0.           0.        ]]",[-2.03101393  1.31117743],[-0.22070765 -0.0677596 ],[-1.39815545  0.0630545 ],0.175519,"[-0.03145398  1.05359017 -1.4809524   0.63264637  1.2799991  -0.31694938
 -0.25329767  1.16622572 -0.62759055 -1.07635232  0.        ]",-0.166320382641
8,"[[ -1.8472301    0.70543419   0.14834835  -0.03665055]
 [-22.67312809  12.67090003   0.           0.        ]]",[-3.70457245  1.58517429],[-0.22070765 -0.0677596 ],[-1.47526813 -0.0538826 ],-0.00205566,"[-0.60052191  0.90290102 -1.43894877  0.93678109  1.27999027 -0.31694847
 -0.35449643  1.68101506 -1.00579761 -1.13614418  0.        ]",-0.205760362655
9,"[[ -2.33591492   0.99605675   0.14834835  -0.03665055]
 [-26.18385115  16.37878966   0.           0.        ]]",[-1.83385746  0.46236745],[-0.22070765 -0.0677596 ],[-1.54020476 -0.18453771],-0.222701,"[-1.17769842  0.63206671 -1.07782203  1.26310986  1.27998145 -0.31694756
 -0.45371867  2.1854535  -1.39665704 -1.01520465  0.        ]",-0.239485668454
10,"[[ -2.89412335   1.33872814   0.14834835  -0.03665055]
 [-29.62575326  17.88308874   0.           0.        ]]",[-2.52495074 -0.326263  ],[-0.22070765 -0.0677596 ],[-1.55661106 -0.25787559],-0.408357,"[-1.55850649  0.2419212  -0.36326072  1.49184116  1.27997262 -0.31694664
 -0.55099559  2.39007473 -1.71643802 -0.69749224  0.        ]",-0.262517581873
