timestep,human_obs,rewards,obs,avg_action_dist,actions,logstd_action_dist,original_rewards
0,"[[-0.09160497 -0.0846708   0.1858098  -0.03049544]
 [ 0.00215214 -0.00205219  0.          0.        ]]",-0.742362,"[ 1.23407311  1.27954696 -0.1168848  -0.24452344  1.62287703 -0.26425094
  0.25068896 -0.07692976 -0.00984153  0.0237129   0.        ]",[-2.13511872  2.75729132],[-2.18046339  3.64242147],[-0.75913692 -0.48382142],-0.0221620448564
1,"[[-0.13126832 -0.04496817  0.1858098  -0.03049544]
 [-3.95530411  3.9591098   0.          0.        ]]",-0.560469,"[ 1.22798534  1.28404347 -0.1747197  -0.19304425  1.6228747  -0.26425082
  0.19026822  0.6944428  -0.01246586 -0.00212656  0.        ]",[-2.1154213   2.67113709],[-2.31589151  1.78033868],[-0.75913692 -0.48382142],-0.0217076150722
2,"[[-0.2492951   0.07317057  0.1858098  -0.03049544]
 [-7.83445674  7.84181574  0.          0.        ]]",-0.566791,"[ 1.19719606  1.28113011 -0.34468093 -0.03963553  1.62287237 -0.26425071
  0.13104299  1.45053608 -0.02575615 -0.07809626  0.        ]",[-2.03794169  2.32042217],[-2.04783919  2.8116265 ],[-0.75913692 -0.48382142],-0.0236037077864
3,"[[ -0.4441354    0.26819129   0.1858098   -0.03049544]
 [-11.63693426  11.6475403    0.           0.        ]]",-0.261522,"[ 1.10597096  1.22328202 -0.6131407   0.20970268  1.62287003 -0.2642506
  0.07298841  2.19163489 -0.06515381 -0.19809078  0.        ]",[-1.90922153  1.5396558 ],[-1.54815371  0.20040031],[-0.75913692 -0.48382142],-0.0342064941037
4,"[[ -0.7142608    0.50680145   0.1858098   -0.03049544]
 [-15.36327381  12.21152173   0.           0.        ]]",-0.202807,"[ 0.90255051  1.0659496  -0.94385278  0.49609142  1.6228677  -0.26425049
  0.01609626  2.30145534 -0.15699115 -0.36840283  0.        ]",[-1.86008573  0.93045604],[-2.11807557  1.742773  ],[-0.75913692 -0.48382142],-0.0577240835643
5,"[[ -1.05819028   0.78834015   0.1858098   -0.03049544]
 [-19.0176252   15.92982585   0.           0.        ]]",-0.0284783,"[ 0.53667201  0.76986576 -1.26140001  0.78690502  1.62286537 -0.26425038
 -0.0396968   3.02552098 -0.32476899 -0.55427695  0.        ]",[-1.65413105 -0.76854289],[-2.23060668 -0.96883056],[-0.75913692 -0.48382142],-0.09130705503
6,"[[ -1.47446469   1.06528008   0.1858098   -0.03049544]
 [-22.59805802  11.77783379   0.           0.        ]]",-0.0273908,"[-0.00742006  0.38372798 -1.44319399  1.00227303  1.62286304 -0.26425026
 -0.0943613   2.2169871  -0.59028865 -0.73041172  0.        ]",[-1.78818727 -0.91988409],[-2.18927552 -0.85639248],[-0.75913692 -0.48382142],-0.135609304303
7,"[[ -1.96164633   1.26446152   0.1858098   -0.03049544]
 [-26.10848691   8.15221807   0.           0.        ]]",-0.288291,"[-0.66590071  0.06418035 -1.33933663  1.10430443  1.6228607  -0.26425015
 -0.14795702  1.51096024 -0.97374505 -0.86031622  0.        ]",[-1.90480912 -1.07360399],[-1.25569865 -0.75589807],[-0.75913692 -0.48382142],-0.192509537871
8,"[[ -2.51834331   1.39583289   0.1858098   -0.03049544]
 [-29.54974229   4.99526943   0.           0.        ]]",-0.804287,"[-1.26069947 -0.15881882 -0.83910556  1.14495957  1.62285837 -0.26425004
 -0.20049661  0.89619968 -1.44935881 -0.82364765  0.        ]",[-2.09762931 -1.10130453],[-2.4505753  -0.38308732],[-0.75913692 -0.48382142],-0.253445830801
9,"[[ -3.14318457e+00   1.47949314e+00   1.85809804e-01  -3.04954443e-02]
 [ -3.29231332e+01   3.37597956e+00   0.00000000e+00   0.00000000e+00]]",-1.23876,"[-1.52015643 -0.30381137  0.01968464  1.15938461  1.62285604 -0.26424993
 -0.25200008  0.58087129 -1.90664044 -0.50764161  0.        ]",[-2.2779932  -1.18898034],[-3.2439685  -0.11217852],[-0.75913692 -0.48382142],-0.306338905811
10,"[[ -3.83482549e+00   1.54184147e+00   1.85809804e-01  -3.04954443e-02]
 [ -3.62299518e+01   2.86039209e+00   0.00000000e+00   0.00000000e+00]]",-1.58341,"[-1.20162934 -0.41264976  0.95502093  1.1642513   1.6228537  -0.26424982
 -0.30248714  0.48046947 -2.14176816  0.08804946  0.        ]",[-2.43292952 -1.23317027],[-2.31789556 -1.29302811],[-0.75913692 -0.48382142],-0.335650327426
11,"[[ -4.59193660e+00   1.55869843e+00   1.85809804e-01  -3.04954443e-02]
 [ -3.94701624e+01  -1.16147502e+00   0.00000000e+00   0.00000000e+00]]",-1.10783,"[-0.30597267 -0.44212747  1.47405874  1.1646998   1.62285137 -0.26424971
 -0.35195725 -0.30271839 -1.9732465   0.78410631  0.        ]",[-2.60678935 -0.14858508],[-2.57636065  0.38257994],[-0.75913692 -0.48382142],-0.329020396716
12,"[[ -5.41321141e+00   1.55083286e+00   1.85809804e-01  -3.04954443e-02]
 [ -4.26468253e+01   3.69624333e-01   0.00000000e+00   0.00000000e+00]]",-0.932381,"[ 0.74974392 -0.42837142  1.13885437  1.16453487  1.62284904 -0.26424959
 -0.40045713 -0.00456357 -1.35774908  1.1888923   0.        ]",[-2.54605031 -0.22751066],[-2.89105711  1.14514869],[-0.75913692 -0.48382142],-0.271720440841
13,"[[ -6.29740168e+00   1.59780220e+00   1.85809804e-01  -3.04954443e-02]
 [ -4.57620775e+01   4.31395576e+00   0.00000000e+00   0.00000000e+00]]",-1.00613,"[ 1.23971805 -0.51051713 -0.00351368  1.1643189   1.62284671 -0.26424948
 -0.4480194   0.76352582 -0.66157894  0.9232591   0.        ]",[-2.22191525 -1.36446476],[-2.09190593 -2.6399807 ],[-0.75913692 -0.48382142],-0.164157878384
14,"[[ -7.24327105e+00   1.64340643e+00   1.85809804e-01  -3.04954443e-02]
 [ -4.88144542e+01   2.59765820e-01   0.00000000e+00   0.00000000e+00]]",-0.286876,"[ 0.65121432 -0.59017733 -1.18476105  1.16136769  1.62284437 -0.26424937
 -0.49462169 -0.0259572  -0.39881534  0.12855267  0.        ]",[-1.93528891 -1.35899806],[-2.08758901 -1.45539313],[-0.75913692 -0.48382142],-0.0467756675887
