timestep,human_obs,actions,logstd_action_dist,avg_action_dist,rewards,obs,original_rewards
0,"[[-0.05873971 -0.09858101  0.03258985  0.19469013]
 [ 0.00152586 -0.00212372  0.          0.        ]]",[ 0.62968101  1.02510937],[-0.42611283 -0.18638031],[ 1.23722029  0.74084574],-0.439576,"[ 1.19066219  1.15185176 -0.07828096 -0.63722523  0.30004776  1.67846654
  0.29530901 -0.12095929  0.90551514 -1.5032192   0.        ]",-0.27994292939
1,"[[-0.03373253 -0.05890492  0.03258985  0.19469013]
 [ 2.49090632  3.95654284  0.          0.        ]]",[ 1.35609464  1.86686248],[-0.42611283 -0.18638031],[ 1.29949069  0.58488935],-0.356397,"[ 1.19224803  1.15584382 -0.04119849 -0.56663788  0.30004732  1.67845787
  0.34465233  0.4809269   0.91168642 -1.43707715  0.        ]",-0.273224894579
2,"[[ 0.0552666   0.05915262  0.03258985  0.19469013]
 [ 6.39601684  7.83628378  0.          0.        ]]",[ 0.55305813  1.42552492],[-0.42611283 -0.18638031],[ 1.35448062  0.44024718],-0.329415,"[ 1.19092655  1.15582145  0.0908691  -0.35606084  0.30004687  1.6784492
  0.42205781  1.07081132  0.9095735  -1.21808687  0.        ]",-0.249715829974
3,"[[  0.20385525   0.25404126   0.03258985   0.19469013]
 [  8.45605529  11.63989739   0.           0.        ]]",[ 0.78869746  1.12252494],[-0.42611283 -0.18638031],[ 1.34454572  0.37616378],-0.207329,"[ 1.16454185  1.11696402  0.30939849 -0.01303956  0.30004643  1.67844053
  0.46289068  1.6491158   0.83237785 -0.86643522  0.        ]",-0.206712713373
4,"[[  0.40259477   0.52424243   0.03258985   0.19469013]
 [ 11.40825954  15.36777571   0.           0.        ]]",[ 3.31307468  0.04735702],[-0.42611283 -0.18638031],[ 1.30024672  0.29129535],-0.0583317,"[ 1.08304854  0.9861075   0.59050364  0.43178236  0.30004599  1.67843186
  0.52140778  2.21589452  0.59486683 -0.46293902  0.        ]",-0.142484181879
5,"[[  0.66820588   0.83040953   0.03258985   0.19469013]
 [ 15.1406342   15.24928358   0.           0.        ]]",[ 1.70305584  1.41513831],[-0.42611283 -0.18638031],[ 1.25032485  0.21238355],-0.0122253,"[ 0.89720463  0.74139191  0.92862903  0.85591965  0.30004555  1.67842319
  0.59538915  2.19786142  0.15362753 -0.15468714  0.        ]",-0.0585540798388
6,"[[  1.00772848   1.17207347   0.03258985   0.19469013]
 [ 18.7999026   18.90485479   0.           0.        ]]",[ 0.61283525 -0.33361313],[-0.42611283 -0.18638031],[ 1.18237185 -0.06654936],-0.0606215,"[ 0.55175589  0.37478489  1.26418577  1.1831441   0.3000451   1.67841453
  0.66792126  2.75362631 -0.43765254 -0.13310613  0.        ]",-0.0465976932006
7,"[[  1.40437358   1.53314097   0.03258985   0.19469013]
 [ 20.85780333  17.20749986   0.           0.        ]]",[ 1.10864288 -0.68606503],[-0.42611283 -0.18638031],[ 1.17646396 -0.08243987],-0.206226,"[ 0.04541265 -0.07410201  1.47284417  1.32187173  0.30004466  1.67840586
  0.70871123  2.49553659 -0.94042876 -0.50611381  0.        ]",-0.144066140415
8,"[[  1.85714434   1.8465904    0.03258985   0.19469013]
 [ 24.40737713  14.14758176   0.           0.        ]]",[ 0.31180148  0.85619298],[-0.42611283 -0.18638031],[ 1.20142722 -0.01344696],-0.099595,"[-0.57093806 -0.47095802  1.43290241  1.25568671  0.30004422  1.67839719
  0.77906871  2.03029681 -1.12627389 -1.08500387  0.        ]",-0.220134447017
9,"[[  2.35286479   2.16072124   0.03258985   0.19469013]
 [ 25.16228547  17.25518763   0.           0.        ]]",[ 0.4446228  -0.40240822],[-0.42611283 -0.18638031],[ 1.20767176 -0.14927003],-0.145643,"[-1.15178772 -0.83456236  1.06203565  1.02148127  0.30004378  1.67838852
  0.79403065  2.50274631 -0.94689217 -1.59862329  0.        ]",-0.263060357556
