timestep,human_obs,rewards,obs,avg_action_dist,actions,logstd_action_dist,original_rewards
0,"[[ 0.04361797 -0.08253764 -0.11547986 -0.00176002]
 [-0.00316508 -0.0033846   0.          0.        ]]",-2.05846,"[ 1.24887488  1.34502715  0.0834385  -0.20762536 -0.99022138 -0.009512
  0.2333568  -0.06412271  1.79116016  0.01992856  0.        ]",[ 1.2886883  -1.84956205],[ 1.16301311 -1.49882012],[-0.90564388 -0.64539826],-0.325306657292
1,"[[  8.32612848e-02  -1.22347904e-01  -1.15479863e-01  -1.76002403e-03]
 [  3.95431671e+00  -3.96443341e+00   0.00000000e+00   0.00000000e+00]]",-2.1154,"[ 1.24540231  1.33719767  0.14134281 -0.25734198 -0.99022083 -0.009512
  0.29105232 -0.87573884  1.78966598  0.04545775  0.        ]",[ 1.59300113 -1.37214947],[ 1.90851641 -1.21212876],[-0.90564388 -0.64539826],-0.325100885356
2,"[[  2.01268821e-01  -2.40591756e-01  -1.15479863e-01  -1.76002403e-03]
 [  7.83352760e+00  -7.84699514e+00   0.00000000e+00   0.00000000e+00]]",-2.35015,"[ 1.22230106  1.29618281  0.3122231  -0.40327497 -0.99022029 -0.00951199
  0.34760674 -1.67127174  1.77975353  0.12101111  0.        ]",[ 1.83588886 -0.30178803],[ 1.4194124  -0.38816777],[-0.90564388 -0.64539826],-0.323845668876
3,"[[  3.96082346e-01  -4.11407395e-01  -1.15479863e-01  -1.76002403e-03]
 [  1.16352042e+01  -9.22991887e+00   0.00000000e+00   0.00000000e+00]]",-2.34355,"[ 1.14323519  1.19111076  0.58431152 -0.60619259 -0.99021974 -0.00951199
  0.40303079 -1.95462926  1.74627719  0.25868858  0.        ]",[ 1.83672607  0.30620021],[ 1.87901372  0.7812737 ],[-0.90564388 -0.64539826],-0.320067965611
4,"[[  6.66160410e-01  -5.63144404e-01  -1.15479863e-01  -1.76002403e-03]
 [  1.53602504e+01  -5.95463100e+00   0.00000000e+00   0.00000000e+00]]",-2.13028,"[ 0.95483593  1.05461647  0.92412488 -0.77436486 -0.9902192  -0.00951199
  0.45733764 -1.28352458  1.66211625  0.49355677  0.        ]",[ 1.67582905 -0.06344378],[ 2.38489619  0.33730011],[-0.90564388 -0.64539826],-0.31261458994
5,"[[  1.01000901e+00  -6.67660062e-01  -1.15479863e-01  -1.76002403e-03]
 [  1.90124796e+01  -4.50169336e+00   0.00000000e+00   0.00000000e+00]]",-2.00211,"[ 0.60347245  0.93864144  1.25910751 -0.88146231 -0.99021865 -0.00951199
  0.51058289 -0.98581839  1.47709659  0.80814422  0.        ]",[ 1.5086385  -0.39531511],[ 0.99342326 -0.60315027],[-0.90564388 -0.64539826],-0.298928206482
6,"[[  1.42593166e+00  -7.80762121e-01  -1.15479863e-01  -1.76002403e-03]
 [  2.25680222e+01  -6.80073858e+00   0.00000000e+00   0.00000000e+00]]",-1.9199,"[ 0.06817491  0.7946149   1.46795617 -0.98776658 -0.99021811 -0.00951198
  0.56241853 -1.45688948  1.15439979  1.09022188  0.        ]",[ 1.25515282  0.28851146],[ 1.2395618  -0.46075855],[-0.90564388 -0.64539826],-0.274375316018
7,"[[  1.91252379e+00  -9.33724038e-01  -1.15479863e-01  -1.76002403e-03]
 [  2.60796004e+01  -8.48966854e+00   0.00000000e+00   0.00000000e+00]]",-1.65822,"[-0.59418546  0.5724411   1.39865259 -1.11334133 -0.99021756 -0.00951198
  0.61361321 -1.80294752  0.71336064  1.22253528  0.        ]",[ 1.01114917  0.86061865],[ 0.97407904 -0.08467312],[-0.90564388 -0.64539826],-0.235830065745
8,"[[  2.46762321e+00  -1.10517771e+00  -1.15479863e-01  -1.76002403e-03]
 [  2.94193203e+01  -8.65496130e+00   0.00000000e+00   0.00000000e+00]]",-1.21687,"[-1.21062884  0.29192985  0.9330799  -1.22596354 -0.99021702 -0.00951198
  0.66230236 -1.83681359  0.22020916  1.12221199  0.        ]",[ 0.77227211  1.11758471],[ 0.80033703  1.4072192 ],[-0.90564388 -0.64539826],-0.182000616208
9,"[[  3.08194832e+00  -1.23680010e+00  -1.15479863e-01  -1.76002403e-03]
 [  3.20045270e+01  -4.52090002e+00   0.00000000e+00   0.00000000e+00]]",-0.744101,"[-1.51022054  0.05894512  0.10686042 -1.29023931 -0.99021647 -0.00951198
  0.69999153 -0.98974886 -0.21956351  0.74484703  0.        ]",[ 0.77019799  0.39516386],[ 0.97456185  0.94146922],[-0.90564388 -0.64539826],-0.114485618376
10,"[[  3.75437729e+00  -1.28887989e+00  -1.15479863e-01  -1.76002403e-03]
 [  3.52275057e+01  -6.99642203e-01   0.00000000e+00   0.00000000e+00]]",-0.724701,"[-1.26132396 -0.03648382 -0.8222159  -1.31005551 -0.99021593 -0.00951197
  0.74697868 -0.20677766 -0.44457332  0.09283518  0.        ]",[ 0.85776341 -0.22270447],[ 0.99360099 -0.60473064],[-0.90564388 -0.64539826],-0.0537427057142
11,"[[  4.49139319e+00  -1.32671065e+00  -1.15479863e-01  -1.76002403e-03]
 [  3.84634370e+01  -3.07533176e+00   0.00000000e+00   0.00000000e+00]]",-0.803639,"[-0.43405559 -0.10672799 -1.40846301 -1.32240195 -0.99021538 -0.00951197
  0.79415463 -0.69355344 -0.23301823 -0.62988118  0.        ]",[ 0.97288835  0.27392712],[ 1.37428907 -0.5319506 ],[-0.90564388 -0.64539826],-0.099707003654
12,"[[  5.29274667e+00  -1.40868034e+00  -1.15479863e-01  -1.76002403e-03]
 [  4.16613970e+01  -5.11462709e+00   0.00000000e+00   0.00000000e+00]]",-0.933329,"[ 0.62622716 -0.26107554 -1.20440695 -1.34315349 -0.99021484 -0.00951197
  0.84077697 -1.11140209  0.39295759 -1.00536619  0.        ]",[ 1.32395744  1.09890032],[ 1.38930487 -0.06879885],[-0.90564388 -0.64539826],-0.17994058684
13,"[[  6.15742741e+00  -1.51261774e+00  -1.15479863e-01  -1.76002403e-03]
 [  4.47962947e+01  -5.27834152e+00   0.00000000e+00   0.00000000e+00]]",-1.26962,"[ 1.23927814 -0.45965031 -0.16396942 -1.35749047 -0.9902143  -0.00951197
  0.88647989 -1.14494626  1.09192636 -0.77377558  0.        ]",[ 1.61943901  1.67884159],[ 1.85668704  1.55537478],[-0.90564388 -0.64539826],-0.239760508322
14,"[[  7.08417437e+00  -1.57732247e+00  -1.15479863e-01  -1.76002403e-03]
 [  4.78679549e+01  -1.20548648e+00   0.00000000e+00   0.00000000e+00]]",-1.43304,"[ 0.8302273  -0.5840166   1.07059711 -1.35958685 -0.99021375 -0.00951196
  0.93126084 -0.31042284  1.42543019 -0.0147899   0.        ]",[ 1.4474504   1.42594588],[ 2.40464503  1.39199511],[-0.90564388 -0.64539826],-0.263585201125
15,"[[  8.07173019e+00  -1.56136616e+00  -1.15479863e-01  -1.76002403e-03]
 [  5.08773036e+01   2.78802500e+00   0.00000000e+00   0.00000000e+00]]",-1.08625,"[-0.42967868 -0.55333215  1.4487235  -1.35955668 -0.99021321 -0.00951196
  0.97513332  0.50784311  1.05514924  0.81335346  0.        ]",[ 1.08039606 -0.20505685],[ 0.57791881 -0.18661568],[-0.90564388 -0.64539826],-0.236305890068
16,"[[  9.10211272e+00  -1.51346119e+00  -1.15479863e-01  -1.76002403e-03]
 [  5.21567409e+01   2.00517246e+00   0.00000000e+00   0.00000000e+00]]",-0.720012,"[-1.44138598 -0.46126898  0.4837368  -1.35754838 -0.99021266 -0.00951196
  0.99378556  0.34743734  0.15733303  0.91355806  0.        ]",[ 0.93653607 -0.47247148],[ 1.07721696  0.03145301],[-0.90564388 -0.64539826],-0.148130982601
17,"[[  1.01745895e+01  -1.47238952e+00  -1.15479863e-01  -1.76002403e-03]
 [  5.50811708e+01   2.10189148e+00   0.00000000e+00   0.00000000e+00]]",-0.709332,"[-1.14219969 -0.38253127 -0.97788164 -1.35353618 -0.99021212 -0.00951195
  1.03641994  0.36725486 -0.37400719  0.04922108  0.        ]",[ 0.95511389 -0.19827622],[ 0.65951233 -0.67488726],[-0.90564388 -0.64539826],-0.0407125566474
18,"[[  1.12914637e+01  -1.45745042e+00  -1.15479863e-01  -1.76002403e-03]
 [  5.66014020e+01  -5.98860966e-01   0.00000000e+00   0.00000000e+00]]",-0.933258,"[ 0.27156907 -0.35396381 -1.38045274 -1.35155302 -0.99021157 -0.00951195
  1.05858262 -0.18612669  0.1231889  -0.88489429  0.        ]",[ 1.20526278  0.2440841 ],[ 1.63010016  1.05260831],[-0.90564388 -0.64539826],-0.144441043134
19,"[[  1.24519488e+01  -1.42944340e+00  -1.15479863e-01  -1.76002403e-03]
 [  5.94373096e+01   3.38650972e+00   0.00000000e+00   0.00000000e+00]]",-1.03766,"[ 1.24115464 -0.30054296 -0.14749694 -1.34708623 -0.99021103 -0.00951195
  1.09992636  0.63047194  1.15426542 -0.7678473   0.        ]",[ 1.58353138 -0.2135388 ],[ 1.66533659  0.10542628],[-0.90564388 -0.64539826],-0.248472943394
20,"[[  1.36685807e+01  -1.35804703e+00  -1.15479863e-01  -1.76002403e-03]
 [  6.22165636e+01   3.75211229e+00   0.00000000e+00   0.00000000e+00]]",-1.09622,"[ 0.49264524 -0.16541979  1.32551391 -1.33130077 -0.99021048 -0.00951195
  1.1404441   0.70538329  1.44616711  0.41752956  0.        ]",[ 1.46873868 -0.97441339],[ 0.81386113 -1.68520215],[-0.90564388 -0.64539826],-0.274425847685
21,"[[  1.49328701e+01  -1.32331501e+00  -1.15479863e-01  -1.76002403e-03]
 [  6.42061091e+01  -2.65367664e-01   0.00000000e+00   0.00000000e+00]]",-0.812149,"[-1.11807857 -0.10039252  1.04386595 -1.32135414 -0.99020994 -0.00951194
  1.16944872 -0.11779496  0.45315488  1.08971642  0.        ]",[ 1.01254165 -0.59998304],[ 0.83912428  0.00131985],[-0.90564388 -0.64539826],-0.194168184767
22,"[[  1.62375637e+01  -1.32834425e+00  -1.15479863e-01  -1.76002403e-03]
 [  6.62564282e+01  -2.37453811e-01   0.00000000e+00   0.00000000e+00]]",-0.645327,"[-1.32343189 -0.10977518 -0.71981803 -1.32288448 -0.99020939 -0.00951194
  1.1993393  -0.1120754  -0.41751426  0.2029263   0.        ]",[ 0.93881822 -0.22054142],[ 1.32175548 -0.74408668],[-0.90564388 -0.64539826],-0.0562587983395
23,"[[  1.75892563e+01  -1.36242243e+00  -1.15479863e-01  -1.76002403e-03]
 [  6.89042881e+01  -3.16033836e+00   0.00000000e+00   0.00000000e+00]]",-0.882992,"[ 0.29082772 -0.17364796 -1.37406927 -1.33244587 -0.99020885 -0.00951194
  1.2379413  -0.71097203  0.16339984 -0.9519772   0.        ]",[ 1.2333715   0.43085408],[ 0.79452647  0.56107125],[-0.90564388 -0.64539826],-0.15638911175
24,"[[  1.89852182e+01  -1.40250891e+00  -1.15479863e-01  -1.76002403e-03]
 [  7.06857629e+01  -8.55781523e-01   0.00000000e+00   0.00000000e+00]]",-1.05953,"[ 1.23749553 -0.2493678   0.21757053 -1.3418667  -0.9902083  -0.00951194
  1.26391233 -0.23876987  1.3301749  -0.57363211  0.        ]",[ 1.66828382  0.60131359],[ 2.3630666  0.1932017],[-0.90564388 -0.64539826],-0.263227184568
25,"[[  2.04246074e+01  -1.41156482e+00  -1.15479863e-01  -1.76002403e-03]
 [  7.32445576e+01  -5.22142424e-02   0.00000000e+00   0.00000000e+00]]",-1.19752,"[-0.13712244 -0.26654958  1.48327276 -1.34371923 -0.99020776 -0.00951193
  1.30121574 -0.07411943  1.18864482  0.78410351  0.        ]",[ 1.28002357 -0.03678104],[ 1.0764609  -0.38572122],[-0.90564388 -0.64539826],-0.253595729192
26,"[[  2.19146694e+01  -1.42769205e+00  -1.15479863e-01  -1.76002403e-03]
 [  7.57534445e+01  -1.55521688e+00   0.00000000e+00   0.00000000e+00]]",-0.60869,"[-1.5086376  -0.29720885  0.13144437 -1.34676732 -0.99020721 -0.00951193
  1.33779149 -0.38208366 -0.0857537   0.78083647  0.        ]",[ 0.94502306 -0.02698797],[ 1.30990385  0.83644101],[-0.90564388 -0.64539826],-0.11945668563
27,"[[  2.34544004e+01  -1.42500992e+00  -1.15479863e-01  -1.76002403e-03]
 [  7.82111031e+01   1.81247932e+00   0.00000000e+00   0.00000000e+00]]",-0.670317,"[-0.27952246 -0.29210463 -1.43560325 -1.34628155 -0.99020667 -0.00951193
  1.37362031  0.30795538 -0.16645624 -0.65270005  0.        ]",[ 1.18013299 -0.30402863],[ 1.27445644 -1.2451018 ],[-0.90564388 -0.64539826],-0.10199637011
28,"[[  2.50428056e+01  -1.42858477e+00  -1.15479863e-01  -1.76002403e-03]
 [  8.06218351e+01  -2.15645604e+00   0.00000000e+00   0.00000000e+00]]",-0.994474,"[ 1.24460553 -0.29890797 -0.11184528 -1.34692456 -0.99020612 -0.00951193
  1.40876492 -0.50527737  1.17226768 -0.75133151  0.        ]",[ 1.67636907  0.85313982],[ 1.94796992  0.13985435],[-0.90564388 -0.64539826],-0.249938361953
