timestep,human_obs,rewards,obs,avg_action_dist,actions,logstd_action_dist,original_rewards
0,"[[-0.09818858 -0.09805707  0.18774775  0.02903973]
 [ 0.00275509  0.00449105  0.          0.        ]]",-1.70184,"[ 1.24985527  1.39262157 -0.12167741 -0.21572092  1.63044006  0.25607654
  0.22309317 -0.05544625 -0.01413764 -0.3768482   0.        ]",[-1.76786721  2.88075137],[-1.45669309  2.87402377],[-0.98648173 -0.83114308],-0.0634157238728
1,"[[-0.13784    -0.05822488  0.18774775  0.02903973]
 [-3.95471362  3.96552291  0.          0.        ]]",-1.68414,"[ 1.24340085  1.39904749 -0.17921578 -0.16672078  1.63043882  0.25607648
  0.16697927  0.78811411 -0.01686696 -0.40201581  0.        ]",[-1.67930162  2.70317411],[-1.12799155  2.20722035],[-0.98648173 -0.83114308],-0.067015922316
2,"[[-0.25585507  0.06004087  0.18774775  0.02903973]
 [-7.83387581  7.84810396  0.          0.        ]]",-1.57989,"[ 1.21150958  1.39882479 -0.34825016 -0.02086468  1.63043758  0.25607643
  0.1119757   1.61496633 -0.03044045 -0.47617835  0.        ]",[-1.50577211  2.02124691],[-1.96980865  1.48959135],[-0.98648173 -0.83114308],-0.0776089539732
3,"[[ -0.45068381   0.25518616   0.18774775   0.02903973]
 [-11.63635773  11.65371108   0.           0.        ]]",-1.41378,"[ 1.11847176  1.33560997 -0.61496163  0.21658458  1.63043634  0.25607637
  0.05805939  2.42542326 -0.07009353 -0.59325096  0.        ]",[-1.34512627  1.20070863],[-1.2265008   1.11567603],[-0.98648173 -0.83114308],-0.0945134735149
4,"[[ -0.72080968   0.52568494   0.18774775   0.02903973]
 [-15.36388863  15.38365658   0.           0.        ]]",-1.26823,"[ 0.91265198  1.12345597 -0.94290943  0.52432219  1.63043509  0.25607631
  0.00520584  3.21976198 -0.15785816 -0.73721515  0.        ]",[-1.19308412  0.01252252],[-1.47605242 -0.08538607],[-0.98648173 -0.83114308],-0.116460843795
5,"[[ -1.06473677   0.82691571   0.18774775   0.02903973]
 [-19.01681012  14.7414233    0.           0.        ]]",-1.14027,"[ 0.5441718   0.73519791 -1.25661763  0.81313087  1.63043385  0.25607626
 -0.04658981  3.08298254 -0.32101652 -0.90464121  0.        ]",[-1.26474941 -0.50404644],[-1.25320585 -0.23590668],[-0.98648173 -0.83114308],-0.146049718326
6,"[[ -1.48100497   1.10944053   0.18774775   0.02903973]
 [-22.59825064  13.51497338   0.           0.        ]]",-1.17645,"[ -1.99267747e-03   2.55671283e-01  -1.43389521e+00   1.01008290e+00
   1.63043261e+00   2.56076199e-01  -9.73719139e-02   2.82178784e+00
  -5.80049724e-01  -1.07273016e+00   0.00000000e+00]",[-1.3389765 -1.4881053],[-1.52170182 -1.07946079],[-0.98648173 -0.83114308],-0.185030159622
7,"[[ -1.96819195   1.33731357   0.18774775   0.02903973]
 [-26.108849     9.28624304   0.           0.        ]]",-1.38615,"[-0.66100173 -0.18625446 -1.32590038  1.10561552  1.63043137  0.25607614
 -0.14714953  1.92122077 -0.94182747 -1.18555421  0.        ]",[-1.62808383 -1.79392505],[-1.25383792 -2.00086666],[-0.98648173 -0.83114308],-0.231480349089
8,"[[ -2.52489726e+00   1.48144143e+00   1.87747752e-01   2.90397267e-02]
 [ -2.95501979e+01   5.14018941e+00   0.00000000e+00   0.00000000e+00]]",-1.94121,"[-1.25377183 -0.48004657 -0.82358542  1.13417494  1.63043012  0.25607609
 -0.19594524  1.03826274 -1.3921502  -1.15856896  0.        ]",[-1.96995413 -1.83403206],[-2.49035064 -2.55713614],[-0.98648173 -0.83114308],-0.280856581746
9,"[[ -3.14974296e+00   1.54346173e+00   1.87747752e-01   2.90397267e-02]
 [ -3.29230136e+01   1.07522304e+00   0.00000000e+00   0.00000000e+00]]",-2.38617,"[-1.50838441 -0.60800688  0.03349488  1.13863649  1.63042888  0.25607603
 -0.24376919  0.17257375 -1.8503115  -0.87725762  0.        ]",[-2.29511213 -1.46427393],[-2.5285756  -0.99609147],[-0.98648173 -0.83114308],-0.322712436105
