timestep,human_obs,actions,logstd_action_dist,avg_action_dist,rewards,obs,original_rewards
0,"[[ 0.02521306 -0.01446399  0.1963923   0.09439851]
 [ 0.00364746  0.00257918  0.          0.        ]]",[-1.4411549   2.46887677],[-1.03978574 -0.89189279],[-1.30210471  3.12209749],-1.93858,"[ 1.25724871  1.41531918  0.06016819 -0.10873906  1.70582322  0.80692178
  0.21706176 -0.05091219 -0.05034915 -0.55874101  0.        ]",-0.0917045953337
1,"[[-0.01442066  0.02533037  0.1963923   0.09439851]
 [-3.95383775  3.96365007  0.          0.        ]]",[-1.29395396  3.42957786],[-1.03978574 -0.89189279],[-1.16425848  2.55593252],-1.92728,"[ 1.25754374  1.41485982  0.00225902 -0.05981906  1.70582197  0.80692153
  0.16140748  0.80475404 -0.05022417 -0.5839522   0.        ]",-0.0956097100913
2,"[[-0.13241851  0.14355892  0.1963923   0.09439851]
 [-7.83303285  7.84625262  0.          0.        ]]",[-1.88542955  2.24221946],[-1.03978574 -0.89189279],[-1.01810801  1.72058451],-1.82476,"[ 1.24558437  1.39372005 -0.16959819  0.08493109  1.70582072  0.80692128
  0.1068542   1.64346879 -0.05531952 -0.65897646  0.        ]",-0.107133151605
3,"[[ -0.32723096   0.33866714   0.1963923    0.09439851]
 [-11.63557855  11.65184925   0.           0.        ]]",[-0.6655193   0.57318168],[-1.03978574 -0.89189279],[-0.83681518  0.82422686],-1.58331,"[ 1.18432915  1.29505734 -0.44634011  0.3174928   1.70581946  0.80692103
  0.05337884  2.46554639 -0.08141644 -0.77984166  0.        ]",-0.125555563373
4,"[[ -0.58405947   0.59216702   0.1963923    0.09439851]
 [-14.03932522  13.69128192   0.           0.        ]]",[-0.74542783  0.24069517],[-1.03978574 -0.89189279],[-0.76096463  0.12484753],-1.42841,"[ 1.02852224  1.05438694 -0.78241145  0.59525559  1.70581821  0.80692078
  0.01957485  2.90609686 -0.14777385 -0.92921411  0.        ]",-0.14867691583
5,"[[ -0.89165733   0.87283827   0.1963923    0.09439851]
 [-16.71166604  14.37347237   0.           0.        ]]",[-0.51212496 -1.27535504],[-1.03978574 -0.89189279],[-0.77452856 -0.62207067],-1.29144,"[ 0.74359273  0.65757643 -1.11366926  0.85096929  1.70581696  0.80692052
 -0.01800639  3.05345664 -0.26925465 -1.09306704  0.        ]",-0.17586873623
6,"[[ -1.24290114   1.11771913   0.1963923    0.09439851]
 [-18.40715356  10.12867962   0.           0.        ]]",[-1.56409714 -0.26944554],[-1.03978574 -0.89189279],[-1.11925828 -0.3957822 ],-1.30999,"[ 0.32046963  0.22292205 -1.36004365  1.01441819  1.7058157   0.80692027
 -0.04185011  2.13650244 -0.45447309 -1.27541113  0.        ]",-0.210139904418
7,"[[ -1.64709977   1.30756991   0.1963923    0.09439851]
 [-22.0008382    8.86048038   0.           0.        ]]",[-2.09991632 -1.18522042],[-1.03978574 -0.89189279],[-1.27741969 -1.05553162],-1.48969,"[-0.23012481 -0.15365028 -1.43364187  1.09611408  1.70581445  0.80692002
 -0.09238826  1.8625471  -0.72095302 -1.45401433  0.        ]",-0.251594453347
8,"[[ -2.12245625   1.44327645   0.1963923    0.09439851]
 [-25.52307414   4.72380987   0.           0.        ]]",[-1.62549345 -1.10045325],[-1.03978574 -0.89189279],[-1.62119091 -1.10318387],-1.74292,"[-0.84927615 -0.43580328 -1.22112856  1.12847788  1.7058132   0.80691977
 -0.14192162  0.96895215 -1.09150626 -1.5685638   0.        ]",-0.297436823705
9,"[[ -2.66755587   1.49706239   0.1963923    0.09439851]
 [-28.97528263   0.66815179   0.           0.        ]]",[-1.91000023 -1.02654983],[-1.03978574 -0.89189279],[-2.03259873 -0.93145669],-2.32879,"[-1.3547347  -0.54929723 -0.64368992  1.13511938  1.70581194  0.80691952
 -0.19047018  0.09285766 -1.55846712 -1.52183932  0.        ]",-0.342131318342
10,"[[ -3.28100606   1.47053193   0.1963923    0.09439851]
 [-32.35826908  -3.30809424   0.           0.        ]]",[-2.06848322 -0.32299475],[-1.03978574 -0.89189279],[-2.38497448 -0.16024491],-2.72104,"[-1.49375757 -0.49323806  0.22638798  1.13228489  1.70581069  0.80691927
 -0.23804526 -0.76608233 -2.02396074 -1.17669234  0.        ]",-0.372137784493
11,"[[ -3.96143926   1.39215355   0.1963923    0.09439851]
 [-35.67390175  -4.52583212   0.           0.        ]]",[-2.21667918  0.9977611 ],[-1.03978574 -0.89189279],[-2.50916934  0.94396687],-2.67113,"[-1.06801841 -0.3286463   1.09154866  1.11889363  1.70580944  0.80691902
 -0.28467314 -1.0291351  -2.2334256  -0.49592765  0.        ]",-0.366140090369
12,"[[ -4.70753791   1.34212425   0.1963923    0.09439851]
 [-38.92534584  -0.49070499   0.           0.        ]]",[-2.58589179  0.52065598],[-1.03978574 -0.89189279],[-2.20822573  0.50865501],-2.60176,"[-0.1314474  -0.22473341  1.4845402   1.10645452  1.70580818  0.80691877
 -0.33039834 -0.15747542 -1.9214955   0.21294     0.        ]",-0.305612452375
13,"[[ -5.51802652   1.35303147   0.1963923    0.09439851]
 [-42.11301731   1.57435424   0.           0.        ]]",[-1.65554738  1.13758549],[-1.03978574 -0.89189279],[-1.92065835  0.41326824],-2.08411,"[ 0.87236636 -0.24729448  1.03545154  1.1094225   1.70580693  0.80691852
 -0.37522669  0.28861433 -1.1993277   0.46084204  0.        ]",-0.194116601451
14,"[[ -6.39164958   1.42386102   0.1963923    0.09439851]
 [-45.23912382   5.49530919   0.           0.        ]]",[-1.22863787 -0.82854249],[-1.03978574 -0.89189279],[-1.49855745 -0.6813066 ],-1.76537,"[ 1.24956309 -0.39500869 -0.13484879  1.12520977  1.70580568  0.80691827
 -0.41918924  1.13561056 -0.53776401  0.02878604  0.        ]",-0.0692004350144
15,"[[ -7.32716631   1.49967302   0.1963923    0.09439851]
 [-48.30218196   2.09698581   0.           0.        ]]",[-1.55356172 -0.56058222],[-1.03978574 -0.89189279],[-1.52266073 -0.7464447 ],-1.38046,"[ 0.57031966 -0.55481978 -1.2397701   1.13534878  1.70580443  0.80691802
 -0.46226513  0.40151161 -0.40907081 -0.82552024  0.        ]",-0.140634090786
16,"[[ -8.32332841   1.51882551   0.1963923    0.09439851]
 [-51.30387961  -0.17439009   0.           0.        ]]",[-2.26371662 -1.25385625],[-1.03978574 -0.89189279],[-1.92573738 -1.04528987],-1.71679,"[-0.75001988 -0.59536633 -1.27988198  1.13679657  1.70580317  0.80691777
 -0.5044781  -0.08914643 -0.99151256 -1.50275996  0.        ]",-0.279646576751
17,"[[ -9.3789128    1.47553129   0.1963923    0.09439851]
 [-54.24442577  -4.14202599   0.           0.        ]]",[-2.38903481 -0.18745591],[-1.03978574 -0.89189279],[-2.60015583 -0.20423779],-2.40074,"[-1.50571636 -0.50379099 -0.04366346  1.13288148  1.70580192  0.80691752
 -0.54583108 -0.94622697 -1.90724498 -1.31407527  0.        ]",-0.366948138308
18,"[[-10.49271493   1.38594058   0.1963923    0.09439851]
 [-57.1260954   -4.81499877   0.           0.        ]]",[-2.45541662  1.97531734],[-1.03978574 -0.89189279],[-2.70042658  1.27840316],-2.29414,"[-0.79097902 -0.31568437  1.30366968  1.11750965  1.70580067  0.80691727
 -0.58635607 -1.09160078 -2.1861458  -0.24215659  0.        ]",-0.351490785327
19,"[[-11.66359148   1.33018765   0.1963923    0.09439851]
 [-59.95248468  -0.77396348   0.           0.        ]]",[-2.64576379  0.74585034],[-1.03978574 -0.89189279],[-2.27576041  1.0778681 ],-1.9304,"[ 0.73157754 -0.20010787  1.17046864  1.10303935  1.70579941  0.80691702
 -0.62610364 -0.21866428 -1.32043454  0.47404906  0.        ]",-0.214144548004
20,"[[-12.8904509    1.34434284   0.1963923    0.09439851]
 [-62.72448052   2.17938622   0.           0.        ]]",[-1.66200239  0.0220911 ],[-1.03978574 -0.89189279],[-1.75623786  0.15754758],-1.52592,"[ 1.18572346 -0.22931708 -0.44197683  1.10706607  1.70579816  0.80691677
 -0.66508625  0.41931251 -0.38970767 -0.18667153  0.        ]",-0.0547396866043
21,"[[-14.17220422   1.38820908   0.1963923    0.09439851]
 [-65.44182116   2.20686447   0.           0.        ]]",[-1.46893231 -0.3009586 ],[-1.03978574 -0.89189279],[-1.75182712 -0.84413862],-1.47155,"[-0.17316836 -0.32041499 -1.43699647  1.11801777  1.70579691  0.80691652
 -0.70330023  0.42524822 -0.67497982 -1.37311579  0.        ]",-0.236887536437
22,"[[-15.50776105   1.41976857   0.1963923    0.09439851]
 [-68.10488961   0.95298586   0.           0.        ]]",[-2.48536734 -0.47841308],[-1.03978574 -0.89189279],[-2.45840287 -1.1638006 ],-2.50251,"[-1.47955791 -0.38642372 -0.26725805  1.12445915  1.70579565  0.80691627
 -0.74075096  0.15438768 -1.83226771 -1.4119006   0.        ]",-0.365728819844
23,"[[-16.89604127   1.41943339   0.1963923    0.09439851]
 [-70.71424824  -0.98032441   0.           0.        ]]",[-3.03191553  0.07471724],[-1.03978574 -0.89189279],[-2.58012366 -0.17617956],-2.49647,"[-0.64100006 -0.38572078  1.37884183  1.12439661  1.7057944   0.80691602
 -0.77744635 -0.26324242 -2.13746683 -0.15064141  0.        ]",-0.34186311417
24,"[[-18.33598787   1.4027753    0.1963923    0.09439851]
 [-73.27191768  -0.68671793   0.           0.        ]]",[-2.00419621  0.80067972],[-1.03978574 -0.89189279],[-2.21791005  0.81410098],-1.76325,"[ 1.07935036 -0.35083728  0.74121427  1.1211396   1.70579315  0.80691577
 -0.81341482 -0.19981803 -0.99339067  0.39330027  0.        ]",-0.157696471567
25,"[[-19.82659381   1.42075638   0.1963923    0.09439851]
 [-75.78065749   2.47400735   0.           0.        ]]",[-1.6968432  -1.65453844],[-1.03978574 -0.89189279],[-1.66828156 -0.92627215],-1.47835,"[ 0.64870007 -0.38849502 -1.1877957   1.12463984  1.70579189  0.80691552
 -0.84869516  0.48295619 -0.37229399 -0.81038223  0.        ]",-0.136397708702
26,"[[-21.36686687   1.4297696    0.1963923    0.09439851]
 [-78.23802531  -1.55952331   0.           0.        ]]",[-1.59756203 -0.12837264],[-1.03978574 -0.89189279],[-2.42104101 -0.92078888],-1.99304,"[-1.24642072 -0.40741069 -0.83077545  1.12624633  1.70579064  0.80691527
 -0.88325304 -0.38836007 -1.4637437  -1.57874927  0.        ]",-0.33747594569
27,"[[-22.95578735   1.3935254    0.1963923    0.09439851]
 [-80.64593119  -2.06346531   0.           0.        ]]",[-3.10599698  0.96393567],[-1.03978574 -0.89189279],[-2.78246641  0.10750897],-2.33584,"[-0.91232963 -0.33150883  1.22422991  1.11918458  1.70578939  0.80691502
 -0.91711531 -0.49722066 -2.21164113 -0.34946866  0.        ]",-0.358122619619
28,"[[-24.59240318   1.39068263   0.1963923    0.09439851]
 [-83.00823028   1.76614881   0.           0.        ]]",[-1.51244029  0.19871684],[-1.03978574 -0.89189279],[-2.1995883  -0.03461435],-1.93516,"[ 1.06073989 -0.32557498  0.77502376  1.11856291  1.70578813  0.80691477
 -0.95033619  0.33004617 -1.01022936  0.40452867  0.        ]",-0.161003446259
29,"[[-26.27580926   1.43325325   0.1963923    0.09439851]
 [-85.32476161   2.48818633   0.           0.        ]]",[-1.52182235 -0.93663355],[-1.03978574 -0.89189279],[-1.73106861 -1.25710535],-1.46229,"[ 0.44869699 -0.41472808 -1.30625218  1.12683951  1.70578688  0.80691452
 -0.9829134   0.48601943 -0.42185038 -0.96287848  0.        ]",-0.161681309552
30,"[[-28.00507202   1.44499725   0.1963923    0.09439851]
 [-87.59349478  -1.30145091   0.           0.        ]]",[-2.21892098 -0.99841111],[-1.03978574 -0.89189279],[-2.66639829 -1.09786272],-2.25414,"[-1.45735733 -0.4394224  -0.36538307  1.12873464  1.70578563  0.80691427
 -1.01481841 -0.33261191 -1.76201716 -1.4484513   0.        ]",-0.360003435188
31,"[[-29.7792292    1.37923068   0.1963923    0.09439851]
 [-89.8142787   -5.26222771   0.           0.        ]]",[-3.03963554  2.34157961],[-1.03978574 -0.89189279],[-3.03292823  1.8154465 ],-1.65269,"[-0.21577824 -0.30170237  1.48138494  1.11596004  1.70578437  0.80691402
 -1.04604907 -1.18821222 -1.96845931  0.14359707  0.        ]",-0.312699646888
32,"[[-31.597367     1.31441626   0.1963923    0.09439851]
 [-91.99277594  -1.23283349   0.           0.        ]]",[-1.85981052  0.45795003],[-1.03978574 -0.89189279],[-1.9682982   0.56615019],-1.51861,"[ 1.23499503 -0.1676818  -0.24034149  1.09826446  1.70578312  0.80691377
 -1.07668503 -0.31778875 -0.43295826 -0.0608845   0.        ]",-0.0529707884067
33,"[[-33.45866294   1.30784176   0.1963923    0.09439851]
 [-94.12993476   0.56910775   0.           0.        ]]",[-1.93471665 -1.00741131],[-1.03978574 -0.89189279],[-2.17676258 -0.93766963],-1.71706,"[-0.7532141  -0.15420414 -1.27816371  1.09618868  1.70578187  0.80691352
 -1.10673961  0.07146382 -1.07402244 -1.62330941  0.        ]",-0.303054579604
34,"[[ -3.53622631e+01   1.27901060e+00   1.96392300e-01   9.43985061e-02]
 [ -9.62225582e+01  -3.43909319e+00   0.00000000e+00   0.00000000e+00]]",[-2.60007048  0.41094869],[-1.03978574 -0.89189279],[-3.01410198  0.89198065],-2.36576,"[-1.08317278 -0.09538976  1.07636827  1.08648261  1.70578062  0.80691326
 -1.13616787 -0.79438151 -2.2715853  -0.44287484  0.        ]",-0.370752382251
