timestep,human_obs,rewards,obs,avg_action_dist,actions,logstd_action_dist,original_rewards
0,"[[ 0.07455191  0.02478375 -0.12456584  0.03015935]
 [ 0.00408635  0.00328495  0.          0.        ]]",-2.25265,"[ 1.25170446  1.39089776  0.12998488 -0.06473222 -1.07031946  0.26484328
  0.22549787 -0.05703435  1.83808837 -0.0649591   0.        ]",[ 2.05960822 -1.64133978],[ 2.35299147 -2.05625741],[-0.9515121  -0.78222007],-0.333954412813
1,"[[ 0.11433878 -0.01489449 -0.12456584  0.03015935]
 [ 3.96141846 -3.95790216  0.          0.        ]]",-2.47884,"[ 1.24651762  1.39129652  0.1878797  -0.11384313 -1.07031895  0.26484322
  0.28189053 -0.89428652  1.83586643 -0.0394017   0.        ]",[ 2.40198231 -1.08290327],[ 2.19564591 -0.89937951],[-0.9515121  -0.78222007],-0.333461587387
2,"[[ 0.23248516 -0.12901181 -0.12456584  0.03015935]
 [ 7.84030686 -7.44220542  0.          0.        ]]",-2.56707,"[ 1.21835478  1.37459124  0.35788935 -0.25465854 -1.07031844  0.26484316
  0.33716536 -1.63074165  1.82357678  0.03829161  0.        ]",[ 2.50336933 -0.28551939],[ 2.68507687 -0.40367361],[-0.9515121  -0.78222007],-0.331314708337
3,"[[  0.42743242  -0.2924287   -0.12456584   0.03015935]
 [ 11.64178878  -8.89461112   0.           0.        ]]",-2.68063,"[ 1.13118208  1.30503343  0.62705191 -0.45224579 -1.07031793  0.2648431
  0.39133711 -1.93772585  1.7839235   0.17896383  0.        ]",[ 2.43741703  0.22638702],[ 2.14611278  0.55781224],[-0.9515121  -0.78222007],-0.325616524475
4,"[[  0.69764246  -0.44640498  -0.12456584   0.03015935]
 [ 15.36685758  -6.51090258   0.           0.        ]]",-2.45648,"[ 0.93258273  1.19188189  0.96014787 -0.62980806 -1.07031743  0.26484303
  0.44441996 -1.43389508  1.68465905  0.40633404  0.        ]",[ 2.21730423 -0.00608242],[ 2.44152569  0.37274997],[-0.9515121  -0.78222007],-0.313820053739
5,"[[  1.04161981  -0.56052884  -0.12456584   0.03015935]
 [ 19.01875075  -4.90675236   0.           0.        ]]",-2.27003,"[ 0.57106472  1.07977081  1.28291364 -0.75347734 -1.07031692  0.26484297
  0.49646004 -1.09483527  1.47699908  0.70006406  0.        ]",[ 1.96094298 -0.35315952],[ 1.87821553  0.61630228],[-0.9515121  -0.78222007],-0.292837357721
6,"[[  1.45790818  -0.6332076   -0.12456584   0.03015935]
 [ 22.59816594  -2.36949019   0.           0.        ]]",-1.81713,"[ 0.02896772  0.99656899  1.4735403  -0.82786965 -1.07031641  0.26484291
  0.54746727 -0.55854976  1.11070278  0.97628732  0.        ]",[ 1.62346828 -1.14614105],[ 0.66263608 -1.0880327 ],[-0.9515121  -0.78222007],-0.258464916706
7,"[[  1.93170687  -0.71984764  -0.12456584   0.03015935]
 [ 24.77453847  -6.2813946    0.           0.        ]]",-1.60628,"[-0.61486641  0.88609496  1.38867215 -0.91146788 -1.0703159   0.26484285
  0.57848085 -1.38538393  0.62317811  1.08189459  0.        ]",[ 1.28326631  0.03660797],[ 0.35245374 -0.38483678],[-0.9515121  -0.78222007],-0.20986196269
8,"[[  2.43628466  -0.8595006   -0.12456584   0.03015935]
 [ 25.68027845  -7.67916932   0.           0.        ]]",-1.26341,"[-1.17923373  0.68422506  0.9687044  -1.03307962 -1.07031539  0.26484278
  0.59138766 -1.68082144  0.15027638  0.94208379  0.        ]",[ 1.02563584  0.63267922],[ 0.34439733  0.63239469],[-0.9515121  -0.78222007],-0.152347571016
9,"[[  2.95846692  -0.98641448  -0.12456584   0.03015935]
 [ 26.5350818   -5.02100929   0.           0.        ]]",-0.999601,"[-1.48591701  0.478196    0.28729512 -1.12781817 -1.07031489  0.26484272
  0.6035686  -1.11898237 -0.23033128  0.58583873  0.        ]",[ 0.98236036  0.14593419],[ 1.01207897 -0.16543274],[-0.9515121  -0.78222007],-0.0908670801829
