timestep,human_obs,rewards,obs,avg_action_dist,actions,logstd_action_dist,original_rewards
0,"[[-0.02671929  0.07391143 -0.03531442 -0.13805269]
 [-0.00067584 -0.000953    0.          0.        ]]",-2.283,"[ 1.25595999  1.39575392 -0.01751903 -0.00408892 -0.30049016 -1.19590987
  0.22357723 -0.05674652  1.31631494  0.91404543  0.        ]",[-2.31559515 -0.79344803],[-2.80742851  0.08266393],[-0.98970473 -0.82344973],-0.282597944267
1,"[[-0.0664245   0.07719203 -0.03531442 -0.13805269]
 [-3.95667272  0.32791111  0.          0.        ]]",-2.23426,"[  1.25340406e+00   1.39524186e+00  -7.54773346e-02  -5.08232274e-05
  -3.00490090e-01  -1.19590926e+00   1.67462536e-01   1.32443655e-02
   1.31590921e+00   8.62836474e-01   0.00000000e+00]",[-2.32541943 -0.71173227],[-2.70146813 -0.50670337],[-0.98970473 -0.82344973],-0.278660099672
2,"[[-0.18445543  0.06356991 -0.03531442 -0.13805269]
 [-7.8335134  -1.68342707  0.          0.        ]]",-2.24864,"[ 1.23300059  1.3972186  -0.24651267 -0.01682454 -0.30049002 -1.19590865
  0.11247065 -0.41482099  1.3025079   0.6947508   0.        ]",[-2.25272965 -0.84455866],[-2.42557305 -0.87707732],[-0.98970473 -0.82344973],-0.265125149418
3,"[[ -3.79248125e-01  -4.59395917e-03  -3.53144206e-02  -1.38052694e-01]
 [ -1.16331095e+01  -5.12150272e+00   0.00000000e+00   0.00000000e+00]]",-2.22555,"[ 1.15821904  1.40136586 -0.51951738 -0.1009148  -0.30048995 -1.19590804
  0.05857446 -1.14653314  1.22812301  0.39518219  0.        ]",[-2.09300137 -0.98889703],[-2.50353368 -1.62503266],[-0.98970473 -0.82344973],-0.237856895104
4,"[[ -0.64927766  -0.14571963  -0.03531442  -0.13805269]
 [-15.35748863  -8.97819305   0.           0.        ]]",-2.19638,"[ 0.97515094  1.37950728 -0.86205259 -0.27448785 -0.30048988 -1.19590743
  0.0057452  -1.96733597  1.00275488  0.0045913   0.        ]",[-1.85363221 -0.58401787],[-2.0068372  -0.72209335],[-0.98970473 -0.82344973],-0.192003708773
5,"[[ -0.99306421  -0.35217065  -0.03531442  -0.13805269]
 [-19.00913655 -11.6579234    0.           0.        ]]",-2.03712,"[ 0.62899153  1.27468409 -1.20269218 -0.52104136 -0.30048982 -1.19590683
 -0.04605239 -2.53764856  0.54577202 -0.32962646  0.        ]",[-1.64339483  0.04351737],[-1.08396075 -0.29982515],[-0.98970473 -0.82344973],-0.126171933708
6,"[[ -1.40917442  -0.59490404  -0.03531442  -0.13805269]
 [-22.59014658 -12.61213657   0.           0.        ]]",-2.03865,"[ 0.09646235  1.0467211  -1.42082559 -0.78705137 -0.30048975 -1.19590622
 -0.096848   -2.74072491 -0.09902455 -0.37815313  0.        ]",[-1.63324964  0.67109615],[-0.9509482   0.90348733],[-0.98970473 -0.82344973],-0.0607052520053
7,"[[ -1.89427204  -0.80872125  -0.03531442  -0.13805269]
 [-25.90855782  -8.78222374   0.           0.        ]]",-1.7498,"[-0.56543215  0.7622872  -1.36407693 -0.98823218 -0.30048968 -1.19590561
 -0.14391872 -1.92561966 -0.69649923 -0.01176927  0.        ]",[-1.8886373   0.72565484],[-1.9943686   0.12735836],[-0.98970473 -0.82344973],-0.0961217941201
8,"[[ -2.44701723  -0.97752644  -0.03531442  -0.13805269]
 [-29.35456078  -8.10042055   0.           0.        ]]",-1.91612,"[-1.18817316  0.49112626 -0.91385385 -1.11872536 -0.30048961 -1.195905
 -0.19279929 -1.78051304 -0.99784412  0.68385453  0.        ]",[-2.0646863   1.10383034],[-1.62545427  1.4977592 ],[-0.98970473 -0.82344973],-0.180623649157
9,"[[ -3.0680091   -1.09815373  -0.03531442  -0.13805269]
 [-32.7332322   -3.9758956    0.           0.        ]]",-1.87727,"[-1.50471     0.27676726 -0.08591115 -1.194335   -0.30048954 -1.19590439
 -0.24072478 -0.90270925 -0.84690373  1.45472688  0.        ]",[-2.30872941  1.0807023 ],[-2.88786541  1.04202957],[-0.98970473 -0.82344973],-0.255466438619
