timestep,human_obs,actions,logstd_action_dist,avg_action_dist,rewards,obs,original_rewards
0,"[[-0.03671563  0.09973732  0.12571131  0.17812899]
 [-0.00094176 -0.00090134  0.          0.        ]]",[-1.10836198  2.53079321],[-1.00579917 -0.84116572],[-0.63022619  2.45448732],-1.86595,"[ 1.25571011  1.38998083 -0.03112365  0.03188022  1.09795477  1.53062614
  0.22046512 -0.0537245   0.36298474 -1.09909264  0.        ]",-0.194001758102
1,"[[-0.07644029  0.1394627   0.12571131  0.17812899]
 [-3.95834428  3.96023035  0.          0.        ]]",[-0.5686187   1.72629829],[-1.00579917 -0.84116572],[-0.6712212   2.29066038],-1.81638,"[ 1.25260488  1.38013372 -0.08909208  0.08055142  1.09795427  1.5306251
  0.16446217  0.79345441  0.36166044 -1.12449222  0.        ]",-0.19748710677
2,"[[-0.17740571  0.25761672  0.12571131  0.17812899]
 [-6.13096432  7.84222465  0.          0.        ]]",[-0.77630684  1.96099228],[-1.00579917 -0.84116572],[-0.5403868   1.69586337],-1.71064,"[ 1.23494724  1.33174647 -0.23542302  0.2234164   1.09795378  1.53062405
  0.13371645  1.62370709  0.35332742 -1.17656368  0.        ]",-0.204301729297
3,"[[ -0.32963603   0.45264177   0.12571131   0.17812899]
 [ -9.08225792  11.64756742   0.           0.        ]]",[-0.32767141  1.21182028],[-1.00579917 -0.84116572],[-0.40749821  0.82698023],-1.59177,"[ 1.18222511  1.19108973 -0.45061618  0.44871916  1.09795328  1.530623
  0.09195137  2.43756355  0.32801239 -1.24088638  0.        ]",-0.211908390036
4,"[[ -0.52250003   0.72300931   0.12571131   0.17812899]
 [-10.20041954  15.37672726   0.           0.        ]]",[-0.32842476 -0.15666809],[-1.00579917 -0.84116572],[-0.23278239 -0.55867916],-1.49428,"[ 1.07222495  0.88055365 -0.70692288  0.72552677  1.09795278  1.53062196
  0.07612776  3.23512161  0.27297093 -1.29935087  0.        ]",-0.217286717156
5,"[[ -0.73752097   1.0212653    0.12571131   0.17812899]
 [-11.29808205  14.45191402   0.           0.        ]]",[ 0.75866949 -1.40539597],[-1.00579917 -0.84116572],[-0.17618385 -1.06298411],-1.3385,"[ 0.89747066  0.40786221 -0.96039012  0.96139228  1.09795229  1.53062091
  0.06059424  3.03732329  0.18544326 -1.35350939  0.        ]",-0.221245563527
6,"[[ -0.93111302   1.26769228   0.12571131   0.17812899]
 [ -8.07182252  10.20500179   0.           0.        ]]",[-0.59161159 -0.88337378],[-1.00579917 -0.84116572],[-0.16913214 -0.79842591],-1.42544,"[ 0.69955154 -0.05708539 -1.15016061  1.08683085  1.09795179  1.53061986
  0.10625046  2.1290254   0.09050776 -1.40124849  0.        ]",-0.225225481504
7,"[[ -1.11443109   1.43467228   0.12571131   0.17812899]
 [-10.25279452   6.50528369   0.           0.        ]]",[-0.30142685 -1.04618068],[-1.00579917 -0.84116572],[-0.16198573 -0.74373865],-1.46179,"[ 0.48358621 -0.39525858 -1.28956932  1.13167076  1.0979513   1.53061882
  0.07538653  1.33775921  0.00176649 -1.47323803  0.        ]",-0.234372774431
8,"[[ -1.32941552   1.52375499   0.12571131   0.17812899]
 [-11.2423442    2.41659345   0.           0.        ]]",[-0.14547572 -0.0361474 ],[-1.00579917 -0.84116572],[-0.1285516  -0.46246451],-1.48445,"[ 0.20488313 -0.57948992 -1.39678153  1.14172106  1.0979508   1.53061777
  0.06138295  0.46330364 -0.09640231 -1.60599938  0.        ]",-0.254058223098
9,"[[ -1.55780857   1.57016579   0.12571131   0.17812899]
 [-11.59578334   2.22511845   0.           0.        ]]",[ 0.03226242 -0.75821883],[-1.00579917 -0.84116572],[-0.2103461 -0.7084223],-1.56749,"[-0.10756045 -0.67587145 -1.4390335   1.14308548  1.09795031  1.53061672
  0.05638126  0.42235243 -0.21757806 -1.7519387   0.        ]",-0.27713648917
10,"[[ -1.78613687   1.58409744   0.12571131   0.17812899]
 [-11.23819315  -0.82179301   0.           0.        ]]",[-0.31168472 -0.8748616 ],[-1.00579917 -0.84116572],[-0.2080228  -0.27493966],-1.721,"[-0.4208489  -0.70481322 -1.40539624  1.14297602  1.09794981  1.53061568
  0.06144167 -0.22929612 -0.36442883 -1.88733038  0.        ]",-0.300474919287
11,"[[ -2.02103769   1.53306437   0.12571131   0.17812899]
 [-12.24843997  -4.27003793   0.           0.        ]]",[-0.08949922  1.07771905],[-1.00579917 -0.84116572],[-0.34167504  0.54565108],-1.66103,"[-0.72699878 -0.59881198 -1.29348615  1.14220626  1.09794932  1.53061463
  0.04714519 -0.9667784  -0.55760937 -2.02728083  0.        ]",-0.327754808964
12,"[[ -2.26713246   1.4882333    0.12571131   0.17812899]
 [-12.36075196  -0.22654635   0.           0.        ]]",[-0.85551002 -0.71765604],[-1.00579917 -0.84116572],[-0.7898317  -0.03472313],-1.94629,"[-1.01203683 -0.50585213 -1.09886927  1.13888032  1.09794882  1.53061358
  0.0455558  -0.10198917 -0.79061099 -2.10667384  0.        ]",-0.35036297673
13,"[[ -2.54585564   1.45523466   0.12571131   0.17812899]
 [-15.50102543  -3.0639231    0.           0.        ]]",[-1.32241831  1.12194577],[-1.00579917 -0.84116572],[-1.00913191  0.63573015],-1.95088,"[ -1.26956409e+00  -4.37636976e-01  -7.97646120e-01   1.13485243e+00
   1.09794833e+00   1.53061254e+00   1.11631990e-03  -7.08824218e-01
  -1.06254083e+00  -2.10459928e+00   0.00000000e+00]",-0.367357483672
14,"[[ -2.89250977   1.43428787   0.12571131   0.17812899]
 [-19.15232173   0.95575757   0.           0.        ]]",[-0.92051552 -0.13010177],[-1.00579917 -0.84116572],[-1.32194984 -0.1913732 ],-2.2676,"[-1.46500438 -0.39446617 -0.33779273  1.13160255  1.09794783  1.53061149
 -0.05055488  0.15087273 -1.37280179 -1.97827072  0.        ]",-0.376311200548
15,"[[ -3.30830371   1.44803337   0.12571131   0.17812899]
 [-22.41619175   0.42047363   0.           0.        ]]",[-1.46628419  0.25650215],[-1.00579917 -0.84116572],[-1.34850001 -0.26137006],-2.16313,"[-1.48849575 -0.42278233  0.26508918  1.13379488  1.09794734  1.53061044
 -0.09674343  0.03639048 -1.64092046 -1.68912913  0.        ]",-0.369678069619
16,"[[ -3.79188652   1.46653249   0.12571131   0.17812899]
 [-25.93042577   1.42595873   0.           0.        ]]",[-1.64978328  0.17148753],[-1.00579917 -0.84116572],[-1.16791403 -0.75945139],-2.07255,"[-1.22556885 -0.46096603  0.90747351  1.1363802   1.09794684  1.5306094
 -0.146475    0.25143558 -1.78794473 -1.24555199  0.        ]",-0.343309538902
17,"[[ -4.34505817   1.5015561    0.12571131   0.17812899]
 [-29.37530563   2.07409509   0.           0.        ]]",[-1.03805515 -1.05217222],[-1.00579917 -0.84116572],[-0.9001509  -0.97415769],-2.13076,"[-0.62187292 -0.53344968  1.38671584  1.14012439  1.09794635  1.53060835
 -0.19522511  0.39005376 -1.70610293 -0.72895774  0.        ]",-0.291346144575
