timestep,human_obs,actions,logstd_action_dist,avg_action_dist,rewards,obs,original_rewards
15,"[[  4.12366567e+00   7.00372902e-01   1.58498101e-02   7.53827518e-02]
 [  2.06448544e+01   6.76405787e+00   0.00000000e+00   0.00000000e+00]]",[-0.65765564  1.04581667],[-0.50232309 -0.27724585],[ 0.12236997  0.27139464],0.0107667,"[-0.93279927  0.83861564 -1.21763663  0.64524106  0.15080147  0.64721866
  0.67549632  0.96685127 -0.52501919 -1.81753658  0.        ]",-0.274310350139
16,"[[  4.50635816e+00   8.74036849e-01   1.58498101e-02   7.53827518e-02]
 [  1.76345328e+01   1.05895967e+01   0.00000000e+00   0.00000000e+00]]",[ 0.43580396  0.04934468],[-0.50232309 -0.27724585],[ 0.20811725 -0.2165865 ],0.160937,"[-0.45016097  0.67366908 -1.43542018  0.84954933  0.15080132  0.64721774
  0.62082113  1.58333448  0.03021656 -1.76134873  0.        ]",-0.261568607225
17,"[[  4.87286642e+00   1.08566996e+00   1.58498101e-02   7.53827518e-02]
 [  1.90117842e+01   1.05737180e+01   0.00000000e+00   0.00000000e+00]]",[-0.27597932 -1.17700044],[-0.50232309 -0.27724585],[ 0.30707806 -0.37769702],0.103673,"[ 0.05125069  0.43817594 -1.44769651  1.04595865  0.15080116  0.64721681
  0.64583426  1.58077005  0.47310442 -1.41734885  0.        ]",-0.233782821744
18,"[[  5.23839935e+00   1.25530637e+00   1.58498101e-02   7.53827518e-02]
 [  1.75461974e+01   6.40383079e+00   0.00000000e+00   0.00000000e+00]]",[-0.34466482  0.24986091],[-0.50232309 -0.27724585],[ 0.32089412 -0.05846018],-0.050902,"[ 0.52229354  0.22869729 -1.26669617  1.15614981  0.15080101  0.64721589
  0.61921495  0.90878958  0.70231163 -0.93782357  0.        ]",-0.198571154097
19,"[[  5.57216522   1.39202925   0.01584981   0.07538275]
 [ 15.83609301   7.26560933   0.           0.        ]]",[ 0.47561902  0.96967856],[-0.50232309 -0.27724585],[ 0.26557916 -0.29019788],0.0104516,"[ 0.8740424   0.05086373 -0.95272307  1.21191959  0.15080085  0.64721496
  0.58815469  1.04766331  0.72338842 -0.47756499  0.        ]",-0.161965065786
20,"[[  5.90463573e+00   1.57440676e+00   1.58498101e-02   7.53827518e-02]
 [  1.74059397e+01   1.09597996e+01   0.00000000e+00   0.00000000e+00]]",[-0.74333306  0.23904648],[-0.50232309 -0.27724585],[ 0.20768005 -0.81438732],-0.0489233,"[ 1.11005226 -0.19269927 -0.53396505  1.23850143  0.1508007   0.64721404
  0.61666591  1.6429773   0.55229874 -0.05877347  0.        ]",-0.117779964656
21,"[[  6.21980168   1.80091607   0.01584981   0.07538275]
 [ 14.12151442  11.68875334   0.           0.        ]]",[ 0.26473097 -0.95531936],[-0.50232309 -0.27724585],[ 0.11545131 -0.97994041],-0.0595628,"[ 1.20471325 -0.49406539 -0.08088513  1.19451611  0.15080054  0.64721312
  0.55701231  1.760441    0.23692075  0.19180929  0.        ]",-0.0709330554841
22,"[[  6.5099623    1.99440712   0.01584981   0.07538275]
 [ 14.89182273   7.6737322    0.           0.        ]]",[ 0.43783002 -0.63107124],[-0.50232309 -0.27724585],[ 0.20501241 -0.68382156],-0.0601871,"[ 1.17223968 -0.73968696  0.34548547  1.09099556  0.15080039  0.64721219
  0.57100216  1.11341884 -0.07262175  0.24558158  0.        ]",-0.0377449570754
23,"[[  6.82224206e+00   2.12127615e+00   1.58498101e-02   7.53827518e-02]
 [  1.63312838e+01   5.02199648e+00   0.00000000e+00   0.00000000e+00]]",[ 0.19103309 -1.42053582],[-0.50232309 -0.27724585],[ 0.3330645  -0.49932119],-0.0517372,"[ 1.01232821 -0.89009991  0.77231294  0.9919671   0.15080023  0.64721127
  0.59714537  0.68609138 -0.33218178  0.19255018  0.        ]",-0.0384718384478
24,"[[  7.15321895e+00   2.18098056e+00   1.58498101e-02   7.53827518e-02]
 [  1.67648568e+01   9.61974063e-01   0.00000000e+00   0.00000000e+00]]",[ 0.27540183 -0.10284365],[-0.50232309 -0.27724585],[ 0.4706108  -0.19850424],0.112901,"[ 0.7186729  -0.95711816  1.14370896  0.93734089  0.15080008  0.64721034
  0.60501926  0.03181955 -0.53596523  0.08433619  0.        ]",-0.0619040480452
