timestep,human_obs,actions,logstd_action_dist,avg_action_dist,rewards,obs,original_rewards
0,"[[-0.09540787 -0.07361846  0.00702512  0.15404861]
 [ 0.00357333 -0.00164883  0.          0.        ]]",[ 1.31209849 -1.41710711],[-0.76785356 -0.48746425],[ 1.63021827  0.05062193],-0.746028,"[ 1.23451456  1.27509037 -0.12009031 -0.23305164  0.07012189  1.3219633
  0.25271424 -0.07429273  1.05608746 -1.17158508  0.        ]",-0.271173041623
1,"[[-0.05563113 -0.11339436  0.00702512  0.15404861]
 [ 3.96092096 -3.96273283  0.          0.        ]]",[ 1.88000282  0.84825412],[-0.76785356 -0.48746425],[ 1.88156056  0.21086994],-0.802823,"[ 1.23865315  1.26857839 -0.06188187 -0.28457905  0.07012186  1.32196187
  0.31301727 -0.8479687   1.0578726  -1.14567182  0.        ]",-0.268751721345
2,"[[  6.24786571e-02  -1.58177448e-01   7.02511730e-03   1.54048613e-01]
 [  7.83715847e+00  -5.27014695e-01   0.00000000e+00   0.00000000e+00]]",[ 2.22507275  0.33323209],[-0.76785356 -0.48746425],[ 1.8443253  -0.20679268],-0.764659,"[ 1.23809439  1.25794978  0.11136115 -0.34231018  0.07012184  1.32196045
  0.37208431 -0.17690616  1.06396614 -1.01629462  0.        ]",-0.256867823501
3,"[[  2.57352087e-01  -1.55388621e-01   7.02511730e-03   1.54048613e-01]
 [  1.16375292e+01   8.01483056e-01   0.00000000e+00   0.00000000e+00]]",[ 2.00361164 -0.17362641],[-0.76785356 -0.48746425],[ 1.85529828 -0.46365455],-0.784478,"[ 1.19535294  1.25871193  0.39327288 -0.33872567  0.07012181  1.32195902
  0.42999526  0.08257532  1.0451218  -0.74886109  0.        ]",-0.23114678415
4,"[[  5.27486490e-01  -1.46429332e-01   7.02511730e-03   1.54048613e-01]
 [  1.53635056e+01   9.68087856e-02   0.00000000e+00   0.00000000e+00]]",[ 1.19227397  0.27222134],[-0.76785356 -0.48746425],[ 1.87922239 -0.5930692 ],-0.872836,"[ 1.05326992  1.26107202  0.7584882  -0.32720008  0.07012178  1.32195759
  0.48677254 -0.05506134  0.94024202 -0.39200547  0.        ]",-0.192053342773
5,"[[  8.71394069e-01  -1.33710078e-01   7.02511730e-03   1.54048613e-01]
 [  1.90150906e+01   1.17154939e+00   0.00000000e+00   0.00000000e+00]]",[ 1.62847192 -0.70648681],[-0.76785356 -0.48746425],[ 1.76550508 -0.85839844],-0.781562,"[ 0.74933635  1.26418394  1.14281446 -0.31081163  0.07012175  1.32195617
  0.54241621  0.15485656  0.68582115 -0.00467616  0.        ]",-0.138801939414
6,"[[  1.28762382e+00  -1.38590594e-01   7.02511730e-03   1.54048613e-01]
 [  2.25959698e+01  -1.65017622e+00   0.00000000e+00   0.00000000e+00]]",[ 1.38936726 -1.20588051],[-0.76785356 -0.48746425],[ 1.65394735 -0.78152728],-0.563829,"[ 0.24669037  1.26302129  1.42892817 -0.31710334  0.07012173  1.32195474
  0.59698241 -0.39628192  0.25237609  0.29515747  0.        ]",-0.078363336719
7,"[[  1.77476582e+00  -2.11003925e-01   7.02511730e-03   1.54048613e-01]
 [  2.61065691e+01  -5.57800808e+00   0.00000000e+00   0.00000000e+00]]",[ 0.88805256 -1.40118998],[-0.76785356 -0.48746425],[ 1.46402144 -0.48618016],-0.435758,"[-0.41819535  1.24094656  1.45695336 -0.40987262  0.0701217   1.32195331
  0.65047763 -1.16346412 -0.2980161   0.37063049  0.        ]",-0.0600431992846
8,"[[  2.32698233e+00  -3.61187298e-01   7.02511730e-03   1.54048613e-01]
 [  2.91051744e+01  -9.42737788e+00   0.00000000e+00   0.00000000e+00]]",[ 1.64712772  1.46081445],[-0.76785356 -0.48746425],[ 1.22274756  0.14414477],-0.473665,"[-1.08533262  1.16671017  1.08737853 -0.59717434  0.07012167  1.32195189
  0.6961709  -1.91531859 -0.84250907  0.15070294  0.        ]",-0.119690168407
9,"[[  2.94299352e+00  -5.08130753e-01   7.02511730e-03   1.54048613e-01]
 [  3.24847141e+01  -5.28061939e+00   0.00000000e+00   0.00000000e+00]]",[ 1.31619784 -0.53153408],[-0.76785356 -0.48746425],[ 0.97982574 -0.65213311],-0.715292,"[-1.49118108  1.05832351  0.30928173 -0.77044404  0.07012164  1.32195046
  0.74766893 -1.10537461 -1.26364928 -0.39253422  0.        ]",-0.198913260238
10,"[[  3.62594917e+00  -6.33797216e-01   7.02511730e-03   1.54048613e-01]
 [  3.57999112e+01  -7.27917512e+00   0.00000000e+00   0.00000000e+00]]",[ 1.21031661  0.7325515 ],[-0.76785356 -0.48746425],[ 0.96435905 -0.16396266],-1.02518,"[-1.35961382  0.93933289 -0.66368043 -0.90793511  0.07012161  1.32194904
  0.79818643 -1.49572968 -1.35643586 -1.18566259  0.        ]",-0.275098637528
11,"[[  4.37453743e+00  -7.48806088e-01   7.02511730e-03   1.54048613e-01]
 [  3.90480805e+01  -4.23165259e+00   0.00000000e+00   0.00000000e+00]]",[ 1.61805284 -0.64606527],[-0.76785356 -0.48746425],[ 1.12489283 -0.18654418],-1.11036,"[-0.59601823  0.81085512 -1.36497034 -1.02316503  0.07012159  1.32194761
  0.8476825  -0.90048864 -0.95897163 -1.93964595  0.        ]",-0.329651687087
12,"[[  5.18746413e+00  -8.58226451e-01   7.02511730e-03   1.54048613e-01]
 [  4.22341209e+01  -6.70191104e+00   0.00000000e+00   0.00000000e+00]]",[ 1.62276392  0.98498321],[-0.76785356 -0.48746425],[ 1.5591985   0.27101973],-0.967791,"[ 0.49225521  0.67284152 -1.28540632 -1.12195203  0.07012156  1.32194618
  0.89623176 -1.3829766  -0.1545591  -2.23642514  0.        ]",-0.345007382061
13,"[[  6.06346284e+00  -9.51748146e-01   7.02511730e-03   1.54048613e-01]
 [  4.53552392e+01  -2.66346822e+00   0.00000000e+00   0.00000000e+00]]",[ 1.53486531 -0.26358429],[-0.76785356 -0.48746425],[ 1.90088177 -0.12361443],-0.802554,"[ 1.2076193   0.54394694 -0.30016795 -1.19709226  0.07012153  1.32194476
  0.94379166 -0.59419011  0.65354919 -1.79323774  0.        ]",-0.307593871311
14,"[[  7.00127563e+00  -1.01489187e+00   7.02511730e-03   1.54048613e-01]
 [  4.84159268e+01  -3.64738577e+00   0.00000000e+00   0.00000000e+00]]",[ 2.02717959 -0.78207813],[-0.76785356 -0.48746425],[ 1.96718192  0.03737752],-0.646474,"[ 0.9001265   0.4518198   0.98536303 -1.24262376  0.0701215   1.32194333
  0.99043063 -0.78636783  0.8924925  -0.76861055  0.        ]",-0.211175736208
15,"[[  7.99970793e+00  -1.11810196e+00   7.02511730e-03   1.54048613e-01]
 [  5.14175236e+01  -6.66327762e+00   0.00000000e+00   0.00000000e+00]]",[ 2.01519192  1.53731759],[-0.76785356 -0.48746425],[ 1.56720221  0.6085757 ],-0.223741,"[-0.33908084  0.29346936  1.47182095 -1.30748604  0.07012148  1.32194191
  1.03616908 -1.37542865  0.27257328  0.06333096  0.        ]",-0.0696782526915
16,"[[  9.05756273e+00  -1.21021447e+00   7.02511730e-03   1.54048613e-01]
 [  5.43579617e+01  -2.56135035e+00   0.00000000e+00   0.00000000e+00]]",[ 1.11718448 -0.99095963],[-0.76785356 -0.48746425],[ 1.10644531 -0.47525963],0.0309829,"[-1.42632363  0.14520032  0.54663409 -1.35487467  0.07012145  1.32194048
  1.0809755  -0.5742424  -0.73330407 -0.03475536  0.        ]",-0.0999575002074
