timestep,human_obs,actions,logstd_action_dist,avg_action_dist,rewards,obs,original_rewards
0,"[[-0.05992271 -0.01460579  0.11760741  0.0925111 ]
 [ 0.00034236  0.00158682  0.          0.        ]]",[-1.971424    2.01050623],[-0.92543137 -0.75992626],[-1.34293425  2.07063103],-1.37361,"[ 1.25111971  1.37085434 -0.06594798 -0.11659206  1.03001832  0.78877266
  0.22925076 -0.05806118  0.40960752 -0.66552279  0.        ]",-0.140818541179
1,"[[-0.09962187  0.02516892  0.11760741  0.0925111 ]
 [-3.95707748  3.96267734  0.          0.        ]]",[-1.55167105  2.36982139],[-0.92543137 -0.75992626],[-1.3411268   1.92797947],-1.40664,"[ 1.24674864  1.37043444 -0.12383507 -0.06705795  1.03001781  0.78877235
  0.1724027   0.77101752  0.4077401  -0.69091423  0.        ]",-0.143630681973
2,"[[-0.21768387  0.1433782   0.11760741  0.0925111 ]
 [-7.83620848  7.84529914  0.          0.        ]]",[-1.64786184  2.65218431],[-0.92543137 -0.75992626],[-1.29225934  1.76172113],-1.37197,"[ 1.22099366  1.35059992 -0.2942789   0.07955982  1.0300173   0.78877204
  0.11667927  1.58367129  0.39671687 -0.76576228  0.        ]",-0.151663888386
3,"[[ -0.4125592    0.33846755   0.11760741   0.0925111 ]
 [-11.63869132  11.65091467   0.           0.        ]]",[-1.50724415  0.81487591],[-0.92543137 -0.75992626],[-1.15484297  1.01400542],-1.15904,"[ 1.13768201  1.25790789 -0.564894    0.31514538  1.03001678  0.78877173
  0.06205688  2.38020444  0.36104407 -0.88461345  0.        ]",-0.163755409827
4,"[[ -0.68272936   0.60155558   0.11760741   0.0925111 ]
 [-15.36599348  14.64781575   0.           0.        ]]",[-0.49633283  0.8917397 ],[-0.92543137 -0.75992626],[-1.02292657  0.02559821],-1.03983,"[ 0.94392742  1.02094879 -0.90129736  0.60643958  1.03001627  0.78877142
  0.00851445  3.0074649   0.27769766 -1.03754073  0.        ]",-0.178643182186
5,"[[ -1.00671934   0.92702762   0.11760741   0.0925111 ]
 [-17.02753985  17.88849999   0.           0.        ]]",[-0.54688861 -0.70371823],[-0.92543137 -0.75992626],[-0.72697866 -1.53548002],-0.94408,"[ 0.61067311  0.57370628 -1.21460373  0.89777107  1.03001576  0.78877112
 -0.01535355  3.68574352  0.13502907 -1.17428205  0.        ]",-0.191269086586
6,"[[ -1.36560393   1.25328054   0.11760741   0.0925111 ]
 [-18.85497379  14.7471637    0.           0.        ]]",[-0.44685776 -1.22488015],[-0.92543137 -0.75992626],[-0.79957604 -1.95944083],-0.908079,"[  1.53545139e-01  -7.11662256e-04  -1.41054168e+00   1.08480794e+00
   1.03001525e+00   7.88770808e-01  -4.16045033e-02   3.02824055e+00
  -6.28065494e-02  -1.28341034e+00   0.00000000e+00]",-0.203099820001
7,"[[ -1.75670709   1.5055539    0.11760741   0.0925111 ]
 [-20.25075434  10.49428045   0.           0.        ]]",[-1.29910454 -2.1121463 ],[-0.92543137 -0.75992626],[-0.97798818 -2.12832475],-1.05388,"[-0.38332133 -0.49336617 -1.4160214   1.14441353  1.03001474  0.7887705
 -0.06165479  2.13809221 -0.30908223 -1.38236406  0.        ]",-0.220114241399
8,"[[ -2.19741535   1.67361324   0.11760741   0.0925111 ]
 [-23.80825269   6.32541102   0.           0.        ]]",[-1.38417876 -2.44212887],[-0.92543137 -0.75992626],[-1.2024498  -2.22943759],-1.32285,"[-0.93810711 -0.82810041 -1.1633009   1.14048535  1.03001423  0.78877019
 -0.11275802  1.26553112 -0.6135571  -1.44931049  0.        ]",-0.24245791634
9,"[[ -2.70856705   1.75911523   0.11760741   0.0925111 ]
 [-27.29523165   2.23827457   0.           0.        ]]",[-1.72333011 -1.92982442],[-0.92543137 -0.75992626],[-1.57099271 -2.01695418],-1.49723,"[-1.38198567 -0.99677545 -0.59219383  1.12504262  1.03001372  0.78876988
 -0.16284824  0.41007786 -0.98841423 -1.41960944  0.        ]",-0.266403796436
