timestep,human_obs,actions,logstd_action_dist,avg_action_dist,rewards,obs,original_rewards
0,"[[-0.09232967 -0.07134018  0.15063344  0.1284688 ]
 [ 0.000623    0.0039833   0.          0.        ]]",[ 0.90047239  0.92234304],[-0.2779057  -0.10308701],[ 0.58221579  0.6423853 ],-0.196779,"[ 1.15829187  1.18194073 -0.13199958 -0.37068728  1.29314102  1.11664253
  0.29701588 -0.06211106  0.17743518 -1.1023798   0.        ]",-0.16588545328
1,"[[-0.05659135 -0.03463249  0.15063344  0.1284688 ]
 [ 3.56135633  3.65462353  0.          0.        ]]",[-0.07278068  0.82644681],[-0.2779057  -0.10308701],[ 0.64462143  0.59071141],-0.142824,"[ 1.16194078  1.18435954 -0.07871907 -0.3072975   1.29313349  1.11663706
  0.38573116  0.44552287  0.18537593 -1.02160452  0.        ]",-0.155662307376
2,"[[ 0.01102784  0.07056838  0.15063344  0.1284688 ]
 [ 3.20176916  6.85479673  0.          0.        ]]",[ 0.52202169  0.27053073],[-0.2779057  -0.10308701],[ 0.63911986  0.54144585],-0.080011,"[ 1.16405206  1.18199662  0.02233088 -0.12547736  1.29312596  1.1166316
  0.37677104  0.89051615  0.18690329 -0.84014814  0.        ]",-0.132284896019
3,"[[ 0.09514412  0.21704242  0.15063344  0.1284688 ]
 [ 5.20321751  7.7894925   0.          0.        ]]",[ 1.52885993  0.99828404],[-0.2779057  -0.10308701],[ 0.59585494  0.51765352],-0.0936557,"[ 1.1579119   1.15582894  0.14787646  0.12499456  1.29311844  1.11662613
  0.42663653  1.02048482  0.153372   -0.60607067  0.        ]",-0.10064435502
4,"[[  0.237855     0.41092939   0.15063344   0.1284688 ]
 [  9.0551514   11.58654374   0.           0.        ]]",[-0.32464183 -0.99178045],[-0.2779057  -0.10308701],[ 0.55841374  0.38019958],0.0539822,"[ 1.12541804  1.08124143  0.35811027  0.44340818  1.29311091  1.11662067
  0.52260716  1.54846857  0.03287258 -0.27670372  0.        ]",-0.0514595635499
5,"[[ 0.40429581  0.6009613   0.15063344  0.1284688 ]
 [ 7.59373506  7.43049246  0.          0.        ]]",[-0.9664032  -0.34600886],[-0.2779057  -0.10308701],[ 0.38273072  0.44926962],0.017841,"[ 1.05328396  0.96652645  0.59396175  0.73044105  1.29310338  1.1166152
  0.48619417  0.97055062 -0.17810072  0.02061595  0.        ]",-0.00375145218972
6,"[[ 0.51631174  0.7343617   0.15063344  0.1284688 ]
 [ 3.62102555  5.91459986  0.          0.        ]]",[-1.23958183 -0.94119292],[-0.2779057  -0.10308701],[ 0.23560995  0.44579723],-0.0163236,"[ 0.98490674  0.86356771  0.74392286  0.91146737  1.29309586  1.11660974
  0.38721164  0.75975768 -0.36017687  0.17261713  0.        ]",-0.0385361528289
7,"[[ 0.54833222  0.81410034  0.15063344  0.1284688 ]
 [-0.40563416  2.07206483  0.          0.        ]]",[-0.60216783  0.91654984],[-0.2779057  -0.10308701],[ 0.14300638  0.5522815 ],-0.0902277,"[ 0.96256137  0.7940381   0.78516745  1.01002969  1.29308833  1.11660427
  0.28688503  0.22543832 -0.44397285  0.21467336  0.        ]",-0.0528058081916
8,"[[ 0.51638495  0.89155011  0.15063344  0.1284688 ]
 [-2.78118166  5.66093887  0.          0.        ]]",[-0.02857503  0.74882586],[-0.2779057  -0.10308701],[ 0.09355527  0.38033813],-0.150876,"[ 0.98484879  0.72129014  0.74401273  1.09811699  1.29308081  1.11659881
  0.22769661  0.72448328 -0.46443139  0.2017748   0.        ]",-0.0544823930783
9,"[[ 0.46017064  1.03339353  0.15063344  0.1284688 ]
 [-2.84002467  8.51389478  0.          0.        ]]",[ 0.52479999 -0.537247  ],[-0.2779057  -0.10308701],[ 0.0353443   0.21156852],-0.15331,"[ 1.02109308  0.57621142  0.66979648  1.23818227  1.29307328  1.11659334
  0.22622999  1.12119317 -0.50612492  0.17473436  0.        ]",-0.0584574403343
