timestep,human_obs,rewards,obs,avg_action_dist,actions,logstd_action_dist,original_rewards
0,"[[ 0.0367247   0.09545587  0.01464449 -0.08684685]
 [ 0.00137363  0.00146988  0.          0.        ]]",-0.360815,"[ 1.14512248  1.19893312  0.05062076  0.01234264  0.14705052 -0.75022528
  0.27037345 -0.04425974  0.98781617  0.73953377  0.        ]",[-1.26449966  0.12008903],[-1.86697087 -0.62520505],[-0.1998495 -0.0573465],-0.220889008683
1,"[[ -2.92901964e-03   7.06623292e-02   1.46444864e-02  -8.68468528e-02]
 [ -3.95357841e+00  -2.47258441e+00   0.00000000e+00   0.00000000e+00]]",-0.398353,"[ 1.14603849  1.20149281 -0.00879964 -0.02945854  0.1470501  -0.75022199
  0.15331798 -0.37927669  0.99262978  0.66210918  0.        ]",[-1.24831104  0.14568314],[-0.4244375  -0.19735499],[-0.1998495 -0.0573465],-0.216568024725
2,"[[-0.09805921  0.01386751  0.01464449 -0.08684685]
 [-5.55411309 -3.20446024  0.          0.        ]]",-0.516217,"[ 1.13941579  1.20448001 -0.15114487 -0.12544804  0.14704968 -0.75021871
  0.1059464  -0.4783805   0.98878324  0.47794519  0.        ]",[-1.22222209  0.16242695],[-0.61837826  2.49508429],[-0.1998495 -0.0573465],-0.205967530443
3,"[[-0.23259868 -0.0098482   0.01464449 -0.08684685]
 [-7.89204409  0.81947674  0.          0.        ]]",-0.392895,"[ 1.10891351  1.20453124 -0.34989239 -0.16557017  0.14704926 -0.75021543
  0.03674999  0.06651363  0.95740148  0.26407675  0.        ]",[-1.25385201  0.13121989],[-1.203449    1.43271101],[-0.1998495 -0.0573465],-0.193099551138
4,"[[ -0.42857926   0.04612122   0.01464449  -0.08684685]
 [-11.69335493   4.76430785   0.           0.        ]]",-0.358054,"[ 1.02136715  1.20325596 -0.62727715 -0.07090529  0.14704883 -0.75021214
 -0.07575843  0.60069517  0.88841333  0.0310221   0.        ]",[-1.31383324  0.08099244],[-1.1530042   1.75793573],[-0.1998495 -0.0573465],-0.178414712767
5,"[[ -6.99831862e-01   1.80202701e-01   1.46444864e-02  -8.68468528e-02]
 [ -1.54195175e+01   8.63092121e+00   0.00000000e+00   0.00000000e+00]]",-0.213235,"[ 0.82205256  1.18436027 -0.96976505  0.15432276  0.14704841 -0.75020886
 -0.18604264  1.12428105  0.75747583 -0.225028    0.        ]",[-1.38188624  0.02185322],[-1.70858755 -0.06602204],[-0.1998495 -0.0573465],-0.160589632437
6,"[[ -1.04485363e+00   3.48494916e-01   1.46444864e-02  -8.68468528e-02]
 [ -1.90705519e+01   8.19966761e+00   0.00000000e+00   0.00000000e+00]]",-0.206927,"[ 0.45966633  1.12952268 -1.30063551  0.42883548  0.14704799 -0.75020557
 -0.29410319  1.06587701  0.52476499 -0.49225889  0.        ]",[-1.40779603  0.00659077],[-3.15359481  0.29253279],[-0.1998495 -0.0573465],-0.138979582103
7,"[[ -1.46218026e+00   5.22487427e-01   1.46444864e-02  -8.68468528e-02]
 [ -2.26502659e+01   9.19615246e+00   0.00000000e+00   0.00000000e+00]]",-0.171589,"[-0.08286817  1.03799816 -1.49435179  0.69539395  0.14704757 -0.75020229
 -0.4000527   1.2008065   0.15840965 -0.71147414  0.        ]",[-1.44030762 -0.03036144],[-2.25442361  1.07143597],[-0.1998495 -0.0573465],-0.11836492865
8,"[[ -1.95040649e+00   7.44310191e-01   1.46444864e-02  -8.68468528e-02]
 [ -2.61608100e+01   1.29733633e+01   0.00000000e+00   0.00000000e+00]]",-0.00316517,"[-0.743019    0.87441891 -1.39647162  0.99726588  0.14704715 -0.75019901
 -0.50395472  1.7122731  -0.29957575 -0.76367597  0.        ]",[-1.49781811 -0.1118816 ],[-1.97292019 -1.45288456],[-0.1998495 -0.0573465],-0.109511826538
9,"[[ -2.50812856e+00   9.61459762e-01   1.46444864e-02  -8.68468528e-02]
 [ -2.96000269e+01   8.75544086e+00   0.00000000e+00   0.00000000e+00]]",-0.0836089,"[-1.34315514  0.67063351 -0.89156879  1.23845701  0.14704673 -0.75019572
 -0.60574529  1.14110505 -0.79834416 -0.5774803   0.        ]",[-1.46941817 -0.10100754],[-1.15798866 -0.06487466],[-0.1998495 -0.0573465],-0.12388649702
10,"[[ -3.13396798e+00   1.13222673e+00   1.46444864e-02  -8.68468528e-02]
 [ -3.29727739e+01   8.32248368e+00   0.00000000e+00   0.00000000e+00]]",-0.251345,"[-1.6105147   0.48626582 -0.0157971   1.38281713  0.14704631 -0.75019244
 -0.70556804  1.08247058 -1.22169789 -0.09620424  0.        ]",[-1.47177458 -0.11761425],[-0.00789658 -0.65986784],[-0.1998495 -0.0573465],-0.161187308415
11,"[[ -3.78720182e+00   1.27076335e+00   1.46444864e-02  -8.68468528e-02]
 [ -3.23525969e+01   5.54044276e+00   0.00000000e+00   0.00000000e+00]]",-0.035872,"[-1.33313927  0.32510112  0.89743356  1.46734152  0.14704589 -0.75018915
 -0.68720934  0.70574416 -1.36563554  0.58224251  0.        ]",[-1.45788705 -0.10488002],[-1.97134364 -1.51945416],[-0.1998495 -0.0573465],-0.201444590803
12,"[[ -4.46753587e+00   1.34070451e+00   1.46444864e-02  -8.68468528e-02]
 [ -3.56696338e+01   1.46706383e+00   0.00000000e+00   0.00000000e+00]]",0.298903,"[-0.56636539  0.2408502   1.44971192  1.49832073  0.14704547 -0.75018587
 -0.78538288  0.15415602 -1.14874918  1.28244659  0.        ]",[-1.46628559 -0.08322169],[-2.77233796  0.08843023],[-0.1998495 -0.0573465],-0.235316913492
13,"[[ -5.21355689e+00   1.37321730e+00   1.46444864e-02  -8.68468528e-02]
 [ -3.89216678e+01   1.78297607e+00   0.00000000e+00   0.00000000e+00]]",0.0967447,"[ 0.42995397  0.20118571  1.31008745  1.50997938  0.14704505 -0.75018259
 -0.88163176  0.19693413 -0.53833577  1.72584377  0.        ]",[-1.51809263 -0.10205139],[-1.51455131  0.50029949],[-0.1998495 -0.0573465],-0.250516605754
14,"[[ -6.02398021e+00   1.42833683e+00   1.46444864e-02  -8.68468528e-02]
 [ -4.21101700e+01   3.72230751e+00   0.00000000e+00   0.00000000e+00]]",-0.0491308,"[ 1.09999903  0.13337273  0.37976885  1.5257419   0.14704463 -0.7501793
 -0.97599933  0.45954432  0.20885878  1.5600742   0.        ]",[-1.5636524 -0.1282654],[-1.65116998 -0.35394918],[-0.1998495 -0.0573465],-0.232278342564
15,"[[ -6.89753780e+00   1.48790773e+00   1.46444864e-02  -8.68468528e-02]
 [ -4.52351257e+01   2.23950899e+00   0.00000000e+00   0.00000000e+00]]",-0.18903,"[ 0.89401169  0.05948422 -0.86834011  1.53705759  0.14704421 -0.75017602
 -1.06848501  0.2587521   0.63529405  0.79940367  0.        ]",[-1.54001272 -0.1128677 ],[-1.60353052  1.02636086],[-0.1998495 -0.0573465],-0.178470007233
16,"[[ -7.83298729e+00   1.57189370e+00   1.46444864e-02  -8.68468528e-02]
 [ -4.82998806e+01   6.14584312e+00   0.00000000e+00   0.00000000e+00]]",-0.181558,"[-0.20332645 -0.04524915 -1.50284383  1.54285055  0.14704378 -0.75017273
 -1.15918763  0.78772163  0.38458519 -0.07402789  0.        ]",[-1.52841341 -0.14492168],[-0.64309894 -0.19143836],[-0.1998495 -0.0573465],-0.0980151848518
17,"[[ -8.81495363e+00   1.68588337e+00   1.46444864e-02  -8.68468528e-02]
 [ -4.98914238e+01   5.25598034e+00   0.00000000e+00   0.00000000e+00]]",0.0796898,"[-1.36211216 -0.18724199 -0.86276976  1.53164537  0.14704336 -0.75016945
 -1.20628558  0.66721875 -0.3693725  -0.36976312  0.        ]",[-1.46073496 -0.13670589],[-2.86435659  0.79769571],[-0.1998495 -0.0573465],-0.0578367603232
18,"[[ -9.84261642e+00   1.82154260e+00   1.46444864e-02  -8.68468528e-02]
 [ -5.28651731e+01   8.29961052e+00   0.00000000e+00   0.00000000e+00]]",0.292584,"[-1.49196149 -0.35365191  0.60381428  1.48991604  0.14704294 -0.75016617
 -1.29429235  1.07936403 -0.99599492  0.13448341  0.        ]",[-1.45915735 -0.16469426],[-2.65016682 -0.36491065],[-0.1998495 -0.0573465],-0.125773362688
19,"[[ -1.09291660e+01   1.97127201e+00   1.46444864e-02  -8.68468528e-02]
 [ -5.57800118e+01   6.67860231e+00   0.00000000e+00   0.00000000e+00]]",0.185692,"[-0.32370551 -0.53059301  1.49110488  1.40894734  0.14704252 -0.75016288
 -1.38055378  0.85985183 -0.96592938  0.96517631  0.        ]",[-1.47087884 -0.1612068 ],[-1.21237694 -0.19737352],[-0.1998495 -0.0573465],-0.181884827295
20,"[[ -1.20734308e+01   2.09555212e+00   1.46444864e-02  -8.68468528e-02]
 [ -5.86369162e+01   5.75240258e+00   0.00000000e+00   0.00000000e+00]]",-0.0974834,"[ 0.98195826 -0.66935051  0.70486741  1.3151609   0.1470421  -0.7501596
 -1.46509861  0.73442771 -0.34738386  1.35072817  0.        ]",[-1.51100981 -0.15874486],[-1.57959231  0.92260281],[-0.1998495 -0.0573465],-0.19300904929
21,"[[ -1.32742721e+01   2.24598220e+00   1.46444864e-02  -8.68468528e-02]
 [ -6.14380846e+01   9.27885950e+00   0.00000000e+00   0.00000000e+00]]",-0.312922,"[ 0.8148806  -0.8242066  -0.97896276  1.17159322  0.14704168 -0.75015632
 -1.54799169  1.21195367  0.18226387  0.92756213  0.        ]",[-1.55188036 -0.1793886 ],[-1.37332604 -0.8129446 ],[-0.1998495 -0.0573465],-0.146892929025
22,"[[ -1.45305815e+01   2.39729479e+00   1.46444864e-02  -8.68468528e-02]
 [ -6.41834923e+01   5.86388473e+00   0.00000000e+00   0.00000000e+00]]",-0.282806,"[-0.76061276 -0.96218304 -1.3886692   0.99710199  0.14704126 -0.75015303
 -1.62923213  0.74951299  0.06981795  0.28699766  0.        ]",[-1.45616436 -0.14346601],[-0.71779198 -0.79683822],[-0.1998495 -0.0573465],-0.0620400922639
23,"[[ -1.58300321e+01   2.48163244e+00   1.46444864e-02  -8.68468528e-02]
 [ -6.57561399e+01   2.58092110e+00   0.00000000e+00   0.00000000e+00]]",0.169323,"[-1.60027819 -1.03015943  0.17812513  0.88819534  0.14704084 -0.75014975
 -1.67576042  0.30495034 -0.44515759  0.15238249  0.        ]",[-1.34321845 -0.11414032],[-2.30666081  0.2124384 ],[-0.1998495 -0.0573465],-0.0418101290774
24,"[[ -1.71718264e+01   2.54106234e+00   1.46444864e-02  -8.68468528e-02]
 [ -6.84144735e+01   3.35947483e+00   0.00000000e+00   0.00000000e+00]]",0.17429,"[-0.37934224 -1.07387337  1.48584498  0.80697548  0.14704042 -0.75014647
 -1.75441956  0.41037693 -0.70401048  0.62975375  0.        ]",[-1.34178221 -0.1215715 ],[-0.59319349 -0.40713472],[-0.1998495 -0.0573465],-0.118277489016
25,"[[ -1.85501001e+01   2.59129709e+00   1.46444864e-02  -8.68468528e-02]
 [ -6.94094873e+01   1.66972229e+00   0.00000000e+00   0.00000000e+00]]",-0.164674,"[ 1.08471704 -1.10799181  0.43775688  0.73567764  0.14704    -0.75014318
 -1.7838481   0.18155787 -0.38163542  1.01111638  0.        ]",[-1.38978338 -0.10343356],[-1.11937938  0.47080337],[-0.1998495 -0.0573465],-0.145922514633
26,"[[ -1.99642335e+01   2.64295383e+00   1.46444864e-02  -8.68468528e-02]
 [ -7.19953244e+01   3.48991264e+00   0.00000000e+00   0.00000000e+00]]",-0.424094,"[ 0.37485056 -1.14027506 -1.34994865  0.6600361   0.14703958 -0.7501399
 -1.86035743  0.42803894 -0.0097767   0.75324062  0.        ]",[-1.44591177 -0.11177139],[-0.07383606 -0.22353397],[-0.1998495 -0.0573465],-0.112268227896
27,"[[ -2.13927827e+01   2.70307620e+00   1.46444864e-02  -8.68468528e-02]
 [ -7.08633026e+01   2.52579101e+00   0.00000000e+00   0.00000000e+00]]",-0.262371,"[-1.37106629 -1.1741607  -0.84863505  0.56929521  0.14703916 -0.75013662
 -1.82683121  0.29748046 -0.1514164   0.33882825  0.        ]",[-1.36495614 -0.10223569],[-0.0230299  -0.28097581],[-0.1998495 -0.0573465],-0.0493442480242
28,"[[ -2.27968945e+01   2.74183944e+00   1.46444864e-02  -8.68468528e-02]
 [ -6.95521907e+01   1.35461871e+00   0.00000000e+00   0.00000000e+00]]",0.241365,"[-1.18680203 -1.19384639  1.07676805  0.50939313  0.14703874 -0.75013333
 -1.78800597  0.13888408 -0.49963296  0.3965722   0.        ]",[-1.2799294  -0.09215586],[-1.96702516  0.7954621 ],[-0.1998495 -0.0573465],-0.071782171785
29,"[[ -2.42138522e+01   2.80018294e+00   1.46444864e-02  -8.68468528e-02]
 [ -7.21350688e+01   4.46945005e+00   0.00000000e+00   0.00000000e+00]]",0.0549246,"[ 0.60398473 -1.22021345  1.1870421   0.4173982   0.14703831 -0.75013005
 -1.86442609  0.56068253 -0.5091635   0.74844889  0.        ]",[-1.33426332 -0.11288647],[-1.79163241  0.62325279],[-0.1998495 -0.0573465],-0.115871694513
30,"[[ -2.56819590e+01   2.91337372e+00   1.46444864e-02  -8.68468528e-02]
 [ -7.46671905e+01   6.84206798e+00   0.00000000e+00   0.00000000e+00]]",-0.187795,"[ 0.94335757 -1.25988931 -0.78678357  0.23371064  0.14703789 -0.75012677
 -1.93934101  0.8819711  -0.27017232  0.78722372  0.        ]",[-1.41823554 -0.11707009],[-2.49871666 -2.1638848 ],[-0.1998495 -0.0573465],-0.112073912538
31,"[[ -2.72002052e+01   3.00908054e+00   1.46444864e-02  -8.68468528e-02]
 [ -7.71490505e+01   2.56885150e+00   0.00000000e+00   0.00000000e+00]]",-0.0835585,"[-0.88899284 -1.28130604 -1.3220745   0.07447758  0.14703747 -0.75012348
 -2.0127652   0.30330337 -0.20675584  0.61891693  0.        ]",[-1.36943042 -0.0739492 ],[-1.64806887 -1.414124  ],[-0.1998495 -0.0573465],-0.0879005927512
32,"[[ -2.87675902e+01   3.01724735e+00   1.46444864e-02  -8.68468528e-02]
 [ -7.95812808e+01  -1.59150924e+00   0.00000000e+00   0.00000000e+00]]",0.198625,"[-1.44622327 -1.28260238  0.70529178  0.0607743   0.14703705 -0.7501202
 -2.0847172  -0.26008149 -0.30312885  0.49680967  0.        ]",[-1.25272751 -0.04633012],[-2.13751694  0.63939448],[-0.1998495 -0.0573465],-0.0716954897344
33,"[[ -3.03831323e+01   3.00168616e+00   1.46444864e-02  -8.68468528e-02]
 [ -8.19650152e+01  -2.71675328e-01   0.00000000e+00   0.00000000e+00]]",0.261538,"[ 0.47404065 -1.28003355  1.28267286  0.08687145  0.14703663 -0.75011692
 -2.15523042 -0.08135219 -0.42383458  0.6133527   0.        ]",[-1.26875663 -0.06427272],[-2.26357149 -1.12260497],[-0.1998495 -0.0573465],-0.09291954997
34,"[[ -3.20458771e+01   2.95653373e+00   1.46444864e-02  -8.68468528e-02]
 [ -8.43015854e+01  -4.23064259e+00   0.00000000e+00   0.00000000e+00]]",-0.215304,"[ 0.88151012 -1.27090606 -0.88732649  0.16224957  0.14703621 -0.75011363
 -2.22434412 -0.61746612 -0.27973009  0.76035834  0.        ]",[-1.33405018 -0.01736152],[-0.81308041 -0.62616946],[-0.1998495 -0.0573465],-0.108384174775
35,"[[ -3.37474565e+01   2.84781677e+00   1.46444864e-02  -8.68468528e-02]
 [ -8.58510324e+01  -6.63364641e+00   0.00000000e+00   0.00000000e+00]]",-0.0680536,"[-1.18249939 -1.23872726 -1.08999443  0.3408474   0.14703579 -0.75011035
 -2.27016034 -0.94287221 -0.14676613  0.4842717   0.        ]",[-1.31971681 -0.01029815],[-0.93048586  0.46816656],[-0.1998495 -0.0573465],-0.0697692362224
36,"[[ -3.54843722e+01   2.73495316e+00   1.46444864e-02  -8.68468528e-02]
 [ -8.78339379e+01  -4.65995861e+00   0.00000000e+00   0.00000000e+00]]",0.408214,"[-1.05968764 -1.19040181  1.19424806  0.52010936  0.14703537 -0.75010707
 -2.32880116 -0.67559561 -0.52586907  0.42229963  0.        ]",[-1.28035343 -0.05513997],[-0.45006434  0.86173603],[-0.1998495 -0.0573465],-0.0772777394125
37,"[[ -3.72414716e+01   2.67677411e+00   1.46444864e-02  -8.68468528e-02]
 [ -8.78760355e+01  -1.16987620e+00   0.00000000e+00   0.00000000e+00]]",0.0379392,"[ 1.00424071 -1.15974218  0.65782654  0.60932825  0.14703495 -0.75010379
 -2.33000505 -0.20297256 -0.4393951   0.92793221  0.        ]",[-1.38347578 -0.09131636],[-0.25434567 -1.31029303],[-0.1998495 -0.0573465],-0.136371211006
38,"[[ -3.89916340e+01   2.61372737e+00   1.46444864e-02  -8.68468528e-02]
 [ -8.71423804e+01  -5.12189396e+00   0.00000000e+00   0.00000000e+00]]",-0.0332849,"[ 0.14638638 -1.12225862 -1.44550623  0.70310498  0.14703453 -0.7501005
 -2.30825266 -0.73814795  0.02707332  0.68511948  0.        ]",[-1.40914607 -0.04929645],[-1.33296327 -0.0305877 ],[-0.1998495 -0.0573465],-0.105185651973
39,"[[ -4.07568749e+01   2.51091241e+00   1.46444864e-02  -8.68468528e-02]
 [ -8.93741964e+01  -5.16011596e+00   0.00000000e+00   0.00000000e+00]]",0.416833,"[-1.60567394 -1.05201813 -0.12987383  0.8486082   0.14703411 -0.75009722
 -2.37425514 -0.74332071 -0.34851574  0.15070368  0.        ]",[-1.35157156 -0.06296064],[-1.59355889 -0.52525013],[-0.1998495 -0.0573465],-0.02942883328
40,"[[ -4.25663005e+01   2.38764927e+00   1.46444864e-02  -8.68468528e-02]
 [ -9.15607843e+01  -7.16027661e+00   0.00000000e+00   0.00000000e+00]]",0.721258,"[-0.0197098  -0.95384668  1.47647517  1.00903317  0.14703369 -0.75009394
 -2.43891501 -1.01417554 -0.7572453   0.83095497  0.        ]",[-1.36104143 -0.06343813],[-1.07886553 -1.02498507],[-0.1998495 -0.0573465],-0.146028910705
41,"[[ -4.44189997e+01   2.20587110e+00   1.46444864e-02  -8.68468528e-02]
 [ -9.37013605e+01  -1.10056872e+01   0.00000000e+00   0.00000000e+00]]",0.468787,"[ 1.01672301 -0.78435826 -0.63829993  1.2129095   0.14703327 -0.75009066
 -2.50220896 -1.53490433  0.11608226  1.07256534  0.        ]",[-1.4569962  -0.03617506],[-1.59467717 -2.36853884],[-0.1998495 -0.0573465],-0.161776206275
42,"[[ -4.63140426e+01   1.94788807e+00   1.46444864e-02  -8.68468528e-02]
 [ -9.57951060e+01  -1.47810901e+01   0.00000000e+00   0.00000000e+00]]",0.601946,"[-1.18270447 -0.50343313 -1.08976958  1.4238937   0.14703285 -0.75008737
 -2.56411266 -2.04613547 -0.10741605 -0.18704811  0.        ]",[-1.39861274  0.00222129],[-1.62035117 -0.17379565],[-0.1998495 -0.0573465],-0.0324742695388
43,"[[ -4.82505060e+01   1.64791184e+00   1.46444864e-02  -8.68468528e-02]
 [ -9.78440935e+01  -1.52158050e+01   0.00000000e+00   0.00000000e+00]]",1.21372,"[-0.82449284 -0.13991257  1.34896051  1.53772231  0.14703242 -0.75008409
 -2.62468733 -2.10497154 -1.1744885   0.86141021  0.        ]",[-1.44085848 -0.00497951],[-1.28179557  0.42192774],[-0.1998495 -0.0573465],-0.195915968083
