timestep,human_obs,actions,logstd_action_dist,avg_action_dist,rewards,obs,original_rewards
0,"[[ 0.07337144  0.05680289  0.0357352   0.12269526]
 [ 0.00292553 -0.00497205  0.          0.        ]]",[ 0.61232982 -0.05306366],[-0.67799532 -0.41491583],[ 0.62449777  0.7124474 ],-0.556533,"[ 1.2307598   1.24237411  0.1257329  -0.09233608  0.32078335  1.04615847
  0.25786685 -0.08455467  0.88941574 -0.64523946  0.        ]",-0.200424257733
1,"[[ 0.09773389  0.05458688  0.0357352   0.12269526]
 [ 2.42525292 -0.21592295  0.          0.        ]]",[ 0.98484336  0.18548932],[-0.67799532 -0.41491583],[ 0.69675422  0.6720342 ],-0.543058,"[ 1.2278884   1.24257685  0.16141331 -0.09529829  0.32078318  1.04615742
  0.29586971 -0.12433266  0.88612179 -0.6133865   0.        ]",-0.197547457271
2,"[[ 0.18484372  0.05766536  0.0357352   0.12269526]
 [ 6.27292057  0.52131715  0.          0.        ]]",[ 1.59545162  1.16920921],[-0.67799532 -0.41491583],[ 0.78922391  0.5073843 ],-0.606461,"[ 1.21098069  1.2422894   0.28814706 -0.09118318  0.32078301  1.04615637
  0.35623421  0.0146854   0.8671647  -0.49258517  0.        ]",-0.186403446824
3,"[[  0.34873252   0.10770087   0.0357352    0.12269526]
 [ 10.10322062   4.46907667   0.           0.        ]]",[-0.01615538  1.05595919],[-0.67799532 -0.41491583],[ 0.78880847  0.24364565],-0.629229,"[ 1.15147875  1.23544642  0.52027766 -0.02442987  0.32078285  1.04615532
  0.41632621  0.75909655  0.79329398 -0.24328935  0.        ]",-0.162014309396
4,"[[ 0.54813665  0.23592291  0.0357352   0.12269526]
 [ 9.83811372  8.34021681  0.          0.        ]]",[ 1.21579062 -0.75285343],[-0.67799532 -0.41491583],[ 0.68057019  0.0762652 ],-0.529231,"[ 1.03248642  1.19917276  0.78397876  0.14459446  0.32078268  1.04615427
  0.41216681  1.48905835  0.61702125  0.06711894  0.        ]",-0.127698429702
5,"[[  0.78265229   0.37114541   0.0357352    0.12269526]
 [ 13.600929     5.19250167   0.           0.        ]]",[ 0.3244872   1.05493441],[-0.67799532 -0.41491583],[ 0.74948645  0.28551516],-0.576552,"[ 0.83333702  1.13230153  1.05454993  0.31722694  0.32078251  1.04615322
  0.47120008  0.89550694  0.33138711  0.33910214  0.        ]",-0.0932612697369
6,"[[  1.06484078   0.51368468   0.0357352    0.12269526]
 [ 14.6146413    9.04855      0.           0.        ]]",[ 0.73048009 -0.11816517],[-0.67799532 -0.41491583],[ 0.66669685 -0.0096499 ],-0.558064,"[ 0.52396294  1.03134488  1.30378299  0.48954334  0.32078234  1.04615217
  0.48710358  1.62262206 -0.07418621  0.51280909  0.        ]",-0.0757105647017
7,"[[  1.38323881   0.6881489    0.0357352    0.12269526]
 [ 17.21655518   8.39998521   0.           0.        ]]",[ 1.43862899 -0.14670327],[-0.67799532 -0.41491583],[ 0.63759792  0.03531975],-0.667061,"[ 0.11286968  0.86822485  1.46217272  0.68195835  0.32078217  1.04615113
  0.52792384  1.50032283 -0.56298669  0.49490815  0.        ]",-0.10037521851
8,"[[  1.76386115   0.84862975   0.0357352    0.12269526]
 [ 20.83369994   7.65051607   0.           0.        ]]",[-0.3783395  -0.05468981],[-0.67799532 -0.41491583],[ 0.63487887 -0.103028  ],-0.717091,"[-0.4087144   0.68375547  1.46063912  0.83628095  0.320782    1.04615008
  0.58467169  1.3589971  -1.04123171  0.22437473  0.        ]",-0.153045133125
9,"[[  2.16139441   0.99793969   0.0357352    0.12269526]
 [ 18.92595516   7.28171487   0.           0.        ]]",[ 0.62118461 -0.32042608],[-0.67799532 -0.41491583],[ 0.59652877 -0.26867586],-1.01806,"[-0.91191059  0.48675866  1.23894519  0.95674924  0.32078183  1.04614903
  0.55474134  1.28945237 -1.34926562 -0.25343619  0.        ]",-0.205653146037
