timestep,human_obs,rewards,obs,avg_action_dist,actions,logstd_action_dist,original_rewards
0,"[[-0.01707267  0.09424716  0.11905856 -0.01890139]
 [-0.00020705  0.00439908  0.          0.        ]]",-0.407625,"[ 1.22119335  1.19140961 -0.01209372 -0.15332001  1.03589314 -0.158422
  0.29193406 -0.11062474  0.39795117  0.17727811  0.        ]",[-1.57721615  1.70562172],[-1.20413429  2.55006304],[-0.58603096 -0.33483058],-0.0941672260579
1,"[[-0.05678277  0.1340775   0.11905856 -0.01890139]
 [-3.95762343  3.96542648  0.          0.        ]]",-0.311865,"[ 1.21917071  1.18464977 -0.07056369 -0.09567855  1.03589167 -0.15842189
  0.22562101  0.58183824  0.39706148  0.15073246  0.        ]",[-1.6016109   1.53380394],[-1.85582879  1.27210094],[-0.58603096 -0.33483058],-0.0930235881182
2,"[[-0.17485581  0.25234098  0.11905856 -0.01890139]
 [-7.83677251  7.84796492  0.          0.        ]]",-0.1483,"[ 1.20037319  1.15084405 -0.24328101  0.0732979   1.03589019 -0.15842177
  0.16061947  1.26057846  0.38883146  0.07216379  0.        ]",[-1.62098384  1.20596981],[-1.49649038  0.45889738],[-0.58603096 -0.33483058],-0.0896486993214
3,"[[ -0.36973475   0.42598569   0.11905856  -0.01890139]
 [-11.63850127   9.51092097   0.           0.        ]]",-0.0480518,"[ 1.12824683  1.06489906 -0.51942206  0.31154545  1.03588871 -0.15842166
  0.09691522  1.55129144  0.35822643 -0.06931907  0.        ]",[-1.64509189  0.79274195],[-2.04920675  0.78995903],[-0.58603096 -0.33483058],-0.0847337180221
4,"[[ -0.6399016    0.64570832   0.11905856  -0.01890139]
 [-15.36584725  12.4514596    0.           0.        ]]",0.203928,"[ 0.94869538  0.89813404 -0.86680236  0.58620971  1.03588724 -0.15842155
  0.03445739  2.06534601  0.28073164 -0.26486712  0.        ]",[-1.62909448 -0.02248853],[-0.48471785 -0.20461011],[-0.58603096 -0.33483058],-0.0817116595524
5,"[[ -0.96341297   0.88413353   0.11905856  -0.01890139]
 [-16.97998723  11.39451327   0.           0.        ]]",0.273008,"[ 0.6297081   0.65278872 -1.196911    0.83619032  1.03588576 -0.15842144
  0.00740979  1.88056626  0.13913418 -0.47808749  0.        ]",[-1.67453396 -0.30155444],[-1.85644098 -0.43611091],[-0.58603096 -0.33483058],-0.0862857202489
6,"[[ -1.33934413e+00   1.09243362e+00   1.19058556e-01  -1.89013946e-02]
 [ -2.06011780e+01   9.44186526e+00   0.00000000e+00   0.00000000e+00]]",0.297563,"[ 0.15925103  0.39415759 -1.42116406  1.0028182   1.03588429 -0.15842133
 -0.05326926  1.53920406 -0.08466286 -0.7023075   0.        ]",[-1.74813628 -0.45442158],[-1.6275087  -0.39849601],[-0.58603096 -0.33483058],-0.105841034888
7,"[[ -1.78698657e+00   1.26355438e+00   1.19058556e-01  -1.89013946e-02]
 [ -2.41513178e+01   7.67594123e+00   0.00000000e+00   0.00000000e+00]]",0.206361,"[-0.45258144  0.15896885 -1.42615261  1.09811967  1.03588281 -0.15842122
 -0.11275773  1.23048637 -0.42095185 -0.89327239  0.        ]",[-1.8075484  -0.63283038],[-1.65609645 -0.80227554],[-0.58603096 -0.33483058],-0.141195268263
8,"[[ -2.30492620e+00   1.38365680e+00   1.19058556e-01  -1.89013946e-02]
 [ -2.76310429e+01   4.34524202e+00   0.00000000e+00   0.00000000e+00]]",-0.128018,"[-1.08030484 -0.01438442 -1.08089294  1.14090149  1.03588134 -0.1584211
 -0.17106629  0.64821928 -0.86879246 -0.95495923  0.        ]",[-1.90404916 -0.48557937],[-1.56779465 -0.12057461],[-0.58603096 -0.33483058],-0.18632453203
9,"[[ -2.89177494e+00   1.46487982e+00   1.19058556e-01  -1.89013946e-02]
 [ -3.10424920e+01   3.77878402e+00   0.00000000e+00   0.00000000e+00]]",-0.419753,"[-1.49243802 -0.1340386  -0.35122358  1.1581704   1.03587986 -0.15842099
 -0.22823076  0.54919164 -1.35504904 -0.76523184  0.        ]",[-2.01617885 -0.68007177],[-2.96164376  0.36171204],[-0.58603096 -0.33483058],-0.230702929129
