timestep,human_obs,actions,logstd_action_dist,avg_action_dist,rewards,obs,original_rewards
0,"[[ 0.03485021 -0.07501721 -0.15997943 -0.0583293 ]
 [ 0.0029177   0.0028237   0.          0.        ]]",[ 0.80023321 -1.77306653],[-0.9407894 -0.7690438],[ 1.01900816 -2.06644773],-2.62203,"[ 1.25336842  1.37101737  0.07278919 -0.18938762 -1.37686357 -0.51497293
  0.22748608 -0.05666806  2.05283551  0.38977225  0.        ]",-0.374257355843
1,"[[ 0.06668511 -0.11470147 -0.15997943 -0.0583293 ]
 [ 3.17002305 -3.95804373  0.          0.        ]]",[ 1.42491542 -2.08648475],[-0.9407894 -0.7690438],[ 1.50174952 -1.49844098],-2.67688,"[ 1.2511357   1.36346041  0.11929071 -0.23849061 -1.37686263 -0.51497277
  0.27284908 -0.88914073  2.05165326  0.40465442  0.        ]",-0.374422542282
2,"[[ 0.16916234 -0.23281893 -0.15997943 -0.0583293 ]
 [ 7.06473779 -7.84074664  0.          0.        ]]",[ 1.88310667 -0.76203245],[-0.9407894 -0.7690438],[ 1.91979623 -0.54456097],-2.80923,"[ 1.23448421  1.32242963  0.26807352 -0.38301709 -1.3768617  -0.51497262
  0.32863377 -1.70518406  2.04395723  0.45898347  0.        ]",-0.374584068348
3,"[[  0.34875809  -0.41836393  -0.15997943  -0.0583293 ]
 [ 10.88215916 -10.70417102   0.           0.        ]]",[ 2.11337321  1.31810406],[-0.9407894 -0.7690438],[ 1.93844533  0.39189646],-2.94328,"[ 1.17102607  1.20328418  0.52166031 -0.6012213  -1.37686077 -0.51497247
  0.38331137 -2.30699899  2.0165379   0.56620655  0.        ]",-0.37346001902
4,"[[  0.60392159  -0.59060388  -0.15997943  -0.0583293 ]
 [ 14.62180543  -6.53365614   0.           0.        ]]",[ 1.46545164 -0.49166624],[-0.9407894 -0.7690438],[ 1.72863245 -0.1087949 ],-2.67883,"[ 1.00980906  1.03612067  0.85243079 -0.78841469 -1.37685984 -0.51497232
  0.43687496 -1.43046363  1.94905282  0.77010338  0.        ]",-0.371069840373
5,"[[  0.93316049  -0.7395182   -0.15997943  -0.0583293 ]
 [ 18.28994144  -8.35162284   0.           0.        ]]",[ 1.68256721  0.79278308],[-0.9407894 -0.7690438],[ 1.52634597  0.73453432],-2.7545,"[ 0.69504155  0.85154566  1.19707688 -0.93393303 -1.37685891 -0.51497216
  0.4894143  -1.81255129  1.8022287   1.04817876  0.        ]",-0.364386137352
6,"[[  1.33502103  -0.87339607  -0.15997943  -0.0583293 ]
 [ 21.88417791  -5.04705714   0.           0.        ]]",[-0.21014885  0.56917612],[-0.9407894 -0.7690438],[ 1.2172029   0.19456628],-2.47077,"[ 0.19529268  0.65741142  1.44401348 -1.04901364 -1.37685798 -0.51497201
  0.54089514 -1.11801703  1.5324066   1.33550078  0.        ]",-0.348237651236
7,"[[  1.76001698  -0.95070293  -0.15997943  -0.0583293 ]
 [ 20.61958229  -2.69149906   0.           0.        ]]",[ 0.70993061 -0.37556963],[-0.9407894 -0.7690438],[ 0.89426059 -0.42416221],-2.01118,"[-0.38734197  0.53454545  1.45837218 -1.10781976 -1.37685704 -0.51497186
  0.52278191 -0.62293987  1.14944122  1.53864386  0.        ]",-0.320768332849
8,"[[  2.19650743  -1.01890945  -0.15997943  -0.0583293 ]
 [ 23.02151522  -4.12429324   0.           0.        ]]",[ 0.27615336  0.42578774],[-0.9407894 -0.7690438],[ 0.73213309  0.01824605],-1.71643,"[-0.93666431  0.42032348  1.20737346 -1.15469636 -1.37685611 -0.51497171
  0.55718514 -0.92407553  0.71472334  1.56966162  0.        ]",-0.280509310899
9,"[[  2.66333179  -1.08364195  -0.15997943  -0.0583293 ]
 [ 23.6587669   -2.35482118   0.           0.        ]]",[ 1.17321196  0.01763844],[-0.9407894 -0.7690438],[ 0.68469816 -0.43176806],-1.34189,"[-1.35409601  0.30737721  0.69498881 -1.19463588 -1.37685518 -0.51497156
  0.56631246 -0.55217836  0.28103332  1.398446    0.        ]",-0.225558490643
