timestep,human_obs,rewards,obs,avg_action_dist,actions,logstd_action_dist,original_rewards
0,"[[-0.03619302  0.09874755  0.08141491 -0.08907594]
 [-0.00297212  0.00379236  0.          0.        ]]",-0.254426,"[ 1.10093244  1.18356854 -0.074537    0.17864096  0.70387985 -0.78122652
  0.13312929  0.02564341  0.54056864  0.6390826   0.        ]",[-0.6497283 -0.0664251],[ 0.48320853 -0.10324704],[-0.02582286 -0.04665877],-0.158074629137
1,"[[-0.01707145  0.09471342  0.08141491 -0.08907594]
 [ 1.90876268 -0.40583838  0.          0.        ]]",-0.247079,"[ 1.10162388  1.18404127 -0.04560612  0.17196182  0.70387395 -0.78121947
  0.24054262 -0.02913797  0.54016148  0.66394095  0.        ]",[-0.63253224 -0.06128012],[-1.41964308 -0.53452941],[-0.02582286 -0.04665877],-0.160131147341
2,"[[-0.01895735  0.06545712  0.08141491 -0.08907594]
 [-2.0840594  -2.5127744   0.          0.        ]]",-0.204319,"[ 1.10156317  1.18696071 -0.04845979  0.12345987  0.70386805 -0.78121242
  0.01619641 -0.31090656  0.54144825  0.63882095  0.        ]",[-0.64757717 -0.06444289],[-0.05111693 -0.73759328],[-0.02582286 -0.04665877],-0.158170243288
3,"[[-0.06224257 -0.0136016   0.08141491 -0.08907594]
 [-2.24393506 -5.38353029  0.          0.        ]]",-0.185428,"[ 1.09911683  1.18951462 -0.11391488 -0.00795247  0.70386215 -0.78120537
  0.00721333 -0.69482246  0.5391416   0.51485924  0.        ]",[-0.61412895 -0.05300539],[ 0.46651568 -1.05958675],[-0.02582286 -0.04665877],-0.148178479251
4,"[[-0.08814486 -0.15993804  0.08141491 -0.08907594]
 [-0.3526064  -9.23726626  0.          0.        ]]",-0.288255,"[ 1.09640879  1.17360727 -0.15300705 -0.25020779  0.70385625 -0.78119832
  0.11348263 -1.21018814  0.51908738  0.36660416  0.        ]",[-0.54446745 -0.03124008],[-2.23188056 -0.21297526],[-0.02582286 -0.04665877],-0.135717737672
5,"[[-0.13481662 -0.35129428  0.08141491 -0.08907594]
 [-4.30147224 -9.89617025  0.          0.        ]]",-0.250985,"[ 1.08920599  1.11300209 -0.22320219 -0.55766085  0.70385035 -0.78119127
 -0.10839679 -1.29828741  0.45797288  0.16426362  0.        ]",[-0.54398936 -0.03144619],[-0.91771506  0.41685281],[-0.02582286 -0.04665877],-0.117465972961
6,"[[-0.25642845 -0.53067752  0.08141491 -0.08907594]
 [-7.84793924 -8.04830798  0.          0.        ]]",-0.0145184,"[ 1.05647941  1.01708658 -0.40364748 -0.82710353  0.70384445 -0.78118422
 -0.30766595 -1.05115129  0.32225302 -0.10384833  0.        ]",[-0.55506033 -0.03623832],[-0.91126075 -1.93988994],[-0.02582286 -0.04665877],-0.0940431451132
7,"[[ -0.44799363  -0.72975862   0.08141491  -0.08907594]
 [-11.29726944 -11.8471208    0.           0.        ]]",0.00803851,"[ 0.96509571  0.87017013 -0.67537826 -1.09415843  0.70383855 -0.78117717
 -0.50147648 -1.55915494  0.06210737 -0.39429887  0.        ]",[-0.52699798 -0.02958857],[-0.74677593 -1.69639337],[-0.02582286 -0.04665877],-0.0755312848799
8,"[[ -0.70134442  -1.00406203   0.08141491  -0.08907594]
 [-14.02900571 -15.57077464   0.           0.        ]]",-0.109686,"[ 0.77489955  0.60871179 -0.99638203 -1.38847582  0.70383265 -0.78117012
 -0.65496511 -2.05707289 -0.37416537 -0.59376552  0.        ]",[-0.50404537 -0.02793194],[-0.87412188  0.21021121],[-0.02582286 -0.04665877],-0.0867376328182
9,"[[ -1.01387221  -1.30401584   0.08141491  -0.08907594]
 [-17.21329735 -14.42836038   0.           0.        ]]",-0.201045,"[ 0.44892179  0.26598421 -1.3045907  -1.58963744  0.70382675 -0.78116306
 -0.83388033 -1.90424691 -0.89010754 -0.53841106  0.        ]",[-0.52144241 -0.03776661],[-0.07128413  0.31760042],[-0.02582286 -0.04665877],-0.128552865418
10,"[[ -1.35758316  -1.57708691   0.08141491  -0.08907594]
 [-17.15791169 -12.88388761   0.           0.        ]]",-0.181853,"[ 0.00997659 -0.07256039 -1.49901619 -1.64840673  0.70382085 -0.78115601
 -0.83076037 -1.69766859 -1.28918038 -0.22279617  0.        ]",[-0.51267034 -0.04240798],[-2.80581457  1.92029938],[-0.02582286 -0.04665877],-0.170793186964
11,"[[ -1.73707433  -1.79245738   0.08141491  -0.08907594]
 [-20.77903004  -8.66715048   0.           0.        ]]",-0.175286,"[-0.51224629 -0.34041769 -1.51238592 -1.60771506  0.70381495 -0.78114896
 -1.03421721 -1.13375837 -1.4860958   0.21881137  0.        ]",[-0.55740148 -0.05626453],[-0.08602126 -0.52599045],[-0.02582286 -0.04665877],-0.202347481374
12,"[[ -2.1519627   -1.98495733   0.08141491  -0.08907594]
 [-20.71010646 -10.5765009    0.           0.        ]]",-0.153215,"[-1.04328685 -0.56940686 -1.28474894 -1.50776486  0.70380905 -0.78114191
 -1.03033253 -1.38906871 -1.4637712   0.67705453  0.        ]",[-0.55154783 -0.05922477],[-0.82793761  0.48413282],[-0.02582286 -0.04665877],-0.219196397967
13,"[[ -2.5949561   -2.17513276   0.08141491  -0.08907594]
 [-23.57960892  -8.44810672   0.           0.        ]]",-0.137803,"[-1.46601118 -0.77735061 -0.80644591 -1.35377601  0.70380315 -0.78113487
 -1.19155216 -1.10443108 -1.24334364  1.01969294  0.        ]",[-0.58290374 -0.06863493],[-1.63503069  0.53483371],[-0.02582286 -0.04665877],-0.217583340873
